time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19133, 109.63376,  -3.88446,  -0.18718, 118.61815,  -4.29405,   0.24250, 134.98477,  -4.70058,  -0.02262, 141.43569,  -4.76812,   5.13616, 131.46950,  -4.76025,  10.45693, 131.24407,  -4.26971,  15.35145, 107.43588,  -5.31583,  20.06909,  86.27218,  -0.14309,  -4.81935, 131.72625,  -4.95816, -10.13606, 131.44383,  -4.45286, -15.98201, 108.20748,  -8.67095, -21.70811,  87.04792,  -4.62180,   6.47999,  91.83886,  -2.43249,   3.90446,  53.69706,   5.68552,   1.00835,  13.31980,  -0.72487,   1.81742,   5.82895,   8.29711,  -6.42668,  91.63161,  -3.32104,  -5.07031,  52.77722,   0.65769,   1.24131,  13.32011,  -8.45840,  -4.00626,   5.82919,  -1.07514
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19052, 109.63240,  -3.90845,  -0.17943, 118.61617,  -4.33143,   0.28652, 134.98118,  -4.76196,   0.02970, 141.43221,  -4.84833,   5.17253, 131.45512,  -4.81142,  10.49271, 131.21412,  -4.32185,  15.31578, 107.39431,  -5.43334,  19.99241,  86.19712,  -0.36150,  -4.78219, 131.73337,  -5.01978, -10.09919, 131.45462,  -4.51552, -15.97738, 108.21535,  -8.67226, -21.72901,  87.13725,  -4.25147,   6.47886,  91.84021,  -2.41489,   3.89462,  53.69897,   5.70297,   1.02485,  13.33923,  -0.82842,   1.83690,   5.84838,   8.19329,  -6.42577,  91.63063,  -3.33196,  -5.05356,  52.77524,   0.63156,   1.26708,  13.33958,  -8.57070,  -3.97761,   5.84873,  -1.18531
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19646, 109.63057,  -3.93828,  -0.18210, 118.61368,  -4.37492,   0.31462, 134.97743,  -4.81873,   0.06574, 141.42839,  -4.93029,   5.19404, 131.44220,  -4.86338,  10.51364, 131.19383,  -4.37122,  15.27640, 107.36510,  -5.54965,  19.92579,  86.12889,  -0.61793,  -4.76005, 131.73890,  -5.07587, -10.07783, 131.46167,  -4.57898, -15.97833, 108.22405,  -8.71329, -21.77100,  87.25251,  -3.86040,   6.47901,  91.84430,  -2.40215,   3.90582,  53.69467,   5.67977,   1.05871,  13.34564,  -0.92724,   1.86991,   5.85479,   8.09455,  -6.42427,  91.62706,  -3.33638,  -5.05087,  52.76592,   0.57000,   1.29460,  13.34499,  -8.67814,  -3.95087,   5.85418,  -1.29327
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.20065, 109.62980,  -3.95032,  -0.18399, 118.61268,  -4.39153,   0.33419, 134.97576,  -4.83554,   0.09307, 141.42680,  -4.95863,   5.20914, 131.43430,  -4.87394,  10.52811, 131.18215,  -4.37688,  15.25613, 107.34846,  -5.59411,  19.88730,  86.07019,  -0.82931,  -4.74429, 131.74370,  -5.09883, -10.06272, 131.46765,  -4.60831, -15.98319, 108.24148,  -8.77831, -21.84201,  87.43048,  -3.34808,   6.47925,  91.84674,  -2.39619,   3.92070,  53.69272,   5.66957,   1.07856,  13.35425,  -1.00376,   1.88850,   5.86337,   8.01812,  -6.42333,  91.62483,  -3.33898,  -5.06226,  52.76056,   0.54044,   1.31799,  13.35367,  -8.74355,  -3.93001,   5.86279,  -1.36055
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.20348, 109.63018,  -3.94338,  -0.18728, 118.61321,  -4.38155,   0.33365, 134.97626,  -4.82329,   0.09973, 141.42728,  -4.96089,   5.20821, 131.43419,  -4.85465,  10.52664, 131.18025,  -4.35276,  15.24723, 107.34596,  -5.58691,  19.85734,  86.02501,  -0.99567,  -4.74484, 131.74487,  -5.09455, -10.06442, 131.46875,  -4.61679, -15.99784, 108.25934,  -8.86097, -21.92128,  87.66225,  -2.73041,   6.47940,  91.84782,  -2.39412,   3.92586,  53.68868,   5.64901,   1.08549,  13.35697,  -1.06579,   1.89796,   5.86612,   7.95588,  -6.42270,  91.62364,  -3.34299,  -5.06897,  52.75459,   0.49082,   1.32214,  13.35621,  -8.82179,  -3.92330,   5.86542,  -1.43687
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.20395, 109.63075,  -3.93365,  -0.18612, 118.61397,  -4.36799,   0.34457, 134.97672,  -4.80923,   0.11309, 141.42750,  -4.96111,   5.21716, 131.43191,  -4.83428,  10.53459, 131.17646,  -4.32258,  15.25023, 107.34363,  -5.60291,  19.85653,  85.99371,  -1.14437,  -4.73539, 131.74818,  -5.08699, -10.05594, 131.47167,  -4.62038, -16.00192, 108.28128,  -8.95005, -22.04929,  87.96902,  -2.03974,   6.47885,  91.84811,  -2.38731,   3.91128,  53.68226,   5.61941,   1.09686,  13.35436,  -1.12913,   1.90872,   5.86350,   7.89260,  -6.42202,  91.62319,  -3.35252,  -5.06355,  52.75111,   0.44882,   1.33849,  13.35429,  -8.86287,  -3.91342,   5.86347,  -1.48259
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.20504, 109.63219,  -3.90893,  -0.18855, 118.61590,  -4.33305,   0.33683, 134.97895,  -4.76948,   0.10623, 141.42942,  -4.93520,   5.21089, 131.43608,  -4.78173,  10.52756, 131.18284,  -4.26110,  15.25533, 107.35446,  -5.57921,  19.87258,  85.98523,  -1.22574,  -4.74104, 131.74844,  -5.06200, -10.06326, 131.47186,  -4.61482, -16.03249, 108.29840,  -9.00282, -22.20899,  88.33645,  -1.23865,   6.47833,  91.84809,  -2.38192,   3.89379,  53.67625,   5.59072,   1.09244,  13.35093,  -1.17861,   1.90277,   5.86006,   7.84325,  -6.42120,  91.62281,  -3.36479,  -5.05867,  52.74733,   0.40015,   1.33718,  13.35103,  -8.91798,  -3.91419,   5.86022,  -1.53731
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.20201, 109.63395,  -3.87870,  -0.18459, 118.61822,  -4.29060,   0.33878, 134.98144,  -4.72329,   0.11041, 141.43182,  -4.89532,   5.21351, 131.43946,  -4.72509,  10.52929, 131.18883,  -4.19432,  15.27070, 107.36489,  -5.54332,  19.90361,  85.98341,  -1.26737,  -4.73783, 131.75005,  -5.02777, -10.06151, 131.47495,  -4.59740, -16.08782, 108.32499,  -9.03116, -22.37446,  88.78232,  -0.34362,   6.47670,  91.84652,  -2.37020,   3.87328,  53.67134,   5.58030,   1.09204,  13.34996,  -1.22074,   1.89990,   5.85911,   7.80134,  -6.42041,  91.62389,  -3.38494,  -5.04989,  52.74696,   0.36198,   1.33110,  13.35036,  -8.96510,  -3.91704,   5.85952,  -1.58216
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19868, 109.63653,  -3.83213,  -0.18030, 118.62169,  -4.22412,   0.34098, 134.98528,  -4.64509,   0.10668, 141.43529,  -4.82313,   5.21643, 131.44431,  -4.63429,  10.53150, 131.19560,  -4.09553,  15.28886, 107.37643,  -5.47229,  19.94238,  85.99121,  -1.23764,  -4.73400, 131.75303,  -4.96698, -10.05941, 131.47932,  -4.55752, -16.16844, 108.35613,  -9.01768, -22.51021,  89.29579,   0.64651,   6.47432,  91.84453,  -2.35253,   3.84462,  53.66142,   5.55107,   1.08160,  13.33588,  -1.23273,   1.88911,   5.84502,   7.78938,  -6.41895,  91.62517,  -3.41558,  -5.03744,  52.74691,   0.31363,   1.32161,  13.33599,  -8.96779,  -3.92919,   5.84522,  -1.58666
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19374, 109.63864,  -3.79240,  -0.17497, 118.62455,  -4.16684,   0.33804, 134.98873,  -4.57473,   0.09841, 141.43849,  -4.75475,   5.21548, 131.45057,  -4.55248,  10.52944, 131.20565,  -4.00112,  15.29420, 107.38928,  -5.40057,  19.97478,  86.00906,  -1.17048,  -4.73413, 131.75379,  -4.91344, -10.06054, 131.48221,  -4.51582, -16.25271, 108.38724,  -9.00744, -22.62287,  89.89408,   1.68533,   6.47155,  91.84209,  -2.33302,   3.81514,  53.65342,   5.53472,   1.07497,  13.32521,  -1.24250,   1.88154,   5.83436,   7.77970,  -6.41756,  91.62702,  -3.44617,  -5.01909,  52.74719,   0.26017,   1.30862,  13.32467,  -8.99337,  -3.93665,   5.83375,  -1.60847
