time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.41545, 109.61356,-453.15731,   3.94902, 118.39784,-451.98613,   8.45779, 131.94098,-443.95678,  10.08751, 137.34039,-440.81360,  12.13588, 127.30984,-445.11125,  16.57254, 124.47205,-444.18115,  19.31091, 100.29807,-444.20384,  18.28363,  78.52985,-439.51290,   3.06680, 131.17465,-446.53680,  -1.38979, 133.94416,-447.57174, -20.10578, 149.42370,-448.98275, -30.06116, 168.34682,-442.68064,   7.00449,  91.22175,-451.16850,  10.29704,  53.61461,-441.05935,  12.93005,  13.72141,-450.08170,  14.15822,   6.23487,-441.10356,  -5.74751,  92.39084,-453.02170, -11.88089,  54.38193,-446.31061, -13.57014,  13.71996,-451.16377, -15.64806,   6.22903,-442.34720
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.43654, 109.61026,-453.17667,   3.97630, 118.39633,-452.02721,   8.48085, 131.98124,-444.06635,  10.07765, 137.41888,-440.97256,  12.15680, 127.33979,-445.18569,  16.59409, 124.50961,-444.23564,  19.34015, 100.33739,-444.44549,  18.44540,  78.49753,-440.07113,   3.09488, 131.20539,-446.65400,  -1.35496, 133.97788,-447.70978, -19.88971, 149.68617,-448.97781, -28.98398, 168.90464,-442.28037,   6.99788,  91.21630,-451.14452,  10.32196,  53.59733,-441.08987,  13.06026,  13.72133,-450.15679,  14.29243,   6.23961,-441.17518,  -5.74677,  92.39721,-453.04028, -11.83399,  54.37901,-446.33983, -13.43074,  13.71796,-451.23197, -15.50968,   6.22720,-442.41551
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.46633, 109.60825,-453.15923,   4.01091, 118.39509,-452.02215,   8.49421, 132.04012,-444.15264,  10.06527, 137.51900,-441.11902,  12.17285, 127.38995,-445.22601,  16.60979, 124.57094,-444.24171,  19.36722, 100.40220,-444.62808,  18.59362,  78.49673,-440.57008,   3.11553, 131.24493,-446.74956,  -1.33489, 134.00942,-447.82372, -19.65837, 149.97551,-448.93254, -27.53627, 169.47878,-441.55202,   6.98821,  91.20565,-451.11719,  10.36143,  53.58627,-441.08043,  13.19377,  13.72880,-450.19979,  14.42229,   6.24455,-441.21980,  -5.74540,  92.40842,-453.07247, -11.79291,  54.38663,-446.35641, -13.31206,  13.72613,-451.27767, -15.38825,   6.23522,-442.46068
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.48867, 109.60540,-453.16793,   4.03169, 118.39544,-452.05372,   8.47760, 132.10722,-444.27961,  10.01060, 137.62844,-441.30382,  12.16305, 127.45085,-445.30147,  16.60130, 124.64736,-444.27948,  19.37542, 100.48335,-444.81399,  18.69086,  78.52340,-441.04473,   3.10897, 131.28733,-446.88963,  -1.33705, 134.04707,-447.99380, -19.47039, 150.24121,-448.90343, -25.77193, 169.93748,-440.58127,   6.97800,  91.20065,-451.07399,  10.36107,  53.57237,-441.07402,  13.27527,  13.73496,-450.25507,  14.50421,   6.25442,-441.27205,  -5.74141,  92.41421,-453.11325, -11.78239,  54.39208,-446.39326, -13.22336,  13.73107,-451.33384, -15.30300,   6.24025,-442.51759
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.49928, 109.60380,-453.17589,   4.03426, 118.39826,-452.08572,   8.43186, 132.18304,-444.41390,   9.92246, 137.74911,-441.50079,  12.12674, 127.52201,-445.37891,  16.56250, 124.73147,-444.31168,  19.35656, 100.57305,-444.97867,  18.74336,  78.57317,-441.43686,   3.07536, 131.33412,-447.03950,  -1.36704, 134.08348,-448.18344, -19.32472, 150.48408,-448.84501, -23.71875, 170.20307,-439.42351,   6.96935,  91.20042,-451.02938,  10.36363,  53.56332,-441.06645,  13.35304,  13.74410,-450.30207,  14.57817,   6.26061,-441.32098,  -5.73572,  92.41489,-453.15565, -11.78132,  54.39954,-446.40154, -13.15214,  13.74112,-451.38319, -15.23032,   6.25020,-442.56667
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.51908, 109.60180,-453.17406,   4.04824, 118.39978,-452.10425,   8.38872, 132.25888,-444.53449,   9.83939, 137.86912,-441.68668,  12.09588, 127.59624,-445.44295,  16.52670, 124.81702,-444.32680,  19.32779, 100.66248,-445.09672,  18.75726,  78.63425,-441.72816,   3.04502, 131.37746,-447.17541,  -1.39504, 134.11555,-448.35490, -19.17469, 150.71612,-448.80271, -21.35373, 170.17206,-438.14302,   6.95994,  91.19534,-450.99364,  10.36470,  53.55901,-441.03138,  13.40361,  13.75816,-450.32979,  14.63344,   6.27691,-441.34747,  -5.73183,  92.42052,-453.19189, -11.77594,  54.41142,-446.40136, -13.09451,  13.75440,-451.40842, -15.17173,   6.26349,-442.59167
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.52425, 109.60114,-453.17590,   4.04318, 118.40308,-452.12431,   8.33001, 132.32494,-444.63961,   9.74564, 137.97395,-441.85144,  12.04972, 127.66361,-445.50236,  16.48024, 124.90172,-444.34284,  19.24928, 100.74458,-445.14652,  18.70512,  78.69825,-441.89407,   2.99695, 131.41358,-447.29187,  -1.44127, 134.14140,-448.50169, -19.07653, 150.89876,-448.79103, -18.74649, 169.72911,-436.86542,   6.95445,  91.19562,-450.96605,  10.34652,  53.55615,-441.01129,  13.45069,  13.77006,-450.35121,  14.67627,   6.28976,-441.36752,  -5.72778,  92.42043,-453.21897, -11.78832,  54.42123,-446.38785, -13.05226,  13.76618,-451.42500, -15.13425,   6.27537,-442.60930
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.52467, 109.60082,-453.18041,   4.03399, 118.40667,-452.14794,   8.27701, 132.38686,-444.74747,   9.66118, 138.07074,-442.01490,  12.00747, 127.72685,-445.56992,  16.43598, 124.97709,-444.37444,  19.14705, 100.81203,-445.13645,  18.60262,  78.76016,-441.92174,   2.95196, 131.44752,-447.40604,  -1.48536, 134.16579,-448.64046, -19.06987, 150.97771,-448.83970, -15.96553, 168.73090,-435.72107,   6.95160,  91.19710,-450.94907,  10.34328,  53.55744,-440.99494,  13.47499,  13.78003,-450.36258,  14.70627,   6.29910,-441.38020,  -5.72505,  92.41904,-453.23470, -11.79261,  54.42740,-446.36777, -13.01968,  13.77530,-451.43763, -15.09874,   6.28440,-442.62131
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.51861, 109.60133,-453.18257,   4.02107, 118.41039,-452.16749,   8.24644, 132.43811,-444.84730,   9.61492, 138.14598,-442.15718,  11.98208, 127.77723,-445.64086,  16.40974, 125.03713,-444.42027,  19.02565, 100.85832,-445.07056,  18.44258,  78.81444,-441.80821,   2.92350, 131.47768,-447.50257,  -1.51594, 134.18801,-448.74671, -19.09090, 151.00993,-448.94418, -13.06202, 167.18903,-434.84452,   6.95202,  91.19995,-450.94484,  10.35348,  53.56321,-440.98302,  13.50310,  13.79057,-450.36494,  14.74074,   6.31314,-441.38052,  -5.72378,  92.41604,-453.23832, -11.78231,  54.43074,-446.32853, -12.97689,  13.78264,-451.43813, -15.05828,   6.29173,-442.62238
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.51167, 109.60100,-453.19989,   4.00928, 118.41319,-452.20508,   8.22739, 132.47763,-444.95145,   9.58863, 138.20109,-442.29095,  11.96718, 127.81728,-445.72840,  16.39471, 125.08275,-444.49496,  18.90271, 100.88850,-444.97363,  18.21216,  78.87066,-441.55993,   2.90266, 131.49978,-447.59675,  -1.54269, 134.20380,-448.83357, -19.06815, 151.07672,-449.07507, -10.17371, 165.22423,-434.32217,   6.95433,  91.20359,-450.94797,  10.37294,  53.56767,-440.98889,  13.53779,  13.79545,-450.36744,  14.77791,   6.31618,-441.38489,  -5.72415,  92.41250,-453.23036, -11.76844,  54.43051,-446.28997, -12.94246,  13.78721,-451.44233, -15.02276,   6.29627,-442.62634
