time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.38049, 109.56395,  -1.95040,   1.96504, 118.50902,  -1.22160,   2.29343, 134.78266,   0.58861,   2.06138, 141.23472,   0.50990,   7.21089, 131.32139,   0.20554,  12.22153, 133.16980,   0.48649,  30.69883, 148.36325,   4.91699,  17.62229, 161.98015,  16.77024,  -2.73589, 131.57398,  -0.25808,  -7.61303, 133.76032,  -0.44740, -25.42674, 149.84570,   3.53104, -15.28073, 158.50664,  21.39042,   6.22479,  91.14121,  -2.58991,   9.77104,  52.77213,   3.93464,  13.41695,  13.87598,  -8.45889,  13.86219,   6.38726,   0.59011,  -6.60948,  92.34871,  -3.70258,  -3.29665,  53.64364,   0.57256,   2.28494,  13.86178,  -7.55470,  -0.18342,   6.37086,   1.16063
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.31539, 109.52992,  -1.47017,   1.87198, 118.44621,  -0.43236,   2.18661, 134.62900,   2.06450,   1.95323, 141.06381,   1.58695,   7.10680, 131.19823,   1.48991,  12.03544, 133.23527,   1.89120,  31.51708, 147.79116,   2.57871,  16.63131, 160.59328,  13.13500,  -2.84428, 131.44783,   1.12815,  -7.67899, 133.72808,   1.29720, -25.90428, 149.83917,   1.70574, -14.03541, 159.01715,  18.19227,   6.24052,  91.16015,  -2.72236,   9.85531,  52.78546,   3.73122,  13.34225,  13.73584,  -8.21749,  13.77655,   6.24663,   0.83163,  -6.60708,  92.33925,  -3.70395,  -3.30516,  53.61029,   0.35792,   2.18574,  13.72472,  -7.30983,  -0.27989,   6.23391,   1.40637
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.23607, 109.47531,  -0.93987,   1.77064, 118.35135,   0.40820,   2.13184, 134.43128,   3.49386,   1.95273, 140.80969,   2.50738,   7.04072, 131.02539,   2.71202,  11.99402, 133.01243,   3.05633,  32.28163, 146.37280,   1.71692,  19.48674, 161.54663,  11.86390,  -2.91490, 131.28535,   2.52429,  -7.75984, 133.51873,   2.89985, -26.95074, 148.41954,   1.64663, -17.23542, 161.45083,  16.90144,   6.26118,  91.19489,  -2.90146,   9.94687,  52.79914,   3.38458,  13.31949,  13.61422,  -8.14672,  13.72555,   6.12337,   0.90236,  -6.60563,  92.31973,  -3.67263,  -3.36930,  53.55785,   0.11913,   2.11127,  13.61431,  -7.24834,  -0.36000,   6.12338,   1.46615
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.09529, 109.45157,  -0.69557,   1.61663, 118.31582,   0.73282,   2.19639, 134.40268,   3.74828,   2.15950, 140.70826,   2.35992,   7.05173, 130.95863,   2.81403,  12.08422, 132.76269,   2.96051,  33.48790, 144.32828,   2.94723,  26.65048, 163.69333,  11.61672,  -2.90246, 131.29038,   2.95968,  -7.75330, 133.44780,   3.60571, -28.38167, 146.34117,   3.24926, -24.23193, 164.56405,  15.39905,   6.29240,  91.26640,  -3.05421,   9.97231,  52.79593,   2.76073,  13.32507,  13.53184,  -8.50396,  13.72296,   6.04099,   0.54548,  -6.59762,  92.25483,  -3.58795,  -3.39428,  53.45935,  -0.12631,   2.05213,  13.53181,  -7.60502,  -0.42183,   6.04101,   1.10883
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.90953, 109.49963,  -0.95357,   1.40707, 118.39709,   0.26084,   2.23755, 134.57967,   2.63791,   2.32057, 140.85351,   1.11436,   7.02947, 131.04622,   1.71012,  12.10797, 132.72278,   1.71937,  33.73627, 143.46638,   4.66424,  36.05893, 164.04040,  12.92441,  -2.91322, 131.49896,   2.10377,  -7.74258, 133.62767,   2.96886, -28.72588, 145.51914,   6.16095, -33.20979, 165.48513,  15.00204,   6.32648,  91.34899,  -3.07114,   9.88427,  52.74192,   1.84504,  13.32801,  13.43808,  -9.25234,  13.71704,   5.94719,  -0.20254,  -6.57993,  92.15886,  -3.49913,  -3.33567,  53.32092,  -0.59678,   2.05481,  13.43797,  -8.34890,  -0.42236,   5.94717,   0.36403
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.74389, 109.56037,  -1.39813,   1.17200, 118.49908,  -0.50187,   1.95944, 134.78275,   1.05958,   2.06603, 141.05893,  -0.45285,   6.76010, 131.22069,   0.30204,  11.79400, 133.02665,   0.32414,  31.79784, 145.27879,   6.77488,  44.85454, 161.03066,  15.62455,  -3.18324, 131.66470,   0.68920,  -7.93898, 133.97068,   1.50646, -26.65410, 147.31977,   9.47147, -41.67137, 161.85837,  17.21883,   6.35287,  91.41383,  -2.98420,   9.74400,  52.66079,   0.76210,  13.22418,  13.31215, -10.16383,  13.62018,   5.82127,  -1.11433,  -6.56016,  92.07709,  -3.46218,  -3.27020,  53.18867,  -1.41256,   2.02304,  13.31217,  -9.26427,  -0.46318,   5.82131,  -0.55397
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.65944, 109.58730,  -1.64290,   1.03424, 118.54811,  -0.97173,   1.69469, 134.89042,  -0.12989,   1.72569, 141.17076,  -1.62842,   6.52662, 131.33343,  -0.68570,  11.51823, 133.23974,  -0.91340,  30.27793, 145.36004,   8.73299,  47.46951, 156.43328,  17.60702,  -3.42269, 131.72143,  -0.40646,  -8.20709, 134.05809,   0.09552, -25.50586, 147.53670,  10.62999, -41.22436, 159.77150,  20.63746,   6.36404,  91.44446,  -2.89523,   9.61187,  52.59434,  -0.16539,  12.90464,  13.18133, -10.91598,  13.39291,   5.55234,  -1.98717,  -6.54780,  92.03895,  -3.48294,  -3.07174,  53.11311,  -3.31093,   1.89520,  13.02188, -10.22655,  -0.56776,   5.53104,  -1.50963
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.65541, 109.60120,  -1.81206,   0.98639, 118.57647,  -1.34078,   1.40607, 134.94805,  -1.23487,   1.35757, 141.22348,  -2.75337,   6.29466, 131.44057,  -1.56332,  11.31573, 133.26518,  -1.81190,  30.69664, 143.35480,   8.88673,  46.63895, 154.29328,  19.98212,  -3.66204, 131.69529,  -1.43555,  -8.54187, 133.87911,  -1.29150, -25.44607, 145.70672,  11.60234, -40.85468, 156.42725,  23.62548,   6.36404,  91.44643,  -2.85576,   9.68065,  52.58029,  -0.45676,  12.74023,  13.23331, -11.51376,  13.25679,   5.39202,  -2.77242,  -6.54668,  92.03311,  -3.47528,  -3.20234,  53.09768,  -3.90213,   1.69724,  13.02141, -10.95121,  -0.70993,   5.37422,  -2.35530
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.70939, 109.61670,  -2.07739,   1.04409, 118.59914,  -1.77572,   1.37229, 134.97099,  -2.04162,   1.19448, 141.27053,  -3.44639,   6.28233, 131.48482,  -2.25779,  11.33115, 133.24644,  -2.34833,  31.93235, 142.15997,   7.03358,  43.02995, 155.81820,  20.71611,  -3.67626, 131.68568,  -2.20096,  -8.59860, 133.77622,  -2.14849, -26.04525, 144.38408,  11.07963, -39.97529, 155.98395,  24.05299,   6.35546,  91.42732,  -2.81327,   9.84733,  52.57820,  -0.38730,  12.77042,  13.43269, -12.17234,  13.26045,   5.54631,  -3.47013,  -6.55314,  92.04790,  -3.44383,  -3.30138,  53.10496,  -3.89967,   1.66643,  13.17455, -11.68980,  -0.73134,   5.53774,  -3.08205
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.78185, 109.62076,  -2.21535,   1.13782, 118.60402,  -1.96708,   1.43399, 134.97644,  -2.23508,   1.12037, 141.30553,  -3.47343,   6.35107, 131.49993,  -2.44666,  11.42506, 133.18874,  -2.51386,  32.53124, 143.06653,   4.47466,  37.40969, 158.37012,  19.93158,  -3.60795, 131.68118,  -2.39815,  -8.56368, 133.69193,  -2.38666, -27.08268, 144.57303,   9.03890, -35.59262, 159.12811,  23.62114,   6.34346,  91.39938,  -2.78351,   9.88830,  52.57330,  -0.08118,  12.82703,  13.68402, -12.68238,  13.27409,   5.86696,  -3.91555,  -6.56134,  92.07471,  -3.43514,  -3.21981,  53.13804,  -3.75694,   1.76646,  13.35998, -12.28020,  -0.67001,   5.86917,  -3.55581
