time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.09721, 109.65579,  -3.34152,  -0.18391, 118.64834,  -3.45871,  -0.44036, 135.02345,  -3.38262,  -0.36028, 141.47608,  -3.16710,   4.58712, 131.71716,  -3.06420,   9.89070, 131.46380,  -2.42398,  15.76220, 108.06257,  -5.55266,  21.79296,  86.89632,  -2.01216,  -5.30587, 131.56787,  -4.21464, -10.62851, 131.05286,  -4.29695, -15.63156, 107.76430,  -9.24747, -20.81445,  86.19259,  -7.07721,   6.33107,  91.80144,  -1.56038,   2.96842,  54.13969,   8.31980,   1.55964,  13.25058,   5.89101,   1.13777,   5.75972,  14.93936,  -6.30398,  91.66289,  -4.34446,  -4.61010,  53.12436,   1.92022,   2.80691,  13.25036,  -3.98361,  -2.92833,   5.75954,   3.02768
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.16900, 109.65564,  -3.31981,  -0.28505, 118.64794,  -3.43051,  -0.55451, 135.02290,  -3.36645,  -0.47275, 141.47602,  -3.16720,   4.47493, 131.72079,  -3.03588,   9.77582, 131.46276,  -2.37549,  15.76962, 108.08230,  -5.42656,  21.90366,  87.00261,  -1.56185,  -5.41567, 131.56290,  -4.20556, -10.73604, 131.02643,  -4.29700, -15.68806, 107.71691,  -9.19998, -20.81302,  86.14031,  -6.94260,   6.34039,  91.82839,  -1.56190,   2.97983,  54.08926,   8.01919,   1.51406,  13.19938,   5.63753,   1.09014,   5.70852,  14.68577,  -6.29329,  91.63598,  -4.34898,  -4.65354,  53.06516,   1.72859,   2.75620,  13.19943,  -4.23986,  -2.98012,   5.70858,   2.77052
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.21766, 109.65538,  -3.30283,  -0.35626, 118.64741,  -3.40886,  -0.64844, 135.02202,  -3.35546,  -0.56707, 141.47581,  -3.17876,   4.38524, 131.72708,  -3.01779,   9.68354, 131.47077,  -2.33637,  15.81152, 108.11649,  -5.32078,  22.04273,  87.11790,  -1.17995,  -5.50397, 131.55477,  -4.19720, -10.82221, 130.99933,  -4.29880, -15.72102, 107.67401,  -9.18001, -20.81349,  86.09923,  -6.83340,   6.35054,  91.84619,  -1.58101,   3.05272,  54.06103,   7.83913,   1.49357,  13.17785,   5.40250,   1.07062,   5.68697,  14.45078,  -6.28989,  91.61826,  -4.33460,  -4.67093,  53.02539,   1.60708,   2.74062,  13.17792,  -4.47989,  -2.99567,   5.68708,   2.53052
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.24708, 109.65452,  -3.32410,  -0.40234, 118.64619,  -3.43805,  -0.72408, 135.02024,  -3.38384,  -0.64376, 141.47432,  -3.21787,   4.31517, 131.73435,  -3.04119,   9.61173, 131.48430,  -2.34404,  15.86862, 108.15479,  -5.25377,  22.18888,  87.22822,  -0.88937,  -5.57248, 131.54430,  -4.23084, -10.88896, 130.97352,  -4.33947, -15.74783, 107.64075,  -9.22504, -20.82737,  86.07680,  -6.75416,   6.35768,  91.85973,  -1.59325,   3.09768,  54.03795,   7.69209,   1.48048,  13.16352,   5.14876,   1.06036,   5.67267,  14.19720,  -6.28882,  91.60495,  -4.31643,  -4.66791,  52.99105,   1.48647,   2.72948,  13.16382,  -4.74837,  -3.01148,   5.67297,   2.25821
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.27800, 109.65400,  -3.32419,  -0.44943, 118.64537,  -3.43867,  -0.79546, 135.01893,  -3.38745,  -0.71664, 141.47349,  -3.23991,   4.24862, 131.74059,  -3.04363,   9.54458, 131.49955,  -2.33877,  15.91474, 108.19201,  -5.17784,  22.32247,  87.33459,  -0.61442,  -5.63861, 131.53566,  -4.23438, -10.95358, 130.95172,  -4.34649, -15.80229, 107.62007,  -9.24749, -20.88617,  86.07374,  -6.63589,   6.36466,  91.87201,  -1.60694,   3.10923,  54.01679,   7.54275,   1.44487,  13.14977,   4.91220,   1.02453,   5.65892,  13.96063,  -6.28719,  91.59282,  -4.30272,  -4.67347,  52.96085,   1.38066,   2.69693,  13.15011,  -4.99001,  -3.03915,   5.65928,   2.02057
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.30189, 109.65386,  -3.30938,  -0.48626, 118.64501,  -3.42093,  -0.85425, 135.01813,  -3.38460,  -0.77882, 141.47319,  -3.25922,   4.19430, 131.74687,  -3.03874,   9.48950, 131.51396,  -2.32557,  15.95280, 108.22872,  -5.13695,  22.43739,  87.43924,  -0.37635,  -5.69287, 131.52759,  -4.22743, -11.00649, 130.93098,  -4.33693, -15.85807, 107.60744,  -9.27352, -20.93516,  86.08085,  -6.49145,   6.37067,  91.88015,  -1.62250,   3.14964,  53.99966,   7.43428,   1.44020,  13.14213,   4.68777,   1.02111,   5.65125,  13.73624,  -6.28654,  91.58471,  -4.29128,  -4.68303,  52.93227,   1.25411,   2.69636,  13.14134,  -5.22890,  -3.03856,   5.65054,   1.78268
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.31978, 109.65371,  -3.29871,  -0.51243, 118.64471,  -3.40841,  -0.88953, 135.01765,  -3.38451,  -0.81966, 141.47312,  -3.27864,   4.16080, 131.74946,  -3.03573,   9.45555, 131.52405,  -2.31678,  15.98683, 108.25788,  -5.12897,  22.52302,  87.52828,  -0.18152,  -5.72614, 131.52378,  -4.22511, -11.03874, 130.91773,  -4.33226, -15.90306, 107.59816,  -9.27507, -20.98390,  86.09289,  -6.33918,   6.37474,  91.88635,  -1.63221,   3.18601,  53.98319,   7.34081,   1.45947,  13.13626,   4.45111,   1.03703,   5.64538,  13.49942,  -6.28563,  91.57856,  -4.28455,  -4.70089,  52.90423,   1.11164,   2.71782,  13.13598,  -5.46500,  -3.02038,   5.64510,   1.54381
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.32778, 109.65263,  -3.34359,  -0.52503, 118.64327,  -3.47279,  -0.90965, 135.01605,  -3.46208,  -0.84071, 141.47179,  -3.37312,   4.14209, 131.75046,  -3.10943,   9.43604, 131.53017,  -2.38305,  16.01883, 108.28170,  -5.22141,  22.58359,  87.60577,  -0.09055,  -5.74444, 131.51929,  -4.30110, -11.05625, 130.90599,  -4.40653, -15.93300, 107.58544,  -9.33243, -21.03887,  86.11237,  -6.21022,   6.37452,  91.89360,  -1.62043,   3.17702,  53.98140,   7.31117,   1.47073,  13.15158,   4.17792,   1.04691,   5.66074,  13.22619,  -6.28318,  91.57160,  -4.28382,  -4.73172,  52.88203,   1.01186,   2.73685,  13.15196,  -5.73681,  -2.99986,   5.66104,   1.27317
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.32400, 109.65129,  -3.40328,  -0.52021, 118.64149,  -3.56123,  -0.90614, 135.01423,  -3.58319,  -0.83732, 141.47022,  -3.51487,   4.14541, 131.74975,  -3.21772,   9.43809, 131.53263,  -2.48125,  16.04565, 108.29419,  -5.34409,  22.62403,  87.66389,  -0.04967,  -5.73959, 131.51543,  -4.42145, -11.05118, 130.90072,  -4.52938, -15.94626, 107.56871,  -9.38234, -21.07772,  86.13302,  -6.05213,   6.37249,  91.89748,  -1.60543,   3.18181,  53.98550,   7.32956,   1.49322,  13.17863,   3.90162,   1.06746,   5.68776,  12.94978,  -6.28220,  91.56810,  -4.28219,  -4.76484,  52.86571,   0.92895,   2.74878,  13.17851,  -6.01910,  -2.98843,   5.68776,   0.99065
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.32852, 109.65005,  -3.44591,  -0.52524, 118.63978,  -3.62822,  -0.90432, 135.01255,  -3.69476,  -0.83420, 141.46875,  -3.65155,   4.14539, 131.74699,  -3.31399,   9.43643, 131.52688,  -2.56663,  16.03113, 108.28749,  -5.45128,  22.61590,  87.71315,   0.04900,  -5.73814, 131.51351,  -4.52985, -11.04895, 130.89228,  -4.63894, -15.97349, 107.54071,  -9.36637, -21.13788,  86.14560,  -5.83235,   6.37392,  91.90300,  -1.60398,   3.14835,  53.98299,   7.28429,   1.50769,  13.19389,   3.62910,   1.07112,   5.70302,  12.67675,  -6.28238,  91.56293,  -4.27176,  -4.77784,  52.84527,   0.82853,   2.76764,  13.19402,  -6.28817,  -2.96932,   5.70317,   0.72168
