time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.00021, 109.72702,   0.00024,  -0.12267, 118.65602,  -1.06981,  -0.22670, 134.92427,  -2.95372,  -0.21437, 141.33685,  -3.70734,   4.73782, 131.67020,  -1.91781,  10.00881, 131.14798,  -1.17886,  15.39284, 107.42300,  -1.31364,  23.26306,  87.53046,   4.95230,  -5.06116, 131.40310,  -3.68579, -10.15669, 130.35088,  -4.92310, -13.56243, 106.48322,  -8.18367, -21.60348,  86.37364,  -2.90569,   6.31372,  91.82172,   1.67748,   5.87221,  52.75565,   2.66714,   5.73686,  11.77696,   1.93780,   5.97395,   4.30030,  11.00460,  -6.22075,  91.77634,  -1.53182,  -3.24156,  52.82666,  -2.70629,  -0.16795,  12.21462,  -7.29082,  -5.51524,   4.73799,   0.03516
   0.03333,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.00265, 109.72697,  -0.01241,  -0.13311, 118.65567,  -1.08341,  -0.25413, 134.92503,  -2.95668,  -0.24425, 141.33706,  -3.71494,   4.71606, 131.67351,  -1.94011,   9.99058, 131.15510,  -1.22402,  15.41816, 107.44049,  -1.42183,  23.36767,  87.57433,   4.82768,  -5.08885, 131.40122,  -3.67414, -10.18607, 130.34192,  -4.89833, -13.62422, 106.49846,  -8.29892, -21.72172,  86.40391,  -3.05008,   6.31887,  91.82196,   1.65764,   5.88027,  52.75252,   2.50589,   5.73877,  11.77622,   1.65410,   5.97608,   4.30256,  10.72338,  -6.22658,  91.77612,  -1.50846,  -3.24337,  52.83146,  -2.82986,  -0.17305,  12.23674,  -7.56748,  -5.50182,   4.76386,  -0.22420
   0.06667,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.00614, 109.72687,  -0.03243,  -0.14808, 118.65590,  -1.09817,  -0.29406, 134.92866,  -2.93986,  -0.28841, 141.34033,  -3.70122,   4.68358, 131.68063,  -1.94887,   9.96175, 131.16553,  -1.25776,  15.47204, 107.47099,  -1.55147,  23.54695,  87.65289,   4.68987,  -5.12771, 131.40094,  -3.64521, -10.22612, 130.32977,  -4.85406, -13.73832, 106.52496,  -8.44441, -21.92224,  86.45595,  -3.23199,   6.32383,  91.82247,   1.63871,   5.88894,  52.74937,   2.29878,   5.73238,  11.77578,   1.32743,   5.97377,   4.30369,  10.39788,  -6.23250,  91.77563,  -1.48395,  -3.25394,  52.83669,  -2.97380,  -0.19816,  12.26180,  -7.88740,  -5.50802,   4.78911,  -0.53024
   0.10000,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.00964, 109.72675,  -0.05047,  -0.16706, 118.65787,  -1.09503,  -0.34555, 134.93818,  -2.86576,  -0.34567, 141.35025,  -3.62380,   4.64118, 131.69356,  -1.90996,   9.92291, 131.18140,  -1.24434,  15.57764, 107.52319,  -1.68464,  23.83793,  87.77343,   4.53069,  -5.17680, 131.40612,  -3.56581, -10.27636, 130.32033,  -4.75662, -13.92772, 106.57825,  -8.61367, -22.24507,  86.54531,  -3.47423,   6.32884,  91.82273,   1.61894,   5.89778,  52.74644,   2.05482,   5.71648,  11.77555,   0.97951,   5.96676,   4.30332,  10.04961,  -6.23849,  91.77541,  -1.45915,  -3.27290,  52.84269,  -3.12678,  -0.24197,  12.28942,  -8.23063,  -5.53226,   4.81079,  -0.86541
   0.13333,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.01295, 109.72668,  -0.06093,  -0.19054, 118.66224,  -1.06166,  -0.40995, 134.95495,  -2.70955,  -0.41852, 141.36852,  -3.45474,   4.58758, 131.71354,  -1.80042,   9.87249, 131.20250,  -1.15963,  15.76734, 107.60744,  -1.79586,  24.28536,  87.94313,   4.34201,  -5.23714, 131.41828,  -3.41442, -10.33760, 130.31549,  -4.58557, -14.20937, 106.66987,  -8.80332, -22.72736,  86.68819,  -3.79463,   6.33410,  91.82227,   1.59686,   5.90752,  52.74390,   1.77445,   5.69160,  11.77532,   0.62046,   5.95589,   4.30196,   9.68923,  -6.24467,  91.77589,  -1.43415,  -3.30149,  52.84970,  -3.28389,  -0.30590,  12.31921,  -8.58572,  -5.57561,   4.82640,  -1.22016
   0.16667,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.01592, 109.72670,  -0.05868,  -0.21702, 118.66913,  -0.98918,  -0.48345, 134.97827,  -2.45784,  -0.50317, 141.39467,  -3.17799,   4.52598, 131.73953,  -1.60651,   9.81329, 131.22460,  -0.98906,  16.06593, 107.72967,  -1.86839,  24.91917,  88.16453,   4.10998,  -5.30513, 131.43756,  -3.17978, -10.40568, 130.31548,  -4.33213, -14.58656, 106.81359,  -9.03071, -23.38887,  86.90574,  -4.22364,   6.33977,  91.82067,   1.57110,   5.91792,  52.74204,   1.44821,   5.65514,  11.77494,   0.25200,   5.93736,   4.29955,   9.31856,  -6.25117,  91.77748,  -1.40902,  -3.33948,  52.85837,  -3.44801,  -0.38861,  12.35097,  -8.94766,  -5.63413,   4.83567,  -1.58775
   0.20000,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.01892, 109.72685,  -0.03908,  -0.24364, 118.67840,  -0.86848,  -0.56099, 135.00644,  -2.09750,  -0.59370, 141.42730,  -2.77624,   4.46081, 131.76969,  -1.31419,   9.74942, 131.24434,  -0.71692,  16.47894, 107.89518,  -1.90486,  25.74378,  88.44361,   3.81481,  -5.37588, 131.46311,  -2.85129, -10.47526, 130.31987,  -3.98786, -15.05640, 107.03037,  -9.32713, -24.22855,  87.22180,  -4.81014,   6.34560,  91.81743,   1.54176,   5.94075,  52.74198,   1.01433,   5.61075,  11.77348,  -0.11532,   5.91356,   4.29473,   8.94780,  -6.25784,  91.78068,  -1.38514,  -3.38552,  52.86904,  -3.61372,  -0.48637,  12.38388,  -9.30140,  -5.69963,   4.83861,  -1.94924
   0.23333,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.02146, 109.72707,   0.00254,  -0.27040, 118.68942,  -0.68895,  -0.64419, 135.03658,  -1.60903,  -0.69132, 141.46361,  -2.22574,   4.39062, 131.80205,  -0.90394,   9.67949, 131.26054,  -0.32369,  16.98631, 108.10966,  -1.91366,  26.73151,  88.79096,   3.44678,  -5.45031, 131.49240,  -2.41306, -10.54642, 130.32509,  -3.53979, -15.59434, 107.32671,  -9.66256, -25.21007,  87.64226,  -5.54296,   6.35115,  91.81241,   1.51033,   5.96327,  52.74507,   0.54893,   5.55656,  11.77410,  -0.45977,   5.88123,   4.28902,   8.59737,  -6.26410,  91.78563,  -1.36531,  -3.44033,  52.88081,  -3.76811,  -0.60052,  12.41649,  -9.63134,  -5.76981,   4.83012,  -2.29043
   0.26667,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,   0.01665, 109.72717,   0.08102,  -0.30455, 118.70064,  -0.42971,  -0.74094, 135.06350,  -0.96120,  -0.80278, 141.49797,  -1.49316,   4.30750, 131.83206,  -0.34503,   9.59618, 131.27064,   0.21781,  17.54726, 108.37823,  -1.92659,  27.83946,  89.21992,   2.96681,  -5.53593, 131.52137,  -1.83749, -10.62561, 130.32755,  -2.96551, -16.15653, 107.70403,  -9.99974, -26.28685,  88.17398,  -6.41299,   6.35697,  91.80719,   1.47669,   5.93037,  52.74357,   0.38869,   5.48304,  11.77650,  -0.75268,   5.83061,   4.27813,   8.29261,  -6.26857,  91.79083,  -1.35353,  -3.50911,  52.89048,  -3.89920,  -0.74460,  12.44302,  -9.91281,  -5.85709,   4.79861,  -2.59235
   0.30000,   0.00000,   0.00000,   0.00000,   0.04083,  93.99150,   0.06395,  -0.00589, 109.72640,   0.21607,  -0.35735, 118.70871,  -0.06966,  -0.86093, 135.07816,  -0.12934,  -0.93650, 141.52050,  -0.55331,   4.20145, 131.85105,   0.38706,   9.49001, 131.27012,   0.93085,  18.13586, 108.72357,  -2.03281,  29.07346,  89.78145,   2.26611,  -5.64272, 131.54309,  -1.10107, -10.72367, 130.32643,  -2.24397, -16.70399, 108.20193, -10.40717, -27.42690,  88.86998,  -7.54263,   6.36430,  91.80439,   1.43903,   5.88676,  52.74414,   0.25549,   5.38600,  11.78061,  -0.98606,   5.75826,   4.25736,   8.03757,  -6.26963,  91.79384,  -1.35352,  -3.59303,  52.89520,  -4.01136,  -0.92536,  12.45864, -10.14089,  -5.96815,   4.73767,  -2.85251
