time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.59973, 109.16653,-448.09680,   1.04425, 117.42548,-444.56421,   3.72612, 129.88662,-434.28105,   4.78343, 135.03057,-430.52457,   8.09107, 126.69476,-436.93957,  13.26579, 125.39857,-437.31937,  17.13903, 101.93026,-442.42990,  15.11307,  92.64868,-422.26400,  -1.72529, 128.23636,-436.24707,  -7.06879, 128.03054,-436.16218, -17.92618, 120.07559,-456.42868, -26.06272, 102.09604,-466.79418,   7.33523,  92.08162,-453.19702,  10.98043,  54.44823,-443.30899,   7.40938,  25.50200,-472.10424,   8.35948,  18.01112,-463.09604,  -5.57226,  91.65554,-452.40336, -13.80928,  59.34711,-432.01585,  -6.73023,  41.15223,-468.05244,  -7.28350,  29.93701,-471.52756
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.01422, 109.10474,-447.87212,   1.49582, 117.36278,-444.34226,   3.36387, 130.22353,-434.37594,   4.13636, 135.52948,-430.77880,   7.92658, 126.97843,-436.60294,  13.16945, 126.05986,-436.08275,  17.11521, 102.06238,-435.42489,  10.57910, 101.09500,-414.13502,  -1.92516, 128.44741,-436.65148,  -7.25928, 128.60902,-437.00309, -17.36784, 125.82590,-458.95682, -26.05503, 109.55729,-471.47784,   7.25536,  92.00381,-453.51832,  11.26581,  53.16375,-451.87561,   7.61355,  24.85628,-481.28906,   8.54354,  17.05162,-472.54915,  -5.60790,  91.75057,-452.14467, -12.62783,  62.55705,-427.12881,  -6.59088,  38.01550,-459.39444,  -7.58645,  26.30377,-459.48199
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.73266, 108.91829,-447.34701,   2.32394, 117.13203,-443.73148,   3.26638, 130.50398,-434.32305,   3.69401, 135.94449,-430.87236,   8.01070, 127.15026,-435.92071,  13.14847, 126.72858,-434.49675,  18.20264, 103.38808,-429.85379,   8.07309, 108.10013,-410.56379,  -1.78339, 128.60455,-437.00606,  -7.04481, 129.24851,-437.71684, -15.40571, 130.17568,-460.54514, -24.60634, 114.53040,-473.48672,   7.15066,  91.75896,-453.62998,  10.40371,  53.36423,-460.15647,   8.25078,  24.83132,-489.49997,   8.79972,  15.58877,-482.25858,  -5.70340,  92.04738,-452.17934, -11.05963,  64.54382,-424.93601,  -6.89180,  33.18699,-450.99713,  -8.01871,  22.12281,-447.19219
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.43004, 108.51069,-446.38706,   3.09460, 116.59000,-442.49215,   3.09503, 130.35411,-433.61718,   3.11660, 135.92168,-430.34748,   7.98305, 126.97712,-434.62303,  12.93034, 126.95888,-432.59175,  19.91193, 104.80533,-425.35585,   7.15462, 112.61188,-408.82636,  -1.67426, 128.29982,-436.67336,  -6.82122, 129.34902,-437.67858, -12.85719, 132.67463,-461.01102, -22.44408, 116.68776,-473.23487,   7.04823,  91.52125,-453.68804,  10.20607,  54.22137,-464.91655,   8.90323,  25.82537,-494.44236,   9.12721,  14.62191,-490.89329,  -5.79531,  92.39867,-452.38879,  -9.64928,  65.10592,-424.68343,  -7.13304,  27.97474,-441.85164,  -8.48572,  18.80683,-434.62093
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.48100, 108.25527,-445.80057,   3.00721, 116.24851,-441.71176,   2.22077, 130.15248,-433.09335,   1.80651, 135.73862,-429.88201,   7.20007, 126.80914,-433.67402,  11.97205, 127.10455,-431.27756,  20.92838, 105.88631,-423.43849,   6.28158, 114.28811,-408.88527,  -2.28767, 128.00156,-436.46293,  -7.31311, 129.33369,-437.71709, -11.01102, 133.58272,-461.38492, -20.95518, 116.72295,-472.05136,   7.04866,  91.48993,-453.63212,  11.34689,  55.19713,-467.47736,  10.31120,  26.93677,-497.14354,   9.49508,  15.25507,-498.16110,  -5.80994,  92.50117,-452.60814,  -9.04667,  64.38234,-425.66025,  -7.55053,  23.98759,-432.42993,  -8.91361,  17.51461,-422.71365
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.80974, 108.55245,-446.35596,   1.93579, 116.67216,-442.49052,   0.29481, 130.57884,-433.99773,  -0.66436, 136.01843,-430.65408,   5.37742, 127.35261,-434.25671,  10.02023, 127.89212,-431.65762,  20.96069, 107.16899,-425.12012,   5.07506, 114.15049,-411.12653,  -3.94610, 128.31193,-437.62849,  -8.86908, 129.75019,-439.14444, -10.58321, 133.85196,-463.06374, -20.85335, 115.81853,-471.20196,   7.17001,  91.60618,-453.23815,  11.36133,  55.99026,-468.77108,  11.59541,  30.56346,-500.91491,   9.90091,  19.52692,-504.58738,  -5.74423,  92.30210,-452.84734,  -9.62927,  63.16489,-427.09344,  -8.68788,  22.22989,-425.29278,  -9.76531,  18.41258,-414.22793
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.21450, 108.93367,-447.32760,   0.98454, 117.21208,-443.82015,  -1.48744, 131.01870,-435.36542,  -3.04433, 136.22461,-431.87774,   3.71814, 127.98479,-435.44228,   8.32457, 128.60073,-432.79588,  21.07628, 108.21315,-429.10517,   4.71955, 112.23846,-414.50484,  -5.50353, 128.60805,-439.15571, -10.36959, 129.83987,-441.00139, -10.76506, 132.76786,-465.15021, -21.10389, 113.64706,-470.09132,   7.26346,  91.74993,-452.93139,  10.53122,  56.02796,-468.44251,  10.89636,  36.50365,-504.47681,   9.98132,  26.21292,-510.08281,  -5.67180,  92.05212,-452.88335, -10.77417,  62.53227,-427.78597,  -9.41113,  21.89203,-422.65606, -10.54457,  19.40501,-411.22393
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.92696, 109.20807,-448.24587,   0.48001, 117.59159,-445.02035,  -2.67340, 131.11175,-436.33259,  -4.79654, 136.00909,-432.69974,   2.67588, 128.34074,-436.45609,   7.38415, 128.87606,-433.97665,  21.34998, 108.96196,-434.49135,   5.72407, 108.13874,-418.61468,  -6.56464, 128.57095,-440.16784, -11.38035, 129.30082,-442.37662, -11.64491, 129.50838,-466.70319, -21.68884, 109.65364,-468.05215,   7.30487,  91.81347,-452.72059,  10.86567,  55.13929,-465.74588,  10.26548,  43.61053,-505.07183,  10.18752,  34.62084,-512.64434,  -5.63309,  91.91212,-452.83826, -11.39641,  63.03020,-427.14871,  -8.06540,  22.22810,-425.17486,  -9.99898,  19.18151,-413.98812
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.11180, 109.27960,-448.53898,   0.62944, 117.66453,-445.32225,  -3.06559, 130.76619,-436.21679,  -5.51797, 135.29654,-432.32437,   2.43544, 128.33217,-436.56712,   7.35313, 128.73635,-434.50433,  21.63996, 109.76154,-439.76965,   9.07565, 101.46164,-423.33295,  -6.91333, 128.07856,-439.99543, -11.69222, 128.04309,-442.39614, -12.83361, 124.07162,-466.37155, -22.13693, 103.91873,-464.31722,   7.27825,  91.73003,-452.69360,  12.59642,  53.70983,-460.00892,  10.00000,  49.30329,-500.67394,  10.19421,  42.98346,-510.58281,  -5.65798,  91.97562,-452.78356, -11.14526,  64.09248,-425.95532,  -5.17058,  23.77461,-430.26528,  -8.42751,  17.18236,-421.09476
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.49584, 109.47411,-449.53283,   1.06734, 117.96280,-446.59249,  -3.04272, 130.65335,-437.09125,  -5.34319, 135.11233,-433.02744,   2.57716, 128.56855,-437.70705,   7.68720, 128.92927,-436.17100,  21.53074, 111.30282,-445.63383,  16.06498,  94.04494,-432.62589,  -6.87080, 127.79989,-440.76686, -11.54375, 126.72057,-443.13352, -14.69610, 117.73342,-465.52078, -22.58299,  97.58626,-460.15423,   7.21783,  91.53079,-452.46018,  14.89698,  53.21850,-451.73136,  10.08051,  54.18877,-492.42120,   9.70140,  49.56155,-503.21975,  -5.70457,  92.12066,-452.74004, -12.49181,  64.13880,-426.31500,  -5.54031,  26.07200,-439.82049,  -8.71778,  18.68398,-431.24818
