time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.38278, 108.18162,-445.46091,   1.52217, 115.90769,-440.85922,   0.99201, 128.21632,-430.06884,   0.84421, 133.42516,-426.25630,   6.08248, 125.68623,-432.06740,  11.35006, 125.31221,-431.22193,  19.36328, 102.64932,-427.47189,   7.28764, 105.18341,-408.90653,  -3.83980, 125.98129,-432.89103,  -9.13049, 126.00895,-433.67226, -18.37787, 124.50691,-456.12499, -28.35567, 113.37693,-472.66216,   7.23427,  91.90241,-453.46220,   9.46756,  53.12081,-457.74383,   9.02865,  30.31641,-491.79629,   8.69910,  20.25406,-485.72965,  -5.68952,  92.10921,-452.87272,  -6.28422,  58.45619,-433.01185,  -5.64170,  49.68378,-473.04227,  -6.40461,  39.58146,-479.00252
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.16676, 108.06026,-445.31634,   2.52952, 115.80215,-440.75360,   1.56344, 128.54312,-430.50907,   1.28970, 133.80494,-426.77711,   6.72427, 125.88654,-432.12680,  11.93969, 125.72134,-430.95458,  20.05677, 103.42991,-425.56145,   7.11112, 109.66923,-408.52043,  -3.13555, 126.24057,-433.49642,  -8.39568, 126.62055,-434.38473, -16.48332, 128.16336,-457.27807, -26.66602, 117.11397,-473.74424,   7.10647,  91.62738,-453.61291,   9.25497,  54.60140,-465.93336,   9.58618,  29.40731,-498.25906,   9.20205,  18.29094,-494.45874,  -5.78018,  92.41806,-452.76229,  -5.25103,  61.14320,-429.33289,  -4.11000,  46.19929,-467.47972,  -6.14809,  34.98018,-470.33302
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.71379, 107.70568,-444.75218,   3.20395, 115.34319,-440.02827,   1.81801, 128.33146,-430.14901,   1.40496, 133.63266,-426.48624,   7.03877, 125.62969,-431.47290,  12.20444, 125.59128,-430.08855,  20.50149, 103.36495,-424.70061,   7.08954, 111.41597,-408.81930,  -2.75041, 125.96268,-433.28348,  -7.98399, 126.59237,-434.18657, -14.54981, 129.46486,-457.43596, -24.42683, 117.43534,-473.39361,   7.00623,  91.51373,-453.84443,   9.56884,  56.71362,-471.44323,  10.56924,  27.80226,-500.47658,   9.74701,  16.11778,-501.45659,  -5.83238,  92.63052,-452.68799,  -4.65196,  62.66861,-427.62358,  -3.33757,  39.24508,-461.23033,  -4.88124,  27.62028,-460.42748
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.41836, 107.78932,-444.83877,   2.71611, 115.45708,-440.14794,   0.87351, 128.42664,-430.31884,   0.27473, 133.71754,-426.66683,   6.16039, 125.77032,-431.45964,  11.27471, 125.76518,-429.89576,  19.76876, 103.29270,-426.05912,   6.00388, 111.55192,-410.59209,  -3.56172, 126.02106,-433.61254,  -8.78572, 126.70348,-434.53262, -14.09485, 129.55275,-458.10358, -23.42701, 115.64914,-472.81790,   7.06110,  91.60009,-453.76218,  10.52502,  59.52841,-475.82438,  13.46164,  28.17819,-502.06068,  10.79933,  17.46682,-506.10323,  -5.80492,  92.52085,-452.74610,  -4.83308,  62.72140,-427.47987,  -3.31958,  31.44960,-453.92958,  -3.55227,  20.55734,-449.51731
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.13390, 107.97903,-445.14720,   2.26477, 115.71294,-440.55844,   0.06338, 128.59937,-430.69387,  -0.65327, 133.84658,-427.00030,   5.39899, 125.99148,-431.71306,  10.45266, 125.95659,-429.96341,  19.44480, 103.36278,-429.22737,   5.37682, 109.89314,-413.21607,  -4.26488, 126.18298,-434.11933,  -9.47022, 126.69596,-435.23456, -14.49425, 128.24314,-458.98873, -23.11075, 111.85007,-471.39576,   7.11290,  91.64495,-453.61364,  10.79401,  59.92041,-476.13775,  13.34628,  32.48609,-506.47991,  11.67059,  21.96855,-511.45354,  -5.77745,  92.42312,-452.80870,  -6.05966,  61.28716,-429.19079,  -4.14252,  24.16028,-446.44542,  -3.10424,  15.27635,-438.81906
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.76965, 108.15433,-445.44542,   1.69021, 115.95179,-440.96429,  -0.92612, 128.76438,-431.10487,  -1.69206, 134.01992,-427.43309,   4.47597, 126.26536,-432.04340,   9.50551, 126.16283,-430.22810,  19.29756, 104.24224,-434.16313,   5.49668, 105.67594,-416.71619,  -5.14941, 126.27253,-434.60645, -10.32565, 126.31918,-435.95064, -15.55387, 124.83795,-459.66491, -23.25111, 106.13304,-469.03455,   7.17449,  91.74200,-453.48882,   9.51958,  58.23545,-473.46742,  11.33115,  38.54348,-509.36655,  11.06815,  29.28121,-516.59875,  -5.73754,  92.27723,-452.85042,  -7.42417,  59.24840,-432.02770,  -4.20679,  19.23327,-440.28853,  -4.12819,  12.46867,-430.67616
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.66791, 108.43746,-446.05768,   1.45609, 116.32678,-441.74479,  -1.67694, 128.82355,-431.63388,  -2.50919, 134.07716,-427.97379,   3.81724, 126.54185,-432.59112,   8.86530, 126.45605,-430.82709,  19.54349, 106.45832,-439.65590,   7.58470,  99.17811,-422.30939,  -5.78787, 126.25594,-435.21357, -10.91781, 125.65860,-436.60259, -16.53353, 119.93220,-459.57142, -23.12280,  99.23799,-464.59558,   7.19324,  91.65097,-453.19613,   7.47203,  55.52375,-468.09843,   9.01849,  46.11669,-507.95968,   8.79759,  39.44027,-517.63129,  -5.72794,  92.28936,-452.97248,  -8.59282,  58.27047,-433.95034,  -3.25897,  18.06889,-439.88212,  -5.39957,  11.34157,-430.48400
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.87879, 108.71129,-446.77939,   1.64714, 116.73276,-442.71867,  -1.91298, 129.05708,-432.53766,  -2.80504, 134.34563,-428.94257,   3.66358, 127.01506,-433.55784,   8.79057, 127.07919,-432.03734,  20.62250, 109.59457,-444.12760,  12.99652,  92.73646,-431.69522,  -5.94703, 126.32550,-436.08329, -10.98948, 125.11073,-437.38730, -17.36031, 114.26120,-458.21025, -22.29935,  92.56097,-456.93864,   7.14617,  91.39475,-452.75143,   6.87229,  52.87468,-459.34398,   7.89972,  53.31726,-500.31411,   6.06724,  51.16817,-511.72406,  -5.73964,  92.46927,-453.21607,  -9.96832,  58.25609,-434.80655,  -1.78844,  19.70144,-446.05072,  -4.56785,  11.48057,-438.12254
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.30366, 108.89398,-447.41013,   2.14853, 117.06490,-443.65524,  -1.68932, 129.54142,-433.76468,  -2.65448, 134.88589,-430.27263,   3.94052, 127.67498,-434.82760,   9.14306, 127.90061,-433.60908,  22.05891, 112.66201,-447.49600,  21.92770,  90.49711,-445.12634,  -5.67986, 126.56323,-437.15769, -10.59170, 124.78032,-438.29679, -17.87636, 108.52635,-454.86897, -19.88303,  88.79992,-444.68308,   7.03453,  91.09104,-452.30374,   7.11254,  52.25868,-447.90212,   7.18883,  58.81607,-488.35948,   4.75398,  60.43525,-499.74427,  -5.74639,  92.72207,-453.48799,  -9.20620,  57.25149,-437.45048,   0.08424,  22.03668,-456.24962,  -3.33512,  14.54578,-447.86165
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.52246, 109.07348,-448.08826,   2.43160, 117.38941,-444.66419,  -1.31407, 130.07919,-435.01249,  -2.32654, 135.49683,-431.64895,   4.30901, 128.23032,-436.13996,   9.56252, 128.46364,-435.16619,  23.26824, 116.12207,-451.03187,  31.33286,  97.05172,-459.29013,  -5.34573, 126.98640,-438.25083, -10.22748, 125.01084,-439.18257, -17.62481, 103.54479,-447.92234, -14.91417,  92.15154,-428.95508,   6.91434,  90.88625,-451.72273,   6.59591,  55.96433,-434.18163,   7.18064,  61.75574,-474.75158,   4.97530,  64.59224,-485.94329,  -5.68717,  92.87683,-453.88004,  -8.66991,  56.55443,-439.76904,   0.78310,  25.77504,-465.12791,  -2.70056,  18.28423,-456.76637
