time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.80854, 109.68126,-453.32358,   0.71339, 118.66784,-453.66911,   0.27013, 135.03427,-453.26964,   0.19503, 141.48457,-453.54752,   5.30518, 131.77165,-452.71093,  10.43337, 131.03548,-451.38362,  16.01639, 107.79459,-446.84801,  15.58008,  87.96487,-436.67415,  -4.49634, 131.54945,-454.47104,  -9.71100, 130.41208,-454.81182, -14.37676, 106.69741,-457.59403, -17.13811,  85.03052,-453.14077,   7.22830,  91.88895,-450.97974,   9.54615,  53.09144,-446.89155,  12.70322,  12.56030,-452.09372,  12.83517,   5.06943,-443.03651,  -5.52353,  91.70478,-453.16412, -10.16945,  52.95847,-451.04919,  -9.90599,  12.56025,-457.95699, -13.60959,   5.06937,-449.69057
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79040, 109.68885,-453.20826,   0.68932, 118.67621,-453.53104,   0.25215, 135.04522,-453.24763,   0.17831, 141.49464,-453.54555,   5.28383, 131.78443,-452.64929,  10.40725, 131.06090,-451.29683,  16.03528, 107.78937,-446.97918,  16.07294,  87.67344,-437.37379,  -4.51187, 131.55413,-454.44050,  -9.72408, 130.40784,-454.78885, -14.36554, 106.69061,-457.58976, -17.25408,  85.02759,-453.19872,   7.22683,  91.88862,-450.97273,   9.54249,  53.07490,-447.04016,  12.65734,  12.51331,-452.02599,  12.79058,   5.02246,-442.96879,  -5.51699,  91.70299,-453.20327, -10.12916,  52.94725,-451.18963,  -9.96169,  12.51328,-457.88809, -13.66526,   5.02240,-449.62167
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.76473, 109.69676,-453.07039,   0.65923, 118.68453,-453.38013,   0.25253, 135.05664,-453.31255,   0.19236, 141.50410,-453.65292,   5.27576, 131.79453,-452.65351,  10.39246, 131.08141,-451.27043,  16.03860, 107.76985,-447.19938,  16.62315,  87.38586,-438.19569,  -4.51391, 131.55917,-454.47673,  -9.72622, 130.41543,-454.83185, -14.34578, 106.68391,-457.54669, -17.35603,  85.03842,-453.15099,   7.22486,  91.88974,-450.96088,   9.52904,  53.05421,-447.24269,  12.59671,  12.46280,-452.01029,  12.72957,   4.97196,-442.95308,  -5.50787,  91.69967,-453.25354, -10.08327,  52.93248,-451.38132, -10.03161,  12.46280,-457.86248, -13.74096,   4.97191,-449.59865
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.75235, 109.70267,-452.95079,   0.65009, 118.69016,-453.26976,   0.28776, 135.06180,-453.50170,   0.24407, 141.50618,-453.89834,   5.29995, 131.79887,-452.76699,  10.41205, 131.09743,-451.36111,  16.02087, 107.74124,-447.49970,  17.19102,  87.11649,-439.12320,  -4.48442, 131.55641,-454.61752,  -9.69749, 130.42102,-454.98794, -14.33145, 106.66975,-457.49767, -17.47096,  85.06323,-453.00179,   7.22152,  91.88643,-450.94959,   9.50382,  53.03225,-447.41736,  12.53026,  12.42081,-452.03843,  12.66552,   4.92993,-442.98128,  -5.50108,  91.70133,-453.29816, -10.02363,  52.91982,-451.60247, -10.09960,  12.42077,-457.89723, -13.80841,   4.92996,-449.63309
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.74018, 109.70540,-452.88723,   0.64576, 118.69142,-453.24731,   0.35228, 135.05550,-453.83606,   0.33322, 141.49772,-454.26815,   5.34907, 131.78870,-453.01832,  10.46021, 131.08287,-451.61115,  16.02695, 107.69232,-447.89976,  17.77603,  86.89056,-440.08038,  -4.43184, 131.54635,-454.88706,  -9.63971, 130.40153,-455.29939, -14.37730, 106.64104,-457.51071, -17.67066,  85.11551,-452.74456,   7.21823,  91.88730,-450.93187,   9.46725,  53.01191,-447.61847,  12.47110,  12.38700,-452.13475,  12.60515,   4.89616,-443.07755,  -5.49440,  91.69970,-453.33359,  -9.96076,  52.90429,-451.81653, -10.16670,  12.38693,-457.98941, -13.87764,   4.89612,-449.72622
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.75253, 109.70307,-452.94201,   0.67774, 118.68564,-453.38360,   0.46581, 135.03572,-454.30336,   0.47576, 141.48014,-454.70154,   5.44463, 131.76190,-453.40780,  10.56407, 131.01771,-452.05149,  16.16922, 107.62941,-448.38395,  18.44156,  86.74126,-440.93836,  -4.33301, 131.52931,-455.29480,  -9.53109, 130.36917,-455.78116, -14.39841, 106.60835,-457.68588, -17.85041,  85.21539,-452.45751,   7.21004,  91.88832,-450.89052,   9.40522,  53.00949,-447.58144,  12.41745,  12.41664,-452.37204,  12.54978,   4.92577,-443.31483,  -5.48965,  91.69932,-453.35968, -10.00302,  52.90761,-451.88783, -10.22771,  12.41656,-458.23036, -13.93635,   4.92572,-449.96617
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.77730, 109.69479,-453.10735,   0.72859, 118.67278,-453.63688,   0.60729, 135.01555,-454.69287,   0.63430, 141.46912,-454.89283,   5.56767, 131.72186,-453.76833,  10.70019, 130.88882,-452.51719,  16.47376, 107.53391,-448.89852,  19.09364,  86.64949,-441.55735,  -4.21053, 131.52757,-455.65675,  -9.39447, 130.35067,-456.24339, -14.40421, 106.60252,-457.92356, -18.01417,  85.38157,-452.13129,   7.19861,  91.89472,-450.82755,   9.30636,  53.02197,-447.39249,  12.35367,  12.49995,-452.72941,  12.48557,   5.00908,-443.67220,  -5.48513,  91.69524,-453.37657, -10.15144,  52.92466,-451.82665, -10.28514,  12.49991,-458.58122, -13.99224,   5.00907,-450.31633
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82558, 109.67438,-453.41826,   0.81390, 118.64463,-454.06747,   0.79572, 134.98741,-455.13019,   0.83090, 141.44383,-455.07852,   5.73553, 131.66273,-454.20644,  10.87488, 130.74119,-453.04892,  16.88827, 107.41060,-449.67197,  19.62223,  86.55641,-442.28660,  -4.04454, 131.52963,-456.09053,  -9.21183, 130.32964,-456.76994, -14.39753, 106.61307,-458.35994, -18.10545,  85.58515,-451.95769,   7.18114,  91.90734,-450.73264,   9.19281,  53.04662,-447.10908,  12.30907,  12.62333,-453.11320,  12.42942,   5.13244,-444.05584,  -5.48111,  91.68830,-453.38484, -10.34259,  52.94982,-451.64404, -10.33672,  12.62345,-458.96431, -14.03983,   5.13253,-450.69771
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.88449, 109.64633,-453.74229,   0.90276, 118.60739,-454.50799,   0.92792, 134.95262,-455.53204,   0.96266, 141.40361,-455.26223,   5.85635, 131.61378,-454.59862,  11.00389, 130.66604,-453.50013,  17.19178, 107.31318,-450.63047,  19.86934,  86.47356,-443.18357,  -3.91724, 131.50889,-456.51777,  -9.06781, 130.28217,-457.27228, -14.43851, 106.60816,-458.88225, -18.19366,  85.75945,-451.94385,   7.16573,  91.91831,-450.65416,   9.10067,  53.07103,-446.84925,  12.25245,  12.73858,-453.41908,  12.37213,   5.24770,-444.36171,  -5.48212,  91.68515,-453.37303, -10.52018,  52.97653,-451.47689, -10.38181,  12.73857,-459.26729, -14.08096,   5.24777,-450.99882
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.92915, 109.62533,-453.94382,   0.96356, 118.58125,-454.76690,   0.98590, 134.93285,-455.68377,   1.00879, 141.37663,-455.27591,   5.91061, 131.59042,-454.74358,  11.06703, 130.66906,-453.66449,  17.33857, 107.26438,-451.48051,  19.87775,  86.38516,-444.09634,  -3.85160, 131.49323,-456.72018,  -8.98892, 130.25352,-457.54093, -14.51575, 106.62200,-459.24411, -18.26528,  85.88155,-451.98562,   7.15155,  91.92487,-450.58990,   9.02924,  53.08439,-446.68812,  12.17459,  12.81434,-453.63311,  12.29427,   5.32347,-444.57573,  -5.48038,  91.68444,-453.38112, -10.67583,  52.99988,-451.41990, -10.45674,  12.81436,-459.47467, -14.15364,   5.32347,-451.20526
