time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.83340, 109.62058,  -2.26631,  -1.14152, 118.60754,  -2.10276,  -1.11913, 134.97177,  -2.75652,  -0.98279, 141.29046,  -4.07743,   3.85422, 131.59606,  -2.33348,   9.11805, 131.21692,  -1.46725,  18.61651, 109.00028,  -4.30990,  28.93288,  89.40246,  -1.77744,  -6.05014, 131.56763,  -3.39176, -11.37026, 131.03422,  -3.27221, -20.51358, 108.99223,  -8.00991, -29.93526,  88.91460, -10.25310,   6.48372,  92.02343,  -1.99526,   3.14602,  53.82295,   5.54896,   1.79727,  13.18340,   0.40978,   1.46087,   5.69253,   9.46169,  -6.25148,  91.45071,  -4.20919,  -4.26764,  52.54106,  -1.13709,   4.40916,  13.18268,  -8.58247,  -2.48650,   5.69182,  -2.70878
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.81788, 109.61853,  -2.20749,  -1.11950, 118.60527,  -2.02113,  -1.09514, 134.96960,  -2.67233,  -0.96141, 141.29528,  -3.95960,   3.87882, 131.59251,  -2.26798,   9.14620, 131.21127,  -1.42451,  18.64496, 108.99862,  -4.29726,  28.91474,  89.36056,  -1.89026,  -6.02934, 131.56688,  -3.29014, -11.34926, 131.03419,  -3.15906, -20.40508, 108.98619,  -8.03483, -29.71299,  88.88330, -10.51428,   6.48707,  92.01510,  -2.03339,   3.08571,  53.83014,   5.56080,   1.74076,  13.18978,   0.42706,   1.40677,   5.69892,   9.47907,  -6.25915,  91.45961,  -4.18745,  -4.25218,  52.55509,  -1.06585,   4.35045,  13.18933,  -8.55819,  -2.54414,   5.69841,  -2.68331
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.78546, 109.61846,  -2.17387,  -1.07490, 118.60529,  -1.97343,  -1.05160, 134.96994,  -2.61670,  -0.92846, 141.30363,  -3.86505,   3.92342, 131.59234,  -2.23002,   9.19323, 131.21478,  -1.40019,  18.69166, 109.01696,  -4.38639,  29.01874,  89.40727,  -1.99329,  -5.98798, 131.56782,  -3.22027, -11.30818, 131.04057,  -3.07892, -20.28006, 108.97391,  -8.02495, -29.44932,  88.83722, -10.73595,   6.48760,  92.00130,  -2.06483,   3.01684,  53.84122,   5.62243,   1.71473,  13.20422,   0.45121,   1.37552,   5.71334,   9.50302,  -6.26872,  91.47343,  -4.16538,  -4.23183,  52.57685,  -0.96515,   4.29413,  13.20451,  -8.51035,  -2.60332,   5.71367,  -2.63873
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.73619, 109.61798,  -2.12108,  -1.00808, 118.60480,  -1.89691,  -0.99063, 134.97028,  -2.51886,  -0.87515, 141.31222,  -3.72535,   3.98633, 131.59339,  -2.15139,   9.25980, 131.22839,  -1.33938,  18.75092, 109.04067,  -4.42233,  29.10677,  89.44597,  -2.03080,  -5.92797, 131.56775,  -3.11221, -11.24873, 131.05321,  -2.94735, -20.14477, 108.96973,  -7.95489, -29.18979,  88.80013, -10.83344,   6.48611,  91.97963,  -2.10001,   2.91466,  53.86869,   5.78246,   1.67374,  13.24253,   0.51198,   1.34041,   5.75167,   9.56403,  -6.28097,  91.49523,  -4.14492,  -4.22900,  52.60856,  -0.83581,   4.26505,  13.24267,  -8.45033,  -2.63267,   5.75181,  -2.57905
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.67903, 109.61956,  -2.10349,  -0.92931, 118.60675,  -1.86924,  -0.91396, 134.97295,  -2.47186,  -0.80643, 141.32453,  -3.62733,   4.06465, 131.59529,  -2.13510,   9.34335, 131.24861,  -1.34949,  18.81819, 109.05582,  -4.44599,  29.13377,  89.44295,  -2.02950,  -5.85467, 131.57147,  -3.04275, -11.17557, 131.06911,  -2.84741, -19.99256, 108.95172,  -7.84513, -28.89694,  88.73456, -10.82666,   6.48333,  91.95680,  -2.13007,   2.79568,  53.92181,   6.05978,   1.67426,  13.31996,   0.57935,   1.33275,   5.82911,   9.63110,  -6.29411,  91.51763,  -4.11976,  -4.26746,  52.65022,  -0.57696,   4.22287,  13.31991,  -8.37722,  -2.67933,   5.82894,  -2.51133
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.60509, 109.62176,  -2.08910,  -0.82864, 118.60929,  -1.84133,  -0.82136, 134.97711,  -2.39850,  -0.72250, 141.33909,  -3.49607,   4.16020, 131.59987,  -2.10368,   9.44429, 131.28086,  -1.34299,  18.83166, 109.04449,  -4.39291,  29.08522,  89.42770,  -1.75443,  -5.76483, 131.57589,  -2.94654, -11.08488, 131.08625,  -2.70205, -19.72628, 108.88925,  -7.65329, -28.48204,  88.59286, -10.53497,   6.47915,  91.92766,  -2.16608,   2.62747,  54.02313,   6.53697,   1.66656,  13.46678,   0.70071,   1.32574,   5.97591,   9.75246,  -6.31054,  91.54615,  -4.08776,  -4.32121,  52.72015,  -0.09794,   4.19673,  13.46653,  -8.24661,  -2.70671,   5.97567,  -2.38205
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.51180, 109.63001,  -2.17860,  -0.70252, 118.61886,  -1.95180,  -0.70730, 134.98903,  -2.43477,  -0.60761, 141.36257,  -3.46302,   4.27811, 131.61290,  -2.19810,   9.56588, 131.31879,  -1.45308,  18.64033, 108.96167,  -4.56666,  28.89630,  89.45874,  -1.19524,  -5.65379, 131.58795,  -2.95573, -10.96976, 131.09508,  -2.63943, -19.30353, 108.77383,  -7.55929, -28.03158,  88.38444,  -9.79650,   6.47470,  91.89695,  -2.20657,   2.45566,  54.16673,   7.15345,   1.67944,  13.68405,   0.80103,   1.32527,   6.19319,   9.85228,  -6.33208,  91.57456,  -4.02233,  -4.43491,  52.80506,   0.52305,   4.17603,  13.68392,  -8.14823,  -2.72329,   6.19304,  -2.27886
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.45459, 109.63982,  -2.35054,  -0.62683, 118.63004,  -2.16772,  -0.64364, 135.00330,  -2.53120,  -0.55365, 141.38756,  -3.49157,   4.34507, 131.62842,  -2.35378,   9.63318, 131.35649,  -1.60277,  18.10233, 108.78864,  -4.89621,  28.28608,  89.56899,  -0.01647,  -5.59183, 131.60323,  -3.04261, -10.90051, 131.10116,  -2.63240, -18.81734, 108.60929,  -7.46302, -27.50107,  88.09880,  -8.37057,   6.47304,  91.88409,  -2.22621,   2.31385,  54.32179,   7.72905,   1.66070,  13.92179,   0.85763,   1.30343,   6.43094,   9.90876,  -6.34636,  91.58469,  -3.95477,  -4.61091,  52.87793,   1.15498,   4.14541,  13.92160,  -8.09349,  -2.75183,   6.43073,  -2.22166
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.46278, 109.64728,  -2.57600,  -0.63377, 118.63857,  -2.45510,  -0.61910, 135.01420,  -2.68848,  -0.52335, 141.40967,  -3.57051,   4.36381, 131.62783,  -2.58034,   9.65355, 131.35471,  -1.84131,  17.37032, 108.54234,  -5.29505,  27.18608,  89.85827,   1.87932,  -5.57862, 131.62842,  -3.18470, -10.87768, 131.10216,  -2.68919, -18.23917, 108.39699,  -7.39864, -26.80506,  87.85626,  -6.12778,   6.47883,  91.89989,  -2.23319,   2.28290,  54.39747,   7.93023,   1.64771,  14.04255,   0.79716,   1.29208,   6.55170,   9.84836,  -6.34987,  91.56681,  -3.88496,  -4.75397,  52.88331,   1.44172,   4.12257,  14.04244,  -8.17061,  -2.77162,   6.55157,  -2.29519
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.51741, 109.64752,  -2.65580,  -0.69696, 118.63899,  -2.56364,  -0.61467, 135.01449,  -2.79161,  -0.49876, 141.41672,  -3.62065,   4.35455, 131.60691,  -2.73008,   9.65190, 131.33987,  -2.04540,  16.42704, 108.23833,  -5.55213,  25.71499,  90.66578,   4.54020,  -5.59289, 131.65004,  -3.24369, -10.89020, 131.14171,  -2.71209, -17.54986, 108.16844,  -7.15878, -25.94472,  87.97302,  -2.84806,   6.48962,  91.92712,  -2.25330,   2.46936,  54.30740,   7.54095,   1.64082,  13.90720,   0.68964,   1.28578,   6.41634,   9.74086,  -6.34543,  91.53951,  -3.84262,  -4.68464,  52.81387,   1.14738,   4.10274,  13.90673,  -8.27704,  -2.79672,   6.41587,  -2.40779
