time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.14719, 109.65477,  -2.63055,  -0.42480, 118.63724,  -2.27642,  -1.60455, 134.92778,  -1.07542,  -1.71976, 141.38299,  -1.15448,   2.85629, 131.67202,   1.33487,   6.67247, 131.93241,   5.07265,  10.56312, 116.14325,  23.16812,   0.04272, 135.79478,  22.93637,  -5.30167, 131.50269,  -4.37793, -10.27341, 131.92379,  -6.30329, -16.19462, 111.98762,   6.32144,  -7.28800, 131.23354,  13.19004,   4.89754,  91.67813,   1.19885,   2.42994,  56.66578,  18.38543,  10.28866,  16.44489,  17.81679,   6.03354,   7.27134,  23.80874,  -4.85652,  91.78648,  -7.30181,  -9.40748,  52.99106,  -6.06144,   1.13519,  15.98059, -20.16391,  -5.52048,   7.41982, -15.62752
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.08149, 109.65739,  -2.73665,  -0.09894, 118.64351,  -2.41386,  -1.21879, 134.93417,  -1.15842,  -1.33679, 141.38981,  -1.15077,   3.20567, 131.64936,   1.27935,   6.97271, 131.82529,   5.07151,  11.03914, 116.19823,  23.26876,   0.42330, 135.79953,  23.36032,  -4.90047, 131.53844,  -4.50816,  -9.84529, 131.95326,  -6.50297, -15.79788, 112.08803,   6.21847,  -7.01204, 131.25963,  13.44134,   4.83517,  91.63514,   1.24763,   1.99596,  57.11955,  19.35690,  10.82189,  17.13548,  17.57369,   6.42986,   8.49047,  24.21727,  -4.85788,  91.82874,  -7.32102,  -9.92485,  53.12135,  -5.47775,   2.29721,  16.63413, -19.58827,  -4.97712,   8.58795, -15.05982
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.29735, 109.65657,  -2.88469,   0.21716, 118.64577,  -2.61103,  -0.79462, 134.93982,  -1.30864,  -0.91915, 141.39483,  -1.22740,   3.55035, 131.60814,   1.20725,   7.25332, 131.65180,   5.06577,  11.45487, 116.12888,  23.32137,   0.82452, 135.71971,  23.65338,  -4.43284, 131.58887,  -4.74972,  -9.32698, 131.95544,  -6.87470, -15.37534, 112.19684,   5.96704,  -6.68560, 131.24882,  13.61042,   4.67917,  91.61044,   1.40601,   1.46004,  57.59464,  20.37692,  11.67618,  17.99552,  17.66705,   6.93632,   9.91646,  24.76819,  -4.76203,  91.85367,  -7.43815, -10.34832,  53.28360,  -4.52672,   3.32049,  17.50528, -19.11708,  -4.45420,  10.02064, -14.45899
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.47804, 109.65252,  -3.02167,   0.48016, 118.64277,  -2.77136,  -0.44589, 134.92819,  -1.30737,  -0.57255, 141.38100,  -1.12184,   3.79818, 131.53340,   1.29492,   7.42514, 131.44495,   5.22421,  11.78682, 115.82598,  23.35993,   1.17814, 135.42077,  24.00436,  -4.00704, 131.64609,  -4.89240,  -8.83830, 132.00740,  -7.15755, -14.87479, 112.22931,   5.65975,  -6.26039, 131.13822,  13.73167,   4.50995,  91.59983,   1.57371,   0.57943,  58.43993,  21.87898,  11.97105,  19.20207,  18.65037,   7.24027,  11.09140,  25.72146,  -4.64316,  91.86540,  -7.56767, -11.12380,  53.59821,  -2.98973,   3.32733,  18.59362, -18.66284,  -4.26663,  11.10276, -13.72499
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.57431, 109.64760,  -3.23210,   0.62184, 118.63892,  -3.02954,  -0.24977, 134.91099,  -1.39364,  -0.34596, 141.36044,  -1.10293,   3.92570, 131.46385,   1.25044,   7.49398, 131.28313,   5.22999,  11.79829, 115.24632,  23.01128,   1.37952, 134.92251,  24.11233,  -3.75729, 131.68954,  -5.08500,  -8.55010, 132.08503,  -7.42489, -14.56282, 112.10735,   5.09048,  -5.90347, 130.82979,  13.54015,   4.46627,  91.63519,   1.63400,  -0.22521,  59.63519,  23.57306,  11.63587,  20.53044,  20.42095,   7.34417,  11.68033,  26.85683,  -4.62631,  91.83142,  -7.56932, -11.40137,  53.80143,  -1.64036,   3.60090,  19.22558, -17.74148,  -3.98879,  11.73470, -12.79711
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.63134, 109.64191,  -3.40501,   0.71369, 118.63410,  -3.26055,  -0.08926, 134.90609,  -1.58916,  -0.13033, 141.35222,  -1.22175,   4.06735, 131.43481,   1.05306,   7.59930, 131.20089,   5.06214,  11.51557, 114.65201,  22.45979,   1.36427, 134.44333,  23.93285,  -3.60553, 131.70831,  -5.29275,  -8.38551, 132.15621,  -7.64935, -14.50215, 111.98701,   4.50324,  -5.69315, 130.55615,  13.13456,   4.51362,  91.66644,   1.60335,  -0.59026,  60.88153,  25.13146,  11.62384,  21.83174,  22.73708,   7.54727,  12.20382,  28.10815,  -4.68956,  91.80175,  -7.49048, -11.70497,  53.88051,  -1.15820,   3.77801,  19.39854, -17.00352,  -3.81370,  11.90774, -12.06211
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.62389, 109.64015,  -3.47847,   0.72384, 118.63275,  -3.37712,   0.03327, 134.91835,  -1.79021,   0.04067, 141.36311,  -1.39753,   4.17148, 131.43318,   0.86260,   7.68631, 131.15772,   4.88406,  11.08611, 114.28966,  22.08263,   1.21450, 134.21956,  23.58791,  -3.51137, 131.72479,  -5.47034,  -8.27708, 132.20087,  -7.85021, -14.59965, 112.03974,   4.21002,  -5.58297, 130.53821,  12.77840,   4.51259,  91.69027,   1.61597,  -0.48833,  61.28705,  25.65693,  11.73611,  22.19280,  24.24077,   7.75562,  12.35275,  29.28979,  -4.68645,  91.77842,  -7.48263, -11.75859,  53.81957,  -1.44569,   3.92696,  19.13145, -16.62795,  -3.66792,  11.64052, -11.69163
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.59100, 109.64079,  -3.49863,   0.70071, 118.63360,  -3.43207,   0.13483, 134.93773,  -1.99287,   0.17550, 141.38416,  -1.63085,   4.21277, 131.44011,   0.73580,   7.69753, 131.15561,   4.78273,  10.76370, 114.21465,  21.97236,   1.04588, 134.24370,  23.11991,  -3.39653, 131.74307,  -5.68478,  -8.14162, 132.23263,  -8.10283, -14.63554, 112.21462,   4.10387,  -5.38924, 130.69620,  12.46139,   4.41509,  91.71269,   1.71988,   0.25282,  60.69490,  25.12724,  11.79928,  21.37764,  25.92452,   8.01734,  11.91918,  31.78950,  -4.57978,  91.75582,  -7.58093, -11.38526,  53.67240,  -2.04265,   4.05976,  18.60248, -16.58071,  -3.53658,  11.11163, -11.64650
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.49770, 109.64479,  -3.47362,   0.58375, 118.63797,  -3.42397,   0.08249, 134.95644,  -2.13083,   0.15826, 141.40653,  -1.84825,   4.09739, 131.46077,   0.69219,   7.54577, 131.21625,   4.77274,  10.46950, 114.42251,  22.13082,   0.73943, 134.47143,  22.66180,  -3.40642, 131.74916,  -5.85203,  -8.13199, 132.25538,  -8.30464, -14.70686, 112.39759,   4.11851,  -5.26622, 130.91247,  12.17982,   4.31225,  91.73839,   1.82574,   1.25640,  59.72292,  24.02943,  11.77298,  20.29033,  27.80775,   8.13665,  11.52456,  34.74330,  -4.45095,  91.72900,  -7.69376, -10.91073,  53.51528,  -2.66222,   4.12792,  18.09073, -16.75985,  -3.46717,  10.59986, -11.82376
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.38898, 109.64810,  -3.46544,   0.43310, 118.64170,  -3.44284,  -0.07658, 134.97234,  -2.31760,   0.02608, 141.42525,  -2.12078,   3.90216, 131.50351,   0.58850,   7.30773, 131.34126,   4.70891,  10.10229, 114.83054,  22.35735,   0.33283, 134.86655,  22.18032,  -3.52145, 131.72947,  -6.04898,  -8.22969, 132.24697,  -8.53236, -14.90397, 112.54858,   4.08996,  -5.35988, 131.13741,  11.85376,   4.26297,  91.76907,   1.88299,   2.04231,  58.84839,  22.82648,  11.65940,  19.56714,  29.48214,   8.08938,  10.97223,  36.66170,  -4.37137,  91.69740,  -7.75328, -10.72080,  53.40102,  -3.23599,   4.05368,  17.81024, -17.19359,  -3.54421,  10.31945, -12.26167
