time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.06822, 109.57390,  -1.75304,  -1.52824, 118.20366,   0.73750,  -1.69345, 130.91004,  11.06884,  -1.74341, 136.24729,  14.70210,   3.30496, 128.61771,   8.60517,   8.49700, 128.86794,   9.86300,  13.68866, 109.25347,  -3.56087,   6.00259, 108.94082,  17.36142,  -6.64533, 128.25879,   8.88795, -11.78098, 127.78639,  10.30376, -16.53646, 108.72819,  -4.05122,  -4.33059, 107.25774,  14.54355,   6.60307,  92.18619,  -3.19941,   3.46587,  54.51809,   6.73058,  -0.98993,  19.83298, -14.64445,  -1.22056,  12.34212,  -5.58921,  -6.30539,  91.30096,  -3.14807,  -3.17565,  56.68311,  14.71650,  -5.00982,  32.75638, -18.50926,  -8.41713,  21.74476, -20.81098
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.54745, 109.59379,  -1.66829,  -0.83750, 118.24242,   0.78206,  -1.32751, 131.18774,  10.80177,  -1.37119, 136.54938,  14.39900,   3.75772, 128.64663,   8.80382,   8.80812, 128.76700,  10.55910,  13.84614, 107.94943,  -0.97900,   4.20539, 110.18970,  18.99480,  -6.18908, 128.67812,   8.27719, -11.43893, 128.47497,   9.27733, -16.71575, 110.21505,  -5.90904,  -5.66421, 107.60272,  13.27299,   6.53903,  91.94894,  -2.97769,   3.73470,  53.32406,   2.27458,  -0.70492,  19.04980, -19.75648,  -0.92371,  11.37952, -10.85241,  -6.38647,  91.53266,  -3.39341,  -3.74376,  58.28524,  16.97713,  -4.33856,  29.99292, -12.67070,  -8.17251,  18.88995, -12.23655
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.12646, 109.56641,  -1.29283,   0.07401, 118.19759,   1.23445,  -0.67647, 131.35846,  10.95269,  -0.71707, 136.73265,  14.53119,   4.44690, 128.61157,   9.36705,   9.31519, 128.62230,  11.58104,  14.05333, 107.02190,   1.43935,   2.87546, 111.33904,  20.23650,  -5.43166, 128.95667,   8.13735, -10.74319, 129.01249,   8.75939, -16.30609, 111.58728,  -7.28154,  -6.48151, 107.84692,  12.37548,   6.44275,  91.65629,  -2.90702,   3.75070,  52.68985,  -1.60258,  -0.16826,  18.33830, -23.61203,  -0.36928,   9.54956, -15.80939,  -6.47799,  91.83294,  -3.56871,  -4.16346,  58.97681,  17.46583,  -3.40169,  25.31414,  -5.90183,  -7.11141,  14.68419,  -2.52458
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.77597, 109.46537,  -0.65924,   0.97205, 118.03560,   2.06101,   0.15204, 131.35280,  11.55816,   0.13941, 136.75311,  15.09733,   5.25943, 128.42794,  10.26650,   9.96791, 128.34729,  12.80141,  14.32171, 106.23330,   3.64189,   1.99050, 112.02335,  21.28650,  -4.53038, 129.05685,   8.53987,  -9.86277, 129.30923,   8.86306, -15.26233, 112.63095,  -8.00629,  -6.78407, 107.80293,  12.03667,   6.33556,  91.37247,  -2.89781,   4.29629,  52.38975,  -4.77445,   1.20864,  17.96668, -26.80446,   0.78898,   7.90576, -20.74102,  -6.55180,  92.14493,  -3.75448,  -4.38294,  58.49232,  15.99728,  -2.44841,  20.01023,   2.02624,  -5.91497,  10.50185,   8.00430
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.92945, 109.40220,  -0.32107,   1.19286, 117.94193,   2.48801,   0.38786, 131.38797,  11.80314,   0.43529, 136.82882,  15.27937,   5.46116, 128.32362,  10.71688,  10.06057, 128.19052,  13.44264,  14.10293, 105.85063,   4.69794,   1.08604, 112.56918,  21.50083,  -4.24686, 129.17144,   8.65467,  -9.57772, 129.57618,   8.79824, -14.61991, 113.44312,  -8.70022,  -6.99954, 107.82714,  11.48149,   6.30040,  91.28955,  -2.84258,   4.39196,  52.43425,  -6.57830,   1.76921,  18.23791, -29.01787,   1.41013,   7.10657, -25.25916,  -6.55940,  92.24544,  -3.90394,  -4.60805,  56.84332,  12.53432,  -2.37040,  16.03928,   9.39973,  -5.26909,   8.43143,  17.87804
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.62584, 109.44150,  -0.46405,   0.79416, 118.00887,   2.26705,   0.06245, 131.53245,  11.47538,   0.16936, 137.00361,  14.90236,   5.10375, 128.38516,  10.48121,   9.65819, 128.21706,  13.27960,  13.54125, 105.86532,   4.49310,   0.19951, 112.97923,  20.87314,  -4.56115, 129.36241,   8.27854,  -9.88525, 129.85367,   8.40154, -14.70182, 113.93659,  -9.35635,  -7.15907, 108.14715,  10.80550,   6.34695,  91.40860,  -2.77853,   4.18298,  52.62845,  -7.10861,   2.29592,  19.86250, -31.65723,   1.95855,   8.18963, -30.31792,  -6.52135,  92.11545,  -3.92815,  -4.88171,  55.41326,   9.39832,  -3.07050,  14.69923,  13.74463,  -4.92542,   8.74683,  23.70915
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.52393, 109.48656,  -0.73117,   0.66931, 118.09118,   1.88158,   0.05406, 131.67305,  11.01231,   0.23936, 137.16357,  14.40483,   5.08389, 128.52371,   9.96776,   9.67069, 128.34245,  12.71193,  13.48209, 106.04854,   3.74892,   0.15496, 113.13207,  20.15399,  -4.61185, 129.47860,   7.89460,  -9.93564, 129.92516,   8.14031, -14.91910, 113.70245,  -9.29196,  -6.59607, 108.60565,  10.74952,   6.36056,  91.45051,  -2.70804,   4.06170,  52.53081,  -5.41063,   3.69219,  22.70347, -33.51751,   2.88554,  11.01679, -34.48407,  -6.50656,  92.06097,  -3.92420,  -4.40540,  55.74175,  10.35281,  -1.98478,  14.97205,  13.78427,  -3.96140,   8.71094,  23.53389
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.92136, 109.51055,  -1.04401,   1.21759, 118.15590,   1.41714,   0.69605, 131.85281,  10.38033,   0.95549, 137.34809,  13.76023,   5.73836, 128.77226,   9.19969,  10.42951, 128.64840,  11.76480,  14.29670, 106.46388,   2.55759,   1.30707, 113.02170,  19.44486,  -4.03949, 129.53829,   7.46070,  -9.35622, 129.81921,   7.96655, -14.81896, 112.72907,  -8.46455,  -5.01972, 109.04011,  11.21481,   6.29583,  91.29583,  -2.66031,   4.39670,  52.27095,  -1.77459,   5.71572,  26.37211, -33.51278,   4.35614,  15.21273, -36.94548,  -6.55258,  92.20897,  -3.88476,  -4.44318,  57.03527,  13.01777,  -0.47985,  16.39234,   9.51811,  -2.93640,   8.90149,  18.23684
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.33437, 109.55528,  -1.77604,   1.79790, 118.27390,   0.38219,   1.42737, 132.06362,   9.20955,   1.67922, 137.54388,  12.61433,   6.47032, 129.07763,   7.80918,  11.33854, 129.06511,  10.02330,  15.30158, 107.09176,   0.36167,   3.09520, 112.58115,  18.18823,  -3.39714, 129.61328,   6.55878,  -8.68799, 129.73891,   7.32921, -14.72349, 111.17416,  -7.19037,  -3.09759, 108.97770,  11.70209,   6.23273,  91.15500,  -2.61821,   4.31045,  52.51906,   2.94067,   6.66026,  30.88640, -31.79130,   6.02839,  20.18193, -36.60572,  -6.60457,  92.33733,  -3.72286,  -4.01862,  57.97273,  14.70866,   0.40004,  18.84613,   3.33380,  -2.02443,  11.35520,  12.06143
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.68869, 109.55158,  -2.26348,   2.28104, 118.29982,  -0.26236,   1.95012, 132.00868,   8.69162,   2.15457, 137.52763,  12.03657,   7.00212, 129.19112,   7.00426,  12.03596, 129.29068,   8.80773,  16.37731, 107.90742,  -1.95283,   5.66353, 111.86702,  17.19011,  -2.92910, 129.42809,   6.27495,  -8.16091, 129.38111,   7.38331, -14.21149, 109.18764,  -4.76205,  -1.00018, 108.41102,  13.17588,   6.18448,  91.03569,  -2.73567,   3.90482,  53.46249,   7.77100,   6.46084,  34.02489, -28.22135,   7.17272,  23.26683, -32.90333,  -6.65506,  92.45768,  -3.46957,  -4.03641,  57.55279,  13.91218,   0.98451,  20.36453,  -2.56893,  -1.44541,  12.87372,   6.15729
