time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.13195, 109.64558,  -3.65572,   0.02013, 118.61815,  -3.05821,   1.39035, 134.30868,   1.43016,   1.79365, 140.62134,   2.72514,   5.22738, 131.50142,  -2.27186,   9.95269, 131.76816,  -4.76231,  12.41936, 112.15739, -18.94732,  18.72958,  91.78318, -25.42712,  -3.26331, 130.76820,   2.88447,  -7.00432, 129.89553,   6.60546, -20.40048, 109.59258,   6.12757, -28.39501,  89.95815,  13.01867,   5.99140,  91.68010,  -5.39336,   8.75460,  54.59649,   6.62756,   1.72547,  14.31010,   3.90706,   3.14348,   6.81924,  12.85357,  -5.95463,  91.78707,  -0.42391,  -4.12765,  55.67161,  14.39735,  -4.00035,  20.67483,  -6.93366,  -6.50128,  10.64156,  -1.34417
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.16425, 109.65205,  -3.46582,  -0.01103, 118.62284,  -2.84249,   1.43509, 134.37846,   1.38659,   1.83031, 140.70726,   2.60284,   5.26590, 131.48847,  -2.25778,   9.92845, 131.75530,  -4.86383,  11.34812, 113.09405, -20.40806,  16.90716,  93.43281, -29.32141,  -3.24193, 130.88859,   2.88751,  -6.96554, 130.17430,   6.65939, -20.84352, 110.21090,   7.53112, -27.72504,  91.83942,  18.11622,   6.04590,  91.72566,  -5.29665,   8.48458,  54.85583,   7.43131,   1.84890,  14.43995,   5.90586,   3.27779,   6.94908,  14.85062,  -6.00012,  91.73971,  -0.57354,  -3.94976,  54.80619,  12.03777,  -3.29416,  22.08069, -12.62830,  -5.75799,  11.91972,  -7.25729
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.20010, 109.65616,  -3.27292,  -0.05575, 118.62474,  -2.61644,   1.44287, 134.43723,   1.37545,   1.83465, 140.78044,   2.51537,   5.28033, 131.47255,  -2.20131,   9.88701, 131.72381,  -4.90639,  10.34507, 113.84256, -21.39674,  15.13181,  95.00798, -32.31742,  -3.25959, 130.99355,   2.90335,  -6.98425, 130.43732,   6.70071, -21.38898, 110.93404,   8.70605, -26.34716,  94.27329,  22.66122,   6.14413,  91.77335,  -5.06994,   8.19241,  55.16204,   8.44851,   2.03170,  14.64350,   8.13761,   3.46369,   7.15266,  17.08190,  -6.08836,  91.69087,  -0.85401,  -3.95047,  54.06663,   9.49877,  -2.46447,  23.06819, -17.27232,  -5.13368,  12.70491, -12.41008
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.29826, 109.65671,  -3.09084,  -0.19461, 118.62266,  -2.39222,   1.31989, 134.47731,   1.42254,   1.69846, 140.83243,   2.49883,   5.21680, 131.44045,  -2.02711,   9.80840, 131.64843,  -4.76135,   9.40109, 114.42655, -21.94045,  13.37649,  96.36714, -34.38912,  -3.43870, 131.08460,   2.88946,  -7.22674, 130.64709,   6.63937, -22.04972, 111.58145,   9.58488, -24.59165,  97.31685,  26.52509,   6.28594,  91.84069,  -4.67539,   7.84581,  55.57251,   9.79936,   2.10999,  14.99932,  10.64773,   3.52416,   7.50845,  19.59484,  -6.20283,  91.62338,  -1.29930,  -4.35299,  53.44526,   6.84582,  -1.82679,  23.14567, -20.63793,  -4.90619,  12.59789, -16.46358
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.39124, 109.65471,  -2.91640,  -0.33709, 118.61614,  -2.15680,   1.13227, 134.48834,   1.60222,   1.49325, 140.84978,   2.64675,   5.17743, 131.38333,  -1.60780,   9.83427, 131.48792,  -4.23552,   8.59981, 114.88928, -21.97931,  11.74145,  97.43050, -35.47882,  -3.73252, 131.15523,   2.83945,  -7.70600, 130.79179,   6.40060, -22.62150, 111.93631,  10.12808, -22.46007, 100.83560,  29.45835,   6.43058,  91.89666,  -4.09440,   7.42868,  56.05609,  11.45519,   2.07139,  15.47537,  13.53059,   3.46798,   7.98450,  22.48045,  -6.32156,  91.56796,  -1.92889,  -5.14413,  52.93758,   3.87120,  -1.86745,  21.40571, -22.10586,  -5.36221,  10.61793, -19.01168
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.58205, 109.64271,  -2.55417,  -0.62353, 118.59074,  -1.64963,   0.71562, 134.47001,   2.12813,   1.03471, 140.83496,   3.16484,   5.00009, 131.28395,  -0.66488,   9.83309, 131.25866,  -2.95475,   7.83989, 115.24924, -21.16482,  10.02003,  98.20841, -35.36948,  -4.29233, 131.21467,   2.92165,  -8.59255, 130.92283,   6.08794, -22.98166, 111.79512,  10.44452, -20.47091, 104.52042,  31.36546,   6.53873,  91.98169,  -3.36426,   6.80014,  56.59783,  13.22628,   1.93306,  16.06690,  16.88124,   3.29753,   8.57603,  25.83605,  -6.37653,  91.48628,  -2.75998,  -6.15406,  52.49993,  -0.04898,  -2.87439,  18.70388, -23.00272,  -5.91306,   8.76094, -17.51929
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.39166, 109.64819,  -2.53965,  -0.38825, 118.59188,  -1.59228,   0.81801, 134.42350,   2.42279,   1.12065, 140.78278,   3.49849,   5.35701, 131.14120,   0.20184,  10.43910, 130.91131,  -1.44786,   7.97237, 115.42385, -20.04717,   9.11706,  98.65679, -34.69200,  -4.32716, 131.28938,   2.52825,  -9.02738, 131.01105,   5.06457, -22.13757, 111.07882,   9.83161, -18.23948, 107.79479,  31.53255,   6.49963,  91.87790,  -2.52193,   6.29439,  56.98463,  15.07779,   2.19700,  16.55837,  20.43798,   3.53249,   9.06752,  29.39718,  -6.39048,  91.58855,  -3.60635,  -6.08946,  52.51541,  -2.87604,  -2.81899,  17.13337, -23.30197,  -5.75571,   9.14000, -15.19980
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.30634, 109.65352,  -2.67764,   0.52296, 118.59494,  -1.73369,   1.45637, 134.34675,   2.65098,   1.75035, 140.69513,   3.79157,   6.21210, 130.96643,   1.14596,  11.48766, 130.50772,   0.39754,   9.31051, 115.14442, -18.34038,   9.48900,  98.70786, -33.39771,  -3.71428, 131.35113,   1.87822,  -8.76945, 131.05315,   3.59838, -20.27606, 110.16808,   8.42613, -15.73930, 109.63294,  30.24452,   6.26815,  91.58058,  -1.62930,   5.69812,  56.88188,  16.34311,   2.90926,  16.74511,  24.15754,   4.18393,   9.25424,  33.12557,  -6.35352,  91.88438,  -4.46053,  -5.72555,  52.93506,  -1.31569,  -2.22690,  16.74539, -20.23314,  -5.11348,   9.25448, -11.64724
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.07429, 109.61812,  -2.60508,   1.50088, 118.54399,  -1.58827,   1.95979, 134.21500,   3.14723,   2.20338, 140.55668,   4.33594,   6.83903, 130.75164,   2.43540,  12.14206, 130.09601,   2.65917,  11.14174, 114.12558, -15.66638,  11.08494,  97.99162, -31.04842,  -3.05433, 131.34230,   1.44053,  -8.33203, 131.02616,   2.24574, -18.62865, 109.35767,   6.28947, -13.95792, 109.80733,  28.08151,   5.88273,  91.26688,  -0.76542,   4.96320,  56.03887,  16.13056,   3.43254,  16.61168,  27.21914,   4.66090,   9.40852,  36.42616,  -6.18209,  92.20794,  -5.34463,  -6.04505,  53.56448,   0.48617,  -1.64286,  16.50640, -16.45851,  -4.60493,   9.01553,  -7.89834
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.19611, 109.60176,  -2.37356,   1.59615, 118.52073,  -1.28767,   1.58192, 134.21849,   3.38095,   1.80449, 140.55817,   4.58434,   6.44435, 130.66128,   3.48876,  11.61422, 129.90552,   4.63041,  12.38864, 112.82395, -12.67568,  13.28772,  96.49435, -27.82333,  -3.14295, 131.42384,   0.89659,  -8.48668, 131.21781,   0.82881, -17.87384, 108.86386,   2.84809, -14.16643, 108.20550,  24.81927,   5.52297,  91.18460,  -0.05848,   4.36605,  55.60930,  16.07819,   3.28251,  16.57849,  28.53710,   4.34744,  10.68426,  38.65082,  -5.85629,  92.29478,  -6.11608,  -7.41021,  53.94536,   1.24875,  -1.73603,  16.00692, -13.18322,  -4.77638,   8.51613,  -4.65047
