time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.46705, 109.69170,-453.08288,   0.25184, 118.68276,-453.04107,  -0.07647, 134.93307,-451.03218,  -0.47268, 141.32911,-450.24297,   4.97426, 131.69430,-451.58813,  10.30914, 131.67411,-451.96335,  15.41483, 112.14183,-465.53916,  22.40826,  91.03114,-464.00748,  -4.98296, 131.51812,-451.78782, -10.22531, 130.47572,-451.60431, -17.09891, 107.34732,-454.72295, -19.28266,  95.20567,-436.15624,   7.34889,  91.97772,-451.62398,  10.12941,  57.03734,-434.33899,  13.47573,  19.49693,-450.44251,  13.79664,  10.39741,-443.00885,  -5.54895,  91.61309,-452.58696,  -8.27430,  55.21856,-438.61040,  -7.82702,  14.51008,-443.34570,  -9.25360,   7.01924,-434.40055
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.57813, 109.69402,-453.08241,   0.44467, 118.68676,-453.07431,   0.29963, 134.96141,-451.24932,   0.00207, 141.37369,-450.55407,   5.31533, 131.65014,-451.68154,  10.65617, 131.52482,-451.93016,  16.38791, 111.31105,-464.19521,  23.39500,  90.64282,-459.65203,  -4.63841, 131.60340,-452.05313,  -9.89177, 130.60267,-451.99615, -16.68491, 107.73486,-456.77230, -19.69072,  93.02138,-440.29839,   7.34001,  91.92758,-451.70261,  10.59051,  56.09516,-436.44468,  13.30312,  19.71985,-455.13376,  13.48490,  10.36947,-448.01329,  -5.57103,  91.66258,-452.50846,  -8.19736,  55.33363,-438.34360,  -7.70926,  14.48545,-441.65887,  -9.14325,   6.99466,-432.71486
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.76797, 109.70236,-452.95936,   0.74824, 118.69596,-452.91567,   0.80288, 134.97782,-451.15108,   0.60393, 141.40117,-450.52637,   5.77783, 131.59584,-451.49841,  11.11840, 131.34344,-451.62739,  17.57087, 110.35569,-462.10408,  24.22233,  90.63736,-454.11277,  -4.16916, 131.68548,-452.01469,  -9.42692, 130.70753,-452.06052, -16.27726, 108.23463,-458.38010, -19.86998,  90.97146,-444.74243,   7.31935,  91.84143,-451.80181,  11.04403,  55.23853,-438.62277,  13.20768,  19.75783,-459.02478,  13.16230,  10.17428,-452.21912,  -5.60326,  91.74642,-452.44355,  -8.26109,  55.75237,-437.45362,  -7.61356,  14.82868,-439.60670,  -9.05678,   7.33786,-430.66420
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.98907, 109.70807,-452.81307,   1.09694, 118.70037,-452.69462,   1.36642, 134.96849,-450.82605,   1.26517, 141.39731,-450.23504,   6.29596, 131.51899,-451.15658,  11.62993, 131.13186,-451.18613,  18.81776, 109.36107,-459.32546,  24.63588,  91.22068,-447.75002,  -3.64447, 131.75199,-451.74889,  -8.90694, 130.80329,-451.84292, -15.76172, 108.80881,-459.66280, -19.89590,  89.40427,-449.49998,   7.29300,  91.74267,-451.93078,  11.24521,  54.53999,-440.63154,  12.99125,  19.59450,-461.97555,  12.68415,   9.76236,-455.54140,  -5.63852,  91.84358,-452.35534,  -8.39731,  56.46929,-435.97295,  -7.64158,  15.50957,-437.21134,  -9.08472,   8.05759,-428.23644
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.22544, 109.71037,-452.61270,   1.46865, 118.69714,-452.35569,   1.96635, 134.91751,-450.14939,   1.94619, 141.34523,-449.53844,   6.84722, 131.40917,-450.57029,  12.17110, 130.90129,-450.54958,  20.04518, 108.46178,-455.68262,  24.35761,  92.48854,-440.74360,  -3.09110, 131.78922,-451.12023,  -8.35847, 130.86541,-451.18249, -15.09969, 109.56351,-460.80954, -19.73892,  88.81031,-454.12423,   7.26153,  91.63893,-452.10088,  10.86838,  53.91194,-442.56164,  12.04106,  19.10299,-464.16638,  12.07520,   9.53743,-457.33539,  -5.67293,  91.94668,-452.24108,  -8.52949,  57.44634,-434.10546,  -7.75795,  16.46924,-434.39605,  -9.22690,   9.07241,-425.37981
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.30747, 109.70623,-452.68510,   1.63798, 118.68736,-452.34283,   2.40875, 134.80159,-449.52259,   2.42361, 141.22062,-448.82616,   7.23031, 131.24101,-450.14184,  12.54361, 130.63220,-450.12861,  20.83865, 107.81152,-451.64170,  23.19139,  94.32726,-434.04753,  -2.70725, 131.78742,-450.54623,  -7.97997, 130.89251,-450.55365, -14.62334, 110.55266,-462.13171, -19.62870,  89.15567,-458.38655,   7.24828,  91.60047,-452.28323,  10.26478,  53.48448,-444.19594,  11.13043,  17.70797,-464.17330,  11.64198,   9.96951,-455.34051,  -5.68253,  91.98629,-452.03856,  -8.69725,  58.47463,-432.15857,  -8.02923,  17.50364,-431.30125,  -9.51010,  10.22593,-422.19052
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82706, 109.70500,-452.90483,   1.05549, 118.68737,-452.51498,   2.19555, 134.63377,-448.96133,   2.28175, 141.03010,-448.08454,   6.93388, 131.01402,-449.82976,  12.24229, 130.36386,-449.84380,  20.45799, 107.53364,-448.06502,  20.90206,  96.83807,-428.51193,  -2.99606, 131.76994,-450.03478,  -8.27798, 130.93120,-450.05267, -14.89301, 111.67710,-463.37243, -20.33545,  90.13297,-461.60004,   7.30418,  91.78269,-452.57149,   9.39601,  54.33756,-441.57973,  10.95056,  18.20957,-460.87106,  11.29148,  10.71870,-451.81931,  -5.60456,  91.80442,-451.68906,  -8.91779,  59.34245,-430.18146,  -8.33222,  18.41174,-428.14754,  -9.90472,  11.51155,-418.76254
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79235, 109.70590,-452.88167,   1.09796, 118.67990,-452.37083,   2.63137, 134.43917,-448.18630,   2.90661, 140.80270,-447.12850,   7.27770, 130.76195,-449.28094,  12.59164, 130.15866,-449.26921,  20.49316, 107.46319,-445.47943,  19.34065,  99.37675,-424.73825,  -2.63600, 131.72921,-449.28972,  -7.93079, 130.98164,-449.38366, -14.35548, 112.64377,-464.02406, -20.25476,  91.16279,-463.20112,   7.27187,  91.78150,-452.95371,   9.64808,  55.31221,-439.10898,  11.12515,  18.61759,-457.30585,  11.46419,  11.12675,-448.25401,  -5.56258,  91.80535,-451.31330,  -8.61278,  59.84656,-429.02729,  -8.25496,  19.00264,-425.64367,  -9.93311,  12.83122,-415.78157
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.99553, 109.70201,-452.95609,   1.41375, 118.67041,-452.42690,   3.09247, 134.34605,-447.99159,   3.49808, 140.68013,-446.80659,   7.70464, 130.64455,-449.14711,  13.02333, 130.08449,-449.14705,  20.87790, 107.50967,-444.61229,  18.46422, 100.89160,-423.46304,  -2.19981, 131.70231,-449.13571,  -7.50437, 131.03397,-449.26786, -13.40749, 113.21438,-464.74400, -19.58767,  91.80524,-464.13990,   7.23047,  91.69110,-453.03427,  10.68555,  55.90716,-437.70769,  11.13933,  18.50861,-454.46914,  11.49185,  11.01776,-445.41782,  -5.57780,  91.89684,-451.21200,  -8.19028,  59.74684,-429.14649,  -8.32395,  18.99185,-424.80881,  -9.82806,  13.47392,-414.53975
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.05050, 109.69995,-452.98649,   1.46964, 118.66964,-452.48049,   3.05394, 134.37500,-448.11613,   3.47115, 140.71029,-446.94170,   7.68898, 130.68680,-449.22162,  13.00952, 130.14469,-449.21601,  20.76058, 107.41741,-445.30799,  17.92619, 100.83181,-424.20085,  -2.21961, 131.70331,-449.28154,  -7.52937, 131.07790,-449.41538, -12.96620, 113.28893,-465.09622, -19.19931,  91.91742,-463.94829,   7.23346,  91.67100,-452.94895,  10.97065,  56.10464,-437.18826,  10.87377,  17.91780,-452.07313,  11.23851,  10.42695,-443.02230,  -5.59611,  91.91751,-451.28884,  -8.79314,  59.44722,-429.77622, -10.22945,  18.62909,-426.36740, -10.48390,  12.72449,-416.20696
