time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.42432, 109.54754,  -1.77869,  -2.37705, 118.48527,  -1.46815,  -4.62789, 134.68541,  -2.30784,  -4.78736, 141.05121,  -3.37578,   0.77547, 132.01925,  -2.24628,   6.08075, 132.40297,  -1.69048,  14.78448, 111.02952,  -9.39123,  23.57181,  91.26403, -14.77861,  -9.08534, 130.63598,  -2.50714, -14.27348, 129.48366,  -1.90887, -21.97192, 106.42921,  -0.84982, -29.85886,  86.46141,   5.14970,   6.63314,  92.30491,  -2.79945,   1.03386,  53.95543,   2.23032,  -6.99089,  15.39956,  -9.12094,  -6.32069,   7.90868,  -0.08760,  -6.23624,  91.18959,  -3.54089,  -8.62427,  53.61619,   6.94104,  -7.95797,  22.82585, -20.10178, -13.31968,  12.81155, -17.08028
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.77891, 109.50239,  -1.67157,  -2.84864, 118.42585,  -1.33292,  -5.01899, 134.63307,  -2.24473,  -5.08662, 140.98297,  -3.41237,   0.36717, 131.93230,  -2.30597,   5.69598, 132.24944,  -1.98154,  14.57973, 111.19234, -10.32170,  23.75842,  91.72635, -16.13051,  -9.50562, 130.61133,  -2.29148, -14.67919, 129.51493,  -1.49486, -22.18854, 106.44735,   0.34684, -29.72557,  86.61815,   7.19571,   6.66948,  92.45714,  -2.83671,   1.16103,  54.17989,   2.80607,  -7.05714,  15.52393,  -8.05586,  -6.39845,   8.03306,   0.97832,  -6.17376,  91.04993,  -3.53348,  -8.07798,  52.69277,   3.70781,  -6.41814,  23.74499, -25.25896, -10.48569,  13.13717, -22.24352
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.09522, 109.45815,  -1.61597,  -3.25943, 118.36931,  -1.26525,  -5.31090, 134.58853,  -2.23709,  -5.30982, 140.92457,  -3.47958,   0.04658, 131.83801,  -2.43863,   5.38797, 132.09172,  -2.35327,  14.42139, 111.29322, -11.16807,  24.14650,  92.10350, -17.00691,  -9.83276, 130.60792,  -2.11838, -14.98408, 129.59386,  -1.09950, -22.22613, 106.51036,   1.46962, -29.29918,  86.74250,   8.96058,   6.69827,  92.59322,  -2.84964,   1.21190,  54.41190,   3.42878,  -7.04678,  15.62509,  -6.92406,  -6.40399,   8.13425,   2.11129,  -6.11440,  90.92618,  -3.53604,  -7.36752,  52.04341,   0.19135,  -4.84268,  24.20301, -29.78099,  -7.45178,  13.18192, -26.63587
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.34806, 109.41318,  -1.52105,  -3.57725, 118.31440,  -1.14086,  -5.48038, 134.54835,  -2.16696,  -5.40599, 140.87169,  -3.47046,  -0.16219, 131.73685,  -2.51470,   5.18018, 131.92894,  -2.67046,  14.34490, 111.34118, -11.83741,  24.80931,  92.43524, -17.31254, -10.03964, 130.61940,  -1.87881, -15.16289, 129.70957,  -0.64308, -22.09712, 106.62052,   2.62913, -28.59191,  86.83322,  10.57843,   6.72048,  92.70553,  -2.89557,   1.30418,  54.63738,   4.09100,  -7.01349,  15.67982,  -5.54892,  -6.33972,   8.18894,   3.48415,  -6.06615,  90.82641,  -3.51656,  -6.57100,  51.75001,  -3.17843,  -3.38690,  24.05636, -33.22383,  -4.90835,  12.85345, -30.00769
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.55782, 109.37149,  -1.43540,  -3.83746, 118.26433,  -1.02658,  -5.60256, 134.51100,  -2.09703,  -5.45055, 140.82164,  -3.45425,  -0.32554, 131.64228,  -2.57874,   5.00683, 131.74142,  -2.97642,  14.25602, 111.31458, -12.41449,  25.76079,  92.81271, -17.13009, -10.19179, 130.63151,  -1.65540, -15.28019, 129.81638,  -0.22493, -21.88142, 106.74248,   3.76435, -27.71060,  86.85902,  11.98502,   6.73722,  92.79915,  -2.92971,   1.46484,  54.85418,   4.79775,  -6.87596,  15.71210,  -4.04145,  -6.21677,   8.22122,   4.99269,  -6.02445,  90.74440,  -3.50629,  -5.82965,  51.76131,  -6.26564,  -2.08319,  23.33400, -35.55139,  -3.01247,  12.04157, -32.42393
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.74204, 109.33354,  -1.37433,  -4.05792, 118.22019,  -0.94651,  -5.66384, 134.47982,  -2.06953,  -5.45066, 140.78487,  -3.44435,  -0.43394, 131.54746,  -2.66786,   4.87702, 131.54049,  -3.29685,  14.15660, 111.18937, -12.86774,  26.88292,  93.26333, -16.55741, -10.28439, 130.65634,  -1.48811, -15.33065, 129.93879,   0.13141, -21.55903, 106.87335,   4.72358, -26.80378,  86.91098,  13.14423,   6.74993,  92.87840,  -2.92495,   1.46669,  55.12791,   5.69599,  -6.74921,  15.77262,  -2.27035,  -6.09901,   8.28176,   6.76446,  -5.98582,  90.67573,  -3.52806,  -5.12808,  52.00296,  -9.09720,  -1.06592,  22.25952, -37.00113,  -1.93872,  11.14907, -33.26487
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.84721, 109.32210,  -1.44846,  -4.16750, 118.20951,  -1.05106,  -5.60184, 134.48220,  -2.21644,  -5.31885, 140.78571,  -3.58574,  -0.42286, 131.48349,  -2.91962,   4.85542, 131.35058,  -3.77059,  14.15269, 110.99379, -13.31222,  28.29979,  93.94126, -15.75888, -10.25380, 130.71812,  -1.51113, -15.25476, 130.11277,   0.28511, -21.10558, 107.03690,   5.30185, -25.81747,  86.99681,  13.85193,   6.75566,  92.92054,  -2.87920,   1.32258,  55.43106,   6.73087,  -6.65763,  15.84555,  -0.27673,  -6.01502,   8.35469,   8.75863,  -5.96224,  90.63678,  -3.55316,  -4.31870,  52.38700, -11.40092,  -0.45521,  20.77873, -37.20390,  -1.65995,  10.09737, -32.44778
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.86503, 109.33429,  -1.61076,  -4.14968, 118.22927,  -1.26992,  -5.36615, 134.51955,  -2.43727,  -5.00422, 140.82624,  -3.77290,  -0.24690, 131.44338,  -3.23665,   4.99060, 131.13762,  -4.27451,  14.31867, 110.72078, -13.65643,  29.96216,  94.87489, -14.70735, -10.05841, 130.82589,  -1.63347, -15.01350, 130.32768,   0.31623, -20.51890, 107.24322,   5.67287, -24.80443,  87.09426,  14.19137,   6.75455,  92.92392,  -2.80945,   1.37036,  55.68634,   7.75964,  -6.50375,  15.89484,   1.89126,  -5.85960,   8.40397,  10.92650,  -5.95617,  90.63000,  -3.57768,  -3.65911,  52.74804, -12.90585,   0.10310,  19.51590, -36.59706,  -1.42372,   9.31175, -30.96608
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.80562, 109.36562,  -1.85978,  -4.02484, 118.27275,  -1.60740,  -5.00586, 134.57976,  -2.76282,  -4.57535, 140.89671,  -4.02775,   0.05202, 131.42422,  -3.63976,   5.24989, 130.95316,  -4.80695,  14.58149, 110.40580, -13.89583,  31.57283,  95.98202, -13.49023,  -9.74199, 130.95964,  -1.88516, -14.65070, 130.56278,   0.20041, -19.90657, 107.46395,   5.74256, -23.84879,  87.22909,  14.22314,   6.74901,  92.89818,  -2.75725,   1.42348,  55.92561,   8.73187,  -6.23673,  15.91746,   4.20722,  -5.59417,   8.42658,  13.24256,  -5.96718,  90.64701,  -3.56049,  -3.36651,  52.86952, -13.22650,   0.77656,  18.58098, -35.29308,  -1.02373,   8.80190, -29.02473
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.63293, 109.40683,  -2.01767,  -3.74578, 118.32943,  -1.82798,  -4.50332, 134.64679,  -3.00521,  -4.01992, 140.97585,  -4.18779,   0.49694, 131.41614,  -3.93738,   5.66213, 130.80656,  -5.18289,  14.89639, 110.06172, -13.91563,  33.07665,  97.30656, -11.99221,  -9.28055, 131.09781,  -2.06217, -14.15448, 130.80286,   0.11965, -19.27872, 107.69959,   5.76559, -22.98943,  87.38794,  14.16668,   6.73788,  92.82649,  -2.76159,   1.50018,  56.10886,   9.55566,  -5.88139,  15.89459,   6.70460,  -5.23819,   8.40372,  15.73991,  -6.00418,  90.70722,  -3.51216,  -3.22933,  52.84563, -12.79300,   1.40884,  17.83222, -33.58606,  -0.51694,   8.45222, -26.76913
