time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.51708, 109.62914,  -3.83458,  -0.72480, 118.52815,  -2.54939,  -0.77164, 132.60599,   5.81890,  -0.65947, 138.33258,   8.79930,   4.22038, 129.81138,   3.92721,   9.48245, 129.60818,   4.86069,  17.71882, 112.12089,  -9.91218,  27.27912,  92.95512, -16.09192,  -5.73996, 129.83271,   3.83617, -11.00786, 129.46056,   4.68069, -18.20778, 114.24833, -12.88759, -26.15402,  97.76529, -25.61857,   6.53756,  91.95213,  -2.82047,   3.56084,  56.08632,  12.41486,   4.54070,  15.51751,   6.66902,   3.65119,   8.02667,  15.68343,  -6.39347,  91.51963,  -2.94697,  -4.76206,  55.66826,  12.52405,  -9.04263,  19.39530,  -6.07036,  -9.55240,   9.74513,   0.62127
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.62822, 109.63125,  -3.70934,  -0.86081, 118.52275,  -2.37733,  -0.80743, 132.60221,   5.98819,  -0.67184, 138.34533,   8.93563,   4.16353, 129.78541,   4.07410,   9.42988, 129.55401,   4.97636,  17.56744, 112.13663,  -9.93322,  27.15622,  92.97176, -16.07151,  -5.79693, 129.85035,   4.02894, -11.06331, 129.50915,   4.89578, -18.44386, 114.64097, -12.89073, -26.70741,  98.37499, -25.69864,   6.55143,  91.99677,  -2.84257,   3.74585,  56.19227,  12.56842,   4.99897,  15.49239,   7.90448,   4.09743,   8.00154,  16.91769,  -6.37637,  91.47439,  -2.95977,  -4.82762,  55.13130,  11.32712,  -9.06452,  20.22473,  -9.72954,  -8.45534,  10.06397,  -3.85149
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.74093, 109.63182,  -3.57504,  -0.99881, 118.51369,  -2.18470,  -0.85205, 132.57100,   6.21688,  -0.69932, 138.32543,   9.14134,   4.09928, 129.73689,   4.27763,   9.36810, 129.46480,   5.15376,  17.23650, 112.06253,  -9.91706,  26.71438,  92.86933, -16.13852,  -5.86089, 129.84667,   4.26852, -11.12703, 129.53837,   5.14900, -18.55454, 114.87434, -12.78682, -26.91219,  98.77740, -25.74635,   6.56525,  92.04199,  -2.87457,   4.02028,  56.35406,  12.84889,   5.59509,  15.55092,   9.32371,   4.68954,   8.06005,  18.33651,  -6.35878,  91.42902,  -2.96518,  -4.63382,  54.56497,   9.89563,  -8.51003,  20.63929, -12.77210,  -7.47751,  10.05482,  -7.76546
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.87876, 109.62889,  -3.44676,  -1.17359, 118.49982,  -1.99525,  -0.95100, 132.51944,   6.46741,  -0.76684, 138.27766,   9.38258,   3.98444, 129.67388,   4.50455,   9.25333, 129.35555,   5.36450,  16.73033, 111.93106,  -9.87894,  25.88659,  92.64092, -16.27962,  -5.97520, 129.82393,   4.51852, -11.24131, 129.53039,   5.40421, -18.56751, 114.93614, -12.62993, -26.84227,  98.93963, -25.76579,   6.58169,  92.09806,  -2.91280,   4.33858,  56.53937,  13.14584,   6.25793,  15.65899,  10.92915,   5.35452,   8.16812,  19.94216,  -6.33681,  91.37376,  -2.96270,  -4.05114,  53.84112,   7.68672,  -7.09439,  20.05510, -15.31430,  -6.74397,   9.36822, -10.43256
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.03346, 109.62260,  -3.31819,  -1.37343, 118.48180,  -1.80620,  -1.09341, 132.46460,   6.71547,  -0.85912, 138.22224,   9.62819,   3.82954, 129.61695,   4.72451,   9.10028, 129.25838,   5.55687,  16.12694, 111.77477,  -9.83242,  24.79056,  92.34466, -16.49032,  -6.12966, 129.78818,   4.77138, -11.39639, 129.47895,   5.64794, -18.50311, 114.81630, -12.41851, -26.51077,  98.82818, -25.72896,   6.59945,  92.16127,  -2.98051,   4.76223,  56.74299,  13.43601,   6.99596,  15.82454,  12.73352,   6.07947,   8.33368,  21.74522,  -6.31146,  91.31230,  -2.93082,  -3.79522,  53.17747,   5.23844,  -5.97991,  18.31327, -16.19793,  -5.98841,   8.48445,  -9.75140
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.03229, 109.62315,  -3.29424,  -1.36542, 118.47870,  -1.75951,  -1.07083, 132.42002,   6.82936,  -0.79342, 138.17458,   9.74438,   3.84779, 129.59236,   4.79956,   9.12439, 129.18966,   5.57242,  15.68778, 111.63965,  -9.94530,  23.77537,  92.07256, -16.91920,  -6.11137, 129.74277,   4.89757, -11.37648, 129.37752,   5.76230, -18.16918, 114.54819, -12.28890, -25.77714,  98.47390, -25.72939,   6.59866,  92.15927,  -3.06023,   5.32675,  56.88608,  13.71825,   7.84638,  15.98920,  14.66660,   6.93240,   8.49834,  23.67855,  -6.31100,  91.31416,  -2.85778,  -3.71224,  52.88155,   3.73882,  -5.09732,  17.16430, -16.31518,  -5.05953,   8.46940,  -8.40564
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.83060, 109.63430,  -3.33463,  -1.09660, 118.49026,  -1.78918,  -0.84926, 132.35732,   6.92055,  -0.54423, 138.10156,   9.85311,   4.07724, 129.58059,   4.84018,   9.36222, 129.15711,   5.54137,  15.40173, 111.56352, -10.13889,  22.92599,  91.90138, -17.46701,  -5.88204, 129.66343,   4.99167, -11.14014, 129.21390,   5.85931, -17.54175, 114.17454, -12.16102, -24.66576,  97.91286, -25.64128,   6.57489,  92.07380,  -3.08821,   5.94887,  56.85439,  13.83909,   8.77055,  16.06889,  16.73471,   7.84060,   8.57802,  25.74501,  -6.34343,  91.39652,  -2.81854,  -3.42758,  52.89800,   3.23919,  -4.07783,  16.41511, -15.42571,  -4.13494,   8.60530,  -6.64123
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.56548, 109.64486,  -3.38769,  -0.75799, 118.50080,  -1.83130,  -0.64025, 132.27870,   7.02146,  -0.34641, 137.99884,  10.00189,   4.31239, 129.56626,   4.91846,   9.60408, 129.16827,   5.58306,  15.07893, 111.60063, -10.33185,  22.06990,  91.91643, -18.11481,  -5.64740, 129.56155,   5.05881, -10.89571, 129.03605,   5.94292, -16.87705, 113.71451, -11.98385, -23.46584,  97.18042, -25.40484,   6.54323,  91.96355,  -3.05486,   6.60594,  56.64905,  13.68476,   9.67084,  16.09817,  18.78724,   8.70190,   8.60731,  27.79345,  -6.38565,  91.50383,  -2.83711,  -2.92804,  53.15708,   3.86407,  -3.27624,  16.09810, -13.63775,  -3.29020,   8.60726,  -4.57956
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.38479, 109.64840,  -3.45896,  -0.53366, 118.50650,  -1.91008,  -0.53462, 132.22720,   7.03187,  -0.26546, 137.92535,  10.05641,   4.44210, 129.56354,   4.92336,   9.73790, 129.21374,   5.58233,  14.76719, 111.74011, -10.58119,  21.27456,  92.13780, -18.96682,  -5.51771, 129.48748,   5.03956, -10.75877, 128.90216,   5.92903, -16.33956, 113.25671, -11.84651, -22.42056,  96.35312, -25.04504,   6.52070,  91.88918,  -3.01430,   7.30880,  56.29736,  13.10817,  10.50779,  16.13812,  20.64506,   9.32886,   8.64727,  29.62620,  -6.41347,  91.57720,  -2.85781,  -2.25858,  53.55021,   5.14337,  -2.43710,  16.14506, -11.60852,  -2.50131,   8.65417,  -2.55060
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.28004, 109.64567,  -3.60493,  -0.40886, 118.51166,  -2.10000,  -0.52767, 132.19851,   6.89288,  -0.27529, 137.87830,   9.95321,   4.47125, 129.58958,   4.76852,   9.77320, 129.28097,   5.39789,  14.49284, 111.92784, -10.98731,  20.66679,  92.52563, -20.06210,  -5.48726, 129.41949,   4.89639, -10.72129, 128.75459,   5.77123, -15.94620, 112.79185, -11.82952, -21.61377,  95.47910, -24.67702,   6.50616,  91.84367,  -3.04861,   7.80792,  56.00798,  12.48976,  11.05259,  16.21787,  21.76458,   9.35758,   9.03365,  30.91212,  -6.42812,  91.62347,  -2.78282,  -2.08408,  53.84165,   6.21702,  -1.88590,  16.11286,  -9.79241,  -1.94268,   8.62205,  -0.73437
