time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.09206, 109.57254,  -4.24336,  -1.20523, 118.56545,  -4.20039,   0.29346, 134.61347,  -1.29677,   1.01759, 140.99151,  -0.60000,   1.99359, 131.92847,  -6.41623,   5.21504, 132.42556, -10.65618,   1.94094, 110.30148, -20.23147,   5.11823,  88.97978, -25.90643,  -2.45780, 130.74646,   2.41582,  -4.28537, 129.65005,   7.32096,  -9.33894, 106.20975,  11.43304,  -3.28875,  85.98738,  18.59976,   2.37723,  91.41708,  -8.89273,  15.94399,  54.81199,  -7.06449, -12.75712,  26.13509, -12.86834, -13.36490,  14.40432, -13.29644,  -2.07291,  92.07045,   3.23921,   4.50244,  53.54650,   3.30508,  -6.35884,  14.38826,  -2.03043,   1.25053,   6.89734,   2.88355
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.36691, 109.56859,  -3.99680,  -1.55224, 118.55950,  -3.86897,   0.17622, 134.59625,  -1.03149,   1.00747, 140.96418,  -0.36239,   1.52008, 131.92178,  -6.26120,   4.39608, 132.47551, -10.73603,  -1.14418, 111.18716, -21.12798,  -0.66759,  90.26354, -28.80199,  -2.32655, 130.72484,   2.84857,  -3.78876, 129.62639,   7.87429,  -7.05252, 106.32262,  14.05308,   1.95087,  87.80574,  22.59564,   2.19080,  91.52734,  -9.00971,  18.20402,  55.97177,  -6.41927,  -7.60959,  24.64598, -12.08984,  -6.15669,  13.01184, -12.92613,  -1.80989,  91.96128,   3.28748,   3.15553,  53.19759,   3.05391,  -8.87992,  14.37648,  -2.22549,  -1.26317,   6.88556,   2.67706
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.45916, 109.57466,  -3.73685,  -1.64551, 118.56356,  -3.50854,   0.31360, 134.57813,  -0.69581,   1.24417, 140.93173,  -0.02126,   1.36141, 131.92219,  -6.00210,   3.96631, 132.57288, -10.62737,  -3.70506, 112.32625, -21.72263,  -6.16901,  92.15915, -30.89500,  -1.99687, 130.70033,   3.29554,  -3.15247, 129.62162,   8.40470,  -4.47273, 106.61096,  16.19329,   7.30590,  90.28256,  25.76189,   2.07005,  91.62594,  -9.09048,  19.68035,  56.84803,  -6.31438,  -1.40930,  22.07845, -11.42376,   2.29652,  10.94756, -12.15434,  -1.66343,  91.86099,   3.29582,   1.51094,  52.91225,   2.79287, -11.20571,  14.28733,  -2.32629,  -3.59194,   6.79643,   2.58090
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.32428, 109.59575,  -3.50771,  -1.42123, 118.58317,  -3.18513,   0.77861, 134.56658,  -0.37312,   1.77862, 140.90835,   0.31332,   1.60617, 131.92810,  -5.72682,   4.00654, 132.70466, -10.44246,  -5.60025, 113.62385, -22.08347, -10.83909,  94.52584, -32.31754,  -1.41570, 130.68878,   3.68325,  -2.34765, 129.60463,   8.83675,  -1.78545, 106.98680,  17.78176,  12.50660,  93.28024,  28.01790,   2.01280,  91.69400,  -9.13481,  20.14541,  57.16480,  -6.62969,   5.87332,  18.94377, -10.53650,  11.73246,   8.77026, -11.11420,  -1.64377,  91.78706,   3.27629,  -0.43855,  52.73272,   2.47614, -13.40135,  14.14679,  -2.30870,  -5.78749,   6.65596,   2.59844
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.00161, 109.62201,  -3.42977,  -0.95046, 118.60786,  -3.05685,   1.40461, 134.55386,  -0.15950,   2.42591, 140.88938,   0.55278,   2.12915, 131.95085,  -5.54540,   4.42831, 132.81387, -10.29631,  -7.20181, 115.19190, -22.38297, -14.48369,  97.20187, -33.34875,  -0.75228, 130.66019,   3.90175,  -1.55880, 129.54970,   9.07078,   0.69592, 107.30521,  18.66214,  17.14256,  96.43847,  29.07045,   1.99854,  91.68586,  -9.13651,  19.26854,  56.68292,  -7.16827,  13.88216,  16.11795,  -9.46464,  21.77457,   7.41159,  -9.73422,  -1.71943,  91.78788,   3.25627,  -2.84196,  52.73692,   2.20940, -15.71702,  14.07081,  -2.14579,  -8.08621,   6.57985,   2.73476
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.62898, 109.63771,  -3.54687,  -0.42342, 118.62201,  -3.19022,   2.01221, 134.53000,  -0.15384,   3.00014, 140.86348,   0.62095,   2.73530, 131.96820,  -5.55966,   5.01273, 132.90230, -10.30759,  -8.50542, 116.91237, -22.69558, -17.05317,  99.80250, -34.14565,  -0.17569, 130.61443,   3.86958,  -0.96156, 129.51634,   9.04443,   2.56845, 107.55778,  18.90627,  20.65011,  99.20700,  28.91771,   2.04462,  91.59848,  -9.08865,  17.11774,  55.56628,  -7.74179,  21.19721,  14.79118,  -8.48498,  30.66898,   7.84754,  -8.00038,  -1.86934,  91.87089,   3.24104,  -4.46858,  52.89790,   1.94308, -17.94582,  14.44298,  -2.45982, -10.57523,   6.86562,   2.68038
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.36436, 109.64757,  -3.50198,  -0.05000, 118.62664,  -3.09623,   2.43273, 134.49425,   0.10859,   3.40156, 140.82233,   0.94884,   3.22820, 131.97150,  -5.30542,   5.55577, 132.99388, -10.01065,  -9.33475, 118.36927, -22.51162, -18.64975, 101.90682, -34.30712,   0.15571, 130.56019,   4.06396,  -0.70764, 129.46544,   9.22715,   3.67334, 107.67030,  19.11018,  22.63515, 100.79772,  28.60377,   2.13399,  91.58612,  -9.05314,  15.79905,  54.98804,  -7.96743,  25.68253,  15.21259,  -7.78336,  35.73547,   9.38669,  -6.00550,  -2.03245,  91.88050,   3.19303,  -5.38783,  52.95039,   2.47066, -20.65762,  15.15856,  -1.82054, -13.59144,   7.17733,   3.13251
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.23358, 109.65619,  -3.24318,   0.12231, 118.62658,  -2.70224,   2.55049, 134.46010,   0.70648,   3.51289, 140.77852,   1.62331,   3.48955, 131.98183,  -4.70508,   5.93872, 133.04599,  -9.33878,  -9.67477, 119.23370, -21.88152, -19.34635, 103.17447, -33.94291,   0.15654, 130.49790,   4.56348,  -0.84150, 129.33426,   9.68719,   3.88467, 107.45869,  19.22752,  22.95873, 100.68769,  28.56802,   2.23909,  91.67088,  -9.04732,  15.51972,  54.94689,  -7.52891,  25.50711,  15.20231,  -6.87836,  35.28540,   8.99138,  -4.88513,  -2.17400,  91.79333,   3.11509,  -6.38232,  52.93994,   3.30855, -23.60761,  15.98074,  -0.82785, -17.10601,   7.39901,   3.88881
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.20649, 109.65793,  -2.87246,   0.13138, 118.61686,  -2.15799,   2.39602, 134.43410,   1.43402,   3.33521, 140.74358,   2.43277,   3.50089, 131.99932,  -3.96595,   6.06969, 133.05550,  -8.53627,  -9.42631, 119.30426, -21.29001, -19.02186, 103.26082, -33.43288,  -0.09219, 130.43447,   5.19146,  -1.22489, 129.14363,  10.25636,   2.91976, 106.91178,  19.22643,  21.41203,  98.85882,  28.71836,   2.35268,  91.81132,  -9.05489,  16.19926,  55.34800,  -6.59903,  22.99674,  14.94286,  -5.58827,  31.92371,   7.45201,  -4.05201,  -2.29514,  91.65242,   3.01935,  -7.12811,  52.89301,   4.31738, -26.61772,  17.06159,   0.30898, -20.95804,   7.81271,   4.84657
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.27011, 109.64752,  -2.44024,   0.03067, 118.59119,  -1.54170,   2.22152, 134.39348,   2.16019,   3.19999, 140.68885,   3.20907,   3.41528, 131.98512,  -3.23270,   6.02959, 132.98313,  -7.79027,  -8.52022, 118.43198, -20.76902, -17.35398, 101.97565, -32.93741,  -0.32259, 130.37393,   5.85847,  -1.53599, 128.92286,  10.86093,   0.96447, 106.12082,  18.96710,  18.12140,  95.52081,  28.46397,   2.42999,  91.98822,  -9.08343,  16.25184,  55.56789,  -5.94526,  18.84900,  14.68283,  -4.73295,  27.77304,   7.19197,  -3.17988,  -2.35472,  91.47841,   2.92745,  -6.91884,  52.73058,   5.18760, -28.79544,  18.28602,   1.34180, -24.61512,   8.25301,   5.81696
