time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.72672, 109.59852,  -4.18176,  -1.42787, 118.56471,  -4.12674,  -3.82897, 134.53860,  -1.42758,  -4.62661, 140.92828,  -1.90200,  -1.71198, 132.26036,  -6.58864,   0.75615, 133.12136, -11.25437,   0.62782, 112.35132, -23.92203,   2.35231,  93.16567, -35.14043,  -5.39930, 130.18279,   2.42826,  -6.98343, 128.75701,   7.33338,  -8.99288, 105.23634,  13.21858,  -6.67313,  84.79172,  21.79457,   2.11963,  91.37116,  -8.97079,  17.90512,  55.74936,  -5.93136, -11.21685,  27.76910, -12.91840, -11.62434,  16.20693, -14.99534,  -1.91712,  92.10912,   3.30010,   8.70513,  54.50445,   2.67538,   2.12406,  15.28941,  -7.25807,   8.03844,   7.79851,  -0.39731
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.79488, 109.60838,  -3.99184,  -1.44563, 118.57768,  -3.86824,  -3.39951, 134.61166,  -1.16457,  -4.07700, 141.01613,  -1.62608,  -1.59646, 132.26058,  -6.41147,   0.55971, 133.02331, -11.24585,  -0.99709, 112.24940, -23.81175,  -0.01895,  93.01165, -35.03083,  -4.85049, 130.31131,   2.79878,  -6.14974, 128.98281,   7.81371,  -7.41566, 105.61172,  14.45339,  -4.35109,  85.37282,  23.27984,   1.96892,  91.44153,  -9.05152,  20.27358,  57.21026,  -4.52474,  -5.69202,  26.42715, -12.13992,  -3.95614,  15.19432, -15.13556,  -1.74741,  92.03601,   3.32791,   8.20929,  54.25055,   2.65141,   0.91731,  15.07830,  -6.94881,   6.83494,   7.58741,  -0.09083
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.78752, 109.62177,  -3.75848,  -1.35587, 118.59536,  -3.56153,  -2.85178, 134.69007,  -0.92744,  -3.42901, 141.10409,  -1.39269,  -1.38175, 132.25347,  -6.23879,   0.43914, 132.92644, -11.22212,  -2.50186, 112.08825, -23.42873,  -2.28398,  92.77201, -34.55306,  -4.16776, 130.45754,   3.15428,  -5.17412, 129.24686,   8.26544,  -5.87929, 106.03306,  15.51235,  -2.13098,  86.00536,  24.55407,   1.75928,  91.51760,  -9.14608,  21.73915,  58.38620,  -3.62812,   0.41376,  24.22880, -11.26374,   4.14672,  13.41572, -13.96666,  -1.53983,  91.95621,   3.35744,   7.57756,  53.96492,   2.42518,  -0.25523,  14.77780,  -6.67539,   5.69664,   7.28698,   0.15297
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.63875, 109.63717,  -3.55119,  -1.07249, 118.61696,  -3.30142,  -2.12177, 134.76831,  -0.80167,  -2.62420, 141.18799,  -1.27557,  -0.99515, 132.23940,  -6.15368,   0.48561, 132.81187, -11.26070,  -3.85105, 111.90843, -22.92776,  -4.24950,  92.50157, -33.88816,  -3.28630, 130.61187,   3.40242,  -3.98686, 129.50659,   8.58798,  -4.32914, 106.46641,  16.39365,   0.02963,  86.65319,  25.63206,   1.52199,  91.57180,  -9.22983,  22.41009,  59.09566,  -3.20322,   6.75999,  21.79696,  -9.81269,  12.47222,  11.70899, -11.75350,  -1.34400,  91.89772,   3.38343,   6.92159,  53.72260,   2.08925,  -1.34813,  14.50256,  -6.46660,   4.62782,   7.01166,   0.34060
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.42366, 109.64839,  -3.42376,  -0.69635, 118.63420,  -3.16323,  -1.29760, 134.83832,  -0.86514,  -1.74804, 141.26093,  -1.35135,  -0.51257, 132.20900,  -6.22975,   0.64175, 132.66782, -11.43158,  -5.04250, 111.74035, -22.45931,  -5.97928,  92.24481, -33.22789,  -2.31136, 130.76824,   3.46075,  -2.71821, 129.74617,   8.69452,  -2.76201, 106.88889,  17.02749,   2.07776,  87.26375,  26.42651,   1.27376,  91.59473,  -9.29382,  22.35176,  59.21901,  -3.38937,  13.18273,  19.50799,  -7.72147,  20.77129,  10.62724,  -9.02898,  -1.15570,  91.87166,   3.41191,   6.20471,  53.52447,   1.78361,  -2.46997,  14.30217,  -6.35052,   3.52172,   6.81129,   0.44286
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19086, 109.65404,  -3.38066,  -0.30240, 118.64417,  -3.15208,  -0.49752, 134.89324,  -1.11600,  -0.92108, 141.31736,  -1.60641,  -0.02783, 132.15936,  -6.46519,   0.82439, 132.50326, -11.73373,  -6.16823, 111.59916, -22.02947,  -7.50492,  92.04673, -32.65169,  -1.36759, 130.91663,   3.32653,  -1.48508, 129.97050,   8.58900,  -1.33572, 107.29885,  17.41337,   3.87433,  87.82905,  26.93667,   1.03026,  91.58997,  -9.33649,  21.37789,  58.61460,  -4.24425,  19.47931,  17.68439,  -5.20155,  28.59122,  10.31742,  -6.13125,  -0.97708,  91.87484,   3.44256,   5.53942,  53.39117,   1.47366,  -3.79035,  14.25961,  -6.36721,   2.21868,   6.76869,   0.41079
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.05304, 109.65298,  -3.46005,  -0.05070, 118.64557,  -3.31669,   0.09648, 134.93002,  -1.58147,  -0.32629, 141.35480,  -2.06388,   0.28196, 132.09201,  -6.89371,   0.84103, 132.32736, -12.20729,  -7.42169, 111.50836, -21.70347,  -8.88215,  91.95478, -32.30724,  -0.63316, 131.04954,   2.97001,  -0.48260, 130.19404,   8.24712,  -0.17981, 107.69818,  17.50671,   5.20066,  88.32312,  27.12796,   0.80963,  91.54759,  -9.35274,  19.00933,  57.19299,  -5.36970,  24.94227,  16.71485,  -2.89518,  35.20158,  11.04290,  -3.75488,  -0.79485,  91.91752,   3.48094,   4.91699,  53.32137,   1.23457,  -5.43666,  14.44538,  -6.59244,   0.59030,   6.95455,   0.16972
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.02788, 109.64614,  -3.65498,   0.10870, 118.63949,  -3.64296,   0.52350, 134.94965,  -2.22075,   0.09876, 141.37639,  -2.67451,   0.45571, 132.01312,  -7.48200,   0.73834, 132.15558, -12.82072,  -8.60212, 111.43303, -21.49323, -10.04557,  91.96188, -32.24991,  -0.06470, 131.16246,   2.42874,   0.32502, 130.40294,   7.70830,   0.79788, 108.08384,  17.37936,   6.16533,  88.74264,  27.07571,   0.62106,  91.46439,  -9.34230,  16.75504,  56.06557,  -5.60732,  28.69856,  17.08542,  -1.39975,  39.72411,  13.11890,  -2.33125,  -0.62883,  92.00262,   3.52482,   4.32953,  53.30391,   1.25353,  -7.45360,  14.92294,  -6.98427,  -1.41229,   7.43208,  -0.23496
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.08259, 109.63675,  -3.84736,   0.21360, 118.62873,  -3.96726,   0.79597, 134.95872,  -2.86812,   0.37480, 141.38743,  -3.29650,   0.52018, 131.92561,  -8.06742,   0.56815, 131.96048, -13.41518,  -9.64129, 111.33025, -21.29184, -10.83910,  92.02818, -32.37836,   0.34611, 131.26327,   1.86979,   0.96441, 130.59118,   7.13937,   1.48316, 108.43406,  17.17373,   6.73673,  89.10515,  26.95658,   0.47818,  91.38488,  -9.32332,  15.95917,  55.72976,  -5.27562,  30.54174,  17.69681,  -0.73184,  41.95485,  15.08469,  -1.77170,  -0.50120,  92.08475,   3.55945,   3.41427,  53.26624,   1.29536,  -9.85722,  15.47317,  -7.38537,  -3.80813,   7.98232,  -0.64302
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.18819, 109.63221,  -3.91213,   0.37470, 118.62175,  -4.11384,   1.04560, 134.96646,  -3.32878,   0.62615, 141.39524,  -3.75771,   0.61382, 131.84090,  -8.46231,   0.47061, 131.77655, -13.80809, -10.28541, 111.18047, -21.01853, -11.01548,  92.08542, -32.49727,   0.71521, 131.35920,   1.48630,   1.54233, 130.77033,   6.73717,   2.05115, 108.76330,  17.09705,   6.96926,  89.36377,  26.91445,   0.39616,  91.35619,  -9.31740,  15.15521,  55.42964,  -4.98313,  30.55700,  17.72321,  -0.42106,  42.09020,  15.65359,  -1.35148,  -0.44860,  92.11471,   3.57158,   1.90970,  53.16741,   1.36240, -12.69779,  15.95509,  -7.67458,  -6.64185,   8.46422,  -0.93841
