time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.87966, 109.55628,  -4.57269,   1.51302, 118.52106,  -4.91729,   2.95212, 134.77254,  -3.49100,   2.55442, 141.20866,  -3.81883,   4.84384, 131.61440,  -8.26133,   7.92196, 131.46812, -12.63236,   3.51724, 109.16200, -21.28778,  17.06562,  91.80892, -17.79100,   0.04270, 131.27449,   0.45937,  -2.62321, 130.50930,   5.03211, -14.72285, 109.41138,   4.42238, -11.33767,  89.15070,  13.08011,   1.90263,  91.01828,  -8.88191,  15.66401,  54.50875,  -6.64347, -18.52366,  32.18014, -10.17042, -24.21571,  21.95147, -11.23741,  -2.14776,  92.47377,   3.32016,  10.12882,  55.37143,   3.13137,  -5.85588,  19.00179,  -6.94540,   1.91054,  11.51098,  -2.28341
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.82977, 109.60232,  -4.05696,   1.42319, 118.57456,  -4.24122,   2.84075, 134.84501,  -3.02510,   2.39079, 141.27813,  -3.34389,   4.62688, 131.64140,  -7.80581,   7.36806, 131.60808, -12.39786,  -0.56300, 111.07125, -22.75246,  10.60333,  91.87509, -24.68533,   0.04014, 131.38073,   1.03223,  -2.29478, 130.72783,   5.79924, -12.20071, 108.62553,   8.09187,  -2.18621,  91.98366,  19.03122,   2.12855,  91.21334,  -8.89760,  18.84596,  56.15417,  -4.57147, -14.61269,  32.92437,  -9.12098, -18.54976,  22.06540, -11.29946,  -2.35978,  92.26589,   3.19214,   6.86360,  54.29021,   2.85863,  -8.83411,  17.70886,  -6.89786,  -1.19417,  10.23510,  -2.00523
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.85420, 109.63202,  -3.37940,   1.42843, 118.60739,  -3.36652,   2.77310, 134.90650,  -2.50247,   2.25481, 141.33137,  -2.87889,   4.35822, 131.63101,  -7.30529,   6.69239, 131.72202, -12.11626,  -4.15800, 113.10236, -23.40600,   4.93792,  93.96291, -30.32416,   0.19331, 131.49530,   1.74193,  -1.78572, 131.01230,   6.68689,  -9.81949, 108.58360,  11.61712,   5.72505,  97.76730,  23.37663,   2.39362,  91.45502,  -8.90211,  20.33746,  57.32144,  -2.55788, -10.82440,  31.32967,  -8.31715, -13.01346,  20.10680, -11.04088,  -2.63165,  92.01593,   3.00783,   3.35498,  53.39913,   2.52078, -11.64484,  16.13888,  -5.63288,  -4.39105,   8.03296,  -1.17864
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.93061, 109.62909,  -2.68456,   1.52199, 118.60020,  -2.44673,   2.81993, 134.91353,  -1.80915,   2.26127, 141.33396,  -2.20320,   4.21207, 131.59530,  -6.64236,   6.17802, 131.79668, -11.61192,  -7.00894, 115.13950, -23.46617,   0.19212,  97.17180, -34.52157,   0.44388, 131.53505,   2.57796,  -1.23981, 131.23059,   7.64501,  -7.57486, 108.95086,  15.08655,  11.37637, 104.79884,  26.06482,   2.58179,  91.69320,  -8.91761,  20.57701,  57.95842,  -0.82633,  -6.89586,  28.32641,  -7.68109,  -7.06742,  16.87050, -10.30720,  -2.84111,  91.77856,   2.82971,   0.08842,  52.80933,   2.44127, -13.72265,  14.80748,  -4.26070,  -7.40780,   5.75036,  -0.22898
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.11984, 109.58937,  -2.02144,   1.77916, 118.54583,  -1.53750,   3.03779, 134.86354,  -0.93400,   2.42637, 141.28038,  -1.30760,   4.32287, 131.54890,  -5.79921,   6.04932, 131.92193, -10.84721,  -8.87952, 116.99509, -22.93853,  -3.52561, 100.63130, -37.09754,   0.78056, 131.47813,   3.51015,  -0.71507, 131.34806,   8.64324,  -5.30378, 109.49629,  18.30447,  14.88383, 111.54709,  27.53300,   2.67476,  91.90232,  -8.95136,  19.86586,  58.03714,   0.26536,  -2.87242,  24.71812,  -6.98832,  -0.63862,  13.36775,  -9.07224,  -2.98682,  91.58052,   2.67867,  -2.79715,  52.49994,   2.59737, -15.23587,  13.83769,  -2.90822, -10.13711,   3.92682,   0.82554
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.24913, 109.55511,  -1.68724,   1.95992, 118.50018,  -1.08081,   3.21240, 134.81917,  -0.49954,   2.55718, 141.23297,  -0.85032,   4.43965, 131.50359,  -5.37902,   6.01718, 132.11156, -10.45286,  -9.99563, 118.51693, -22.72709,  -6.14037, 103.59076, -38.82870,   1.01342, 131.43372,   3.97369,  -0.36534, 131.48772,   9.14076,  -3.43132, 110.14552,  20.41045,  16.48949, 117.04375,  27.65523,   2.73629,  91.99842,  -8.95526,  18.70259,  57.56280,   0.35054,   1.37649,  21.08602,  -6.65332,   5.92543,  10.30142,  -7.73177,  -3.08438,  91.49397,   2.58944,  -5.25305,  52.47315,   2.50798, -16.44109,  13.28426,  -1.83502, -12.74023,   2.66764,   1.59347
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.32237, 109.54647,  -1.65645,   2.06826, 118.48789,  -1.03855,   3.35449, 134.80423,  -0.45661,   2.71736, 141.21950,  -0.81384,   4.54847, 131.48869,  -5.34437,   6.03691, 132.31928, -10.41357, -10.61012, 119.74791, -22.93227,  -7.50582, 105.92600, -40.14370,   1.17399, 131.42076,   4.02715,  -0.17200, 131.60252,   9.19994,  -1.86411, 110.66749,  21.47824,  17.20198, 120.76103,  27.09211,   2.78411,  91.99007,  -8.93034,  17.20415,  56.67521,  -0.43001,   5.31193,  17.92613,  -6.50342,  11.78689,   8.11681,  -6.62910,  -3.15261,  91.50472,   2.55594,  -7.26051,  52.64091,   2.30452, -17.81386,  13.18116,  -1.06560, -15.41142,   2.12019,   2.10407
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.36397, 109.55294,  -1.77885,   2.12313, 118.49626,  -1.20620,   3.39945, 134.81301,  -0.61419,   2.77909, 141.23046,  -0.96163,   4.59889, 131.50091,  -5.50295,   6.07794, 132.50117, -10.54417, -10.96901, 120.83392, -23.39554,  -7.76328, 107.59202, -41.03899,   1.21770, 131.42576,   3.86610,  -0.11826, 131.72702,   9.03591,  -0.95893, 110.75898,  21.34566,  17.27464, 122.58456,  26.30586,   2.83199,  91.92949,  -8.88744,  15.38585,  55.58636,  -1.89387,   8.67374,  15.42030,  -6.52401,  16.49946,   6.68650,  -5.72251,  -3.21209,  91.56350,   2.54715,  -9.00304,  52.91539,   2.19765, -19.72244,  13.45077,  -0.53023, -18.38742,   2.14987,   2.41442
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.36674, 109.56927,  -2.01365,   2.11840, 118.51850,  -1.53042,   3.35828, 134.83794,  -0.93510,   2.74684, 141.25636,  -1.28055,   4.58100, 131.52814,  -5.81964,   6.10135, 132.62011, -10.82945, -11.14023, 121.68776, -24.06169,  -7.09305, 108.39288, -41.49104,   1.16876, 131.44632,   3.53809,  -0.16192, 131.80060,   8.70590,  -1.01475, 110.44411,  20.32780,  16.87619, 122.77557,  25.30380,   2.89195,  91.83351,  -8.82466,  13.36240,  54.52934,  -3.71579,  10.93749,  13.71879,  -6.61781,  19.71857,   6.04529,  -5.14343,  -3.27281,  91.65492,   2.54980, -10.41102,  53.23175,   2.35054, -22.25432,  14.07477,  -0.15351, -21.74436,   2.65875,   2.59931
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.28338, 109.58849,  -2.23057,   1.98718, 118.54519,  -1.81900,   3.15323, 134.86778,  -1.16374,   2.56297, 141.28823,  -1.50808,   4.45753, 131.57589,  -6.03927,   6.08170, 132.65347, -11.01953, -11.15158, 122.03248, -24.51359,  -5.72621, 108.31744, -41.22820,   0.91483, 131.45558,   3.26943,  -0.48879, 131.71356,   8.42363,  -1.93625, 109.69995,  18.68039,  16.12826, 121.43094,  24.42220,   2.95764,  91.76252,  -8.76546,  11.42780,  53.77531,  -5.22128,  11.58686,  12.81678,  -6.69662,  20.86713,   5.89747,  -4.65623,  -3.31527,  91.72056,   2.55105, -11.40969,  53.48809,   2.85417, -25.38317,  15.05336,   0.14917, -25.55493,   3.61002,   2.82946
