time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.49733, 109.64339,-452.99221,  -1.58603, 118.57047,-453.08700,  -4.62543, 134.62150,-451.92834,  -6.07768, 140.91268,-451.89211,  -0.16919, 131.80293,-449.01181,   4.09466, 132.18678,-445.80646,  20.05381, 114.68652,-451.36768,  34.59983,  98.60061,-456.52251,  -7.51053, 130.89461,-455.68241, -11.67064, 129.55224,-458.76365, -24.88119, 109.49887,-462.66739, -41.78048,  98.64356,-452.99853,   5.12794,  92.39729,-447.14398,  -6.26378,  59.91633,-428.63592,  13.04694,  24.09908,-433.53727,   8.42781,  13.71130,-430.55043,  -3.05926,  91.20699,-457.09222,  -7.27173,  52.35394,-457.26556,   3.78794,  13.05060,-460.83400,  -5.13711,   5.43791,-461.57834
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.64600, 109.63522,-452.87504,  -1.78515, 118.55651,-452.87105,  -4.76882, 134.59413,-451.41903,  -6.12636, 140.90508,-451.28397,  -0.30414, 131.71275,-448.57776,   3.99200, 132.08506,-445.41443,  20.29199, 115.25173,-451.95891,  35.15024,  99.77712,-458.01566,  -7.68724, 130.94081,-455.21937, -11.90970, 129.72535,-458.26831, -26.54742, 110.68607,-462.15911, -44.10790, 101.58387,-451.87853,   5.07326,  92.39575,-447.09889,  -7.58774,  59.87067,-429.51619,   8.36902,  22.27481,-432.94198,   2.43666,  12.62053,-429.81698,  -2.96315,  91.21081,-457.16997,  -5.58674,  52.21991,-457.57103,   5.59131,  12.93576,-460.97826,  -3.33684,   5.32692,-461.72479
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.77224, 109.62903,-452.69756,  -1.95226, 118.54412,-452.57160,  -4.88111, 134.56290,-450.82903,  -6.16468, 140.88689,-450.60815,  -0.40825, 131.62105,-448.06358,   3.90102, 131.96222,-444.91464,  20.22177, 115.35128,-451.95671,  35.07844, 100.06843,-458.48580,  -7.83219, 130.98306,-454.67382, -12.10225, 129.88192,-457.69980, -27.64779, 111.60884,-461.74035, -45.58110, 103.70790,-451.11573,   5.04577,  92.36864,-447.08478,  -8.46979,  59.58973,-430.64686,   3.40120,  20.39676,-432.31832,  -3.75890,  11.71753,-428.91724,  -2.90048,  91.23963,-457.23353,  -3.86474,  52.17564,-457.87251,   7.54151,  12.94759,-461.16810,  -1.42429,   5.38296,-461.91271
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.87736, 109.62354,-452.43371,  -2.07927, 118.53216,-452.15272,  -4.90379, 134.53598,-450.12399,  -6.11746, 140.87073,-449.82870,  -0.44303, 131.51859,-447.42113,   3.86253, 131.79342,-444.26064,  19.97438, 115.04142,-451.44811,  34.62051,  99.61959,-458.12444,  -7.88613, 131.04220,-454.02343, -12.18656, 130.06588,-457.04925, -28.10777, 112.18757,-461.38243, -46.22895, 104.86949,-450.65958,   5.03025,  92.30778,-447.09163,  -8.85232,  59.06098,-431.95040,  -1.52818,  18.73573,-431.76543,  -9.84878,  11.24001,-428.19538,  -2.85567,  91.30203,-457.30021,  -2.19334,  52.23707,-458.20804,   9.71091,  13.15301,-461.45279,   0.66377,   5.68290,-462.16714
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.86408, 109.62614,-452.13650,  -2.02769, 118.53281,-451.68452,  -4.66615, 134.52671,-449.35005,  -5.77544, 140.87551,-448.96088,  -0.25901, 131.40031,-446.68335,   4.02296, 131.55932,-443.48311,  19.74889, 114.40854,-450.58427,  34.04312,  98.62623,-457.18044,  -7.66841, 131.14931,-453.33579, -11.97863, 130.29560,-456.38466, -27.78602, 112.42438,-461.14296, -46.00308, 105.14150,-450.55950,   4.95560,  92.19867,-447.06818,  -8.77116,  58.30981,-433.26768,  -5.75301,  17.47628,-431.44642, -15.11198,  11.21610,-428.07250,  -2.78472,  91.41041,-457.40649,  -0.91874,  52.39714,-458.75434,  12.06163,  13.68610,-462.32766,   3.01187,   6.19860,-462.77780
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.66996, 109.64298,-451.89733,  -1.72546, 118.55414,-451.29384,  -4.16178, 134.52827,-448.62785,  -5.14458, 140.88993,-448.12524,   0.15401, 131.27363,-445.96518,   4.39006, 131.25835,-442.70057,  19.55123, 113.49373,-449.51509,  33.35220,  97.16783,-455.83284,  -7.14893, 131.29062,-452.73894, -11.44152, 130.54895,-455.84154, -26.71376, 112.36469,-461.13179, -44.88925, 104.51048,-450.89099,   4.77376,  92.05144,-446.98033,  -8.46526,  57.44575,-434.55025,  -8.55516,  16.56073,-431.68486, -18.65172,  11.29883,-428.76332,  -2.65698,  91.55295,-457.56098,   0.04370,  52.60277,-459.27081,  14.76155,  14.55191,-463.18490,   5.71166,   7.06104,-463.57210
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.70591, 109.63188,-451.63807,  -1.73947, 118.53243,-450.86407,  -3.97230, 134.46960,-447.82480,  -4.82728, 140.83512,-447.16274,   0.20667, 131.06495,-445.13163,   4.36777, 130.79651,-441.78271,  18.75103, 112.20773,-448.06441,  31.87641,  95.15017,-453.86780,  -6.89493, 131.40075,-452.10813, -11.12019, 130.73040,-455.31755, -25.44889, 111.99455,-461.28008, -43.38191, 102.96847,-451.59259,   4.59703,  91.95125,-446.88964,  -9.06662,  57.18200,-435.41203,  -9.87969,  16.27875,-432.94900, -19.89710,  10.82024,-430.11709,  -2.47023,  91.65623,-457.72391,   0.96408,  52.77433,-459.65714,  17.53984,  15.52018,-463.80144,   8.49249,   8.03532,-464.33617
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -1.12015, 109.57279,-451.36937,  -2.25903, 118.44327,-450.41819,  -4.21083, 134.34497,-447.02080,  -4.91000, 140.71068,-446.19732,  -0.23163, 130.75940,-444.26068,   3.82409, 130.19882,-440.81991,  17.13946, 110.56395,-446.21009,  29.32291,  92.56634,-451.16638,  -7.03383, 131.47195,-451.50220, -11.12961, 130.86502,-454.88727, -24.08866, 111.42413,-461.67035, -41.51415, 100.68082,-452.84739,   4.47390,  91.93147,-446.81265, -10.89942,  57.67176,-435.98369,  -9.72655,  16.72379,-434.68339, -18.43968,   9.47262,-431.57445,  -2.23166,  91.69248,-457.87579,   1.74707,  52.86970,-459.94827,  20.28865,  16.57386,-464.26395,  11.32206,   9.01404,-465.04686
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.98343, 109.60661,-451.78256,  -2.02357, 118.49777,-450.91506,  -3.67581, 134.34687,-447.13459,  -4.16435, 140.71015,-446.15517,   0.11845, 130.58280,-444.35181,   4.01938, 129.74531,-440.79043,  15.94360, 108.94266,-444.90668,  26.66809,  89.71881,-448.42010,  -6.42478, 131.67340,-451.78242, -10.41801, 131.17078,-455.30434, -21.20293, 110.84421,-463.20445, -37.79367,  98.01854,-455.64400,   4.31543,  92.02488,-446.67589, -12.86575,  58.46548,-436.38482,  -6.91454,  17.91681,-435.94712, -15.29991,  10.36841,-432.65004,  -2.11130,  91.58965,-457.89740,   1.75657,  52.78390,-460.44456,  23.04517,  18.11329,-465.39904,  14.47419,  10.11079,-466.21262
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.83814, 109.62723,-451.97608,  -1.81738, 118.52417,-451.09711,  -3.38820, 134.26562,-446.85975,  -3.71781, 140.58938,-445.59852,   0.30959, 130.37701,-444.11866,   4.05497, 129.28660,-440.46008,  14.12177, 107.26106,-442.78722,  22.54053,  86.66598,-444.15936,  -6.06703, 131.76660,-451.64361, -10.00489, 131.31688,-455.23436, -17.95505, 110.21993,-464.37818, -33.01369,  94.86870,-458.50557,   4.14376,  92.04365,-446.56574, -12.89007,  58.31838,-436.57637,  -3.77946,  18.36114,-437.04413, -12.08205,  10.74840,-433.68603,  -1.98011,  91.56513,-457.95362,   0.36933,  52.66807,-460.92566,  24.80702,  20.18351,-466.15587,  17.21183,  11.26170,-467.09280
