time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.44867, 109.71002,-452.60671,  -0.86570, 118.56563,-451.74774,  -6.80131, 132.82686,-446.30698,  -8.80094, 138.50422,-443.97068,  -2.52608, 129.64737,-443.49241,   0.26411, 128.35082,-439.11795,   2.61148, 104.58976,-434.45079,  -0.26170,  83.06958,-429.39684,  -8.26891, 130.35084,-451.60056, -11.96538, 129.59401,-455.39079, -12.88590, 107.15559,-464.74842, -18.69123,  86.49272,-458.72719,   4.06352,  92.00985,-446.53136,  -7.17901,  56.01114,-436.28291,   5.81605,  17.49995,-441.55740,  -0.92236,   9.90208,-435.63881,  -2.25845,  91.57586,-457.81227, -14.81820,  54.56794,-457.84342,  15.46055,  27.52103,-463.45277,  15.72343,  17.01879,-458.18044
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.56631, 109.71393,-452.54570,  -0.72903, 118.57519,-451.71666,  -6.83338, 132.87264,-446.56538,  -8.94698, 138.55540,-444.34544,  -2.52721, 129.79741,-443.68294,   0.25011, 128.65134,-439.25858,   2.17201, 105.06488,-433.61358,  -2.54668,  84.05285,-427.85648,  -8.26450, 130.27680,-451.81134, -11.94271, 129.44456,-455.60353, -12.64119, 107.10171,-465.20585, -18.49204,  86.33352,-459.60579,   4.13145,  91.96429,-446.58639,  -4.88043,  55.17862,-436.94621,   8.13290,  16.59065,-441.57486,   1.40404,   8.99382,-435.64407,  -2.35917,  91.62033,-457.77424, -16.99736,  55.38441,-457.89886,  11.03890,  26.18705,-464.32424,  10.26550,  15.51230,-459.46469
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.67143, 109.71533,-452.55151,  -0.60356, 118.58579,-451.79218,  -6.84181, 132.95090,-447.00222,  -9.05807, 138.64408,-444.91294,  -2.50930, 129.98838,-444.04224,   0.25766, 129.01692,-439.56986,   1.86211, 105.69290,-432.83955,  -4.65040,  85.32381,-426.54650,  -8.24598, 130.21168,-452.18213, -11.90543, 129.29695,-455.97346, -12.46471, 106.92038,-465.50614, -18.31421,  85.98149,-460.58099,   4.19799,  91.94438,-446.63289,  -2.37647,  54.50907,-437.53860,  10.51435,  15.81533,-441.59130,   3.79670,   8.21175,-435.65646,  -2.45500,  91.63984,-457.72612, -18.67016,  56.08326,-458.08942,   6.04745,  24.18362,-465.24874,   3.64639,  13.46260,-461.07044
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.70204, 109.71398,-452.62382,  -0.58081, 118.59123,-451.96360,  -6.94850, 133.02237,-447.55785,  -9.26152, 138.73246,-445.62548,  -2.58419, 130.18284,-444.52495,   0.18954, 129.39384,-440.02096,   1.55324, 106.42158,-432.12816,  -6.57356,  86.78260,-425.40646,  -8.33355, 130.12951,-452.65878, -11.97065, 129.09979,-456.44213, -12.43466, 106.59722,-465.67872, -18.21890,  85.46821,-461.55335,   4.28353,  91.96303,-446.67822,   0.01807,  54.06980,-438.12012,  12.84350,  15.29986,-441.61351,   6.15480,   7.67935,-435.66770,  -2.54907,  91.62157,-457.66065, -19.92857,  56.62517,-458.39455,   0.23001,  21.78087,-466.09586,  -4.02119,  11.34194,-462.76124
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.70203, 109.71209,-452.69250,  -0.60574, 118.59222,-452.12677,  -7.12782, 133.06295,-448.09234,  -9.54503, 138.78454,-446.32889,  -2.71274, 130.36343,-445.00556,   0.09273, 129.73983,-440.49529,   1.28046, 107.19957,-431.41748,  -8.20765,  88.32676,-424.29650,  -8.50405, 130.01088,-453.10208, -12.11399, 128.81397,-456.86215, -12.48005, 106.13320,-465.65671, -18.07581,  84.81333,-462.33081,   4.39943,  91.98615,-446.74325,   2.29419,  53.82616,-438.57526,  15.22246,  15.04219,-441.48497,   8.55537,   7.40437,-435.53711,  -2.66497,  91.59898,-457.57648, -20.57852,  56.88044,-458.60681,  -6.24086,  19.33565,-466.64569, -12.38228,   9.62918,-464.14951
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.60896, 109.70933,-452.74408,  -0.76581, 118.58422,-452.26083,  -7.47039, 133.06254,-448.56721, -10.00163, 138.78805,-446.98588,  -2.98167, 130.51999,-445.45348,  -0.11418, 130.04727,-440.96392,   0.96347, 108.01012,-430.71290,  -9.59832,  89.87426,-423.19926,  -8.85115, 129.84823,-453.47314, -12.43652, 128.44284,-457.18428, -12.64311, 105.54171,-465.39348, -17.90806,  84.02186,-462.92619,   4.54430,  92.02427,-446.82591,   4.23670,  53.78244,-438.77602,  17.60656,  15.11281,-441.16542,  10.97998,   7.44572,-435.20995,  -2.78391,  91.56163,-457.47944, -20.55591,  56.77809,-458.74243, -13.23623,  17.23792,-466.66711, -21.07808,   8.66203,-464.89992
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.43546, 109.70388,-452.79782,  -1.04012, 118.56645,-452.39197,  -7.93318, 133.02928,-448.99664, -10.57239, 138.74854,-447.57752,  -3.34754, 130.65489,-445.89136,  -0.39527, 130.34060,-441.44306,   0.57871, 108.83048,-430.11846, -10.62742,  91.29666,-422.12450,  -9.34161, 129.65113,-453.78317, -12.92224, 128.02073,-457.40580, -12.88557, 104.88742,-464.93866, -17.59368,  83.16647,-463.22252,   4.70140,  92.08371,-446.91526,   5.81592,  53.92974,-438.52690,  20.12871,  15.58124,-440.61023,  13.55373,   7.88034,-434.64120,  -2.89265,  91.50371,-457.37512, -19.90644,  56.35147,-458.85337, -20.31169,  16.02053,-466.13718, -29.59402,   8.93561,-464.79334
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.13127, 109.69930,-452.58475,  -1.48929, 118.53503,-452.14806,  -8.54781, 132.97637,-449.01103, -11.32532, 138.65313,-447.68851,  -3.84928, 130.77131,-445.94997,  -0.78562, 130.59795,-441.56978,   0.07097, 109.63375,-429.25518, -11.35148,  92.54479,-420.62903, -10.01138, 129.43482,-453.66096, -13.61571, 127.56954,-457.14406, -13.28777, 104.20359,-463.91314, -17.19054,  82.28437,-462.80543,   4.89131,  92.09120,-447.05570,   7.32738,  54.14497,-438.02901,  22.81153,  16.23441,-439.71230,  16.30142,   8.49391,-433.72340,  -2.99780,  91.49749,-457.29406, -19.86668,  56.28315,-458.94496, -25.42753,  16.27084,-465.86554, -35.23763,  10.13281,-463.80396
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.14706, 109.69753,-452.68027,  -1.47882, 118.53582,-452.32204,  -8.60681, 132.99165,-449.41747, -11.42390, 138.67102,-448.19350,  -3.79065, 130.93482,-446.43709,  -0.59691, 130.92213,-442.14734,   0.13856, 110.44917,-429.02493, -11.07802,  93.62559,-419.64032, -10.17108, 129.28999,-453.90715, -13.83410, 127.21265,-457.20404, -13.17245, 103.60512,-463.04714, -16.07411,  81.51051,-462.48171,   5.11496,  92.12336,-447.22666,   9.25061,  54.53522,-437.35952,  26.46731,  17.36728,-438.74952,  20.11061,   9.52269,-432.73135,  -3.22585,  91.46583,-457.09647, -21.59067,  56.97540,-457.78774, -23.91040,  16.75491,-465.31991, -32.85684,   9.50116,-462.97300
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.33877, 109.69883,-452.85603,  -1.24370, 118.54849,-452.59830,  -8.52706, 132.96511,-449.89099, -11.35217, 138.66822,-448.80351,  -3.61359, 131.05602,-446.97179,  -0.30088, 131.20744,-442.77595,   0.54374, 110.97487,-429.29223, -10.11926,  94.24686,-419.12416, -10.13487, 129.12859,-454.25018, -13.82668, 126.81501,-457.35186, -12.97942, 103.00180,-462.26192, -14.77918,  80.78442,-462.01740,   5.28311,  92.12688,-447.37393,  10.76324,  54.99867,-436.47452,  29.84974,  18.75486,-437.85093,  23.96672,  10.62803,-431.72653,  -3.44743,  91.46195,-456.90022, -23.27303,  57.79837,-455.87909, -19.92889,  17.75629,-463.95692, -28.77204,  10.32639,-461.77542
