time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.14295, 109.71244,-452.60028,   0.99975, 118.70135,-452.34306,  -0.38579, 134.87336,-450.16081,  -0.98612, 141.28898,-449.75007,   4.86332, 131.98170,-450.78821,  10.19715, 132.17208,-450.44753,  20.52047, 111.17877,-457.12518,  26.02189,  90.66714,-450.34854,  -5.06176, 131.14891,-450.91602, -10.32368, 130.19463,-450.85285, -17.64599, 107.49156,-455.63299, -20.54916,  87.71614,-445.76307,   7.27333,  91.67328,-452.07071,  10.51141,  55.30733,-438.12923,   9.66835,  29.61324,-470.04954,   9.37542,  17.95995,-471.55905,  -5.66174,  91.91175,-452.27471,  -7.03995,  53.45339,-445.46379,  -3.88051,  13.77969,-455.25248,  -6.67536,   6.28880,-446.63628
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.69301, 109.71587,-452.53618,   0.45076, 118.70258,-452.27633,  -0.51596, 134.91947,-450.20415,  -0.93949, 141.34775,-449.77175,   4.65606, 131.89026,-450.82272,   9.99973, 132.00326,-450.63684,  19.73295, 111.20678,-458.67746,  25.89540,  90.43790,-453.42455,  -5.28733, 131.31065,-450.92316, -10.57853, 130.54634,-450.77628, -18.60232, 107.73036,-453.41170, -21.01647,  88.91657,-441.70170,   7.33028,  91.86138,-451.87486,  10.32988,  56.53670,-435.42792,   9.44647,  27.24677,-464.08316,   9.15472,  15.51870,-463.35455,  -5.59330,  91.72270,-452.48842,  -6.97335,  52.85873,-448.61260,  -3.84470,  13.34948,-459.05451,  -6.65069,   5.85859,-450.44194
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.43794, 109.71355,-452.38714,   0.15979, 118.69737,-452.06990,  -0.45775, 134.93163,-450.00024,  -0.70645, 141.36541,-449.51663,   4.64862, 131.78955,-450.60101,   9.99651, 131.79605,-450.55511,  19.27263, 111.34658,-459.91747,  25.89083,  90.43420,-455.94418,  -5.30470, 131.42845,-450.73600, -10.61316, 130.80250,-450.56001, -19.33558, 108.09343,-450.89643, -21.34131,  90.32681,-437.58346,   7.35251,  91.96515,-451.71167,  10.17419,  57.58100,-433.35135,   9.65181,  24.30532,-457.27330,   9.39685,  13.01309,-454.01998,  -5.54446,  91.61958,-452.69315,  -6.85945,  52.58564,-451.29440,  -3.72686,  13.31623,-462.60383,  -6.54645,   5.82530,-453.99573
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.39018, 109.71306,-452.20658,   0.14013, 118.69399,-451.79735,  -0.21334, 134.92055,-449.60882,  -0.32911, 141.35136,-449.04265,   4.84261, 131.69502,-450.19352,  10.18876, 131.56343,-450.25221,  19.02127, 111.52328,-460.84750,  25.97349,  90.52094,-458.11184,  -5.11407, 131.50753,-450.40922, -10.42808, 130.93362,-450.22380, -19.81966, 108.57088,-448.32606, -21.49516,  91.85357,-433.67562,   7.34258,  91.97848,-451.55692,   9.96155,  58.16391,-432.13918,  10.08245,  21.05715,-449.54254,  10.04064,  10.80240,-443.79781,  -5.52121,  91.60639,-452.89821,  -6.67087,  52.55158,-453.75517,  -3.55666,  13.56593,-466.01175,  -6.38969,   6.07506,-457.40800
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.48578, 109.71473,-452.06386,   0.30550, 118.69244,-451.55857,   0.14548, 134.89048,-449.14740,   0.12871, 141.31220,-448.47624,   5.16364, 131.60696,-449.73485,  10.50453, 131.36616,-449.87279,  18.85652, 111.64463,-461.41341,  26.00853,  90.57870,-460.00239,  -4.79244, 131.55374,-450.03599, -10.10736, 130.98972,-449.84618, -20.09521, 109.14956,-445.95446, -21.55821,  93.36598,-430.28126,   7.31399,  91.93124,-451.43430,   9.75414,  58.01261,-432.17542,  10.86951,  18.03151,-441.12366,  10.93717,   9.44825,-433.09330,  -5.51927,  91.65316,-453.06061,  -6.51086,  52.70335,-456.10419,  -3.39155,  14.07935,-469.45556,  -6.23713,   6.58854,-460.85590
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.68908, 109.71707,-451.98459,   0.60931, 118.69183,-451.40632,   0.58680, 134.85416,-448.76157,   0.63086, 141.26213,-447.97089,   5.57736, 131.53216,-449.36748,  10.91413, 131.22824,-449.53667,  18.74072, 111.70234,-461.75814,  25.97502,  90.61732,-461.70727,  -4.37682, 131.57743,-449.72702,  -9.69344, 131.03889,-449.51233, -20.12545, 109.74680,-444.06116, -21.48731,  94.72639,-427.64642,   7.27355,  91.84223,-451.34562,   9.52365,  57.27873,-433.24496,  11.83891,  16.36944,-432.31110,  11.73079,   9.76448,-422.58863,  -5.53548,  91.74151,-453.17137,  -6.48337,  52.97786,-458.05140,  -3.22840,  14.97753,-473.05751,  -6.09046,   7.48667,-464.46337
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.85286, 109.71521,-451.84910,   0.85714, 118.68299,-451.16645,   0.96387, 134.79549,-448.23527,   1.05023, 141.18588,-447.31621,   5.92793, 131.44038,-448.87546,  11.25825, 131.03998,-449.04706,  18.63261, 111.65768,-461.76815,  25.76533,  90.56920,-462.91511,  -4.02351, 131.58078,-449.28320,  -9.33816, 131.03726,-449.03515, -20.13283, 110.22105,-442.55010, -21.48200,  95.78579,-425.61747,   7.23788,  91.76589,-451.27756,   9.39009,  56.57037,-434.42598,  12.31393,  16.88669,-424.60457,  11.69487,  12.17582,-413.85338,  -5.54545,  91.81838,-453.27719,  -6.41751,  53.37398,-460.24867,  -3.16007,  16.05195,-476.86969,  -6.03986,   8.56112,-468.28145
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.97464, 109.71081,-451.71188,   1.05090, 118.67038,-450.93247,   1.31215, 134.73583,-447.76244,   1.43706, 141.10826,-446.73006,   6.24378, 131.33396,-448.40653,  11.56179, 130.79632,-448.58482,  18.60875, 111.47095,-461.57524,  25.48135,  90.36702,-463.65059,  -3.70119, 131.59406,-448.90361,  -9.00994, 131.01256,-448.61804, -20.15887, 110.52999,-441.68544, -21.51110,  96.47298,-424.43775,   7.19579,  91.70371,-451.15069,   9.38371,  56.66094,-433.98825,  12.26477,  18.15162,-420.25744,  11.03765,  14.06451,-409.30512,  -5.53730,  91.88177,-453.44230,  -6.78981,  53.68595,-461.61814,  -3.23730,  17.55411,-480.63584,  -6.19586,   9.68914,-472.41679
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.87356, 109.68677,-451.20784,   0.95571, 118.62395,-450.20426,   1.44562, 134.65121,-446.87218,   1.64201, 141.01139,-445.77725,   6.32788, 131.17855,-447.51463,  11.62271, 130.44930,-447.70180,  18.42035, 111.05714,-460.72551,  24.97804,  89.92594,-463.44296,  -3.60785, 131.60027,-448.08078,  -8.90898, 130.96629,-447.76671, -20.36158, 110.59185,-441.01279, -21.82897,  96.61847,-423.70666,   7.19701,  91.70667,-451.15165,   8.88763,  57.53470,-432.26381,  11.58336,  18.49084,-420.09362,  10.46957,  13.05607,-409.73089,  -5.51035,  91.88552,-453.58179,  -7.67061,  53.87382,-462.40096,  -3.94123,  19.23066,-483.98212,  -6.68478,  10.48489,-476.62358
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.76746, 109.68297,-451.15338,   0.85912, 118.61710,-450.12386,   1.63063, 134.63195,-446.78535,   1.88599, 140.99438,-445.71602,   6.45143, 131.07811,-447.44767,  11.72407, 130.21511,-447.68553,  18.27942, 110.52393,-460.38063,  24.54266,  89.36112,-463.51477,  -3.47784, 131.66705,-447.97679,  -8.78570, 131.08826,-447.67002, -20.49910, 110.58179,-441.82395, -22.22067,  96.25124,-424.83624,   7.19315,  91.73929,-451.06373,   8.18909,  59.44558,-429.07607,  10.97107,  18.94232,-423.45917,  10.16743,  11.77661,-414.17638,  -5.47693,  91.85396,-453.68489,  -8.49299,  54.11393,-463.37652,  -4.77532,  21.33623,-487.69943,  -7.32281,  11.62562,-481.58568
