time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.86532, 109.63492,  -2.81661,  -1.16020, 118.56575,  -1.79655,  -0.97293, 134.12243,   3.31916,  -0.82537, 140.43517,   4.66703,   3.95629, 130.98739,   1.84170,   9.27444, 130.55090,   2.20049,  15.59139, 108.81279,  -6.71194,  19.68027,  87.27192,  -2.68855,  -5.99721, 130.98232,   2.22242, -11.22366, 130.15098,   2.99417, -16.26025, 110.63630, -10.63320, -19.39977,  89.02262, -15.09453,   6.57511,  92.09354,  -3.27865,   4.12625,  53.75372,   3.89025,   1.74330,  14.52131,  -7.72623,   1.50509,   7.03045,   1.32882,  -6.33397,  91.37660,  -2.77245,  -4.85211,  55.13127,  11.76764,  -3.65680,  26.88171, -17.90282,  -7.49782,  15.92686, -19.74713
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.59209, 109.64834,  -2.90087,  -0.79025, 118.58304,  -1.89133,  -0.67742, 134.10174,   3.34059,  -0.53593, 140.39049,   4.79692,   4.27260, 130.97783,   1.90986,   9.58584, 130.56379,   2.35726,  16.48677, 108.50204,  -5.22806,  20.25693,  87.38982,   0.85267,  -5.68528, 130.96957,   2.15003, -10.92996, 130.15181,   2.80355, -15.53014, 111.09455, -11.60320, -18.46568,  89.61305, -16.78380,   6.54073,  91.97823,  -3.30508,   4.42959,  53.22737,   1.30427,   1.89722,  14.26988, -11.17387,   1.67460,   6.77902,  -2.11843,  -6.37574,  91.48817,  -2.72254,  -4.49189,  56.31537,  14.20848,  -3.51266,  24.70871, -11.86570,  -7.68144,  13.73596, -11.24633
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.41973, 109.65380,  -2.88816,  -0.55615, 118.58661,  -1.85204,  -0.50279, 134.06632,   3.49508,  -0.36315, 140.33635,   5.03013,   4.46297, 130.95372,   2.09452,   9.77167, 130.55956,   2.60872,  17.22634, 108.24782,  -3.59572,  20.39079,  87.76636,   4.61473,  -5.49691, 130.94233,   2.22782, -10.75383, 130.13280,   2.78639, -14.96454, 111.60435, -12.40775, -17.61663,  90.24928, -18.22482,   6.51555,  91.90731,  -3.37517,   4.66160,  52.91386,  -1.52965,   2.00659,  14.10960, -14.45184,   1.80349,   6.61873,  -5.39595,  -6.39859,  91.55757,  -2.65600,  -4.20199,  57.13527,  15.71828,  -3.43423,  21.78235,  -5.00332,  -7.56033,  11.24838,  -1.81359
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.37706, 109.65407,  -2.80495,  -0.50029, 118.58105,  -1.71818,  -0.49425, 134.02572,   3.72957,  -0.35084, 140.27958,   5.32892,   4.48284, 130.92725,   2.33794,   9.78676, 130.56194,   2.91850,  17.64389, 108.07295,  -2.02030,  20.01720,  88.47174,   8.32742,  -5.47763, 130.90505,   2.41281, -10.74293, 130.10498,   2.90169, -14.63789, 112.10944, -13.00069, -17.00855,  90.90435, -19.45319,   6.50542,  91.89248,  -3.46110,   4.68987,  52.86969,  -4.58285,   2.02176,  14.11052, -17.63698,   1.85587,   6.61966,  -8.58032,  -6.40035,  91.57233,  -2.59326,  -4.20748,  57.37033,  16.18836,  -3.60711,  18.70833,   2.59821,  -7.31403,   9.11194,   8.28430
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.48777, 109.64902,  -2.68189,  -0.65268, 118.56812,  -1.53748,  -0.67181, 133.99077,   3.97228,  -0.52517, 140.23954,   5.59110,   4.31138, 130.89955,   2.58638,   9.61031, 130.56028,   3.22543,  17.62573, 107.92526,  -0.68474,  19.25932,  89.48802,  11.73761,  -5.64929, 130.87379,   2.62481, -10.92018, 130.08046,   3.06166, -14.55032, 112.63134, -13.49870, -16.71240,  91.57833, -20.49921,   6.51322,  91.94352,  -3.56203,   4.71470,  53.08132,  -7.28051,   2.01115,  14.46190, -20.73540,   1.88437,   6.86359, -11.76806,  -6.37730,  91.52269,  -2.52662,  -4.58132,  56.78956,  15.29802,  -3.86842,  16.04896,  10.88228,  -7.00032,   7.91305,  18.76655
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.67162, 109.63733,  -2.49444,  -0.90009, 118.54497,  -1.27420,  -0.91617, 133.95502,   4.27069,  -0.77636, 140.20770,   5.87496,   4.06679, 130.86351,   2.88464,   9.35757, 130.52762,   3.58958,  17.33646, 107.75009,   0.52327,  18.33148,  90.52414,  14.63681,  -5.89394, 130.84458,   2.90923, -11.17089, 130.07199,   3.30843, -14.54239, 113.09074, -13.78441, -16.61226,  92.18526, -21.24013,   6.52431,  92.03027,  -3.71234,   4.85554,  53.35628,  -9.08546,   2.07548,  15.19876, -23.78505,   1.97079,   7.35216, -15.03386,  -6.33715,  91.43921,  -2.42854,  -5.17470,  55.58445,  13.07692,  -4.49278,  15.10221,  19.44295,  -6.73981,   8.40169,  28.83537
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.70655, 109.62686,  -2.26773,  -0.93425, 118.52111,  -0.95332,  -0.90164, 133.91234,   4.64355,  -0.75890, 140.17340,   6.21454,   4.07055, 130.81624,   3.22929,   9.35038, 130.44756,   3.99709,  17.14268, 107.52718,   1.58526,  17.64098,  91.24969,  16.80730,  -5.89005, 130.81581,   3.28939, -11.17082, 130.06271,   3.67517, -14.35596, 113.32344, -13.68994, -16.44442,  92.57708, -21.57269,   6.51146,  92.06152,  -3.89010,   5.22446,  53.52894, -10.28673,   2.36875,  16.25302, -27.08415,   2.28094,   8.10423, -18.61342,  -6.31457,  91.41087,  -2.31395,  -5.13331,  55.67471,  13.46151,  -4.24149,  16.65891,  25.98249,  -6.13367,  10.79921,  35.99484
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.62666, 109.61783,  -2.03749,  -0.81479, 118.50177,  -0.64923,  -0.74947, 133.91644,   4.88249,  -0.59614, 140.19452,   6.38295,   4.21437, 130.81425,   3.45234,   9.48281, 130.38764,   4.26694,  16.98031, 107.31674,   2.42242,  17.16113,  91.32792,  17.95434,  -5.74571, 130.81439,   3.57046, -11.02324, 130.04509,   3.96845, -14.18402, 113.36141, -13.45451, -16.30630,  92.73433, -21.63562,   6.48034,  92.05044,  -4.07481,   5.65288,  53.69697, -11.53530,   2.77549,  17.55612, -30.64975,   2.74824,   8.88821, -22.71060,  -6.30571,  91.42446,  -2.19340,  -4.99975,  55.57363,  13.30970,  -3.69740,  17.60482,  28.68748,  -5.19734,  12.51766,  39.17722
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.09218, 109.61052,  -1.75904,  -0.08251, 118.48058,  -0.27275,  -0.02910, 133.91666,   5.19905,   0.13618, 140.21665,   6.60332,   4.93624, 130.81763,   3.76729,  10.18670, 130.28494,   4.63385,  17.33321, 107.09075,   2.94932,  17.40491,  90.73250,  18.09257,  -5.02346, 130.80083,   3.91278, -10.28836, 129.96273,   4.33820, -13.59662, 113.14259, -12.92546, -15.76503,  92.55667, -21.19763,   6.41126,  91.85119,  -4.12221,   6.23659,  53.73245, -12.73986,   3.49418,  18.78604, -33.97733,   3.55401,   9.30394, -27.03112,  -6.38558,  91.62575,  -2.22361,  -4.49185,  55.73075,  13.11577,  -2.57095,  17.46163,  27.66181,  -3.94206,  10.99710,  37.38259
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.85586, 109.54171,  -1.27660,   1.21005, 118.37160,   0.39511,   1.21696, 133.81490,   5.84676,   1.36638, 140.13590,   7.15517,   6.19501, 130.70957,   4.47399,  11.41929, 130.05511,   5.41238,  18.14394, 106.77355,   3.26084,  18.31601,  89.47692,  17.32187,  -3.76571, 130.70178,   4.50957,  -9.01901, 129.79482,   4.93704, -12.60004, 112.55923, -11.85599, -14.89032,  91.95198, -20.04175,   6.29471,  91.48526,  -4.04371,   6.85937,  53.56516, -13.48191,   4.58557,  19.70325, -36.46024,   4.65557,   9.15966, -31.26491,  -6.53321,  92.01086,  -2.43654,  -4.05284,  56.28120,  13.20229,  -1.66332,  16.94761,  24.47005,  -2.97786,   9.57048,  33.52617
