time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.78420, 109.27099,-455.83638,   2.77418, 118.05229,-457.50841,   6.21659, 133.98420,-459.10216,   7.92776, 140.12435,-458.07270,  10.30678, 129.75190,-457.81123,  15.34377, 128.06240,-457.19773,  19.71468, 104.27459,-454.56784,  22.81383,  82.94768,-448.86927,   0.80907, 131.56506,-460.20351,  -4.46879, 131.72337,-461.05299, -16.14552, 110.45162,-462.80295, -22.27316, 103.34668,-442.58210,   7.01462,  91.81716,-450.24353,   9.27557,  53.73397,-441.76469,  12.77897,  17.29022,-460.18703,  13.63277,   9.82467,-451.14821,  -5.58172,  91.89089,-453.20011, -18.41750,  57.26681,-440.40363, -10.52467,  29.52523,-469.52254, -12.36200,  18.07446,-471.43764
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.87324, 109.28181,-455.76564,   2.85905, 118.07544,-457.37417,   6.07219, 134.07555,-458.74826,   7.68239, 140.22646,-457.62449,  10.23654, 129.87524,-457.59755,  15.31575, 128.29085,-457.05588,  20.95498, 105.11269,-452.27544,  24.54879,  85.02932,-443.29445,   0.67834, 131.60562,-459.80293,  -4.60136, 131.70808,-460.64957, -15.08610, 110.09649,-464.51022, -21.71172,  98.90473,-446.40616,   7.06207,  91.70047,-450.54590,   9.71702,  53.17609,-444.53292,  12.82181,  16.78446,-463.12896,  13.67995,   9.31681,-454.09229,  -5.65398,  92.00457,-452.91745, -18.53264,  58.58315,-437.28150, -11.17112,  27.84644,-463.37491, -12.83307,  16.21117,-463.52331
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.93308, 109.31236,-455.61234,   2.89453, 118.12603,-457.12299,   5.83308, 134.19642,-458.27339,   7.30649, 140.35841,-457.02916,  10.08501, 130.04163,-457.28984,  15.21206, 128.58865,-456.83790,  22.01590, 106.21416,-450.13187,  25.93320,  87.88445,-438.06573,   0.45565, 131.66194,-459.25633,  -4.83326, 131.68069,-460.04982, -14.30807, 109.93183,-465.44522, -21.06344,  94.59790,-450.74330,   7.09694,  91.59402,-450.85123,   9.98934,  52.78767,-447.24104,  12.82293,  16.42892,-465.94439,  13.73203,   8.96417,-456.91031,  -5.70553,  92.10250,-452.65484, -18.02274,  59.58957,-434.80744, -11.57196,  25.41793,-456.49820, -13.74004,  14.06462,-454.36154
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.94540, 109.34417,-455.46089,   2.86096, 118.17841,-456.87693,   5.50435, 134.31338,-457.82092,   6.84877, 140.47167,-456.42192,   9.84583, 130.21621,-457.00038,  15.01490, 128.89603,-456.62626,  22.97902, 107.46020,-448.32213,  27.04490,  91.25170,-433.56853,   0.14961, 131.70392,-458.72873,  -5.15094, 131.55558,-459.42489, -13.75231, 109.76087,-465.97488, -20.20805,  91.20524,-455.44288,   7.12642,  91.51151,-451.16830,  10.00560,  52.55965,-449.82840,  12.82331,  16.28636,-468.69933,  13.79634,   8.78267,-459.70426,  -5.73844,  92.17615,-452.37997, -17.09896,  60.02998,-433.27771, -12.31759,  22.49706,-449.03274, -15.07504,  12.00527,-444.50700
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.92106, 109.40190,-455.18253,   2.77294, 118.26637,-456.44056,   5.10858, 134.46265,-457.10486,   6.33007, 140.60442,-455.53139,   9.53871, 130.42928,-456.46113,  14.75078, 129.26615,-456.17219,  23.88154, 108.86572,-446.56318,  27.94156,  94.85442,-429.70747,  -0.21720, 131.77525,-457.95370,  -5.51907, 131.43500,-458.56761, -13.29849, 109.56030,-465.83901, -19.18837,  88.87645,-459.97395,   7.14524,  91.45724,-451.44482,  10.29499,  52.50490,-451.80055,  13.01348,  16.56581,-471.31451,  14.00787,   8.94655,-462.41948,  -5.75048,  92.21433,-452.18102, -15.69698,  59.90027,-432.57992, -13.28651,  19.79941,-440.69862, -16.47186,  10.64478,-434.04956
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.75123, 109.45993,-454.92507,   2.48932, 118.35424,-456.03574,   4.54277, 134.59753,-456.42903,   5.64452, 140.72227,-454.70771,   9.05011, 130.62857,-455.93932,  14.30063, 129.63161,-455.73884,  24.60694, 110.28399,-445.18753,  28.51035,  98.30750,-426.79616,  -0.75157, 131.83655,-457.23741,  -6.04627, 131.33400,-457.79962, -12.78900, 109.29077,-465.57955, -18.21172,  87.70913,-464.26128,   7.17949,  91.47222,-451.72357,  10.73601,  52.58511,-453.29724,  13.34516,  17.23228,-473.86841,  14.32402,   9.33217,-465.22008,  -5.73741,  92.18318,-451.97402, -13.99031,  59.19158,-432.71842, -14.28282,  18.21664,-431.84029, -17.63398,  10.62300,-423.51743
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.49459, 109.49630,-454.78651,   2.08646, 118.41164,-455.81296,   3.85673, 134.69157,-456.02714,   4.86544, 140.79794,-454.18756,   8.43946, 130.79447,-455.68115,  13.71970, 129.95340,-455.56369,  25.17995, 111.57695,-444.47993,  28.92686, 101.35990,-425.02516,  -1.40541, 131.85101,-456.76714,  -6.69488, 131.25541,-457.28602, -12.12902, 109.07805,-465.68426, -17.13003,  87.49519,-468.15023,   7.21748,  91.52651,-452.02819,  11.36649,  52.75035,-454.58300,  13.92692,  18.22427,-476.51922,  14.86211,   9.81863,-468.35625,  -5.70388,  92.11875,-451.70801, -12.37562,  58.32932,-433.23922, -14.93813,  18.39292,-424.38933, -17.73880,  12.22055,-414.78612
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.21542, 109.50615,-454.78225,   1.65919, 118.43250,-455.78746,   3.17910, 134.73884,-455.88319,   4.07641, 140.83461,-453.95299,   7.82684, 130.90896,-455.68535,  13.12652, 130.19115,-455.67024,  25.62222, 112.67036,-444.32298,  29.30705, 103.83370,-424.19214,  -2.05606, 131.82552,-456.52517,  -7.34768, 131.19777,-456.98039, -11.46445, 109.02886,-466.11753, -15.72970,  87.79515,-471.39466,   7.24465,  91.59232,-452.32939,  12.27290,  52.99557,-455.84225,  14.71547,  19.66712,-479.57094,  15.61573,  10.65655,-472.07676,  -5.65326,  92.05020,-451.40799, -11.47903,  57.95698,-433.21330, -14.19298,  18.71774,-421.69290, -16.82582,  13.84420,-411.32563
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.12823, 109.51513,-454.73841,   1.48798, 118.44695,-455.72852,   2.72579, 134.77702,-455.84025,   3.53199, 140.86352,-453.84180,   7.44190, 131.02716,-455.76729,  12.74948, 130.37778,-455.86712,  26.03000, 113.45676,-444.50105,  29.92276, 105.50722,-424.04215,  -2.47356, 131.77505,-456.35165,  -7.76315, 131.07511,-456.71598, -10.86887, 108.98724,-466.43070, -14.22913,  88.15032,-473.60306,   7.23596,  91.59143,-452.56820,  13.29238,  53.21301,-456.78120,  15.62539,  21.42192,-482.54332,  16.54279,  11.69028,-476.01513,  -5.62026,  92.04859,-451.18141, -10.55281,  59.05806,-430.81896, -10.30801,  19.02470,-422.03984, -14.55740,  13.34381,-412.66787
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.29339, 109.51880,-454.69139,   1.65293, 118.44943,-455.69225,   2.55304, 134.79927,-455.98977,   3.28827, 140.87786,-453.94054,   7.34499, 131.14618,-456.01693,  12.65521, 130.55249,-456.24308,  26.42854, 113.83176,-445.17089,  30.80883, 106.26632,-424.66497,  -2.59627, 131.68817,-456.32482,  -7.87595, 130.87609,-456.58559, -10.23763, 108.90903,-466.77216, -12.92546,  88.20409,-474.58189,   7.18088,  91.49057,-452.79570,  14.58188,  53.38117,-457.29365,  16.66327,  23.33558,-485.09173,  17.62101,  12.74872,-480.07530,  -5.61121,  92.14843,-450.96700,  -9.94727,  59.61632,-429.74922,  -8.04390,  18.96318,-424.90129, -12.11615,  12.00962,-416.34392
