time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.45131, 109.46737,  -2.89904,  -3.06744, 118.43561,  -3.17870,  -1.39523, 134.61666,  -5.07428,  -0.79939, 140.87473,  -6.54761,   3.06483, 130.64042,  -5.85270,   8.11048, 129.05430,  -6.64497,  16.05160, 106.19816,  -9.17796,  33.19373,  97.70227,   2.26244,  -6.64289, 131.86260,  -3.98625, -11.68305, 132.27890,  -2.24672, -19.98072, 109.49407,  -4.22042, -25.23559,  89.03196,   2.89292,   6.71227,  92.76641,  -3.51561,   1.23552,  54.50906,   2.29068,  -3.24790,  16.85592, -13.26385,  -4.34111,   9.36507,  -4.27188,  -6.02917,  90.75043,  -2.51252,  -4.74747,  55.81807,  14.96380,  -5.86790,  30.23045, -17.03342, -10.17055,  19.29284, -17.17262
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.82435, 109.55364,  -2.96256,  -2.20544, 118.53449,  -3.25635,  -0.51640, 134.73190,  -4.99041,   0.00339, 141.04086,  -6.26167,   3.94461, 130.76061,  -5.78840,   9.05951, 129.31682,  -6.38455,  16.54447, 106.17374,  -6.88864,  32.65643,  98.82547,   6.65104,  -5.77003, 131.97072,  -3.95034, -10.86730, 132.39143,  -2.38722, -19.30550, 109.85527,  -5.96681, -25.62068,  89.08701,  -0.89639,   6.61428,  92.49100,  -3.92636,   2.26971,  53.82895,  -0.22457,  -2.38857,  16.32788, -16.09192,  -3.42502,   8.83702,  -7.09323,  -6.10590,  91.00180,  -2.08407,  -3.39773,  57.33762,  17.58120,  -5.47431,  27.60622, -10.55302, -10.08927,  17.04210,  -8.25838
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.27764, 109.60677,  -3.18342,  -1.44965, 118.59209,  -3.53219,   0.27586, 134.80915,  -5.03069,   0.71744, 141.16704,  -6.06582,   4.73592, 130.84198,  -5.85410,   9.91485, 129.55379,  -6.20233,  17.01316, 106.31543,  -4.98836,  31.69936, 100.11037,  10.59136,  -4.98881, 132.04245,  -4.06366, -10.15169, 132.42928,  -2.72296, -18.66518, 110.20418,  -7.76884, -26.05732,  89.37717,  -4.85290,   6.49206,  92.23799,  -4.29261,   2.69524,  53.35366,  -3.33042,  -1.80633,  15.71523, -18.91526,  -2.64339,   8.22436,  -9.89585,  -6.13602,  91.24000,  -1.65628,  -2.40720,  58.31549,  19.06585,  -5.20071,  24.28624,  -3.60592,  -9.19591,  14.27990,   1.09249
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.78275, 109.63368,  -3.45690,  -0.79719, 118.61849,  -3.85704,   0.77225, 134.87925,  -5.01482,   1.12452, 141.27078,  -5.85949,   5.29953, 130.97957,  -5.79253,  10.52660, 129.85167,  -5.88004,  17.28154, 106.63778,  -3.16587,  30.32552, 101.54754,  14.17943,  -4.48231, 132.03474,  -4.23705,  -9.71275, 132.33332,  -3.16196, -18.21487, 110.46619,  -9.59919, -26.52616,  89.79671,  -8.82074,   6.36543,  91.99972,  -4.56164,   2.94148,  53.17076,  -7.37606,  -1.35031,  15.05260, -21.81175,  -1.91491,   7.56171, -12.77120,  -6.14730,  91.47077,  -1.31103,  -1.82143,  58.54032,  19.28524,  -4.65915,  20.64914,   3.92267,  -7.93720,  11.72579,  10.83584
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.33541, 109.63917,  -3.73231,  -0.19964, 118.61943,  -4.20517,   1.24929, 134.90377,  -5.17310,   1.49926, 141.31663,  -5.88165,   5.82685, 131.05144,  -5.89008,  11.08942, 130.11344,  -5.72401,  17.43556, 106.96752,  -1.73979,  28.72370, 102.91115,  17.04954,  -3.99521, 132.00615,  -4.53631,  -9.28205, 132.20471,  -3.75371, -17.71761, 110.73633, -11.48967, -26.68677,  90.36962, -12.77899,   6.24960,  91.78126,  -4.73534,   3.19715,  53.12396,  -9.59615,  -1.01735,  15.06619, -24.21283,  -1.19600,   7.05661, -15.61176,  -6.15613,  91.68769,  -1.06059,  -1.57982,  57.92542,  18.08360,  -3.62304,  17.54180,  11.39094,  -6.35023,  10.29378,  20.23358
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.01103, 109.63467,  -3.88887,   0.22061, 118.61119,  -4.39446,   1.50225, 134.91745,  -5.21860,   1.65229, 141.34392,  -5.82457,   6.14051, 131.12315,  -5.84978,  11.42360, 130.40767,  -5.42649,  17.24205, 107.33437,  -0.36198,  26.98769, 104.08420,  19.42120,  -3.72193, 131.95528,  -4.72867,  -9.04818, 132.02561,  -4.25053, -17.42660, 111.02424, -13.23051, -26.84441,  91.06532, -16.37014,   6.15103,  91.62592,  -4.88250,   3.29835,  53.28453, -11.89193,  -0.57691,  15.47594, -27.23128,  -0.62770,   6.87191, -19.22305,  -6.14796,  91.84429,  -0.86980,  -1.90952,  56.66907,  15.62486,  -2.33355,  15.73968,  17.72446,  -3.97697,  10.40969,  28.07114
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.18801, 109.63250,  -3.90718,   0.46360, 118.60857,  -4.39845,   1.55986, 134.93326,  -5.11864,   1.63819, 141.36558,  -5.67397,   6.25977, 131.20016,  -5.65098,  11.54203, 130.67975,  -4.99603,  16.97240, 107.74122,   1.02194,  25.24170, 105.13590,  21.55840,  -3.63715, 131.90386,  -4.77183,  -8.98203, 131.87642,  -4.58718, -17.22929, 111.37975, -14.77368, -26.91353,  91.87187, -19.52435,   6.07504,  91.53867,  -5.01600,   3.59573,  53.33187, -12.85344,  -0.07673,  16.08333, -29.55261,   0.06239,   6.90495, -22.21084,  -6.12743,  91.93214,  -0.73120,  -2.68486,  55.49634,  12.97700,  -1.04042,  15.51138,  21.82585,  -1.34523,  11.93249,  33.01791
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.54165, 109.62161,  -3.95238,   0.93129, 118.59333,  -4.44587,   1.90371, 134.92779,  -5.12108,   1.90497, 141.36350,  -5.64148,   6.64482, 131.23528,  -5.56356,  11.90704, 130.83310,  -4.69793,  16.99697, 108.06931,   2.21462,  23.98960, 105.89032,  23.26861,  -3.27343, 131.85414,  -4.88353,  -8.62022, 131.75009,  -4.94269, -16.61720, 111.77222, -16.29296, -26.34256,  92.67043, -22.41258,   6.00461,  91.39465,  -5.05115,   3.86391,  53.52614, -14.47061,   0.42623,  17.04558, -32.83235,   0.72035,   7.31182, -26.24971,  -6.15554,  92.07920,  -0.68345,  -2.63142,  55.28703,  12.01499,   0.36374,  15.99125,  23.26993,   0.75113,  13.24657,  34.69272
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.04256, 109.58436,  -4.13210,   1.60424, 118.54305,  -4.69195,   2.45844, 134.88207,  -5.41499,   2.39384, 141.31840,  -5.92366,   7.23866, 131.22716,  -5.73079,  12.47447, 130.89901,  -4.69126,  17.19302, 108.34798,   3.12330,  23.27218, 106.08567,  24.45031,  -2.69751, 131.76665,  -5.28495,  -8.03672, 131.58457,  -5.53411, -15.75226, 112.06434, -17.83560, -25.33788,  93.34549, -25.22691,   5.95374,  91.18539,  -4.92695,   4.10599,  53.83092, -16.26545,   0.86877,  18.15338, -36.17617,   1.33655,   7.74596, -30.73279,  -6.24426,  92.29884,  -0.75757,  -2.00761,  55.46295,  11.59159,   1.74480,  15.98674,  21.95266,   2.15921,  13.07548,  33.33319
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.69032, 109.52078,  -4.22415,   2.47884, 118.45806,  -4.84906,   3.23479, 134.78987,  -5.80639,   3.11836, 141.22309,  -6.34424,   8.04827, 131.16724,  -5.93095,  13.25450, 130.86493,  -4.74525,  17.76989, 108.53273,   3.78497,  23.08173, 105.72832,  25.25204,  -1.90012, 131.63741,  -5.77086,  -7.22375, 131.36832,  -6.20566, -14.63621, 112.13768, -19.13367, -23.94949,  93.73654, -27.59367,   5.91089,  90.93977,  -4.67803,   4.59099,  53.85692, -16.94395,   1.38972,  19.61636, -39.24055,   1.89365,   8.53758, -35.34564,  -6.38192,  92.56218,  -0.98085,  -0.68257,  56.93767,  14.04398,   3.39963,  16.54746,  19.68047,   3.15754,  11.27108,  30.18117
