time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.74222, 109.50051,-454.03008,   3.87930, 118.34555,-455.19608,   6.16019, 134.35285,-457.79985,   6.76383, 140.68201,-458.92531,  10.53114, 130.53077,-456.18895,  15.75227, 129.73466,-455.34745,  25.37343, 108.18407,-449.44100,  31.23651,  91.26459,-436.16429,   0.96390, 131.47007,-458.79716,  -4.18469, 131.18415,-460.21586, -10.89765, 109.47586,-468.90963, -21.12943,  89.72882,-467.40090,   6.89322,  91.20068,-450.68965,   9.10709,  52.42006,-446.38904,   9.76317,  17.24847,-467.42071,  11.23783,   9.19318,-458.98855,  -5.72729,  92.44341,-453.25734, -20.59739,  58.13403,-441.89600, -14.37196,  24.20609,-464.03064, -17.40320,  13.38967,-460.56939
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.70721, 109.52464,-453.84998,   3.75008, 118.39302,-454.92300,   5.60089, 134.47525,-457.40339,   6.00174, 140.82027,-458.52999,  10.06310, 130.76767,-455.77519,  15.28503, 130.22174,-454.75760,  25.89530, 109.59413,-447.42244,  31.33673,  94.46041,-431.98623,   0.49788, 131.45340,-458.46841,  -4.58442, 131.05818,-460.08599, -10.21055, 109.57886,-470.02987, -20.05379,  89.58181,-469.65599,   6.92822,  91.17623,-450.88478,   9.05671,  52.22674,-448.48922,   9.56887,  16.90783,-469.27660,  11.08274,   8.75896,-460.94187,  -5.75253,  92.46114,-453.11239, -20.32889,  58.83282,-439.54773, -15.33391,  22.05302,-456.92875, -18.84250,  12.00713,-451.93542
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.62381, 109.55651,-453.62218,   3.55473, 118.45182,-454.56776,   4.97855, 134.60766,-456.84317,   5.16981, 140.97074,-457.92196,   9.52574, 131.00764,-455.20868,  14.73061, 130.67950,-454.02390,  26.39109, 111.05209,-445.61683,  31.15903,  97.81317,-428.32772,  -0.02576, 131.45677,-457.99872,  -5.03093, 130.95526,-459.81512,  -9.65610, 109.76047,-470.82800, -19.17182,  89.60993,-471.39176,   6.96685,  91.17280,-451.08239,   9.08583,  52.15909,-450.20331,   9.44253,  16.86035,-471.02816,  10.97583,   8.60732,-462.80016,  -5.76792,  92.45568,-452.97827, -19.67702,  59.37930,-437.49202, -16.28717,  20.33406,-449.48289, -20.34301,  11.36312,-443.06136
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.44818, 109.59083,-453.43968,   3.23195, 118.51251,-454.26216,   4.22204, 134.73671,-456.26491,   4.20630, 141.12034,-457.23355,   8.85172, 131.24002,-454.63771,  14.03838, 131.10586,-453.34056,  26.76487, 112.57958,-444.02958,  30.71614, 101.10451,-425.33130,  -0.67860, 131.46544,-457.52550,  -5.59456, 130.87457,-459.54706,  -9.33549, 109.98664,-471.44644, -18.67599,  89.78482,-472.69239,   7.01685,  91.21546,-451.26111,   9.15454,  52.19439,-451.60605,   9.34014,  17.12040,-472.80944,  10.90571,   8.75115,-464.70586,  -5.76898,  92.40347,-452.85041, -18.75830,  59.67339,-435.89889, -17.41043,  19.17534,-442.05468, -21.50060,  11.35150,-434.29441
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.20786, 109.62110,-453.33920,   2.81709, 118.56421,-454.07186,   3.35059, 134.83981,-455.81435,   3.13457, 141.24130,-456.62887,   8.06628, 131.45382,-454.20008,  13.23336, 131.49059,-452.82096,  27.01917, 114.09743,-442.85551,  30.05040, 104.25557,-423.08520,  -1.44168, 131.44790,-457.16922,  -6.27163, 130.77751,-459.36573,  -9.15288, 110.23559,-472.07883, -18.45194,  90.04508,-473.74679,   7.07313,  91.29368,-451.41353,   9.21657,  52.29595,-452.79725,   9.24129,  17.71359,-474.79414,  10.85011,   9.20513,-466.84547,  -5.75829,  92.31680,-452.72598, -17.78277,  59.77602,-434.73034, -18.62019,  18.80209,-435.21883, -22.32115,  12.10890,-426.29315
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.93396, 109.64611,-453.28761,   2.35849, 118.60544,-453.94891,   2.44231, 134.91543,-455.42985,   2.04547, 141.32703,-456.08038,   7.24607, 131.63675,-453.85419,  12.39355, 131.80315,-452.41272,  27.21279, 115.50691,-442.08299,  29.25983, 107.15402,-421.51714,  -2.24948, 131.41342,-456.85450,  -7.01028, 130.65890,-459.17138,  -9.09388, 110.50416,-472.63765, -18.36764,  90.32751,-474.58985,   7.13239,  91.38904,-451.57617,   9.45213,  52.44122,-453.81628,   9.29289,  18.63658,-476.99005,  10.93802,   9.95762,-469.23552,  -5.74123,  92.21447,-452.57772, -16.79932,  59.87121,-433.63133, -19.43163,  19.17404,-429.55519, -22.71612,  13.66542,-419.70477
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.68779, 109.66347,-453.25432,   1.94409, 118.63437,-453.84128,   1.60035, 134.96633,-455.00957,   1.04955, 141.38070,-455.50109,   6.48868, 131.78502,-453.49561,  11.62053, 132.04455,-452.01277,  27.37051, 116.70654,-441.59333,  28.45354, 109.51583,-420.52116,  -2.99840, 131.37056,-456.50237,  -7.70211, 130.49694,-458.89286,  -9.18200, 110.74641,-473.02161, -18.37249,  90.54915,-475.14683,   7.18293,  91.47475,-451.75532,   9.88230,  52.60497,-454.78618,   9.62495,  19.83550,-479.40119,  11.25879,  10.94977,-471.88202,  -5.72317,  92.12393,-452.40785, -15.91741,  60.14098,-432.39529, -19.49211,  19.89101,-425.54222, -22.46100,  15.19124,-415.18551
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.46911, 109.67702,-453.20187,   1.56784, 118.65599,-453.70738,   0.79511, 134.99231,-454.56958,   0.09676, 141.40221,-454.90832,   5.77151, 131.91176,-453.13634,  10.89607, 132.25049,-451.64430,  27.40835, 117.62924,-441.37567,  27.69544, 111.25662,-420.01630,  -3.71599, 131.30639,-456.10922,  -8.36389, 130.29310,-458.55314,  -9.52507, 110.87852,-473.16892, -18.57077,  90.62398,-475.36890,   7.22376,  91.54924,-451.96066,  10.50079,  52.80514,-455.89619,  10.19452,  21.26061,-482.06204,  11.80452,  12.12848,-474.83877,  -5.70305,  92.04567,-452.21712, -15.34158,  60.60488,-431.10054, -18.72400,  20.45511,-423.59335, -21.39376,  15.95799,-413.06662
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.27968, 109.69338,-453.02534,   1.23144, 118.67811,-453.42458,   0.04979, 134.99859,-454.10395,  -0.80583, 141.39459,-454.32372,   5.11626, 132.02648,-452.76010,  10.24619, 132.43501,-451.30441,  27.26191, 118.18883,-441.33483,  27.03613, 112.27983,-419.84185,  -4.38744, 131.21916,-455.63152,  -8.99479, 130.05391,-458.08448, -10.03879, 110.88565,-473.03049, -18.88336,  90.54336,-475.23854,   7.25335,  91.61396,-452.17490,  11.29224,  53.08491,-457.32586,  11.01778,  22.84544,-484.98995,  12.57300,  13.41550,-478.14735,  -5.67987,  91.97639,-452.05207, -14.77732,  61.42832,-429.43822, -16.64396,  20.91402,-423.52977, -19.38313,  16.08234,-413.17045
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.20420, 109.71118,-452.59963,   1.05468, 118.70079,-452.82709,  -0.47853, 134.99283,-453.48651,  -1.48400, 141.36835,-453.66264,   4.66921, 132.12767,-452.22154,   9.81697, 132.58417,-450.84523,  27.16126, 118.40884,-441.35225,  26.64696, 112.51805,-419.85924,  -4.85883, 131.12105,-454.94557,  -9.45317, 129.79234,-457.33913, -10.52343, 110.76078,-472.45698, -19.12984,  90.31689,-474.66785,   7.26187,  91.64116,-452.37148,  12.20144,  53.42339,-458.87802,  12.12266,  24.53906,-487.95537,  13.57699,  14.73898,-481.63026,  -5.66735,  91.94422,-451.97412, -13.76221,  62.48903,-427.59792, -13.57013,  21.62386,-424.46683, -16.53886,  15.37401,-414.96475
