time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.08151, 109.62972,  -2.03100,  -0.15648, 118.61513,  -1.65153,  -0.38793, 134.99071,  -1.59750,  -0.42203, 141.36507,  -2.62489,   4.60996, 131.67989,  -2.20425,   9.95718, 131.72085,  -2.29135,  30.82286, 119.31623,  -3.91298,  52.69537, 115.69451,  -1.59089,  -5.32468, 131.53744,  -1.49727, -10.64495, 131.55027,  -0.95226, -32.10837, 120.85030,  -5.04220, -53.40906, 114.45620,  -6.56110,   6.44993,  91.80791,  -3.76207,   3.03347,  53.25404,   1.64708,  -3.57534,  13.95287,  -7.92081,  -2.52109,   6.46201,   1.07581,  -6.42722,  91.66368,  -2.50796,  -3.78912,  55.81205,  12.82291,  -5.08135,  24.00048, -12.98711, -10.49278,  13.64687, -11.68991
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.19663, 109.62847,  -2.02718,   0.22403, 118.61370,  -1.63739,  -0.02388, 134.98884,  -1.53961,  -0.07303, 141.36496,  -2.55541,   4.97595, 131.68473,  -2.16659,  10.32328, 131.74870,  -2.23009,  31.41556, 119.68664,  -3.45622,  53.31012, 116.47737,  -0.76468,  -4.95688, 131.53029,  -1.43715, -10.27922, 131.54284,  -0.91267, -31.93083, 121.18301,  -4.88470, -53.37401, 115.23988,  -6.21889,   6.40111,  91.70045,  -3.86130,   2.78668,  52.90935,  -0.77607,  -3.31012,  13.65762, -10.87230,  -2.24710,   6.16676,  -1.87672,  -6.45590,  91.77149,  -2.40979,  -2.76040,  56.73469,  14.50470,  -4.90678,  21.14027,  -5.70009,  -9.96237,  11.41282,  -1.45966
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.31574, 109.63026,  -2.08940,   0.39051, 118.61543,  -1.70430,   0.15218, 134.98977,  -1.50468,   0.08445, 141.36936,  -2.49743,   5.14917, 131.68678,  -2.15952,  10.49657, 131.75818,  -2.20819,  31.84079, 120.11471,  -3.06535,  53.76338, 117.35158,  -0.11909,  -4.78266, 131.53346,  -1.41635, -10.10784, 131.55365,  -0.92187, -32.00746, 121.65336,  -4.70160, -53.57642, 116.16105,  -5.93671,   6.37998,  91.65071,  -3.88780,   2.47607,  52.78480,  -2.64970,  -3.17177,  13.73346, -13.73561,  -2.07745,   6.24258,  -4.74379,  -6.46797,  91.82073,  -2.36595,  -2.31677,  57.29941,  15.47726,  -4.35454,  18.48563,   2.47186,  -8.46386,   9.62812,   9.01568
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.26052, 109.63579,  -2.17110,   0.32470, 118.62143,  -1.79503,   0.14074, 134.99452,  -1.47291,   0.05913, 141.37926,  -2.43089,   5.12909, 131.67960,  -2.13335,  10.47695, 131.72179,  -2.15944,  32.09562, 120.57567,  -2.68675,  54.05103, 118.32400,   0.44464,  -4.80601, 131.55443,  -1.42968, -10.13322, 131.58983,  -0.95836, -32.29883, 122.21968,  -4.53345, -53.97862, 117.16015,  -5.67317,   6.39028,  91.66746,  -3.85586,   2.42089,  52.79095,  -4.29517,  -3.08765,  14.09324, -16.62184,  -1.93925,   6.60239,  -7.63675,  -6.46288,  91.80244,  -2.37513,  -2.55692,  57.26150,  15.48547,  -3.21594,  16.52169,  11.05416,  -6.29236,   9.01533,  19.56027
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.09070, 109.63832,  -2.18313,   0.10904, 118.62391,  -1.80104,   0.02725, 134.99650,  -1.41689,  -0.04314, 141.38373,  -2.35898,   4.99712, 131.65259,  -2.07048,  10.34520, 131.66504,  -2.07016,  32.21223, 121.00353,  -2.28512,  54.19144, 119.27481,   1.00745,  -4.94127, 131.58766,  -1.40621, -10.26916, 131.66878,  -0.94855, -32.66582, 122.77965,  -4.30544, -54.44563, 118.15119,  -5.36758,   6.41705,  91.73472,  -3.82987,   2.61004,  52.90133,  -6.02223,  -3.02541,  14.69937, -19.75742,  -1.85655,   7.20852, -10.77497,  -6.44233,  91.73447,  -2.39776,  -3.19630,  56.49634,  14.18752,  -1.83414,  15.85664,  19.32194,  -3.89026,  10.14355,  29.38656
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.15404, 109.63857,  -2.19752,  -0.21067, 118.62414,  -1.81887,  -0.19248, 134.99653,  -1.41811,  -0.24070, 141.38930,  -2.32332,   4.75780, 131.62280,  -2.06712,  10.10566, 131.63296,  -2.01816,  32.20771, 121.46546,  -1.97757,  54.20571, 120.20324,   1.40037,  -5.18187, 131.61828,  -1.41891, -10.50913, 131.77740,  -0.97455, -33.14391, 123.41253,  -4.07148, -55.00502, 119.17282,  -5.08525,   6.44929,  91.83465,  -3.83755,   2.63494,  53.12533,  -7.62859,  -3.02719,  15.66296, -23.25914,  -1.81825,   8.17209, -14.28201,  -6.40636,  91.63448,  -2.38607,  -3.48460,  56.13031,  13.68412,  -0.92861,  17.20347,  26.25277,  -2.22107,  13.35052,  37.28218
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.30982, 109.63593,  -2.19088,  -0.40478, 118.62123,  -1.81344,  -0.26968, 134.99342,  -1.42731,  -0.27914, 141.39000,  -2.30646,   4.65759, 131.58359,  -2.06262,  10.00502, 131.59045,  -1.97912,  32.35708, 121.98956,  -1.68022,  54.35846, 121.15329,   1.80623,  -5.28322, 131.65114,  -1.43586, -10.60678, 131.89591,  -0.98608, -33.44336, 124.03543,  -3.91848, -55.37371, 120.16239,  -4.90358,   6.46406,  91.90139,  -3.88615,   2.82993,  53.41792,  -9.64361,  -2.90104,  16.80328, -27.14581,  -1.64591,   9.31242, -18.17501,  -6.37772,  91.56847,  -2.33933,  -3.27913,  56.23158,  14.06301,  -0.03402,  19.14347,  31.20198,  -1.21122,  16.88370,  42.67679
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.44659, 109.63193,  -2.17719,  -0.57253, 118.61676,  -1.79760,  -0.32033, 134.98780,  -1.42180,  -0.28744, 141.38387,  -2.30414,   4.57997, 131.54295,  -2.07646,   9.92724, 131.54865,  -1.98293,  32.46481, 122.40132,  -1.46813,  54.46468, 122.02950,   2.10719,  -5.35730, 131.68096,  -1.40660, -10.67665, 131.98101,  -0.94074, -33.67797, 124.57251,  -3.76005, -55.66935, 121.06242,  -4.74464,   6.47277,  91.96182,  -3.95568,   3.13778,  53.83055, -11.84344,  -2.65767,  18.11339, -31.09181,  -1.45041,  10.27017, -22.42059,  -6.34832,  91.50916,  -2.27361,  -3.03560,  56.56368,  14.90701,   0.43479,  19.87081,  32.83444,  -0.73804,  18.46401,  44.44516
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.35737, 109.62237,  -1.97588,  -0.43506, 118.60541,  -1.54448,  -0.09513, 134.97740,  -1.30313,  -0.02316, 141.36707,  -2.22847,   4.78685, 131.50105,  -1.92743,  10.13383, 131.51368,  -1.81910,  32.81703, 122.73539,  -1.27592,  54.81271, 122.78471,   2.34389,  -5.14978, 131.69786,  -1.26283, -10.46721, 132.05813,  -0.81820, -33.60832, 125.03897,  -3.48568, -55.63906, 121.77645,  -4.44149,   6.45394,  91.94094,  -4.03649,   3.81808,  53.95497, -12.83711,  -2.02864,  19.77711, -34.68873,  -0.99122,  10.96174, -26.98312,  -6.35435,  91.53270,  -2.24889,  -2.53424,  56.91532,  15.48181,   1.54434,  19.46102,  31.61697,  -0.12916,  16.86716,  42.95870
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.11751, 109.58757,  -1.49859,   0.22505, 118.56310,  -0.93700,   0.60706, 134.93586,  -0.99097,   0.71394, 141.30106,  -2.06894,   5.48378, 131.43629,  -1.51943,  10.83105, 131.43019,  -1.42632,  33.61975, 122.92261,  -1.00531,  55.62241, 123.31227,   2.55091,  -4.45648, 131.67048,  -0.92477,  -9.77663, 132.05286,  -0.53451, -32.99542, 125.26880,  -3.13445, -55.05657, 122.21850,  -4.08955,   6.39629,  91.77549,  -4.06374,   5.13278,  53.96223, -13.85625,  -0.46427,  21.54135, -38.29725,   0.00878,  11.48306, -32.23337,  -6.42904,  91.70785,  -2.35466,  -1.36892,  58.09033,  16.92206,   4.29276,  19.38116,  29.14286,   1.56328,  14.44916,  39.45736
