time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.55642, 109.60331,-450.33690,   0.16589, 118.21438,-447.77096,  -1.23461, 131.40079,-438.15986,  -2.09939, 136.85348,-434.81179,   4.02268, 129.00810,-439.87581,   9.30208, 128.58559,-439.13320,  12.73450, 111.28604,-455.89103,   1.93296,  96.70988,-468.84394,  -5.88758, 128.63313,-440.80494, -10.89531, 126.75897,-440.91742, -10.14966, 110.77901,-459.24718,   5.35858,  98.42495,-469.43457,   7.32311,  91.84774,-451.82841,  10.95722,  56.52663,-435.50220,  13.55102,  28.60757,-465.39536,  13.76025,  17.10487,-462.98544,  -5.54808,  91.76771,-453.14774,  -9.40266,  56.58071,-436.58419,  -6.99754,  16.76597,-446.00785,  -9.20763,   9.27515,-437.22339
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.53215, 109.58615,-450.20361,   0.16650, 118.18416,-447.59061,  -1.06125, 131.39329,-437.98710,  -1.85169, 136.86655,-434.65425,   4.16461, 128.95766,-439.73827,   9.44615, 128.52354,-439.01788,  12.66037, 111.29053,-455.88718,   1.73462,  96.74511,-468.77026,  -5.75480, 128.65847,-440.59439, -10.77858, 126.82608,-440.67469, -10.21656, 110.89257,-459.05138,   5.16105,  98.47103,-469.35407,   7.32991,  91.85913,-451.88184,  11.06613,  56.95954,-434.69488,  13.81909,  26.72666,-462.23026,  13.83814,  15.48918,-458.78319,  -5.54811,  91.76110,-453.13146,  -9.21555,  55.87694,-438.09115,  -6.79475,  16.10040,-447.67078,  -9.01477,   8.60947,-438.88892
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.57050, 109.57837,-450.13902,   0.26123, 118.17093,-447.50094,  -0.77006, 131.39273,-437.89175,  -1.48063, 136.88554,-434.57312,   4.41938, 128.91758,-439.69506,   9.70365, 128.45786,-439.01155,  12.67045, 111.30262,-456.00498,   1.54548,  96.83201,-468.80155,  -5.51021, 128.69184,-440.44962, -10.55072, 126.90441,-440.48049, -10.24988, 111.04316,-458.92569,   4.95881,  98.54973,-469.39091,   7.33354,  91.85538,-451.99110,  11.38287,  57.29974,-434.19102,  14.26546,  24.26663,-458.28059,  14.02000,  13.48906,-453.59579,  -5.56243,  91.76701,-453.04019,  -8.93171,  55.24095,-439.55580,  -6.48124,  15.47267,-449.16216,  -8.70061,   7.98180,-440.38008
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.61107, 109.56287,-450.02149,   0.35626, 118.14357,-447.33938,  -0.47077, 131.37579,-437.72478,  -1.09905, 136.88720,-434.42043,   4.67997, 128.85888,-439.58051,   9.96817, 128.36712,-438.95189,  12.66190, 111.26796,-456.04701,   1.32666,  96.87752,-468.74910,  -5.25835, 128.71206,-440.23280, -10.31366, 126.96687,-440.20744, -10.29399, 111.17179,-458.71178,   4.70840,  98.59762,-469.37618,   7.33146,  91.84322,-452.05222,  11.61561,  57.47078,-433.95489,  14.51965,  21.67874,-453.71089,  14.09124,  11.59019,-447.69415,  -5.57165,  91.78349,-453.01182,  -8.79528,  54.74591,-440.96360,  -6.45176,  14.99578,-450.67126,  -8.68093,   7.50493,-441.89166
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.62000, 109.53691,-449.84432,   0.40873, 118.09729,-447.09433,  -0.20544, 131.33075,-437.46550,  -0.74292, 136.85549,-434.16738,   4.90407, 128.77149,-439.37644,  10.19600, 128.24707,-438.80853,  12.61648, 111.20310,-455.99938,   1.08679,  96.88153,-468.60391,  -5.04144, 128.70888,-439.92425, -10.10893, 127.00069,-439.85296, -10.38707, 111.27553,-458.41468,   4.41412,  98.63027,-469.27439,   7.33284,  91.84335,-452.11342,  11.75390,  57.48293,-434.02617,  14.80716,  19.27692,-448.54447,  14.29977,  10.16909,-441.13141,  -5.57552,  91.79060,-452.99999,  -8.74376,  54.35532,-442.23449,  -6.51508,  14.64942,-452.14802,  -8.74129,   7.15858,-443.36766
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.71899, 109.52256,-449.74527,   0.58366, 118.07074,-446.95287,   0.16171, 131.29116,-437.29584,  -0.29499, 136.82626,-434.00292,   5.23324, 128.69504,-439.25755,  10.52723, 128.12838,-438.75301,  12.69869, 111.16974,-456.06110,   0.90922,  96.92474,-468.51116,  -4.71701, 128.71207,-439.71512,  -9.79613, 127.04024,-439.61481, -10.32314, 111.37555,-458.22220,   4.27269,  98.65642,-469.27192,   7.32315,  91.81162,-452.19084,  11.79479,  57.28702,-434.43165,  15.15932,  17.36529,-443.07681,  14.67666,   9.50055,-434.35464,  -5.59342,  91.82633,-452.95018,  -8.69679,  54.06520,-443.36893,  -6.58870,  14.45302,-453.67592,  -8.82379,   6.96210,-444.89789
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.83770, 109.49913,-449.59957,   0.78417, 118.02748,-446.74449,   0.55484, 131.22102,-437.04430,   0.17970, 136.76466,-433.75544,   5.58773, 128.58400,-439.05045,  10.88189, 127.97180,-438.60423,  12.78893, 111.08617,-456.01455,   0.75841,  96.91280,-468.31485,  -4.36496, 128.69500,-439.43622,  -9.45733, 127.06538,-439.31521, -10.28223, 111.48628,-457.98354,   4.11102,  98.66029,-469.17459,   7.30788,  91.76639,-452.23774,  11.60778,  56.89540,-435.12466,  15.33228,  16.15916,-437.67223,  14.88066,   9.58948,-427.93576,  -5.61123,  91.87809,-452.94388,  -8.82295,  53.87456,-444.41446,  -6.81945,  14.40740,-455.28330,  -9.06433,   6.91659,-446.50766
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.00994, 109.49485,-449.57942,   1.05727, 118.01745,-446.70710,   1.01633, 131.17904,-436.96097,   0.71663, 136.71909,-433.65837,   6.01091, 128.49422,-438.99923,  11.30194, 127.82730,-438.59645,  12.96541, 110.99157,-456.07993,   0.68403,  96.90691,-468.23334,  -3.94163, 128.71513,-439.33887,  -9.04798, 127.13080,-439.20632, -10.12802, 111.63732,-457.93280,   4.08097,  98.67819,-469.20562,   7.28315,  91.69565,-452.24559,  11.41893,  56.46427,-435.84506,  15.37526,  15.75368,-433.23777,  14.80774,  10.28608,-422.84802,  -5.63449,  91.95001,-452.94164,  -9.01165,  53.76172,-445.35329,  -7.12559,  14.55749,-457.15474,  -9.37184,   7.06668,-448.37944
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.13912, 109.47993,-449.50414,   1.26841, 117.98880,-446.59390,   1.40551, 131.11413,-436.79987,   1.17368, 136.64089,-433.46964,   6.36332, 128.36918,-438.84779,  11.64671, 127.63001,-438.47177,  13.12680, 110.78461,-455.96241,   0.61266,  96.81071,-468.00574,  -3.58528, 128.72646,-439.18683,  -8.70872, 127.19806,-439.05710, -10.03775, 111.74244,-457.79884,   4.01584,  98.61676,-469.07379,   7.26134,  91.63514,-452.21619,  11.19378,  56.34892,-435.88368,  15.16140,  15.89380,-430.64491,  14.44509,  10.84683,-420.05348,  -5.64868,  92.01469,-452.99202,  -9.33875,  53.70021,-446.23046,  -7.62976,  14.86467,-459.21824,  -9.87699,   7.37377,-450.44328
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.23446, 109.46196,-449.41522,   1.43089, 117.95853,-446.47296,   1.72327, 131.08347,-436.68182,   1.55734, 136.60563,-433.34006,   6.64800, 128.26377,-438.70790,  11.91894, 127.44330,-438.32570,  13.27606, 110.50880,-455.74011,   0.55774,  96.68006,-467.73702,  -3.29258, 128.77019,-439.08941,  -8.43627, 127.30997,-438.97676,  -9.92838, 111.84059,-457.69486,   3.99186,  98.49751,-468.87968,   7.24400,  91.58856,-452.19016,  10.83428,  56.70884,-434.93192,  14.51521,  16.14416,-430.37548,  13.77712,  10.45687,-420.11520,  -5.65791,  92.06627,-453.04282,  -9.75566,  53.66302,-447.06511,  -8.28547,  15.34464,-461.53381, -10.53583,   7.85371,-452.75967
   0.33333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.28371, 109.43655,-449.28555,   1.52643, 117.91887,-446.30589,   1.95391, 131.07514,-436.56188,   1.85350, 136.60123,-433.22399,   6.84793, 128.16324,-438.53112,  12.10198, 127.25420,-438.11795,  13.41938, 110.17246,-455.39104,   0.53269,  96.51148,-467.40045,  -3.07846, 128.83905,-439.00762,  -8.24509, 127.45940,-438.93694,  -9.79965, 111.95939,-457.62460,   3.98528,  98.29543,-468.58740,   7.23075,  91.55471,-452.13968,  10.29572,  57.15418,-433.84921,  13.76684,  16.38432,-431.48853,  12.78597,   9.55839,-421.96970,  -5.65838,  92.10720,-453.12944, -10.19749,  53.66161,-447.77527,  -8.82381,  16.05271,-464.00753, -11.24643,   8.57030,-455.27209
   0.36667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.30166, 109.46720,-449.45444,   1.58617, 117.97247,-446.54471,   2.18076, 131.15059,-436.83906,   2.16499, 136.70071,-433.53979,   7.03568, 128.14684,-438.76669,  12.26758, 127.13600,-438.31114,  13.60785, 109.88591,-455.41432,   0.62912,  96.57104,-467.70993,  -2.87394, 128.99535,-439.31119,  -8.06085, 127.69209,-439.30365,  -9.57406, 112.14481,-457.95539,   4.09380,  98.20805,-468.71956,   7.22472,  91.54194,-452.07660,   9.60104,  57.87097,-432.38012,  12.88025,  17.03222,-433.49624,  12.08547,   9.71658,-424.33036,  -5.65736,  92.11143,-453.14546, -10.66359,  53.65207,-448.33411,  -9.36129,  16.92485,-466.47848, -11.93327,   9.34130,-457.87393
   0.40000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.29753, 109.49158,-449.59357,   1.61086, 118.01084,-446.72808,   2.37762, 131.15842,-436.99313,   2.44901, 136.68686,-433.65839,   7.19270, 128.09388,-438.92501,  12.40114, 126.98346,-438.43395,  13.82872, 109.54712,-455.34008,   0.58827,  96.78852,-467.94262,  -2.70434, 129.07679,-439.47246,  -7.90725, 127.83904,-439.48448,  -9.38918, 112.31768,-458.16031,   4.12743,  98.15408,-468.81886,   7.21886,  91.53377,-451.98694,   8.90046,  58.35688,-431.40056,  11.64123,  17.72834,-436.04951,  11.02015,  10.24957,-427.00264,  -5.65035,  92.11281,-453.19635, -11.31890,  53.71578,-448.62806, -10.25889,  17.97733,-468.66410, -12.88405,   9.99332,-460.44658
   0.43333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.36784, 109.52931,-449.84085,   1.72648, 118.07371,-447.05665,   2.59432, 131.18364,-437.27950,   2.73316, 136.69336,-433.91603,   7.38528, 128.08426,-439.21577,  12.57515, 126.90028,-438.70058,  14.06268, 109.26983,-455.39894,   0.63074,  96.90015,-468.18524,  -2.50241, 129.15320,-439.77093,  -7.71601, 127.96122,-439.76279,  -9.28585, 112.40632,-458.40350,   4.22696,  98.20109,-469.01134,   7.20421,  91.50402,-451.91420,   8.48348,  58.40550,-431.17332,  10.74963,  18.19129,-438.75519,  10.17128,  10.67468,-429.73690,  -5.65528,  92.13205,-453.20018, -11.94986,  53.85104,-448.48036, -10.98506,  19.28330,-470.47908, -13.66330,  10.70984,-462.89710
