time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.11577, 109.65774,  -2.77321,  -0.20976, 118.65079,  -2.83047,  -0.46500, 135.00719,  -3.61736,  -0.22053, 141.28460,  -5.10853,   4.56777, 131.69454,  -3.69560,   9.90847, 131.61956,  -3.42461,  17.63476, 108.60091,  -1.89931,  22.77601,  91.64740,  11.63072,  -5.39180, 131.53926,  -3.69891, -10.72815, 131.26322,  -3.47604, -16.57660, 108.43564,  -9.52523, -23.21856,  87.16300,  -9.00554,   6.47751,  91.78404,  -3.35013,   2.98476,  53.57847,   4.09753,  -4.89222,  14.10477,  -3.62145,  -3.73869,   6.61391,   5.36298,  -6.44525,  91.67974,  -2.71307,  -5.88641,  57.44308,  16.12500,  -6.98896,  20.89653,  -2.39355, -11.96577,  10.93664,   1.37413
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.05805, 109.65767,  -2.74770,   0.01574, 118.65130,  -2.75239,  -0.31653, 135.01564,  -3.31252,  -0.07467, 141.31109,  -4.72606,   4.73544, 131.73153,  -3.33922,  10.06389, 131.72672,  -2.88127,  18.08032, 108.92627,  -0.09609,  21.90957,  93.28056,  15.31377,  -5.22114, 131.52281,  -3.53946, -10.56076, 131.22456,  -3.49546, -15.93361, 108.64341, -10.78378, -22.26819,  87.33051, -12.37888,   6.45292,  91.71337,  -3.36488,   2.93666,  53.38799,   3.42732,  -4.62956,  13.96004,  -4.81840,  -3.48083,   6.46918,   4.16664,  -6.46909,  91.75044,  -2.70543,  -5.03144,  57.78574,  16.57322,  -6.99417,  18.82918,   3.98999, -11.49885,   9.62111,   9.74175
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.09187, 109.65622,  -2.67735,   0.05544, 118.64967,  -2.61688,  -0.31299, 135.01896,  -2.97287,  -0.07053, 141.33107,  -4.30993,   4.74802, 131.74884,  -2.93929,  10.06035, 131.78269,  -2.32282,  18.38993, 109.27056,   1.63986,  20.86637,  95.11283,  18.67927,  -5.20181, 131.51639,  -3.34429, -10.53843, 131.19093,  -3.47480, -15.46671, 108.93126, -11.96683, -21.44429,  87.72570, -15.35855,   6.44730,  91.70150,  -3.39119,   2.82476,  53.29141,   2.84380,  -4.40710,  13.92067,  -5.95665,  -3.25384,   6.42981,   3.02782,  -6.47290,  91.76271,  -2.69872,  -4.60013,  57.66673,  16.30893,  -6.48465,  17.14132,  10.48289, -10.29681,   8.87163,  17.91547
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.01885, 109.65420,  -2.58049,  -0.09978, 118.64663,  -2.45127,  -0.47946, 135.01853,  -2.63239,  -0.23546, 141.33934,  -3.92738,   4.58385, 131.75245,  -2.56787,   9.88238, 131.81156,  -1.84393,  18.48198, 109.62715,   3.23342,  19.61022,  97.02353,  21.58530,  -5.35954, 131.51619,  -3.10677, -10.68928, 131.16726,  -3.37976, -15.14075, 109.29610, -13.06130, -20.79691,  88.30118, -17.97370,   6.46089,  91.75027,  -3.43821,   2.65807,  53.26775,   2.21572,  -4.18402,  13.96338,  -7.17338,  -3.05657,   6.47253,   1.81436,  -6.45563,  91.71451,  -2.67869,  -4.50517,  57.13346,  15.42327,  -5.42075,  16.17412,  16.56217,  -8.19643,   9.05289,  25.49231
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.18777, 109.65118,  -2.51423,  -0.33017, 118.64205,  -2.33773,  -0.69464, 135.01520,  -2.39173,  -0.43293, 141.34513,  -3.63782,   4.36533, 131.74412,  -2.31925,   9.65217, 131.84000,  -1.51785,  18.45018, 109.96971,   4.49600,  18.44586,  98.93003,  23.86197,  -5.57442, 131.52116,  -2.92643, -10.89935, 131.18239,  -3.29091, -14.80661, 109.71992, -14.06083, -20.12293,  88.98026, -20.26680,   6.48340,  91.82187,  -3.45474,   2.53133,  53.26266,   1.53531,  -3.97768,  14.08911,  -8.60713,  -2.88181,   6.59824,   0.38451,  -6.43107,  91.64374,  -2.68062,  -4.61435,  56.27803,  13.85116,  -4.24966,  16.03934,  21.63050,  -5.71228,  10.09282,  31.66360
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.36722, 109.64730,  -2.49172,  -0.57570, 118.63630,  -2.28791,  -0.93121, 135.00965,  -2.23169,  -0.65900, 141.34884,  -3.42741,   4.12628, 131.73522,  -2.13924,   9.40212, 131.88023,  -1.27519,  18.32000, 110.25483,   5.41016,  17.33796, 100.72823,  25.53962,  -5.80812, 131.52220,  -2.83162, -11.13211, 131.23887,  -3.25284, -14.52389, 110.14503, -14.89077, -19.46743,  89.66879, -22.18432,   6.51032,  91.89478,  -3.39775,   2.35428,  53.27740,   0.93323,  -3.90383,  14.38006, -10.36439,  -2.82647,   6.88921,  -1.37051,  -6.40799,  91.57191,  -2.74389,  -4.47299,  56.05311,  13.44268,  -3.06914,  16.93635,  25.59630,  -3.81187,  12.19984,  36.32838
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.51579, 109.64119,  -2.43482,  -0.78256, 118.62777,  -2.19548,  -1.14838, 135.00041,  -2.05795,  -0.87156, 141.34818,  -3.20615,   3.90973, 131.72826,  -1.92696,   9.17674, 131.91245,  -1.01768,  18.19813, 110.46331,   6.08369,  16.39425, 102.28555,  26.74248,  -6.01634, 131.51352,  -2.72959, -11.33917, 131.28231,  -3.19484, -14.34742, 110.47433, -15.43715, -18.93535,  90.25600, -23.62745,   6.53318,  91.95480,  -3.31634,   2.32742,  53.26249,   0.22615,  -3.82611,  14.75168, -12.37759,  -2.75576,   7.26081,  -3.38288,  -6.38944,  91.51360,  -2.84116,  -3.96302,  56.21627,  13.75840,  -1.60691,  18.00518,  28.39275,  -2.66330,  14.37616,  39.52279
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.62973, 109.63353,  -2.34472,  -0.94752, 118.61725,  -2.06355,  -1.35249, 134.98853,  -1.88181,  -1.07803, 141.34112,  -3.00364,   3.71187, 131.72763,  -1.71651,   8.97153, 131.93204,  -0.76978,  18.08191, 110.60117,   6.57023,  15.61049, 103.47835,  27.54815,  -6.20636, 131.49245,  -2.60566, -11.52708, 131.28765,  -3.10609, -14.28165, 110.68488, -15.74863, -18.58043,  90.65436, -24.53553,   6.54882,  92.00228,  -3.28317,   2.46319,  53.21597,  -0.78079,  -3.75416,  15.13977, -14.61374,  -2.68677,   7.64891,  -5.61868,  -6.37334,  91.46825,  -2.89944,  -3.51529,  56.06678,  13.40707,  -0.50776,  18.76703,  30.12490,  -2.02575,  15.80781,  41.39886
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.70647, 109.62162,  -2.16265,  -1.06255, 118.60140,  -1.81073,  -1.50842, 134.97151,  -1.61973,  -1.24532, 141.32642,  -2.73110,   3.56362, 131.72305,  -1.44551,   8.81792, 131.94781,  -0.47396,  17.98914, 110.66171,   6.92006,  15.00545, 104.19790,  28.04427,  -6.35205, 131.46389,  -2.35622, -11.67050, 131.25850,  -2.88008, -14.31544, 110.77144, -15.73233, -18.45914,  90.85127, -24.83878,   6.55745,  92.03878,  -3.32572,   2.55728,  53.18280,  -2.08343,  -3.61311,  15.53424, -17.06061,  -2.55750,   8.04339,  -8.06414,  -6.36058,  91.43507,  -2.90761,  -3.16004,  56.04795,  13.36636,   0.20267,  18.90835,  30.37064,  -1.74259,  16.08785,  41.61450
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.68774, 109.60705,  -1.91177,  -1.04961, 118.58231,  -1.46355,  -1.55322, 134.95075,  -1.27204,  -1.31271, 141.30299,  -2.40361,   3.53076, 131.72034,  -1.11030,   8.78533, 131.96695,  -0.14553,  18.00048, 110.66936,   7.16025,  14.68584, 104.39058,  28.29093,  -6.38616, 131.42589,  -1.99637, -11.70286, 131.19958,  -2.52923, -14.31878, 110.75413, -15.45347, -18.47665,  90.84572, -24.57917,   6.55290,  92.04036,  -3.41436,   2.59688,  53.16160,  -3.76718,  -3.44372,  15.90025, -19.73295,  -2.40701,   8.40939, -10.73430,  -6.36125,  91.43755,  -2.88889,  -2.78695,  55.87431,  12.91663,   0.98136,  18.49264,  29.29387,  -1.53422,  15.12782,  40.27173
