time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.51398, 109.69992,-452.64602,   1.65616, 118.59607,-451.33245,   0.91114, 133.01639,-443.60489,   0.71260, 138.31816,-439.92506,   6.03657, 130.09089,-444.82141,  11.22092, 129.19007,-443.86582,  18.49331, 106.90788,-437.34682,  16.70723,  88.77801,-424.50030,  -3.85288, 130.21451,-446.00492,  -9.08876, 129.21573,-446.44135, -14.93590, 107.54478,-455.82625, -18.75586,  85.59922,-456.66938,   7.20343,  91.53229,-451.72919,   8.29157,  52.61929,-455.18274,   7.82991,  17.23246,-475.85548,   6.99732,   8.45998,-468.07642,  -5.69524,  92.05623,-452.60349,  -8.09378,  55.47609,-439.05823, -10.57869,  17.09108,-424.90834, -12.98526,  14.12324,-413.79241
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.33723, 109.70781,-452.59091,   1.38026, 118.59859,-451.23475,   0.47236, 132.95277,-443.40218,   0.21326, 138.24570,-439.71340,   5.63449, 130.13379,-444.71147,  10.85075, 129.32292,-443.85403,  18.39871, 106.97730,-437.88895,  16.60607,  88.72124,-425.22331,  -4.27162, 130.07536,-445.75201,  -9.49087, 128.97084,-446.12870, -15.08410, 107.36909,-455.82281, -18.70239,  85.42001,-457.25692,   7.23737,  91.59926,-451.85462,   8.73761,  52.79270,-456.22871,   8.36864,  18.35628,-478.45032,   7.48232,   9.29451,-471.01646,  -5.67992,  91.98707,-452.49342,  -7.68377,  55.47082,-438.71365,  -9.33313,  16.88092,-425.00591, -11.88069,  13.60449,-414.00870
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.45046, 109.70729,-452.38746,   1.49322, 118.58219,-450.93096,   0.34576, 132.86219,-442.99491,  -0.01000, 138.11818,-439.26165,   5.55585, 130.16931,-444.37763,  10.79609, 129.42836,-443.60761,  18.70504, 106.98647,-438.53898,  17.02745,  88.39262,-426.35828,  -4.35706, 129.89292,-445.31297,  -9.54563, 128.63820,-445.64000, -14.88505, 107.04851,-455.50263, -18.22195,  85.08463,-457.33673,   7.22517,  91.54711,-452.02149,   9.37996,  52.85513,-457.08310,   9.14252,  19.60437,-481.04419,   8.18968,  10.15337,-474.12074,  -5.69928,  92.03936,-452.38324,  -7.77798,  56.96415,-435.27351,  -5.82812,  17.13418,-425.80916,  -9.37046,  12.60037,-415.55928
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.80223, 109.68882,-451.98304,   1.93801, 118.53208,-450.35044,   0.55485, 132.73802,-442.31962,   0.07790, 137.92877,-438.50938,   5.80892, 130.18842,-443.80381,  11.07109, 129.49789,-443.14439,  19.34492, 106.96012,-439.21082,  17.94003,  87.82758,-427.85795,  -4.10787, 129.65894,-444.57457,  -9.24696, 128.20931,-444.87579, -14.39190, 106.61556,-454.83245, -17.41869,  84.61607,-456.77463,   7.17137,  91.40364,-452.29602,  10.42695,  52.77273,-457.23425,  10.18596,  21.02181,-483.14997,   9.14254,  10.99087,-477.11216,  -5.74350,  92.18798,-452.22141,  -6.68612,  57.24477,-434.74520,  -3.54230,  17.23022,-426.45335,  -7.24425,  11.13415,-417.11005
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.06233, 109.66877,-451.87406,   2.24662, 118.49845,-450.17408,   0.59355, 132.61338,-442.03453,  -0.02283, 137.75950,-438.18398,   5.89373, 130.20653,-443.59137,  11.18111, 129.61516,-443.04742,  19.72332, 106.97473,-440.53291,  18.81180,  87.15209,-430.37677,  -4.01436, 129.43225,-444.26033,  -9.10077, 127.80436,-444.54477, -14.09176, 106.19214,-454.53963, -16.78623,  84.13853,-456.35330,   7.12607,  91.30259,-452.43531,  11.64015,  52.65507,-456.08565,  11.33040,  22.83362,-484.19949,  10.13010,  11.94739,-479.93183,  -5.77068,  92.29461,-452.11249,  -6.21715,  57.83038,-433.69100,  -3.06455,  17.27616,-428.66909,  -6.24818,   9.95968,-420.03792
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.06187, 109.67270,-452.25842,   2.19483, 118.52625,-450.68232,   0.28229, 132.55520,-442.45148,  -0.52535, 137.65828,-438.57907,   5.62679, 130.24340,-444.00080,  10.93058, 129.80685,-443.47038,  19.59230, 107.08174,-442.81859,  19.33035,  86.51413,-434.22673,  -4.26471, 129.31764,-444.72074,  -9.32786, 127.61403,-444.97518, -14.19665, 105.87486,-454.75266, -16.51861,  83.75454,-456.23947,   7.12693,  91.29845,-452.33114,  12.76580,  52.63981,-453.35374,  12.56399,  24.87531,-483.50162,  11.01169,  13.31164,-482.07492,  -5.77141,  92.29766,-452.10955,  -6.40748,  58.33057,-432.79205,  -2.54068,  17.52952,-432.43803,  -5.63386,  10.03874,-423.92427
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.12342, 109.66190,-452.65688,   2.27594, 118.53663,-451.20671,   0.31653, 132.49683,-442.87067,  -0.60992, 137.55256,-438.96292,   5.66841, 130.21913,-444.44484,  10.97680, 129.89496,-443.88095,  19.59548, 107.17714,-445.10571,  20.03930,  85.96012,-438.28249,  -4.22017, 129.25665,-445.15675,  -9.28808, 127.56422,-445.39014, -14.13781, 105.56552,-454.57887, -16.11934,  83.37844,-455.42618,   7.11510,  91.27053,-452.31942,  13.43393,  52.83188,-449.17691,  13.94835,  27.51733,-481.40596,  12.11048,  15.99194,-482.80284,  -5.77674,  92.32859,-452.01023,  -6.56407,  58.44952,-432.54429,  -1.78767,  17.88894,-435.98349,  -4.87252,  10.39816,-427.46671
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.06714, 109.65118,-453.03930,   2.21700, 118.54360,-451.70160,   0.34106, 132.42208,-443.21132,  -0.61656, 137.43980,-439.26231,   5.67701, 130.15929,-444.85933,  10.99027, 129.84440,-444.33760,  19.59068, 107.24267,-446.99768,  20.71171,  85.56484,-441.92519,  -4.21818, 129.20479,-445.48486,  -9.29132, 127.52609,-445.70332, -14.25025, 105.28169,-454.21750, -15.92633,  83.05537,-453.91367,   7.12247,  91.28790,-452.32732,  13.47914,  53.53685,-444.46711,  15.01587,  30.18155,-478.11189,  12.99303,  19.16299,-481.67040,  -5.76842,  92.31420,-451.89576,  -6.70439,  58.29916,-432.67508,  -1.17252,  18.21908,-439.21636,  -4.26505,  10.72814,-430.70251
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.97611, 109.63301,-453.42744,   2.09423, 118.54373,-452.21404,   0.31919, 132.35096,-443.58702,  -0.64010, 137.34781,-439.61204,   5.63602, 130.09456,-445.30415,  10.95498, 129.73120,-444.88151,  19.51142, 107.25743,-448.56901,  21.40367,  85.31958,-445.09546,  -4.26605, 129.16029,-445.84571,  -9.33795, 127.47337,-446.02629, -14.45373, 105.02699,-453.89296, -15.78525,  82.84736,-452.10357,   7.14146,  91.33206,-452.13602,  13.01508,  54.36236,-440.90774,  14.85858,  32.18791,-475.32719,  13.58015,  21.12963,-479.10126,  -5.76205,  92.27510,-451.97890,  -7.01414,  57.69993,-433.80409,  -0.81216,  18.13135,-442.50271,  -3.91061,  10.64053,-433.99091
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.87507, 109.60734,-453.79553,   1.95165, 118.53591,-452.71759,   0.26789, 132.32290,-444.04005,  -0.66500, 137.31821,-440.05684,   5.56802, 130.05476,-445.79296,  10.89070, 129.65410,-445.46043,  19.36043, 107.31535,-450.05657,  22.06044,  85.28001,-448.03931,  -4.33980, 129.15356,-446.28305,  -9.41389, 127.46846,-446.41182, -14.68119, 104.78370,-453.45117, -15.62840,  82.74764,-450.22227,   7.15910,  91.39292,-451.90159,  12.35156,  55.18187,-438.14910,  14.02217,  33.03798,-472.59704,  13.86998,  21.61692,-475.37186,  -5.75153,  92.22140,-452.11076,  -7.39433,  56.80498,-435.66959,  -0.57553,  17.67513,-445.77713,  -3.67739,  10.18432,-437.26655
