time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.53460, -11.26190,   1.15140, 127.65900,  85.51930,-127.50200,  -0.67825,   5.46223,   0.34717,  -4.94408,   3.25219,  -0.78335,   9.98621,  -0.53828,  -3.71794, -89.85910,  -0.71451, -93.84070, -76.77060,  -8.47800,   5.96286,   5.20923,  13.27980, -21.64790,   5.33768,   5.18197,   3.16748,  89.89620,   1.30172,-100.44200, -75.77940,   1.29171,   8.53069,   6.34675,  15.48700, -22.61750,  12.29950,   5.42196,  -3.66463,-177.44400,  -3.45724, -14.14790,   0.03055,  -0.04833,  25.58580,  -0.90029,  -3.92232, -60.30470,   0.06344,  -0.07120, -17.27240,-171.84500,  10.85190, 173.03700,   0.08319,  -0.18826,  19.01750,   5.70723,  -9.98695, -62.28320,  -0.06174,   0.04205, -16.57340
   0.03333,   0.00000,   0.00000,  -0.00000,  88.50950, -11.22850,   1.10442, 127.86800,  85.57810,-127.69400,  -0.79204,   5.41465,   0.38399,  -4.91210,   3.23730,  -0.80026,   9.85126,  -0.52891,  -3.62863, -89.85040,  -0.76004, -93.86680, -76.82920,  -8.40164,   5.95109,   5.17747,  13.13830, -21.73370,   5.19958,   5.18310,   3.13972,  89.89560,   1.31195,-100.44900, -75.92510,   1.14135,   8.53703,   6.30876,  15.48430, -22.49810,  12.38250,   5.41902,  -3.56567,-177.44400,  -3.53936, -14.17100,   0.02970,  -0.04673,  25.73920,  -0.86836,  -3.81585, -60.47870,   0.05733,  -0.06427, -17.20510,-171.85400,  11.00630, 173.05000,   0.08599,  -0.19467,  19.11770,   5.66174,  -9.87225, -62.45170,  -0.05654,   0.03847, -16.57340
   0.06667,   0.00000,   0.00000,  -0.00000,  88.48600, -11.18370,   1.06825, 127.99500,  85.61570,-127.82300,  -0.86359,   5.38380,   0.38559,  -4.92138,   3.19863,  -0.78939,   9.79803,  -0.53944,  -3.53796, -89.83880,  -0.82664, -93.96220, -76.85400,  -8.34135,   5.78561,   5.15764,  13.21560, -21.54450,   5.09736,   5.18308,   3.14027,  89.89220,   1.34885,-100.43000, -76.04760,   1.14081,   8.56273,   6.29989,  15.45760, -22.50340,  12.31260,   5.41894,  -3.56333,-177.44300,  -3.55378, -14.12420,   0.02951,  -0.04653,  25.79040,  -0.84665,  -3.75926, -60.61100,   0.06058,  -0.06795, -17.24090,-171.87000,  10.99710, 173.13400,   0.08477,  -0.19187,  19.09290,   5.59393,  -9.91712, -62.53690,  -0.05489,   0.03734, -16.57340
   0.10000,   0.00000,   0.00000,  -0.00000,  88.46160, -11.12170,   1.00371, 127.92900,  85.66350,-127.76400,  -0.93254,   5.31755,   0.37445,  -4.87937,   3.16146,  -0.80541,   9.67756,  -0.52748,  -3.48065, -89.82710,  -0.89138, -94.02190, -76.83950,  -8.26796,   5.56052,   5.07647,  13.21530, -21.23490,   5.09274,   5.17986,   3.21910,  89.89360,   1.33947,-100.45600, -76.18320,   1.28066,   8.57749,   6.30120,  15.44760, -22.52060,  12.29610,   5.42110,  -3.63557,-177.43500,  -3.48307, -14.16480,   0.02861,  -0.04366,  25.91070,  -0.84787,  -3.77301, -60.75470,   0.05459,  -0.06116, -17.17490,-171.87500,  10.99590, 173.12700,   0.08468,  -0.19035,  19.16750,   5.52301,  -9.96434, -62.66190,  -0.06487,   0.04410, -16.57320
   0.13333,   0.00000,   0.00000,  -0.00000,  88.45610, -11.04170,   0.93782, 127.76500,  85.70390,-127.60900,  -0.98076,   5.24915,   0.35711,  -4.85098,   3.15974,  -0.82755,   9.59018,  -0.52543,  -3.50949, -89.81240,  -0.97645, -94.12100, -76.84310,  -8.22406,   5.33724,   5.01052,  13.24410, -20.94120,   5.16471,   5.17744,   3.27900,  89.89550,   1.30945,-100.43500, -76.28080,   1.52331,   8.65036,   6.36673,  15.45760, -22.72000,  12.19890,   5.41850,  -3.54836,-177.45400,  -3.32530, -14.16880,   0.02830,  -0.04302,  25.93500,  -0.85910,  -3.89222, -60.84580,   0.05192,  -0.05815, -17.14560,-171.89300,  11.07420, 173.15900,   0.08296,  -0.18579,  19.14360,   5.46960,  -9.98901, -62.74200,  -0.06680,   0.04537, -16.57320
   0.16667,   0.00000,   0.00000,  -0.00000,  88.45950, -10.98800,   0.87843, 127.42000,  85.74120,-127.28000,  -1.00781,   5.16387,   0.32621,  -4.79532,   3.20149,  -0.87464,   9.46943,  -0.47216,  -3.54459, -89.79290,  -1.08412, -94.18180, -76.84250,  -8.05783,   5.19050,   4.96264,  13.23590, -20.76870,   5.27567,   5.17999,   3.21627,  89.89990,   1.26116,-100.46200, -76.34920,   1.61629,   8.67548,   6.36900,  15.41080, -22.78770,  12.12270,   5.42175,  -3.65819,-177.47300,  -3.19587, -14.16890,   0.02651,  -0.04011,  25.98880,  -0.87251,  -3.97696, -60.96420,   0.05489,  -0.06149, -17.17820,-171.92200,  11.16580, 173.16600,   0.08279,  -0.18460,  19.18180,   5.42305,  -9.94777, -62.85510,  -0.06405,   0.04348, -16.57340
   0.20000,   0.00000,   0.00000,  -0.00000,  88.45790, -10.94280,   0.82479, 127.05600,  85.77850,-126.93100,  -1.03381,   5.07708,   0.29657,  -4.72300,   3.24172,  -0.90365,   9.35270,  -0.36846,  -3.61223, -89.77540,  -1.18086, -94.23070, -76.81840,  -7.91819,   5.18833,   4.98860,  13.24300, -20.85830,   5.30050,   5.17923,   3.23498,  89.90320,   1.21539,-100.44600, -76.37740,   1.69628,   8.75343,   6.40779,  15.39120, -22.93880,  12.11820,   5.42059,  -3.61852,-177.48700,  -3.13038, -14.13010,   0.02547,  -0.03732,  25.96910,  -0.86994,  -3.99561, -61.03980,   0.05001,  -0.05598, -17.12450,-171.94300,  11.24260, 173.25300,   0.08257,  -0.18552,  19.08970,   5.38887,  -9.90773, -62.90760,  -0.06310,   0.04279, -16.57330
   0.23333,   0.00000,   0.00000,  -0.00000,  88.45930, -10.92740,   0.70606, 127.12700,  85.81960,-127.02200,  -1.10484,   5.03731,   0.25758,  -4.72622,   3.29380,  -0.92773,   9.43422,  -0.29697,  -3.67172, -89.76120,  -1.26187, -94.28380, -76.76370,  -7.74128,   5.22674,   5.05249,  13.31290, -21.00400,   5.25261,   5.18219,   3.16206,  89.90500,   1.18800,-100.43000, -76.36400,   1.71097,   8.85258,   6.35765,  15.24580, -22.96650,  12.18220,   5.42391,  -3.73140,-177.51000,  -3.05405, -14.16740,   0.02522,  -0.03726,  25.98450,  -0.87361,  -4.04886, -61.13980,   0.04987,  -0.05583, -17.12300,-171.96700,  11.32920, 173.22300,   0.08128,  -0.18175,  19.08070,   5.34896,  -9.82475, -62.99200,  -0.06657,   0.04516, -16.57330
   0.26667,   0.00000,   0.00000,  -0.00000,  88.47280, -10.96220,   0.59157, 127.43300,  85.84310,-127.35600,  -1.16826,   5.04642,   0.20607,  -4.68083,   3.33954,  -0.96254,   9.40890,  -0.25325,  -3.73649, -89.75250,  -1.31218, -94.31550, -76.67960,  -7.60448,   5.34054,   5.11931,  13.31960, -21.24900,   5.25456,   5.18284,   3.14585,  89.90640,   1.16761,-100.42000, -76.31490,   1.59452,   8.99501,   6.41766,  15.36730, -23.00190,  12.17630,   5.42137,  -3.64509,-177.55100,  -3.03681, -14.18310,   0.02485,  -0.03680,  25.94240,  -0.86525,  -4.09835, -61.19980,   0.04166,  -0.04656, -17.03270,-172.00000,  11.18440, 173.21000,   0.08005,  -0.17918,  19.03270,   5.28253,  -9.91108, -63.02790,  -0.06276,   0.04259, -16.57330
   0.30000,   0.00000,   0.00000,  -0.00000,  88.48130, -10.97100,   0.44199, 127.52100,  85.87020,-127.46800,  -1.21815,   5.02537,   0.15993,  -4.68300,   3.41129,  -0.97771,   9.38637,  -0.19340,  -3.83359, -89.74840,  -1.33882, -94.35070, -76.56710,  -7.49681,   5.50577,   5.20160,  13.33140, -21.54420,   5.22411,   5.18431,   3.10965,  89.91150,   1.11582,-100.46700, -76.29510,   1.58360,   9.09155,   6.35702,  15.29750, -22.89630,  12.15780,   5.42400,  -3.73454,-177.59900,  -2.94453, -14.25530,   0.02411,  -0.03565,  25.91130,  -0.86505,  -4.23600, -61.25100,   0.04362,  -0.04877, -17.05430,-172.02300,  11.09370, 173.14200,   0.07800,  -0.17337,  19.00040,   5.22417,  -9.95902, -63.06530,  -0.06118,   0.04152, -16.57340
