time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.62890,  -0.13901,   1.23916,  73.89450,  87.10150, -73.60190,  -2.19261,  -1.63311,   0.55407,  -1.62185,  -2.14263,   1.53707,  -5.55825,  -0.44212,  -2.36113, -91.34860,   4.32300, -87.65610, -78.29130,  16.16880,   0.32698,   0.77322,   5.44663,  -8.09184,   9.86669,   5.49179,  -6.19491,  87.73930,   9.78213, -91.91920, -71.07320,   1.16939,   9.48300,   5.57979,  16.23210, -19.26770,   8.06972,   5.35411,  -1.50261,-173.29900,  -9.45533,  -2.87653,  -0.02936,   0.13389,  16.67380,  -5.40838,   4.41623, -61.79380,   0.02325,  -0.03626, -17.22460, 174.54200,  13.25220, 175.25500,  -0.02769,   0.12674,  20.79270,  -2.75220,   3.76156, -64.19250,   0.06623,  -0.07458, -17.30740
   0.03333,   0.00000,   0.00000,  -0.00000,  90.59760,  -0.23429,   0.69777,  73.93520,  87.12880, -73.55240,  -2.24261,  -1.62205,   0.73369,  -2.42170,  -1.94146,   1.47938,  -6.04020,  -0.29337,  -2.49156, -91.30800,   4.01518, -86.93980, -77.56680,  10.74530,   1.60985,   0.69614,   4.68617,  -8.45943,   5.82459,   5.46708,  -5.25462,  87.75520,   9.42176, -91.53420, -70.31590,   0.23411,   9.80654,   5.74028,  16.78750, -19.19340,   7.06315,   5.38660,  -2.50875,-173.13600,  -9.81596,  -3.11427,  -0.02419,   0.11827,  15.95510,  -5.62148,   4.57778, -61.30840,   0.02747,  -0.04295, -17.34340, 174.94100,  13.28040, 174.70400,  -0.02442,   0.11849,  20.59510,  -2.51323,   3.79805, -64.06030,   0.05985,  -0.06732, -17.23630
   0.06667,   0.00000,   0.00000,  -0.00000,  90.63500,  -0.36307,   0.09601,  75.28600,  87.23410, -74.83720,  -2.41006,  -1.44447,   0.86719,  -2.74345,  -1.73129,   1.38883,  -6.79211,  -0.35692,  -2.59933, -91.27120,   3.65707, -85.81730, -74.88940,   6.17262,   2.14730,   0.65038,   4.27152,  -8.66516,   4.37454,   5.44978,  -4.63096,  87.78950,   8.96103, -91.08170, -68.33230,  -1.50329,  10.33630,   5.94381,  17.21880, -19.38030,   6.27997,   5.39856,  -2.89051,-173.07600, -10.44240,  -3.32476,  -0.01625,   0.09173,  15.07440,  -5.77305,   5.00172, -60.72580,   0.03144,  -0.04926, -17.45560, 175.22500,  13.44820, 174.11200,  -0.02036,   0.10813,  20.35220,  -2.29512,   4.00132, -63.88430,   0.05918,  -0.06655, -17.22880
   0.10000,   0.00000,   0.00000,  -0.00000,  90.81070,  -0.16181,  -0.53359,  76.33790,  87.38240, -75.95760,  -2.67492,  -1.27074,   0.73115,  -2.87809,  -1.89526,   1.34473,  -7.25909,  -0.51613,  -2.23172, -91.09530,   3.07390, -85.37750, -70.40710,   1.48663,   2.45832,   0.79889,   5.27355,  -8.62593,   5.02753,   5.45782,  -4.91901,  87.81190,   8.62983, -90.71400, -65.05180,  -3.44725,  11.19000,   5.65481,  16.57920, -19.14070,   6.23198,   5.40065,  -2.95884,-173.26400, -11.08930,  -4.28969,  -0.00681,   0.05523,  15.24660,  -5.32787,   5.73523, -60.00680,   0.04010,  -0.06312, -17.70100, 175.36300,  13.90680, 173.48100,  -0.01533,   0.09512,  20.13280,  -2.10422,   4.17277, -63.69510,   0.04874,  -0.05471, -17.11270
   0.13333,   0.00000,   0.00000,  -0.00000,  91.11080,   0.48004,  -1.12893,  73.86890,  87.44350, -73.61630,  -2.85151,  -1.44342,   0.46936,  -3.26831,  -2.06148,   1.27902,  -7.35292,  -0.81837,  -1.47588, -90.80370,   2.21236, -85.02990, -64.67140,  -3.01260,   2.86232,   0.98043,   6.00517,  -9.28864,   6.77609,   5.47028,  -5.37572,  87.90220,   8.02215, -90.29300, -60.64040,  -5.44606,  11.85910,   5.38069,  16.26240, -18.59320,   6.21455,   5.40199,  -3.00183,-173.56400, -11.44740,  -5.58729,  -0.00566,   0.04958,  15.73470,  -5.32793,   6.69217, -58.60910,  -0.07292,  -0.22766, -18.18080, 175.39100,  13.85100, 173.03100,  -0.01375,   0.09150,  19.69410,  -2.11473,   3.40530, -63.43580,   0.04366,  -0.04893, -17.05620
   0.16667,   0.00000,   0.00000,  -0.00000,  91.71690,   1.33047,  -1.71099,  70.19900,  87.43280, -70.21130,  -2.93611,  -1.73742,  -0.06920,  -3.61391,  -2.36295,   1.32998,  -7.66617,  -1.23663,  -0.52175, -90.42480,   1.16078, -84.89860, -57.99370,  -7.45690,   3.68568,   1.20776,   6.31831, -10.84280,   8.47503,   5.47564,  -5.58104,  88.02300,   7.31262, -89.82570, -55.12020,  -7.66685,  12.93480,   5.27686,  15.95540, -18.57540,   6.37104,   5.39816,  -2.87749,-174.18600, -11.80050,  -7.03936,  -0.00584,   0.04706,  16.37050,  -5.75307,   8.01012, -56.55840,   0.17222,  -0.01121, -19.50690, 175.04500,  13.70810, 172.81500,  -0.01334,   0.09046,  18.95670,  -2.24774,   2.33021, -63.06260,   0.03428,  -0.03836, -16.95220
   0.20000,   0.00000,   0.00000,  -0.00000,  92.16990,   2.23068,  -2.35134,  67.14640,  87.39440, -67.41210,  -2.96942,  -1.99817,  -0.58344,  -3.82861,  -2.85301,   1.35682,  -8.25484,  -1.78369,   0.70803, -89.97610,  -0.06535, -84.93290, -50.89130, -10.90030,   4.92203,   1.26852,   5.47898, -13.05960,  10.64360,   5.48660,  -5.99741,  88.17700,   6.53315, -89.37020, -48.86520,  -9.87764,  14.62390,   4.78420,  14.22170, -18.81670,   7.12693,   5.39321,  -2.71888,-174.55300, -11.17700,  -8.67841,  -0.00317,   0.03591,  17.59130,  -7.53723,   8.59957, -55.98910,   0.07395,  -0.11862, -18.67790, 174.77400,  14.09460, 172.67600,  -0.01350,   0.09166,  17.99270,  -2.37065,   1.70341, -62.54470,   0.02917,  -0.03261, -16.89570
   0.23333,   0.00000,   0.00000,  -0.00000,  92.27300,   2.83326,  -2.92331,  67.99300,  87.31510, -68.41680,  -2.79532,  -1.97240,  -0.89583,  -4.07528,  -3.43430,   1.44228,  -8.95178,  -2.52401,   1.82718, -89.53100,  -1.28802, -84.98970, -43.80330, -13.29030,   6.19999,   0.86542,   3.16917, -15.29020,  13.40550,   5.50458,  -6.71331,  88.33950,   5.75207, -88.86670, -42.08930, -11.85000,  16.60770,   4.10393,  12.15720, -18.81870,   7.98337,   5.39021,  -2.62291,-174.55800,  -9.81605, -10.05830,  -0.00252,   0.03111,  18.91780,  -8.78017,   8.27681, -57.79410,   0.07637,  -0.12268, -18.74890, 174.75500,  14.29540, 172.47000,  -0.01417,   0.09476,  17.19980,  -2.53433,   1.23132, -62.07270,   0.03098,  -0.03466, -16.91570
   0.26667,   0.00000,   0.00000,  -0.00000,  92.20520,   2.67359,  -3.40476,  73.01350,  87.18950, -73.55830,  -2.39800,  -1.59333,  -1.12295,  -4.33752,  -3.85031,   1.61093,  -9.74953,  -3.26058,   2.76596, -89.18600,  -2.20249, -84.70990, -36.77090, -14.61270,   7.49070,  -0.06377,  -0.19879, -17.52880,  16.73950,   5.52258,  -7.45822,  88.55950,   4.87554, -88.51760, -35.46170, -13.34390,  18.63020,   3.54289,  10.63490, -18.55100,   9.12688,   5.38344,  -2.40842,-174.58600,  -8.17540, -10.89930,  -0.00210,   0.02928,  19.37080,  -6.16348,   7.75818, -61.07130,   0.08231,  -0.13267, -18.92360, 174.78300,  13.99870, 172.05300,  -0.01415,   0.09561,  16.67040,  -2.71732,   1.08407, -61.60870,   0.02765,  -0.03090, -16.87880
   0.30000,   0.00000,   0.00000,  -0.00000,  91.57080,   1.82848,  -3.96273,  79.42010,  87.00080, -79.96910,  -1.87447,  -1.05492,  -1.11515,  -4.37783,  -4.09049,   1.92863, -10.88590,  -3.86671,   3.82486, -88.70340,  -3.40437, -84.13870, -30.85120, -16.23630,   9.10542,  -1.26429,  -3.56089, -19.55170,  21.20900,   5.55108,  -8.72161,  88.90190,   3.69070, -88.41730, -29.95430, -14.95710,  20.59160,   3.09114,   9.38327, -18.33180,  11.43410,   5.35898,  -1.65329,-174.11600,  -7.20852, -11.05020,  -0.00266,   0.03114,  17.88620,  -5.33533,   5.55251, -62.13320,   0.08749,  -0.14144, -19.07660, 175.33900,  13.17780, 171.27500,  -0.01241,   0.08949,  16.29810,  -2.90516,   1.07100, -61.09050,   0.02370,  -0.02646, -16.83510
   0.33333,   0.00000,   0.00000,  -0.00000,  90.61810,   0.56291,  -4.43866,  84.52320,  86.61040, -84.99670,  -1.02012,  -0.61061,  -0.95218,  -4.02151,  -4.12511,   2.17327, -12.68650,  -4.37968,   5.12688, -88.23040,  -4.48264, -83.43100, -25.94060, -18.43300,  11.44010,  -2.77492,  -7.08822, -21.44170,  26.49990,   5.57906, -10.12280,  89.19220,   2.71166, -88.40480, -25.33320, -16.43100,  21.83920,   2.69810,   8.47552, -17.73750,  14.75390,   5.33345,  -0.89621,-173.44600,  -7.66905, -11.22550,   0.00259,   0.01224,  15.87190,  -6.61541,   3.56209, -57.49450,   0.08746,  -0.14140, -19.07590, 176.10300,  12.27350, 170.28000,  -0.01116,   0.08469,  16.32690,  -3.08624,   1.47193, -60.66160,   0.02506,  -0.02799, -16.85010
   0.36667,   0.00000,   0.00000,  -0.00000,  90.19630,  -0.71543,  -4.55189,  85.31150,  85.93650, -85.86320,   0.33103,  -0.62831,  -1.10072,  -3.31315,  -3.93104,   2.48197, -14.86550,  -4.61452,   6.11088, -87.98520,  -4.94002, -82.78070, -21.61900, -21.70160,  14.85680,  -4.33637, -10.28070, -23.01730,  31.87560,   5.60887, -11.82950,  89.26520,   2.49221, -88.56410, -21.03830, -17.65080,  22.70080,   3.00948,   9.57720, -17.54150,  17.99190,   5.30576,  -0.10171,-173.78800,  -9.31981, -11.50330,   0.00911,  -0.01094,  15.69800,  -4.63470,   3.70892, -56.66770,  -0.16344,  -0.30470, -17.95340, 176.15400,  11.87830, 169.47100,  -0.01018,   0.08123,  16.56300,  -3.31211,   2.35498, -60.17770,   0.01655,  -0.01846, -16.75620
