time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.49550,  -6.82464,   0.53683, 116.12300,  88.07250,-116.41400,  -4.30139,   1.72660,  -0.51715,  -5.94091,   1.19267,  -1.20461,   7.94232,  -1.29299,  -1.20155, -91.20560,   5.24466, -92.03480, -67.83680, -10.68740,  14.41630,   4.48393,  13.16100, -19.00410,   8.37185,   5.22213,   2.15883,  88.79480,   6.93273, -95.11280, -67.70260,  -8.05778,  17.77010,   2.42075,  11.33740, -12.14130,  12.97330,   5.42421,  -3.74102, 174.08800,  -3.23816, -13.34960,   0.09239,  -0.22742,  18.97630,   5.22780,  -0.35751, -55.92060,   0.09635,  -0.10884, -17.63680,-176.57800,  19.11080, 174.13000,   0.03081,  -0.04197,  19.80780,   1.04443, -17.02900, -66.01240,  -0.02506,   0.01299, -16.57410
   0.03333,   0.00000,   0.00000,  -0.00000,  91.48450,  -6.62814,   0.64863, 113.15700,  87.89640,-113.49600,  -3.89362,   1.68789,  -0.62178,  -6.17936,   1.05316,  -0.94927,   7.25746,  -1.38262,  -1.03904, -91.07920,   4.75667, -92.20260, -68.77350, -10.27550,  14.38120,   4.38525,  12.90910, -18.94540,   6.90393,   5.21709,   2.28388,  88.88720,   6.46175, -95.20850, -68.67260,  -7.61198,  17.24690,   2.25772,  11.26060, -11.41990,  11.75570,   5.41740,  -3.51039, 174.04000,  -3.56150, -13.25660,   0.09417,  -0.23173,  19.03010,   5.33831,   0.09804, -55.98440,   0.11047,  -0.12512, -17.79380,-176.64400,  19.32850, 174.20600,   0.03025,  -0.03811,  19.90480,   0.99484, -17.00810, -66.06780,  -0.02063,   0.01067, -16.57390
   0.06667,   0.00000,   0.00000,  -0.00000,  91.48650,  -6.31470,   0.62207, 109.14500,  87.85240,-109.49400,  -3.70442,   1.44275,  -0.65187,  -6.39828,   1.03855,  -0.79438,   6.74493,  -1.28878,  -1.00147, -91.12800,   4.99354, -92.25480, -68.73060, -10.01680,  14.91830,   4.36357,  13.03340, -18.69350,   5.72127,   5.22766,   2.01599,  88.89520,   6.46664, -95.28380, -68.78730,  -7.38536,  17.22100,   2.30362,  11.66510, -11.25730,  10.71030,   5.40106,  -2.97105, 173.94600,  -3.84931, -13.27720,   0.09502,  -0.23503,  18.97860,   5.48562,   0.68347, -55.96880,   0.10753,  -0.12172, -17.76110,-176.71800,  20.01670, 174.12500,   0.03169,  -0.03736,  20.00550,   0.99653, -16.61720, -66.11480,  -0.00991,   0.00510, -16.57390
   0.10000,   0.00000,   0.00000,  -0.00000,  91.41200,  -6.09971,   0.46327, 107.82800,  87.81590,-108.16600,  -3.60403,   1.37008,  -0.63375,  -6.59675,   0.94504,  -0.70491,   6.21039,  -1.22546,  -0.98206, -91.19650,   5.31553, -92.29460, -68.40020, -10.35920,  15.34060,   4.24106,  13.19280, -17.99960,   5.86411,   5.21751,   2.27525,  88.84150,   6.74655, -95.23210, -68.50760,  -7.37297,  17.47430,   2.30005,  11.60030, -11.30060,  10.47090,   5.40021,  -2.94332, 173.92300,  -3.85358, -13.44430,   0.09528,  -0.23669,  18.92830,   5.58971,   0.87516, -55.90680,   0.11596,  -0.13148, -17.85500,-176.62000,  19.84770, 173.90400,   0.02713,  -0.02997,  20.03130,   0.89383, -16.96680, -66.07270,  -0.01705,   0.00871, -16.57390
   0.13333,   0.00000,   0.00000,  -0.00000,  91.36960,  -6.11153,   0.44014, 107.67200,  87.72570,-107.99600,  -3.42858,   1.41172,  -0.60590,  -6.75282,   0.96742,  -0.71533,   5.73816,  -1.25702,  -0.95773, -91.18990,   5.28422, -92.29100, -68.32530, -11.07460,  15.63100,   4.02722,  13.27250, -17.04870,   6.69101,   5.19458,   2.85360,  88.84810,   6.71345, -95.24160, -68.48660,  -7.55130,  17.63370,   2.19090,  11.24180, -11.10760,  11.37250,   5.41982,  -3.59101, 173.90500,  -3.64274, -13.49280,   0.09757,  -0.24213,  18.99470,   5.62485,   0.63203, -55.92640,   0.11246,  -0.12743, -17.81600,-176.61200,  19.53340, 173.81700,   0.03255,  -0.03508,  20.15430,   0.76656, -17.25180, -66.11230,   0.00092,  -0.00095, -16.58120
   0.16667,   0.00000,   0.00000,  -0.00000,  91.33060,  -6.15188,   0.36790, 107.62400,  87.66050,-107.92800,  -3.30316,   1.44536,  -0.56757,  -7.01247,   1.01489,  -0.73922,   5.49880,  -1.27740,  -1.01870, -91.13710,   5.07755, -92.35800, -68.35470, -11.56380,  15.97680,   3.66607,  12.88110, -16.03470,   7.10570,   5.18833,   3.01039,  88.88610,   6.53211, -95.29910, -68.53840,  -7.75992,  17.77430,   2.08701,  10.95780, -10.85750,  12.06320,   5.42700,  -3.83556, 173.87100,  -3.64124, -13.56540,   0.09960,  -0.24740,  19.03000,   5.68948,   0.58924, -55.96220,   0.11251,  -0.12749, -17.81660,-176.60700,  19.15210, 173.72300,   0.03079,  -0.02978,  20.23740,   0.62355, -17.56590, -66.14990,   0.02212,  -0.02295, -16.75120
   0.20000,   0.00000,   0.00000,  -0.00000,  91.33160,  -6.16045,   0.30755, 107.23600,  87.59820,-107.53800,  -3.17470,   1.45153,  -0.56332,  -7.17894,   1.01497,  -0.72491,   5.12652,  -1.28041,  -1.13390, -91.10280,   4.96918, -92.47110, -68.26560, -11.40940,  16.34510,   3.47194,  12.84280, -15.26750,   6.99807,   5.18298,   3.14256,  88.89430,   6.52437, -95.36080, -68.32310,  -7.93136,  17.94500,   2.04253,  10.92100, -10.66610,  12.14330,   5.42276,  -3.69192, 173.81700,  -3.61340, -13.53890,   0.09893,  -0.24759,  18.90960,   5.73792,   0.58137, -55.92990,   0.10911,  -0.12354, -17.77850,-176.63900,  18.81610, 173.67500,   0.02799,  -0.01760,  20.22750,   0.50198, -17.87970, -66.13390,   0.03215,  -0.03341, -16.83200
   0.23333,   0.00000,   0.00000,  -0.00000,  91.28820,  -6.09929,   0.18477, 106.28800,  87.58180,-106.56700,  -3.12081,   1.38238,  -0.52142,  -7.35699,   1.04228,  -0.80616,   4.79401,  -1.25716,  -1.15343, -91.08420,   4.86548, -92.42280, -68.13400, -10.95870,  16.57700,   3.31311,  13.03030, -14.39960,   6.83834,   5.19013,   2.96559,  88.90500,   6.47460, -95.38010, -68.12080,  -7.93279,  18.00430,   1.93725,  10.84710, -10.19440,  11.92270,   5.42416,  -3.73951, 173.78800,  -3.73439, -13.62280,   0.09898,  -0.24785,  18.90100,   5.82121,   0.77055, -55.97180,   0.11111,  -0.12586, -17.80100,-176.62000,  18.95660, 173.62100,   0.02032,  -0.01015,  20.17860,   0.46317, -17.79760, -66.13980,   0.04536,  -0.04723, -16.93850
   0.26667,   0.00000,   0.00000,  -0.00000,  91.27300,  -5.95638,   0.20438, 105.59500,  87.53470,-105.87500,  -3.01392,   1.35130,  -0.52553,  -7.42770,   1.00953,  -0.81483,   4.44441,  -1.28276,  -1.19603, -91.03690,   4.68788, -92.51380, -67.94250, -11.25250,  16.86490,   3.03598,  12.62040, -13.64400,   7.32404,   5.18746,   3.03132,  88.90670,   6.43867, -95.34220, -67.94350,  -7.83467,  18.11860,   1.82498,  10.83260,  -9.62765,  11.84950,   5.42007,  -3.60098, 173.74800,  -3.85843, -13.59940,   0.10171,  -0.25348,  19.02430,   5.90125,   0.99596, -56.11210,   0.10952,  -0.12403, -17.78330,-176.67900,  19.11160, 173.65500,   0.02351,  -0.00320,  20.27980,   0.36162, -17.78830, -66.24520,   0.04887,  -0.05090, -16.96660
   0.30000,   0.00000,   0.00000,  -0.00000,  91.27110,  -5.79839,   0.16704, 104.97200,  87.49330,-105.26400,  -2.91981,   1.32190,  -0.55000,  -7.64241,   0.98791,  -0.82915,   4.31285,  -1.33600,  -1.20793, -91.00950,   4.60605, -92.62350, -67.61260, -11.86280,  17.10350,   2.88086,  12.40530, -13.18360,   8.12857,   5.17568,   3.32109,  88.91140,   6.45591, -95.40720, -67.71490,  -7.92490,  18.28820,   1.76523,  11.04360,  -9.14525,  11.84440,   5.41798,  -3.53072, 173.70700,  -3.82453, -13.57060,   0.10185,  -0.25363,  19.03760,   5.95802,   1.13614, -56.18970,   0.11438,  -0.12965, -17.83740,-176.70700,  19.06500, 173.71600,   0.01406,   0.00023,  20.23510,   0.25011, -18.02540, -66.29990,   0.05598,  -0.05838, -17.02410
   0.33333,   0.00000,   0.00000,  -0.00000,  91.29210,  -5.59255,   0.07790, 104.74500,  87.46710,-105.07400,  -2.86347,   1.31942,  -0.62511,  -7.74297,   0.91688,  -0.82417,   4.02566,  -1.43445,  -1.15363, -90.98870,   4.52514, -92.66170, -67.40250, -11.93750,  17.08120,   2.83474,  12.54040, -12.84640,   8.91947,   5.17197,   3.41152,  88.90850,   6.50113, -95.44880, -67.53450,  -8.02384,  18.43940,   1.64162,  11.01130,  -8.53860,  12.02390,   5.41891,  -3.56218, 173.65200,  -3.61394, -13.63570,   0.10314,  -0.25653,  19.08320,   5.98751,   1.12554, -56.24040,   0.10172,  -0.11502, -17.69650,-176.72100,  18.92180, 173.63300,   0.01685,   0.00587,  20.31610,   0.11753, -18.31650, -66.39860,   0.06348,  -0.06626, -17.08460
