time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.10270,  -1.22469,   2.80789,  78.51960,  87.11490, -78.34290,  -2.10956,  -1.16341,   0.33185,  -0.73453,  -0.27806,  -0.07899,   4.15864,  -0.47315,  -0.80973, -92.41150,   8.27437, -88.68860, -69.20090,  13.97070,   8.70855,  -1.57266,  -3.65127, -23.32210,  13.44150,   5.59083, -10.80940,  87.29930,   9.73968, -89.41950, -67.35350,  11.60370,  12.11660,   2.24991,   4.23312, -28.03660,   8.49894,   5.48756,  -6.04049,-176.57400,  -2.00182,   2.52560,  -0.00415,   0.04549,  10.43690,  -2.23910,   2.18593, -60.46070,  -0.00493,   0.00406, -16.57680, 177.56300,  12.86550, 179.67800,   0.00142,   0.03850,  14.03580,   0.58347,   7.57792, -61.06700,   0.00024,  -0.00027, -16.57650
   0.03333,   0.00000,   0.00000,  -0.00000,  90.10670,  -1.15251,   2.73902,  78.35340,  87.13470, -78.17020,  -2.15170,  -1.17239,   0.34429,  -1.04301,  -0.35774,  -0.07332,   4.06769,  -0.55032,  -0.79041, -92.36140,   8.18195, -88.84080, -69.42220,  13.90460,   8.92112,  -1.58109,  -3.63046, -23.55350,  13.48970,   5.59218, -10.88530,  87.36560,   9.60904, -89.58990, -67.52190,  11.47230,  12.30960,   2.20459,   4.13824, -28.09040,   8.68248,   5.48797,  -6.05630,-176.58300,  -1.89751,   2.47712,  -0.00396,   0.04462,  10.27550,  -2.25048,   2.16278, -60.32570,  -0.00341,   0.00281, -16.57690, 177.60300,  12.85420, 179.62400,   0.00254,   0.03547,  13.90820,   0.58265,   7.50934, -60.95890,  -0.00004,   0.00004, -16.57380
   0.06667,   0.00000,   0.00000,  -0.00000,  90.14250,  -1.08768,   2.66449,  78.16000,  87.15200, -77.99140,  -2.18966,  -1.18302,   0.31463,  -1.37631,  -0.42808,  -0.11818,   4.06515,  -0.66776,  -0.68610, -92.28700,   8.00169, -88.99200, -69.70740,  13.85950,   9.12934,  -1.57904,  -3.59122, -23.75470,  13.43930,   5.59189, -10.86900,  87.42470,   9.50434, -89.76240, -67.72750,  11.31160,  12.47340,   2.13055,   4.00866, -28.03180,   8.67392,   5.48780,  -6.05017,-176.63200,  -1.82935,   2.44009,  -0.00399,   0.04392,  10.07710,  -2.24949,   2.15198, -60.17000,  -0.00492,   0.00408, -16.57680, 177.62400,  12.68110, 179.53500,   0.00394,   0.03015,  13.82460,   0.56060,   7.29777, -60.86790,  -0.00733,   0.00568, -16.57350
   0.10000,   0.00000,   0.00000,  -0.00000,  90.15960,  -0.98956,   2.60150,  77.80760,  87.14790, -77.65160,  -2.18898,  -1.21793,   0.28879,  -1.63923,  -0.50884,  -0.11800,   4.17915,  -0.78007,  -0.62423, -92.23740,   7.91650, -89.16260, -69.87660,  13.76570,   9.37743,  -1.63490,  -3.68611, -23.94020,  13.49630,   5.59289, -10.92610,  87.46500,   9.42602, -89.87250, -67.93780,  11.34450,  12.57750,   2.04220,   3.85623, -27.94520,   8.90803,   5.48733,  -6.03084,-176.65300,  -1.80515,   2.30155,  -0.00367,   0.04245,  10.08530,  -2.24065,   2.21828, -60.10560,  -0.00082,   0.00068, -16.57750, 177.67800,  12.34690, 179.40300,   0.00459,   0.02429,  13.83640,   0.52442,   6.92010, -60.81910,  -0.01673,   0.01296, -16.57320
   0.13333,   0.00000,   0.00000,  -0.00000,  90.20510,  -0.86522,   2.61718,  77.18920,  87.07180, -77.06610,  -2.05418,  -1.30876,   0.22289,  -1.85493,  -0.62389,  -0.05199,   4.51909,  -0.89210,  -0.54877, -92.18480,   7.80983, -89.31740, -70.06750,  13.63850,   9.62095,  -1.70382,  -3.80282, -24.15610,  13.61720,   5.59310, -10.93850,  87.51140,   9.35624, -90.03250, -68.14740,  11.26380,  12.69410,   2.03990,   3.83167, -28.07020,   8.86303,   5.48787,  -6.05244,-176.71000,  -1.68549,   2.24647,  -0.00344,   0.04124,  10.01810,  -2.23677,   2.23004, -59.97590,  -0.00238,   0.00200, -16.57720, 177.71700,  11.89070, 179.31700,   0.00743,   0.01562,  13.85780,   0.47921,   6.37961, -60.75010,  -0.02445,   0.01891, -16.57290
   0.16667,   0.00000,   0.00000,  -0.00000,  90.22230,  -0.71482,   2.52201,  76.80910,  86.94870, -76.70810,  -1.82349,  -1.40069,   0.17968,  -1.83386,  -0.74691,   0.00948,   4.93934,  -1.02108,  -0.54661, -92.13580,   7.69439, -89.43490, -70.29240,  13.68480,   9.80368,  -1.86429,  -4.09272, -24.51650,  13.77250,   5.59414, -10.99780,  87.56210,   9.24696, -90.16020, -68.41630,  11.18200,  12.77950,   2.01699,   3.73126, -28.43370,   8.95831,   5.49107,  -6.17756,-176.72200,  -1.70276,   1.97542,  -0.00270,   0.03631,  10.02660,  -2.22418,   2.38872, -59.81030,  -0.00463,   0.00388, -16.57670, 177.82500,  11.42780, 179.07600,   0.01002,   0.00496,  13.83980,   0.44404,   5.82537, -60.60190,  -0.04384,   0.03391, -16.57200
   0.20000,   0.00000,   0.00000,  -0.00000,  90.24490,  -0.74158,   2.26832,  77.69970,  86.77270, -77.61070,  -1.45857,  -1.38191,   0.16035,  -1.56885,  -0.79318,   0.02163,   5.93053,  -1.09157,  -0.62435, -92.10960,   7.64017, -89.51420, -70.50120,  13.87570,   9.86957,  -2.16715,  -4.65070, -25.01970,  13.84620,   5.59526, -11.06270,  87.61260,   9.11521, -90.25590, -68.69970,  11.45460,  12.76410,   1.84797,   3.33875, -29.00140,   9.29258,   5.49350,  -6.27344,-176.80700,  -1.50838,   1.61061,  -0.00208,   0.03317,   9.78421,  -2.23002,   2.13542, -59.46610,  -0.00480,   0.00403, -16.57670, 177.93300,  11.06680, 178.65700,   0.01099,  -0.00525,  13.63990,   0.41874,   5.52960, -60.25500,  -0.05598,   0.04335, -16.57170
   0.23333,   0.00000,   0.00000,  -0.00000,  90.23450,  -0.77327,   1.96466,  79.02100,  86.44040, -78.94910,  -0.77618,  -1.36093,   0.13437,  -0.75564,  -0.80993,   0.04235,   7.45588,  -1.05461,  -0.74138, -92.09570,   7.61495, -89.56310, -70.56680,  13.94750,   9.75587,  -2.36312,  -4.89438, -25.81230,  13.90490,   5.59618, -11.11680,  87.64140,   9.01807, -90.27740, -68.92140,  11.88530,  12.41390,   1.63408,   2.88989, -29.51990,   9.38340,   5.49749,  -6.43205,-176.84000,  -1.45632,   1.04010,  -0.00125,   0.02802,   9.61994,  -2.22907,   2.02014, -59.03760,  -0.00721,   0.00605, -16.57650, 178.08700,  10.95870, 178.11300,   0.01279,  -0.01107,  13.37430,   0.43102,   5.42011, -59.76790,  -0.06361,   0.04928, -16.57150
   0.26667,   0.00000,   0.00000,  -0.00000,  90.23230,  -0.78489,   1.49280,  80.35300,  86.00930, -80.30910,   0.10321,  -1.34010,   0.08892,   1.09371,  -0.79952,   0.06557,   9.62317,  -1.00101,  -0.91283, -92.12030,   7.68098, -89.51690, -70.42100,  14.16760,   9.40366,  -2.77307,  -5.52872, -26.69040,  14.16030,   5.59829, -11.24010,  87.62260,   9.01666, -90.16170, -68.98400,  12.50290,  11.77920,   1.52873,   2.66615, -29.86020,   9.59646,   5.50234,  -6.62702,-176.86300,  -1.52103,   0.32301,  -0.00022,   0.01961,   9.16165,  -2.23560,   2.02228, -58.33200,  -0.00531,   0.00447, -16.57680, 178.27300,  11.01650, 177.38900,   0.01336,  -0.01527,  12.88050,   0.46805,   5.50842, -59.04660,  -0.07073,   0.05487, -16.57110
   0.30000,   0.00000,   0.00000,  -0.00000,  90.23170,  -0.80293,   0.91289,  81.75670,  85.42310, -81.73910,   1.29379,  -1.31284,   0.05016,   3.82160,  -0.73632,   0.07688,  12.20870,  -0.92602,  -1.11025, -92.19270,   7.80366, -89.25270, -70.08240,  14.54040,   8.69705,  -3.30749,  -6.34490, -27.60620,  14.50370,   5.59993, -11.33760,  87.53850,   9.09020, -89.77910, -68.79400,  13.24140,  10.81860,   1.54013,   2.64102, -30.28170,   9.92951,   5.50322,  -6.66404,-176.91200,  -1.51626,  -0.51202,   0.00100,   0.00980,   8.45743,  -2.24288,   1.93553, -57.37400,  -0.00262,   0.00219, -16.57720, 178.48400,  11.56890, 176.53000,   0.01376,  -0.02025,  12.15910,   0.54763,   6.01114, -58.07460,  -0.08141,   0.06313, -16.57080
   0.33333,   0.00000,   0.00000,  -0.00000,  90.20800,  -0.84942,   0.27003,  83.24750,  84.66220, -83.24180,   2.83620,  -1.25431,   0.04232,   7.04667,  -0.64743,   0.02522,  15.02890,  -0.89521,  -1.22345, -92.26950,   7.88655, -88.89010, -69.69690,  14.73060,   7.79236,  -3.77892,  -6.90969, -28.76710,  15.07790,   5.60198, -11.46080,  87.45000,   9.20165, -89.43760, -68.45590,  13.67710,   9.94000,   1.40819,   2.32106, -31.27860,  10.26000,   5.50434,  -6.70947,-176.95900,  -1.53810,  -1.57458,   0.00203,  -0.00023,   7.84034,  -2.23233,   1.81797, -56.33710,  -0.00584,   0.00489, -16.57660, 178.76500,  11.96680, 175.53900,   0.01271,  -0.02030,  11.33490,   0.59767,   6.38033, -56.93830,  -0.08534,   0.06618, -16.57070
   0.36667,   0.00000,   0.00000,  -0.00000,  90.16790,  -0.90561,  -0.42323,  84.77370,  83.71920, -84.77580,   4.74404,  -1.14205,   0.04300,  10.23470,  -0.59288,   0.02451,  18.05510,  -0.94125,  -1.36448, -92.29550,   7.91728, -88.77420, -69.30550,  14.78520,   6.93283,  -4.56654,  -7.81463, -30.42890,  15.67000,   5.60454, -11.61810,  87.35470,   9.41320, -89.22560, -67.93660,  13.92930,   9.12713,   1.25749,   1.95383, -32.79980,  10.60580,   5.50830,  -6.87157,-176.99600,  -1.80821,  -2.87261,   0.00284,  -0.00861,   7.46621,  -2.19551,   1.93429, -55.42580,  -0.00854,   0.01311, -16.34220, 179.09800,  12.26960, 174.43300,   0.01138,  -0.01819,  10.48060,   0.63354,   6.71533, -55.71320,  -0.07491,   0.05811, -16.57100
