time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  83.77890, -23.75470,   3.36822,  83.47450,  76.52320, -88.67320,  18.89610,  -3.50470,  -9.84185,  14.52100,   7.33127,  -0.00752, -32.17760,  16.99420,   6.61268, -90.22510,   0.59651, -84.33030, -50.63000,   2.90285, -25.13280,  -2.20261,  -4.92144, -24.14220,  21.42260,   5.57849, -10.12990,  88.80840,   3.57848, -86.56840, -46.13540, -70.11510, -28.70090,   1.61611,  -0.67890,-112.78300,  25.42960,   5.54282,  -8.28076,-174.13100, -18.24990,  -8.30864,   0.05099,  -0.07491,  25.61380,   0.86769,  -8.10173, -62.10100,  -0.02578,   0.00714, -16.57630, 175.18000,  26.77430, 166.22400,   0.12578,  -0.29616,  21.88040,  -8.26097,  11.01550, -33.14660,   0.40715,  -0.49175, -21.26900
   0.03333,   0.00000,   0.00000,  -0.00000,  83.44040, -23.84680,   3.15690,  83.28160,  76.66590, -88.40100,  18.60240,  -3.54133,  -9.68446,  14.13220,   7.39186,   0.33288, -31.99820,  16.95750,   6.90077, -90.23570,   0.63204, -84.55270, -51.43990,   4.04356, -24.32100,  -1.88890,  -4.58918, -22.40280,  20.83300,   5.57510,  -9.95173,  88.71980,   3.85372, -86.60800, -42.92300, -71.20840, -26.29420,   1.82488,  -0.73821,-112.03100,  30.02280,   5.63532, -13.60110,-173.91100, -18.24020,  -8.34631,   0.05014,  -0.07307,  25.67160,   0.88692,  -8.22675, -62.21350,  -0.02612,   0.00718, -16.57620, 175.41900,  27.39480, 166.03400,   0.13120,  -0.31118,  21.88770,  -8.63535,  11.64950, -32.06940,   0.45827,  -0.55967, -21.89370
   0.06667,   0.00000,   0.00000,  -0.00000,  83.00500, -23.78720,   2.92874,  83.04360,  76.80220, -88.07100,  18.31880,  -3.59755,  -9.49840,  13.87960,   7.36406,   0.60020, -31.80950,  16.69360,   7.41673, -90.23100,   0.62651, -84.75850, -52.42790,   5.22563, -23.51560,  -1.38556,  -3.70218, -20.53340,  20.41050,   5.56848,  -9.60951,  88.68120,   4.00220, -86.74520, -38.90420, -71.48410, -22.80740,   3.44170,  -1.09488,-107.63300,  34.49300,   5.63625, -13.83210,-173.57100, -18.16900,  -8.38978,   0.04809,  -0.06871,  25.76070,   0.90643,  -8.21782, -62.33460,  -0.02582,   0.00717, -16.57640, 175.75100,  27.92490, 165.88600,   0.13654,  -0.32519,  21.91420,  -8.91350,  11.98230, -31.09170,   0.50287,  -0.62022, -22.44650
   0.10000,   0.00000,   0.00000,  -0.00000,  82.55850, -23.69380,   2.79883,  82.94510,  76.88570, -87.88320,  18.14940,  -3.60726,  -9.32246,  13.71900,   7.24980,   0.99552, -31.86080,  16.38700,   7.61522, -90.22830,   0.62608, -84.96370, -53.61180,   6.27895, -22.48300,  -0.78924,  -2.27152, -19.15850,  20.06440,   5.55985,  -9.17883,  88.69680,   3.94475, -86.70200, -36.61660, -71.62400, -21.03960,   2.26758,  -0.38646, -99.60560,  33.00940,   5.62391, -12.84140,-173.19800, -18.06720,  -8.37144,   0.04927,  -0.07021,  25.95380,   0.91942,  -8.22983, -62.52330,  -0.02343,   0.00655, -16.57650, 175.99600,  28.08370, 165.87700,   0.14141,  -0.33678,  21.97800,  -9.26124,  11.99170, -30.24240,   0.53808,  -0.66892, -22.88810
   0.13333,   0.00000,   0.00000,  -0.00000,  82.14100, -23.71790,   2.54245,  82.96440,  77.06010, -87.80980,  17.80830,  -3.53611,  -9.15722,  13.40410,   7.13001,   1.41404, -31.48740,  16.04130,   7.43795, -90.25770,   0.71584, -85.20380, -54.77410,   7.46572, -21.06240,  -0.50397,  -1.53275, -18.20090,  19.80580,   5.55727,  -9.05356,  88.73240,   3.84237, -86.72660, -33.57070, -71.03900, -19.49110,  -1.07338,  -0.02283, -89.07440,  29.71570,   5.57362,  -9.80878,-172.88200, -18.10330,  -8.45509,   0.04672,  -0.06549,  26.08030,   0.94094,  -8.22472, -62.67140,  -0.02252,   0.00628, -16.57660, 176.29000,  27.87460, 165.68700,   0.14587,  -0.34794,  22.02270,  -9.63848,  11.79900, -29.40920,   0.57541,  -0.72140, -23.36110
   0.16667,   0.00000,   0.00000,  -0.00000,  81.80240, -23.85850,   2.39082,  83.20010,  77.22610, -87.99600,  17.49700,  -3.37817,  -9.09045,  13.18540,   7.01597,   1.72085, -31.46400,  15.61440,   7.33897, -90.25150,   0.70568, -85.38500, -56.09620,   8.54802, -19.50830,  -0.40485,  -1.27693, -17.58600,  19.45480,   5.55673,  -9.02673,  88.79960,   3.65831, -86.81950, -29.90770, -69.91230, -18.14770,  -4.29135,  -0.98503, -77.15450,  25.38270,   5.48970,  -6.04275,-172.62600, -18.12290,  -8.48064,   0.04572,  -0.06295,  26.31120,   0.92589,  -8.36805, -62.89470,  -0.02407,   0.00663, -16.57650, 176.48500,  27.70850, 165.57700,   0.14912,  -0.35564,  22.11110,  -9.88140,  11.75950, -28.75550,   0.61205,  -0.77380, -23.83100
   0.20000,   0.00000,   0.00000,  -0.00000,  81.57730, -24.01100,   2.41225,  83.46110,  77.33740, -88.24070,  17.29420,  -3.23111,  -9.08528,  12.91350,   6.94734,   1.92266, -31.72010,  15.17880,   7.32679, -90.26460,   0.74417, -85.42570, -57.24040,   9.72846, -18.07290,  -0.38007,  -1.23466, -17.12020,  19.24600,   5.55422,  -8.90652,  88.88110,   3.44621, -86.99990, -26.00460, -68.49740, -17.25270,  -6.80656,  -3.14470, -65.34240,  21.13330,   5.35243,  -1.38833,-172.43300, -18.15200,  -8.28819,   0.04643,  -0.06368,  26.45200,   0.92213,  -8.47006, -63.11020,  -0.02300,   0.00627, -16.57660, 176.51600,  27.60910, 165.66200,   0.15109,  -0.35890,  22.21230,  -9.97708,  11.82710, -28.31690,   0.64594,  -0.82311, -24.27080
   0.23333,   0.00000,   0.00000,  -0.00000,  81.48690, -24.18840,   2.44428,  83.75890,  77.48070, -88.55780,  17.02860,  -3.06379,  -9.15529,  12.61900,   6.89208,   2.17332, -31.90570,  14.77420,   7.19220, -90.30330,   0.85475, -85.46410, -58.18390,  10.82370, -16.68940,  -0.29679,  -0.99713, -16.57370,  18.85180,   5.55485,  -8.93553,  88.99280,   3.13244, -87.16550, -23.28260, -67.23990, -17.15040,  -8.24895,  -5.55541, -56.27600,  17.87740,   5.06917,   5.84527,-172.38300, -18.11790,  -8.11162,   0.04585,  -0.06174,  26.55090,   0.89851,  -8.65805, -63.30960,  -0.02375,   0.00639, -16.57640, 176.46700,  27.58330, 165.70400,   0.15237,  -0.35910,  22.34670,  -9.92880,  11.98160, -28.12940,   0.66572,  -0.85231, -24.52980
   0.26667,   0.00000,   0.00000,  -0.00000,  81.53980, -24.35300,   2.56513,  84.17990,  77.61140, -89.03460,  16.79330,  -2.85356,  -9.30335,  12.07950,   6.82779,   2.55171, -31.94660,  14.37600,   7.02429, -90.33140,   0.93073, -85.40330, -58.95020,  11.96710, -15.64480,  -0.22494,  -0.78948, -15.90760,  18.62450,   5.55061,  -8.73483,  89.07400,   2.88765, -87.21220, -22.67490, -67.05670, -18.02960, -10.08500,  -7.97643, -52.03900,  18.10150,   4.59896,  14.87790,-172.45700, -18.04410,  -7.84663,   0.04525,  -0.06035,  26.52810,   0.86690,  -8.91202, -63.44580,  -0.02447,   0.00649, -16.57660, 176.28200,  27.56780, 165.83800,   0.15227,  -0.35758,  22.44180,  -9.92100,  12.08280, -28.10840,   0.67642,  -0.86815, -24.66990
   0.30000,   0.00000,   0.00000,  -0.00000,  81.61560, -24.46970,   2.70389,  84.64510,  77.72630, -89.52620,  16.59120,  -2.62991,  -9.39301,  11.48810,   6.72817,   2.88687, -32.08290,  13.99810,   6.94597, -90.36620,   1.02510, -85.34130, -59.80770,  12.53970, -14.78070,  -0.12620,  -0.46740, -15.13160,  18.49610,   5.54757,  -8.59246,  89.06550,   2.91489, -87.21540, -24.07640, -68.48630, -20.20030, -15.06390, -11.90870, -52.51710,  20.99790,   4.26937,  20.24830,-172.51300, -18.09940,  -7.57585,   0.04443,  -0.05800,  26.51080,   0.85813,  -8.97588, -63.58170,  -0.02319,   0.00609, -16.57660, 176.09200,  27.56440, 165.99200,   0.15210,  -0.35419,  22.55790,  -9.80897,  12.16970, -28.23640,   0.68633,  -0.88296, -24.80120
