time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.91570,  -0.46548,   3.38480,-172.06900,  88.90210, 169.41500,  -8.00911,   2.53381,  -5.14323,   1.45778,  -7.58285,   7.41448,   3.56622,  -7.07181,  -0.15577, -90.32400,   0.85667, -84.28290, -59.04090,  29.98390,  18.57500, -27.89570, -23.94040, -52.52890,   3.32921,   5.55873,  -9.12428,  92.78200,  -7.68416, -85.02810, -19.62160, -60.35020, -81.70780,   0.02171,   0.03720, -31.50870,   9.55081,   5.50589,  -6.77282,-164.57500, -19.61460,  -0.83820,  -0.08983,   0.30646,  18.68420, -13.16170,  -3.96557, -59.51580,   0.00218,  -0.00337, -16.63800, 164.29100,  25.33610,-179.95100,  -0.07241,   0.25402,  19.83180, -12.49140,  -2.65693, -60.05650,  -0.01602,   0.00769, -16.57380
   0.03333,   0.00000,   0.00000,  -0.00000,  89.88610,  -0.52516,   3.42577,-172.58100,  88.91030, 169.94000,  -7.98818,   2.51771,  -5.11653,   1.44277,  -7.39318,   7.34051,   3.44593,  -6.87253,  -0.14992, -90.36080,   0.94791, -84.16400, -59.03400,  29.97930,  18.67560, -28.20120, -24.07020, -52.74310,   3.30316,   5.55864,  -9.12038,  92.78420,  -7.64187, -84.91180, -19.14700, -60.89110, -79.84630,   0.06632,   0.11312, -30.80140,   9.62096,   5.50283,  -6.64736,-164.48900, -19.77380,  -0.78356,  -0.09270,   0.31406,  18.76570, -13.16160,  -3.86264, -59.55530,  -0.00043,   0.00011, -16.57750, 164.24200,  25.55320,-179.88500,  -0.07326,   0.25614,  19.85650, -12.45620,  -2.39050, -60.02820,  -0.01544,   0.00742, -16.57370
   0.06667,   0.00000,   0.00000,  -0.00000,  89.87440,  -0.67036,   3.48030,-173.24300,  88.91740, 170.61100,  -7.96212,   2.50513,  -5.10052,   1.43001,  -7.17995,   7.27392,   3.40080,  -6.61512,  -0.18166, -90.37360,   0.97596, -84.05410, -59.15530,  29.95730,  18.81140, -28.21250, -24.02050, -52.80880,   3.30781,   5.55774,  -9.07685,  92.76610,  -7.56672, -84.85110, -17.60400, -61.50640, -76.43040,   0.19103,   0.33111, -30.12720,   9.66635,   5.50045,  -6.55210,-164.42400, -19.91930,  -0.66310,  -0.09361,   0.31554,  18.84830, -13.17170,  -3.82232, -59.65010,   0.00091,  -0.00141, -16.60280, 164.16900,  25.66080,-179.81500,  -0.07602,   0.26399,  19.85400, -12.43820,  -2.12271, -59.98520,  -0.02554,   0.01236, -16.57380
   0.10000,   0.00000,   0.00000,  -0.00000,  89.89010,  -0.88054,   3.54184,-174.25500,  88.93180, 171.62300,  -7.92156,   2.47995,  -5.10470,   1.42786,  -6.98018,   7.20738,   3.32806,  -6.39765,  -0.21049, -90.38630,   1.00342, -83.94330, -59.31270,  29.90600,  19.02290, -28.25450, -23.94970, -52.93530,   3.39709,   5.55756,  -9.06810,  92.72160,  -7.42385, -84.80140, -14.78130, -62.00820, -71.41990,   0.19206,   0.34292, -29.39080,   9.47733,   5.50014,  -6.53839,-164.39100, -20.07780,  -0.50740,  -0.09446,   0.31749,  18.89330, -13.18220,  -3.84400, -59.73470,   0.00081,  -0.00122, -16.59920, 164.06700,  25.74840,-179.75400,  -0.07638,   0.26509,  19.84380, -12.41510,  -1.81531, -59.92320,  -0.02571,   0.01251, -16.57370
   0.13333,   0.00000,   0.00000,  -0.00000,  89.87960,  -1.12307,   3.48467,-173.01300,  88.96500, 170.39000,  -7.96122,   2.40855,  -5.09078,   1.43640,  -6.76073,   7.08454,   3.28341,  -6.18629,  -0.19346, -90.40370,   1.04161, -83.81460, -59.46890,  29.83730,  19.26620, -28.36710, -23.96790, -53.04380,   3.30624,   5.55673,  -9.02748,  92.66390,  -7.26918, -84.81070, -10.98300, -62.23100, -65.06370,   0.28402,   0.52019, -28.72420,   9.36609,   5.49687,  -6.40787,-164.37800, -20.33150,  -0.46663,  -0.09463,   0.31760,  18.91910, -13.17340,  -3.85132, -59.79420,   0.00139,  -0.00214, -16.61560, 164.06500,  25.87920,-179.83200,  -0.07523,   0.26241,  19.77330, -12.37360,  -1.53047, -59.79590,  -0.02949,   0.01443, -16.57380
   0.16667,   0.00000,   0.00000,  -0.00000,  89.89970,  -1.41819,   3.38111,-171.66500,  88.98880, 169.03500,  -8.00335,   2.35706,  -5.10775,   1.35943,  -6.55144,   6.93582,   3.28624,  -5.98284,  -0.12752, -90.41750,   1.07354, -83.75020, -59.62240,  29.75890,  19.48270, -28.37430, -23.96150, -53.06150,   3.27005,   5.55722,  -9.05037,  92.57040,  -7.03675, -84.87490,  -6.64169, -62.08550, -57.85020,   0.26521,   0.49786, -28.13920,   9.25136,   5.49396,  -6.29185,-164.39200, -20.77410,  -0.46559,  -0.09410,   0.31583,  18.94050, -13.13430,  -3.75114, -59.81060,  -0.00004,   0.00001, -16.57750, 164.01700,  26.19640,-179.98000,  -0.07493,   0.26217,  19.72270, -12.29120,  -0.99247, -59.61750,  -0.03551,   0.01753, -16.57370
   0.20000,   0.00000,   0.00000,  -0.00000,  89.88670,  -1.79626,   3.32688,-172.30100,  89.02180, 169.69400,  -7.97413,   2.29107,  -5.06620,   1.25566,  -6.24629,   6.73343,   3.20038,  -5.77232,  -0.06620, -90.44120,   1.12876, -83.65200, -59.76720,  29.76630,  19.62690, -28.41020, -24.01380, -53.04550,   3.29258,   5.55887,  -9.13253,  92.45500,  -6.80033, -85.09540,  -2.50052, -61.67240, -50.49450,   0.20599,   0.39517, -27.65480,   9.09187,   5.49296,  -6.25288,-164.36200, -21.14990,  -0.37974,  -0.09315,   0.31322,  18.92780, -13.12420,  -3.80469, -59.83960,   0.00175,  -0.00270, -16.62590, 164.02200,  26.38080, 179.89600,  -0.07356,   0.25930,  19.62080, -12.20620,  -0.52602, -59.40550,  -0.03527,   0.01758, -16.57370
   0.23333,   0.00000,   0.00000,  -0.00000,  89.88940,  -2.21279,   3.29486,-173.91000,  89.03750, 171.32000,  -7.91724,   2.26310,  -5.03453,   1.14385,  -5.96307,   6.54005,   3.17620,  -5.57098,   0.01791, -90.47020,   1.20263, -83.64480, -59.86290,  29.82580,  19.77170, -28.49750, -24.04660, -53.11000,   3.25790,   5.55770,  -9.07424,  92.29270,  -6.47802, -85.46210,   0.84827, -61.16170, -43.54810,   0.14438,   0.28067, -27.39390,   9.10698,   5.49187,  -6.20928,-164.34100, -21.54080,  -0.30843,  -0.09509,   0.31747,  19.02290, -13.10610,  -3.80432, -59.93520,   0.00017,  -0.00026, -16.58220, 163.99800,  26.46150, 179.75100,  -0.07434,   0.26202,  19.58110, -12.15080,  -0.08839, -59.23170,  -0.04130,   0.02082, -16.57370
   0.26667,   0.00000,   0.00000,  -0.00000,  89.89770,  -2.55912,   3.26072,-176.33800,  89.07880, 173.76100,  -7.83242,   2.18422,  -5.01642,   0.98281,  -5.68401,   6.31597,   3.17783,  -5.35265,   0.17047, -90.49530,   1.26526, -83.62200, -59.91060,  29.93550,  19.79750, -28.53710, -24.03650, -53.16620,   3.35229,   5.55781,  -9.08014,  92.08750,  -6.01293, -85.81420,   3.44106, -60.52450, -37.31100,  -0.22610,  -0.43942, -27.12170,   9.17275,   5.48977,  -6.12620,-164.36100, -21.74010,  -0.26724,  -0.09525,   0.31710,  19.08240, -13.10820,  -3.93605, -60.02490,   0.00209,  -0.00324, -16.63530, 163.98400,  26.58320, 179.59900,  -0.07493,   0.26373,  19.56540, -12.08550,   0.29794, -59.07510,  -0.04192,   0.02131, -16.57370
   0.30000,   0.00000,   0.00000,  -0.00000,  89.92620,  -2.80068,   3.30877, 179.35400,  89.14840, 178.09200,  -7.69882,   2.04303,  -4.98047,   0.85763,  -5.40652,   6.04202,   3.14207,  -5.12479,   0.23353, -90.51840,   1.32810, -83.67760, -59.98460,  30.04710,  19.85940, -28.53230, -24.00200, -53.19840,   3.28595,   5.55810,  -9.09469,  91.87150,  -5.51373, -86.21850,   5.78258, -59.66130, -31.38680,  -0.43009,  -0.84887, -26.81620,   9.06487,   5.48828,  -6.06776,-164.39200, -21.80460,  -0.21011,  -0.09688,   0.32045,  19.19860, -13.11790,  -4.10651, -60.13830,   0.00011,  -0.00015, -16.58020, 163.92300,  26.53740, 179.53800,  -0.07660,   0.26808,  19.60530, -12.07060,   0.48056, -59.01130,  -0.04719,   0.02412, -16.57360
