time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.42010,  -1.76459,   0.90129,  92.40250,  86.94250, -94.22340,  -1.64749,   0.40576,  -3.63513,  -0.24991,  -2.31055,   3.00331,  -1.42867,  -0.84896,  -3.82114, -90.46550,   1.90761, -91.28570, -80.09330,  65.86610,  41.71500,  12.60700,   0.26613, -88.81020,  44.91230,   5.64633, -27.57190,  93.70140,  -8.94716, -82.41480,   3.20391, -75.31510, -37.11800,   1.53677,  10.57170,  -8.33018,  14.64840,   5.30702,  -0.12505,-173.43700,  -9.54408,   1.52066,  -0.00743,   0.06946,   8.42491,  -4.58067,   2.64123, -58.45900,   0.01703,  -0.02648, -17.05060, 175.03300,  17.46510,-179.39300,  -0.00133,   0.05136,   9.37147,  -3.29022,   7.02161, -57.97130,   0.13781,  -0.15742, -18.11250
   0.03333,   0.00000,   0.00000,  -0.00000,  89.24730,  -2.17885,   1.05774,  95.10070,  86.95170, -97.04080,  -1.67879,   0.70173,  -3.86884,  -0.23980,  -2.50860,   3.53314,  -1.53825,  -0.71172,  -3.68496, -90.53220,   2.23203, -91.58480, -79.42100,  66.64930,  41.46300,  12.38070,   0.26322, -88.80130,  45.71110,   5.64498, -27.68760,  94.14590,  -9.93807, -82.21720,  -0.97295, -76.79250, -44.83190,   2.17189,   8.37365, -14.61390,  14.97060,   5.34330,  -1.17570,-173.17300,  -9.85435,   1.50609,  -0.00921,   0.07863,   8.87265,  -4.63332,   2.56703, -58.67740,   0.01600,  -0.02485, -17.02150, 175.24500,  17.07840,-179.34900,  -0.00174,   0.05141,   9.42482,  -3.21958,   7.03441, -57.95480,   0.13994,  -0.15991, -18.13650
   0.06667,   0.00000,   0.00000,  -0.00000,  89.08330,  -2.67154,   1.18183,  97.91330,  86.95700, -99.97640,  -1.71666,   1.00829,  -4.11021,  -0.25962,  -2.61812,   3.88557,  -1.63390,  -0.61492,  -3.48247, -90.54080,   2.31557, -91.85030, -79.00050,  67.02480,  41.38550,  12.07680,   0.20413, -89.04620,  45.66330,   5.64946, -27.27840,  94.44630, -10.69790, -82.27190,  -3.41985, -77.20850, -50.32460,   2.42070,   6.06694, -21.82190,  15.98790,   5.38105,  -2.32305,-172.97100, -10.05280,   1.56266,  -0.01003,   0.08335,   9.11342,  -4.67137,   2.31860, -58.80570,   0.01539,  -0.02389, -17.00450, 175.42700,  16.70860,-179.24600,  -0.00030,   0.04514,   9.23777,  -3.18400,   7.16107, -57.77830,   0.14304,  -0.16355, -18.17190
   0.10000,   0.00000,   0.00000,  -0.00000,  88.93050,  -3.07044,   1.33939,  99.21890,  86.96580,-101.34700,  -1.75118,   1.14862,  -4.23786,  -0.29183,  -2.56577,   3.92164,  -1.67321,  -0.48200,  -3.49256, -90.51760,   2.24122, -91.99230, -79.31500,  67.24360,  41.73770,  11.37230,   0.16278, -89.19090,  45.52100,   5.65275, -26.95860,  94.67910, -11.28960, -82.31090,  -7.92382, -77.05960, -57.71700,   2.39986,   4.29459, -29.25440,  17.20470,   5.41928,  -3.57063,-172.80500, -10.03420,   1.50616,  -0.01209,   0.09313,   9.59691,  -4.69968,   1.96347, -59.05500,   0.01395,  -0.02165, -16.96440, 175.55000,  16.61840,-179.19800,  -0.00010,   0.04255,   9.26241,  -3.13990,   7.45109, -57.69360,   0.14144,  -0.16166, -18.15360
   0.13333,   0.00000,   0.00000,  -0.00000,  88.84520,  -3.48317,   1.53686, 100.36900,  86.95860,-102.53400,  -1.75499,   1.27433,  -4.31005,  -0.47691,  -2.50860,   3.98452,  -1.45681,  -0.22377,  -4.05912, -90.50500,   2.20710, -92.10880, -79.66920,  67.31540,  42.06340,  10.59580,   0.15686, -89.16150,  45.58120,   5.65361, -26.87180,  94.85110, -11.64260, -82.19050, -14.77190, -76.36690, -67.26000,   2.41412,   3.27458, -36.44890,  17.91810,   5.45969,  -4.98780,-172.73000, -10.16590,   1.62271,  -0.01278,   0.09616,   9.82556,  -4.68316,   1.69896, -59.17610,   0.01413,  -0.02194, -16.96960, 175.56000,  16.43530,-179.03300,  -0.00006,   0.03975,   9.12918,  -3.15138,   7.70382, -57.52420,   0.14438,  -0.16512, -18.18690
   0.16667,   0.00000,   0.00000,  -0.00000,  88.75270,  -3.92285,   1.81968, 101.07200,  86.93720,-103.23000,  -1.72539,   1.35476,  -4.29365,  -0.66627,  -2.43037,   4.01879,  -1.14214,   0.00943,  -4.67713, -90.47500,   2.08448, -92.15930, -80.04730,  67.13680,  42.05410,  10.42390,   0.22778, -88.76210,  45.82420,   5.65400, -26.82990,  94.94620, -11.80050, -82.06260, -22.48500, -74.91400, -77.57750,   2.74870,   3.10179, -41.59310,  18.35090,   5.49262,  -6.23692,-172.65300, -10.28200,   1.61180,  -0.01579,   0.10813,  10.49950,  -4.64567,   1.41067, -59.53120,   0.01073,  -0.01662, -16.87470, 175.54800,  16.16850,-178.98700,  -0.00021,   0.03996,   9.40987,  -3.15437,   7.88520, -57.56330,   0.14415,  -0.16487, -18.18440
   0.20000,   0.00000,   0.00000,  -0.00000,  88.65450,  -4.28237,   2.07390, 102.51400,  86.91840,-104.64500,  -1.71772,   1.51137,  -4.23770,  -0.59113,  -2.41273,   4.13866,  -0.99249,   0.08412,  -5.18677, -90.47640,   2.10938, -92.27120, -80.25120,  67.25370,  42.01600,  10.22930,   0.26945, -88.50750,  45.96740,   5.65409, -26.82260,  95.07520, -12.07870, -82.00280, -26.28970, -73.19990, -83.31840,   2.74924,   2.87869, -43.72920,  18.69360,   5.52292,  -7.48923,-172.57500, -10.36150,   1.66850,  -0.01787,   0.11634,  10.97530,  -4.60406,   1.18785, -59.79010,   0.01201,  -0.01862, -16.91040, 175.52700,  15.94280,-178.81400,  -0.00009,   0.03891,   9.42429,  -3.19549,   8.06373, -57.48180,   0.14692,  -0.16811, -18.21570
   0.23333,   0.00000,   0.00000,  -0.00000,  88.61920,  -4.54499,   2.27695, 104.65100,  86.90320,-106.80800,  -1.73750,   1.74496,  -4.28731,  -0.55075,  -2.56400,   4.40613,  -0.70332,  -0.03775,  -5.41128, -90.45390,   2.03217, -92.40630, -79.93960,  67.46610,  41.49930,  10.36570,   0.30630, -88.32560,  45.93680,   5.65382, -26.84860,  95.21420, -12.44870, -82.05520, -27.06230, -71.92110, -84.99660,   2.70974,   2.97664, -42.36080,  18.63530,   5.54439,  -8.44406,-172.60600, -10.42810,   1.62807,  -0.02027,   0.12533,  11.47180,  -4.51954,   1.02149, -60.04100,   0.00904,  -0.01399, -16.82770, 175.42600,  15.81460,-178.76400,  -0.00007,   0.03940,   9.57083,  -3.26472,   8.20146, -57.45020,   0.14603,  -0.16708, -18.20570
   0.26667,   0.00000,   0.00000,  -0.00000,  88.56980,  -4.65734,   2.39892, 106.54800,  86.88880,-108.75300,  -1.76022,   1.95503,  -4.37802,  -0.55385,  -2.68006,   4.52061,  -0.49402,  -0.30847,  -5.20045, -90.41020,   1.83624, -92.40500, -79.42890,  67.74180,  40.60060,  10.51150,   0.37006, -88.00670,  45.93260,   5.65209, -27.02440,  95.30320, -12.70930, -82.12430, -26.74070, -71.33050, -84.26430,   3.28632,   4.08886, -38.85890,  18.30870,   5.54162,  -8.31600,-172.65300, -10.39430,   1.63993,  -0.02037,   0.12465,  11.63060,  -4.42516,   0.88311, -60.10470,   0.00899,  -0.01391, -16.82630, 175.36700,  15.68660,-178.51600,   0.00139,   0.03266,   9.19499,  -3.37912,   8.21352, -57.17720,   0.14893,  -0.17049, -18.23870
   0.30000,   0.00000,   0.00000,  -0.00000,  88.56980,  -4.55903,   2.42583, 107.91700,  86.89840,-110.18500,  -1.81846,   2.09748,  -4.50243,  -0.56467,  -2.75852,   4.52660,  -0.42694,  -0.57343,  -4.98129, -90.39890,   1.78909, -92.42930, -79.40060,  67.89310,  40.35640,  10.51250,   0.40269, -87.83070,  46.05180,   5.65130, -27.10160,  95.24780, -12.69850, -82.32280, -24.29780, -71.44540, -80.24130,   3.04444,   4.47413, -34.29170,  17.95080,   5.53964,  -8.22509,-172.78500, -10.28640,   1.53374,  -0.01985,   0.12163,  11.72030,  -4.30772,   0.81422, -60.09880,   0.00644,  -0.00996, -16.75560, 175.26700,  15.72220,-178.33400,   0.00200,   0.02677,   8.80261,  -3.49244,   8.14403, -56.91050,   0.15248,  -0.17470, -18.27920
