time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.20730, -14.36130,   0.23948,-116.11400,  85.86000, 118.23100,  -2.44287,   1.91472,  -0.46303,  -0.14513,   4.50876,  -0.44969,   3.97205,   5.07542,  -0.12194, -89.92950,   6.85635, -86.98720, -66.42250, -32.71790,   9.56141,  -0.00003,   0.00000, -18.78820,  11.55090,  45.30330,  -0.81968,  89.84250,   9.38405, -85.54450, -65.21490, -16.56710,  11.22670,   0.00116,  -0.00032, -25.34240,   7.72447,  35.78350,   4.03907, 179.43900,  -3.85675,  -1.38141,   0.00000,  -0.00000,   2.51283,   0.16609, -12.00890, -51.48960,   0.00000,   0.00000, -16.57750,-175.60800, -14.86120,-175.33500,   0.00000,  -0.00000,   1.53049,   0.77753, -36.90270, -56.52950,  -0.00000,  -0.00000, -16.57750
   0.03333,   0.00000,   0.00000,  -0.00000,  90.17560, -14.27620,   0.20190,-116.70700,  85.89740, 118.81800,  -2.38035,   1.93530,  -0.47693,  -0.15122,   4.54617,  -0.30968,   3.66454,   5.19865,  -0.03414, -89.93050,   6.82319, -86.98570, -66.52980, -32.62230,   9.41237,  -0.00003,   0.00000, -18.78110,  11.47190,  45.33980,  -0.78568,  89.85480,   9.39288, -85.61450, -64.60410, -17.50490,  10.98180,   0.00112,  -0.00032, -26.24100,   6.41698,  33.26160,   4.79866, 179.43800,  -3.81275,  -1.55402,   0.00000,  -0.00000,   2.74638,   0.17672, -11.96830, -51.58370,  -0.00000,  -0.00000, -16.57750,-175.61100, -14.84480,-175.41600,   0.00000,  -0.00000,   1.59826,   0.72508, -36.96650, -56.56640,   0.00000,   0.00000, -16.57750
   0.06667,   0.00000,   0.00000,  -0.00000,  90.14040, -14.16330,   0.15691,-117.57100,  85.95950, 119.70000,  -2.31077,   1.96078,  -0.49737,  -0.16907,   4.60731,  -0.09985,   3.24469,   5.35520,   0.12038, -89.93080,   6.78609, -86.99050, -66.65290, -32.49870,   9.21968,  -0.00003,   0.00000, -18.76110,  11.38660,  45.38610,  -0.76717,  89.86850,   9.37774, -85.69320, -63.78990, -19.25500,  10.71860,   0.00108,  -0.00033, -27.81080,   4.52992,  30.05420,   5.37734, 179.42900,  -3.75704,  -1.76408,   0.00000,  -0.00000,   3.02325,   0.19589, -11.91190, -51.69100,  -0.00000,   0.00000, -16.57750,-175.62200, -14.82740,-175.59500,   0.00000,  -0.00000,   1.83159,   0.60169, -37.05620, -56.70230,  -0.00000,  -0.00000, -16.57750
   0.10000,   0.00000,   0.00000,  -0.00000,  90.10540, -14.01930,   0.10865,-118.62800,  86.04780, 120.80100,  -2.23575,   1.98345,  -0.51937,  -0.18597,   4.69053,   0.18199,   2.73984,   5.54122,   0.37383, -89.93040,   6.74948, -87.00000, -66.78990, -32.35170,   8.99189,  -0.00003,   0.00000, -18.72960,  11.28170,  45.46140,  -0.75683,  89.88240,   9.34541, -85.77250, -62.82840, -21.86610,  10.39990,   0.00102,  -0.00035, -30.18950,   3.05382,  26.87310,   5.07824, 179.40800,  -3.70441,  -1.97498,   0.00000,  -0.00000,   3.27968,   0.23203, -11.82160, -51.78050,   0.00000,   0.00000, -16.57750,-175.64500, -14.80550,-175.83400,   0.00000,  -0.00000,   2.16656,   0.42775, -37.17110, -56.90050,   0.00000,  -0.00000, -16.57750
   0.13333,   0.00000,   0.00000,  -0.00000,  90.07710, -13.84960,   0.04850,-119.80000,  86.15110, 122.03900,  -2.15610,   2.00153,  -0.52278,  -0.19151,   4.78730,   0.52481,   2.19147,   5.73155,   0.73283, -89.92970,   6.70839, -87.01170, -66.97360, -32.17090,   8.73000,  -0.00003,   0.00000, -18.68820,  11.17300,  45.56490,  -0.75531,  89.89470,   9.31781, -85.84310, -61.81510, -25.16810,   9.93142,   0.00094,  -0.00037, -33.36300,   2.99670,  24.63940,   3.15548, 179.36700,  -3.65315,  -2.16884,   0.00000,  -0.00000,   3.45676,   0.29135, -11.70420, -51.82090,  -0.00000,   0.00000, -16.57750,-175.68900, -14.78280,-176.14100,  -0.00003,   0.00000,   2.59104,   0.20865, -37.30800, -57.15070,  -0.00000,  -0.00000, -16.57750
   0.16667,   0.00000,   0.00000,  -0.00000,  90.05930, -13.66170,  -0.03535,-120.91500,  86.25540, 123.23400,  -2.07267,   2.01083,  -0.48476,  -0.18304,   4.88490,   0.91863,   1.64976,   5.90905,   1.17689, -89.92910,   6.64789, -87.02640, -67.24340, -31.93740,   8.44448,  -0.00003,   0.00000, -18.63860,  11.07040,  45.68570,  -0.76988,  89.90350,   9.31736, -85.89370, -60.86060, -29.04610,   9.15063,   0.00089,  -0.00040, -37.19390,   4.09320,  23.05550,  -0.04501, 179.30200,  -3.58916,  -2.34136,   0.00000,  -0.00000,   3.51983,   0.37620, -11.58100, -51.79410,   0.00000,   0.00000, -16.57750,-175.76100, -14.76790,-176.51300,  -0.00003,   0.00000,   3.07235,  -0.04274, -37.46660, -57.43070,   0.00000,   0.00000, -16.57750
   0.20000,   0.00000,   0.00000,  -0.00000,  90.05430, -13.45930,  -0.13286,-121.91000,  86.35830, 124.32300,  -1.98741,   2.00966,  -0.39703,  -0.15646,   4.97026,   1.36055,   1.15812,   6.05929,   1.68189, -89.92890,   6.55022, -87.04530, -67.61660, -31.63550,   8.14900,  -0.00003,   0.00000, -18.58230,  10.93210,  45.85060,  -0.78015,  89.90820,   9.35094, -85.92030, -60.12490, -33.47760,   7.87262,   0.00081,  -0.00043, -41.55290,   5.52789,  21.45080,  -3.86140, 179.21200,  -3.50819,  -2.47620,   0.00000,  -0.00000,   3.46840,   0.48523, -11.45940, -51.70640,  -0.00000,   0.00000, -16.57750,-175.86200, -14.75550,-176.92400,  -0.00003,  -0.00000,   3.59123,  -0.32372, -37.63850, -57.73660,   0.00000,   0.00000, -16.57750
   0.23333,   0.00000,   0.00000,  -0.00000,  90.06310, -13.24730,  -0.22176,-122.90700,  86.46730, 125.43500,  -1.90780,   2.00125,  -0.26985,  -0.09665,   5.03308,   1.85006,   0.74044,   6.17130,   2.23828, -89.92920,   6.41718, -87.06790, -68.06670, -31.26440,   7.85700,  -0.00003,   0.00000, -18.52080,  10.71390,  46.07910,  -0.75643,  89.90930,   9.41063, -85.92650, -59.86030, -38.24470,   5.92105,   0.00075,  -0.00045, -46.34300,   7.51901,  18.54160,  -8.06564, 179.09700,  -3.41496,  -2.53840,   0.00000,  -0.00000,   3.29388,   0.61772, -11.33940, -51.56210,  -0.00000,  -0.00000, -16.57750,-175.98700, -14.72900,-177.30200,  -0.00003,  -0.00000,   4.06668,  -0.60837, -37.80400, -58.02800,   0.00000,   0.00000, -16.57750
   0.26667,   0.00000,   0.00000,  -0.00000,  90.08240, -13.03060,  -0.29572,-124.21700,  86.59790, 126.90100,  -1.82634,   1.99221,  -0.12742,   0.00522,   5.06300,   2.38896,   0.38751,   6.23712,   2.85143, -89.92980,   6.27318, -87.09050, -68.56210, -30.83080,   7.52863,  -0.00003,   0.00000, -18.45580,  10.43910,  46.32700,  -0.70651,  89.90750,   9.47888, -85.91590, -60.54990, -42.87160,   3.33962,   0.00063,  -0.00047, -53.88230,   9.80005,  13.10520, -11.43030, 178.96200,  -3.30872,  -2.52241,   0.00000,  -0.00000,   2.98334,   0.77381, -11.22620, -51.34610,   0.00000,   0.00000, -16.57750,-176.13000, -14.68550,-177.67500,  -0.00003,  -0.00000,   4.55014,  -0.90774, -37.95550, -58.32440,  -0.00000,  -0.00000, -16.57750
   0.30000,   0.00000,   0.00000,  -0.00000,  90.10990, -12.80720,  -0.36771,-125.82700,  86.73710, 128.72400,  -1.74318,   1.98694,   0.01099,   0.14640,   5.05161,   2.97824,   0.10344,   6.24681,   3.53303, -89.92990,   6.14570, -87.11310, -69.03020, -30.38600,   7.23089,  -0.00003,   0.00000, -18.38900,  10.20080,  46.56830,  -0.75895,  89.90350,   9.52998, -85.89300, -62.21830, -46.99000,  -0.32581,   0.00047,  -0.00048, -61.30340,  12.37920,   6.66545, -13.95480, 178.80800,  -3.18519,  -2.40868,   0.00000,  -0.00000,   2.47292,   0.95953, -11.12050, -51.02580,   0.00000,   0.00000, -16.57750,-176.29300, -14.63560,-178.04600,  -0.00006,  -0.00000,   5.01840,  -1.21321, -38.10490, -58.61070,   0.00000,  -0.00000, -16.57750
