time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.96720,   1.24312,   9.01946,  89.18440,  85.88990, -92.50880,   0.46476,   0.09460,  -6.64449,   1.65036,  -6.72112,   6.57704,  -4.25262,  -2.67868,  -1.20009, -90.01680,   0.07782, -92.85090,-145.65900,  68.49850,  73.20370,  17.53450,   5.31990, -73.64590,   2.42710,   5.64909, -14.93630,  92.51360,  -6.89948, -84.92620, -48.26600, -70.48380,-102.14900,   3.38221,   3.66268, -42.78240,  16.95430,   5.44313,  -4.39514,-162.32900, -17.78360, -10.53600,   0.14512,  -0.13314,  43.44520,  -6.74529,   7.55370, -69.10060,   0.03131,  -0.04905, -17.45190, 170.49800,  19.70670, 170.97500,   0.17107,  -0.15753,  42.18970,  -5.57886,   0.95369, -69.86170,   0.07807,  -0.08813, -17.43970
   0.03333,   0.00000,   0.00000,  -0.00000,  87.02270,   1.52552,   9.01087,  88.92920,  85.87540, -92.24590,   0.49210,   0.05619,  -6.62882,   1.64190,  -6.73024,   6.56837,  -4.32185,  -2.73048,  -1.24565, -90.01280,   0.05946, -92.81920,-145.64300,  68.46900,  73.15740,  17.57820,   5.33820, -73.63410,   2.37505,   5.64746, -14.77920,  92.51840,  -6.92772, -84.96600, -47.54050, -70.87180,-100.69400,   3.25975,   3.69219, -41.50110,  16.98370,   5.44109,  -4.32333,-162.36800, -17.81810, -10.71590,   0.14658,  -0.13443,  43.51760,  -6.65935,   7.83010, -69.01110,   0.03234,  -0.05070, -17.48090, 170.46400,  19.81260, 170.91400,   0.17293,  -0.15872,  42.34630,  -5.64151,   0.83370, -69.96320,   0.07969,  -0.08999, -17.45790
   0.06667,   0.00000,   0.00000,  -0.00000,  87.04770,   1.72003,   9.07429,  88.48740,  85.84300, -91.77760,   0.55314,  -0.01254,  -6.57529,   1.66952,  -6.68187,   6.49414,  -4.36800,  -2.74787,  -1.27541, -90.00820,   0.03767, -92.79410,-145.69500,  68.41300,  73.16140,  17.67550,   5.39029, -73.57520,   2.59428,   5.64823, -14.84930,  92.50800,  -6.95738, -85.11970, -46.42920, -71.42490, -98.48070,   3.13624,   3.73144, -40.10540,  16.78100,   5.44074,  -4.31149,-162.38200, -17.78080, -10.78220,   0.14705,  -0.13462,  43.58370,  -6.63052,   7.97426, -68.99950,   0.03027,  -0.04738, -17.42210, 170.44900,  19.79830, 170.93700,   0.17412,  -0.15931,  42.44600,  -5.67314,   0.63546, -70.08520,   0.07689,  -0.08675, -17.42640
   0.10000,   0.00000,   0.00000,  -0.00000,  87.10600,   1.81888,   9.04818,  88.00590,  85.84200, -91.28180,   0.55102,  -0.08327,  -6.54654,   1.70306,  -6.62796,   6.44642,  -4.35031,  -2.79215,  -1.33076, -90.00870,   0.03997, -92.75930,-145.73800,  68.39320,  73.20510,  17.60830,   5.36463, -73.58600,   2.47764,   5.64754, -14.78610,  92.46910,  -6.92188, -85.31310, -44.53750, -72.06920, -95.28270,   3.14619,   3.96028, -38.52540,  16.68750,   5.43245,  -4.02220,-162.46700, -17.79900, -10.88180,   0.14769,  -0.13533,  43.59440,  -6.60700,   8.05136, -68.93960,   0.03186,  -0.04994, -17.46750, 170.42100,  19.74650, 170.85900,   0.17494,  -0.16010,  42.50290,  -5.71799,   0.52223, -70.11800,   0.07664,  -0.08647, -17.42360
   0.13333,   0.00000,   0.00000,  -0.00000,  87.18030,   1.80619,   9.05678,  87.65980,  85.83870, -90.93670,   0.55416,  -0.13373,  -6.54830,   1.75748,  -6.57178,   6.38144,  -4.31687,  -2.80858,  -1.36110, -90.01000,   0.04598, -92.67070,-145.96700,  68.45870,  73.49750,  17.56210,   5.34530, -73.59840,   2.58654,   5.64803, -14.83020,  92.40790,  -6.81447, -85.48590, -42.07060, -72.64190, -91.29610,   2.95752,   3.95764, -36.82760,  16.43030,   5.42972,  -3.92915,-162.54100, -17.91430, -10.87130,   0.14769,  -0.13542,  43.56900,  -6.56255,   8.11406, -68.90330,   0.03150,  -0.04936, -17.45730, 170.34100,  19.72160, 170.86000,   0.17485,  -0.16001,  42.48230,  -5.73944,   0.55256, -70.16330,   0.07485,  -0.08442, -17.40360
   0.16667,   0.00000,   0.00000,  -0.00000,  87.23850,   1.78432,   9.06838,  87.05690,  85.83700, -90.32990,   0.55113,  -0.22153,  -6.54002,   1.70897,  -6.47280,   6.25826,  -4.15125,  -2.82988,  -1.40884, -90.01340,   0.06094, -92.64940,-146.05700,  68.43480,  73.59760,  17.52710,   5.33046, -73.60850,   2.56983,   5.64719, -14.75140,  92.32380,  -6.67231, -85.74780, -38.21870, -73.22940, -85.78410,   2.75547,   3.92306, -35.13660,  16.16540,   5.42654,  -3.82013,-162.60100, -18.02960, -10.86170,   0.14799,  -0.13568,  43.56880,  -6.50554,   8.17445, -68.88780,   0.03287,  -0.05151, -17.49550, 170.25400,  19.76260, 170.86100,   0.17422,  -0.15963,  42.46560,  -5.71224,   0.64359, -70.14550,   0.07902,  -0.08923, -17.45050
   0.20000,   0.00000,   0.00000,  -0.00000,  87.28520,   1.72428,   9.06252,  86.35890,  85.82960, -89.62740,   0.55711,  -0.32413,  -6.53059,   1.70090,  -6.31100,   6.09435,  -4.16518,  -2.77819,  -1.42553, -90.00930,   0.04196, -92.59470,-146.17600,  68.45700,  73.68400,  17.37790,   5.30354, -73.54530,   2.66907,   5.64719, -14.75150,  92.23610,  -6.52120, -86.02670, -33.56300, -73.74340, -79.27590,   2.74528,   4.13883, -33.60930,  15.80770,   5.42109,  -3.63567,-162.63900, -18.14610, -10.86900,   0.14864,  -0.13619,  43.60960,  -6.49464,   8.22871, -68.89710,   0.03442,  -0.05402, -17.54010, 170.17500,  19.80440, 170.83000,   0.17339,  -0.15858,  42.48770,  -5.75467,   0.77377, -70.17260,   0.07651,  -0.08634, -17.42220
   0.23333,   0.00000,   0.00000,  -0.00000,  87.33100,   1.63095,   9.08536,  85.77770,  85.83480, -89.04880,   0.53849,  -0.40709,  -6.53539,   1.69066,  -6.16045,   5.96835,  -4.08457,  -2.70473,  -1.46796, -90.00600,   0.02687, -92.57050,-146.21200,  68.39980,  73.66870,  17.60840,   5.39356, -73.50260,   2.96970,   5.64799, -14.82800,  92.14430,  -6.35290, -86.30480, -28.58770, -73.97350, -72.26250,   2.59645,   4.13799, -32.15850,  15.59570,   5.41733,  -3.50928,-162.67000, -18.22180, -10.84440,   0.14920,  -0.13634,  43.68230,  -6.50750,   8.21403, -68.95610,   0.03364,  -0.05276, -17.51770, 170.09900,  19.79970, 170.80300,   0.17378,  -0.15861,  42.55700,  -5.71746,   0.88924, -70.23200,   0.07397,  -0.08343, -17.39390
   0.26667,   0.00000,   0.00000,  -0.00000,  87.36560,   1.51050,   9.12083,  85.18830,  85.83490, -88.46460,   0.52918,  -0.49186,  -6.54535,   1.62376,  -6.03210,   5.84401,  -3.97627,  -2.67154,  -1.53242, -90.00170,   0.00741, -92.47320,-146.36500,  68.46380,  73.81150,  17.70240,   5.42103, -73.51210,   3.25556,   5.64768, -14.79610,  92.01960,  -6.11426, -86.68120, -22.88720, -74.01090, -64.56370,   2.47923,   4.20425, -30.57710,  15.43510,   5.41092,  -3.29541,-162.67600, -18.25970, -10.80700,   0.14994,  -0.13642,  43.79570,  -6.54118,   8.15895, -69.04800,   0.03250,  -0.05095, -17.48580, 170.04200,  19.74580, 170.78100,   0.17401,  -0.15840,  42.65870,  -5.73459,   0.96788, -70.30210,   0.07492,  -0.08452, -17.40450
   0.30000,   0.00000,   0.00000,  -0.00000,  87.36620,   1.38008,   9.16932,  84.81770,  85.84510, -88.09560,   0.50286,  -0.54284,  -6.54849,   1.59910,  -5.85725,   5.66654,  -3.93885,  -2.64941,  -1.50886, -90.00440,   0.01960, -92.37120,-146.57000,  68.55960,  74.01410,  17.68350,   5.40574, -73.53830,   3.18847,   5.64675, -14.71160,  91.90690,  -5.88528, -87.01150, -17.82010, -73.80420, -57.30150,   2.45666,   4.41658, -29.13450,  15.14590,   5.40175,  -2.99414,-162.63700, -18.27520, -10.71870,   0.15009,  -0.13601,  43.89260,  -6.55012,   8.11577, -69.17060,   0.03127,  -0.04899, -17.45070, 169.99800,  19.71820, 170.79600,   0.17404,  -0.15780,  42.74760,  -5.71108,   1.08789, -70.35360,   0.07512,  -0.08475, -17.40690
