time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.76170,  -8.23467,   3.43209,  80.43600,  77.23040, -86.23230,  17.24440,  -4.64936, -10.91040,   0.03759,  -0.81380,   1.43007, -24.59810,   5.87810, -11.92740, -91.14340,   7.35601, -96.14020, -46.77640,   9.32923, -16.98690,  -0.63309,  -2.32674, -15.23140,  18.71040,   5.55489,  -8.93952,  92.32320,  -5.72574, -82.87100,  -5.34439, -81.94160, -16.22720,  -3.56594,  -6.18178, -30.04770,  20.54000,   5.23954,   1.70549,-169.65100, -10.00630, -10.18180,   0.05115,  -0.09654,  27.73490,  -4.41228,  -3.62889, -62.90090,  -0.02328,   0.01549, -16.47290, 179.26600,  13.72960, 172.93500,   0.03775,  -0.08594,  17.94710,  -2.99983,   9.90905, -56.01570,   0.08825,  -0.09982, -17.55370
   0.03333,   0.00000,   0.00000,  -0.00000,  84.70600,  -8.42514,   3.50516,  80.40990,  77.31140, -86.18950,  17.08380,  -4.62601, -10.88630,  -0.11482,  -0.79716,   1.78679, -25.40290,   6.00892, -11.64980, -91.15030,   7.31060, -96.03280, -47.24390,   9.38962, -16.31110,  -0.57903,  -2.20241, -14.72320,  18.61510,   5.55370,  -8.88144,  92.34950,  -5.79617, -82.88890,  -7.28283, -82.60900, -18.98170,  -4.50753,  -7.28086, -31.87850,  21.90060,   5.23005,   1.95424,-169.47500,  -9.95404,  -9.97021,   0.05167,  -0.09759,  27.71170,  -4.57454,  -3.82976, -63.00300,  -0.02219,   0.01920, -16.35750, 179.39000,  13.67350, 173.03900,   0.03729,  -0.08624,  18.00580,  -2.88418,  10.02350, -56.11190,   0.08340,  -0.09424, -17.49940
   0.06667,   0.00000,   0.00000,  -0.00000,  84.60390,  -8.69163,   3.44325,  80.40120,  77.46620, -86.12460,  16.78130,  -4.56165, -10.79370,  -0.30322,  -0.76564,   2.02066, -25.89320,   6.06206, -11.37320, -91.14620,   7.26348, -96.00800, -47.76200,   9.54623, -15.53850,  -0.51287,  -2.02476, -14.22040,  18.45520,   5.55367,  -8.88067,  92.35970,  -5.86655, -83.04250,  -7.33741, -82.83510, -20.05720,  -5.49290,  -7.95894, -34.76810,  22.99310,   5.22570,   2.06555,-169.25800, -10.07930,  -9.92653,   0.05133,  -0.09692,  27.75730,  -4.71043,  -3.90512, -63.06480,  -0.02110,   0.01631, -16.41810, 179.59300,  13.48610, 172.97200,   0.03678,  -0.08447,  18.08400,  -2.78553,  10.09920, -56.18890,   0.08515,  -0.09624, -17.51890
   0.10000,   0.00000,   0.00000,  -0.00000,  84.54980,  -9.06803,   3.47894,  80.50550,  77.60290, -86.17830,  16.52410,  -4.45836, -10.71640,  -0.43391,  -0.79017,   2.29413, -26.37630,   6.17486, -11.22740, -91.14480,   7.21958, -95.96490, -48.21920,   9.95913, -14.82870,  -0.46897,  -1.91372, -13.78220,  18.40070,   5.55183,  -8.79277,  92.40010,  -5.97851, -83.07930,  -9.02008, -82.84180, -22.78210,  -6.22517,  -7.81794, -38.71610,  23.93490,   5.22652,   2.04547,-169.10700, -10.21590,  -9.74665,   0.05237,  -0.09869,  27.78620,  -4.83731,  -4.08990, -63.18810,  -0.02045,   0.01925, -16.33010, 179.70300,  13.36770, 173.00300,   0.03718,  -0.08425,  18.15260,  -2.68693,  10.32150, -56.24520,   0.08596,  -0.09717, -17.52790
   0.13333,   0.00000,   0.00000,  -0.00000,  84.53960,  -9.45843,   3.51223,  80.55650,  77.74930, -86.17900,  16.24290,  -4.37405, -10.63740,  -0.57591,  -0.84094,   2.57316, -26.78870,   6.28655, -11.16380, -91.14280,   7.22616, -95.98870, -48.70260,  10.17340, -14.06840,  -0.42593,  -1.77723, -13.47590,  18.30470,   5.55083,  -8.74475,  92.42430,  -6.04009, -83.08210, -11.73670, -82.68000, -26.66950,  -6.63637,  -7.04570, -43.49530,  24.63350,   5.24195,   1.64611,-169.00200, -10.39530,  -9.57186,   0.05072,  -0.09521,  27.80530,  -4.94793,  -4.23499, -63.25880,  -0.02145,   0.01695, -16.40020, 179.76400,  13.15430, 172.97900,   0.03686,  -0.08395,  18.29370,  -2.60272,  10.50040, -56.32980,   0.08510,  -0.09619, -17.51830
   0.16667,   0.00000,   0.00000,  -0.00000,  84.48600,  -9.78171,   3.50881,  80.54460,  77.89530, -86.08450,  15.95820,  -4.31399, -10.49020,  -0.74800,  -0.94025,   2.80601, -27.16710,   6.32618, -11.09880, -91.13750,   7.27116, -96.08410, -49.18060,  10.29970, -13.35800,  -0.40929,  -1.73875, -13.25450,  18.37240,   5.55029,  -8.71953,  92.46200,  -6.14239, -83.10760, -12.18460, -82.19350, -28.23000,  -6.84786,  -5.94454, -49.19450,  25.24250,   5.25229,   1.37288,-168.88000, -10.58360,  -9.49672,   0.05340,  -0.09998,  27.89270,  -5.03500,  -4.35566, -63.36950,  -0.02214,   0.01921, -16.34730, 179.87100,  12.93550, 172.92600,   0.03733,  -0.08382,  18.40460,  -2.53779,  10.60150, -56.38830,   0.08533,  -0.09646, -17.52100
   0.20000,   0.00000,   0.00000,  -0.00000,  84.48350, -10.02750,   3.51828,  80.52240,  78.01050, -85.99580,  15.73250,  -4.27174, -10.37040,  -0.93543,  -1.07423,   3.01018, -27.55600,   6.27252, -10.99980, -91.11980,   7.23422, -96.17720, -49.69150,  10.29680, -12.94770,  -0.37161,  -1.61067, -12.99020,  18.32980,   5.55044,  -8.72645,  92.50090,  -6.23576, -83.09470, -11.75350, -81.65050, -28.69840,  -6.20577,  -4.22342, -55.84420,  25.57800,   5.25559,   1.28422,-168.83100, -10.58620,  -9.42292,   0.05161,  -0.09645,  27.93790,  -5.12934,  -4.54441, -63.45200,  -0.01978,   0.01895, -16.32430, 179.90800,  12.85980, 172.86500,   0.03829,  -0.08470,  18.53920,  -2.47650,  10.73640, -56.45050,   0.08233,  -0.09300, -17.48730
   0.23333,   0.00000,   0.00000,  -0.00000,  84.49400, -10.17460,   3.53659,  80.43340,  78.11490, -85.84610,  15.52230,  -4.26101, -10.25720,  -1.08390,  -1.26468,   3.20442, -27.87680,   6.13716, -10.96540, -91.11010,   7.25341, -96.27470, -50.06590,  10.27350, -12.73400,  -0.35846,  -1.58460, -12.75110,  18.31070,   5.55079,  -8.74310,  92.53800,  -6.32653, -83.08780, -11.49590, -81.05360, -28.94630,  -3.44335,  -1.72905, -63.63780,  25.64050,   5.25404,   1.32543,-168.81000, -10.64170,  -9.37388,   0.05418,  -0.10115,  27.97580,  -5.15733,  -4.63610, -63.49140,  -0.03157,   0.00322, -16.33010, 179.92100,  12.77010, 172.82400,   0.03808,  -0.08533,  18.65540,  -2.43349,  10.81180, -56.51200,   0.07986,  -0.09017, -17.45970
   0.26667,   0.00000,   0.00000,  -0.00000,  84.51980, -10.20990,   3.54499,  80.32070,  78.21360, -85.69610,  15.32050,  -4.26310, -10.18920,  -1.14229,  -1.44782,   3.31257, -28.20270,   5.89782, -10.77360, -91.09790,   7.24771, -96.36250, -50.36000,  10.20170, -12.75350,  -0.31045,  -1.39419, -12.56230,  18.34050,   5.55074,  -8.74030,  92.56110,  -6.40198, -83.14210, -10.21810, -80.50480, -27.83850,   2.66268,   0.82617, -72.48110,  26.03180,   5.24518,   1.55987,-168.81200, -10.65160,  -9.37125,   0.05606,  -0.10449,  28.00770,  -5.12062,  -4.64988, -63.52880,  -0.07062,  -0.03914, -16.21990, 179.92800,  12.68670, 172.76700,   0.03938,  -0.08638,  18.77870,  -2.40172,  10.74960, -56.58400,   0.08178,  -0.09236, -17.48110
   0.30000,   0.00000,   0.00000,  -0.00000,  84.55310, -10.16000,   3.60865,  80.26130,  78.27200, -85.60840,  15.20210,  -4.26076, -10.13670,  -1.14808,  -1.64658,   3.35739, -28.56210,   5.61572, -10.57320, -91.09150,   7.27842, -96.44770, -50.45070,  10.33950, -12.99960,  -0.35143,  -1.57827, -12.56770,  18.41490,   5.54853,  -8.63686,  92.58630,  -6.50511, -83.26280,  -7.47104, -80.11080, -25.19660,   9.12334,   1.35927, -81.70520,  26.26610,   5.24676,   1.51792,-168.81400, -10.60010,  -9.31485,   0.05605,  -0.10444,  27.99880,  -5.12430,  -4.64250, -63.50890,  -0.07844,  -0.05308, -16.25770, 179.90300,  12.63050, 172.78700,   0.03861,  -0.08623,  18.87940,  -2.38502,  10.65260, -56.65640,   0.08055,  -0.09097, -17.46750
