time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.62510,  -4.93319,  -3.83881, 104.90800,  86.37490,-103.69500,  -0.77754,   1.77443,   2.43735,  -6.66312,  -3.63326,   3.54832,   8.54701,  -4.25144,   8.19500, -82.70010, -21.23120, -85.51860,  11.14390, -67.46200,  -9.71049,  23.17970,   0.73566, -88.27070,  26.46690,   5.17860,   3.45916,  97.81170, -22.15470, -85.00780,  12.10240, -50.13730, -10.47540,  16.47690,   0.88691, -86.99620,  37.49680,   5.47244,  -5.09336,-169.61500,  -5.39472, -12.48270,   0.06491,  -0.12942,  27.21180,  -4.48167,  -0.49078, -67.93040,  -0.17739,  -0.15330, -16.44810,-168.45600,   4.25252, 170.88300,   0.07043,  -0.16661,  17.92430,   5.41998,  -6.38697, -62.97740,  -0.12909,   0.09785, -16.57150
   0.03333,   0.00000,   0.00000,  -0.00000,  84.75620,  -4.35084,  -5.59530, 104.68400,  86.16510,-103.54100,  -0.36404,   1.86272,   2.29099, -12.63080,  -4.12822,   3.66401,   5.84391,  -4.66649,   8.16405, -81.98810, -23.57230, -85.60940,  33.32460, -72.89440,  20.91940,  25.09990,  -4.38318, -99.26180,  49.60090,   5.37291,  -1.48232,  97.47630, -23.96150, -87.09190,  23.02410, -55.98540,   9.11605,  17.47080,  -1.96889, -96.23120,  54.33740,   5.68107, -14.80940,-169.95200,  -5.86324, -14.23760,   0.06531,  -0.13719,  26.45640,  -4.31774,   0.18754, -67.22690,  -0.18063,  -0.15275, -16.44680,-168.44400,   4.62154, 169.33800,   0.06310,  -0.15768,  16.94780,   5.46942,  -6.16829, -62.32000,  -0.13277,   0.10022, -16.57140
   0.06667,   0.00000,   0.00000,  -0.00000,  85.00370,  -3.41688,  -7.53628, 105.15400,  86.13180,-104.14800,  -0.31480,   1.95099,   2.01624, -19.31250,  -5.15555,   3.24393,   3.58494,  -5.61745,   8.14067, -81.99790, -23.01090, -85.22000,  50.89010, -75.41500,  42.69620,  33.34640,  -4.10404, -96.23870,  86.45340,   5.43187,  -4.28208,  97.08560, -23.69860, -87.81480,  29.81570, -60.86100,  21.71740,  17.97800,  -0.36089, -91.14760,  84.30550,   5.67246, -22.53790,-170.37200,  -5.89712, -16.10040,   0.05100,  -0.11370,  25.60300,  -4.44732,   0.74651, -66.56810,  -0.04061,   0.03134, -16.57580,-168.40300,   5.93786, 167.59400,   0.05843,  -0.15390,  16.14980,   5.55095,  -5.40226, -61.96890,  -0.12896,   0.09657, -16.57160
   0.10000,   0.00000,   0.00000,  -0.00000,  85.61490,  -2.36416,  -8.42826, 110.19000,  86.46220,-109.57900,  -1.13774,   2.39411,   1.24684, -22.86800,  -5.66652,   2.01923,   3.63883,  -7.68970,   8.86317, -82.75300, -21.36230, -85.75640,  38.98340, -82.24510,  31.37710,  35.82200,   4.81959, -83.33740,  83.54190,   5.47333,  -5.66918,  96.03150, -22.83690, -89.77170,  29.65000, -67.39890,  25.56950,  18.29470,   4.96766, -75.28850,  76.59640,   5.68277, -22.53640,-170.96800,  -5.03575, -16.50250,   0.03486,  -0.07974,  24.51660,  -4.39121,   0.82407, -66.17880,  -0.06281,   0.04919, -16.57490,-168.82200,   7.11655, 166.93700,   0.05740,  -0.15579,  15.82910,   5.45819,  -5.17243, -62.14140,  -0.13493,   0.09997, -16.57160
   0.13333,   0.00000,   0.00000,  -0.00000,  86.40930,  -1.89552,  -7.47661, 116.32800,  86.78900,-116.22600,  -2.01350,   2.83876,   0.25506, -21.93360,  -6.01083,   1.26625,   4.42602,  -8.74032,   8.89406, -83.37070, -20.77750, -86.85990, -23.85200, -81.77630, -33.73880,  20.40890,  12.71020, -59.25560,  55.03540,   5.42481,  -2.66097,  94.83280, -22.08950, -92.32880,  16.22490, -75.47580,  11.32650,   7.38745,   6.41370, -48.85550,  47.38470,   5.60716,  -8.93837,-171.61300,  -3.62431, -14.34100,   0.02638,  -0.06065,  22.93780,  -4.49544,   0.14510, -65.99030,  -0.06058,   0.04785, -16.57500,-169.78400,   7.71303, 168.57900,   0.04976,  -0.13478,  15.37940,   5.27745,  -5.37986, -62.49510,  -0.13958,   0.10271, -16.57170
   0.16667,   0.00000,   0.00000,  -0.00000,  87.05950,  -2.11705,  -5.84675, 120.50000,  87.13890,-120.54800,  -2.83595,   2.90757,  -0.02349, -18.98240,  -5.23027,   1.01939,   4.85268,  -8.29020,   7.13777, -83.23210, -22.30310, -87.63540, -23.38360, -70.42690, -39.69790,   2.39391,   6.49244, -19.61530,  18.78000,   4.85868,  12.21860,  95.15820, -23.98120, -92.47820, -60.03140, -80.59170, -71.01550,  -1.58977, -11.32190,  -8.32443,  37.88470,   4.85693,  10.19960,-172.27900,  -2.75564, -11.00470,   0.02151,  -0.05233,  20.96180,  -4.55035,  -0.71428, -65.80450,  -0.06693,   0.05282, -16.57470,-170.84400,   7.91766, 171.46700,   0.03364,  -0.08722,  14.25130,   5.09506,  -5.40844, -62.61190,  -0.13580,   0.09992, -16.57180
   0.20000,   0.00000,   0.00000,  -0.00000,  87.36370,  -2.60336,  -4.95264, 126.26800,  87.61660,-126.26200,  -3.92538,   2.81740,   0.10890, -16.31080,  -4.17164,   1.52590,   5.30994,  -6.88191,   5.72443, -81.94610, -22.56340, -84.75580, -31.46820, -60.39550, -52.34500,  -0.12504,  12.26440,   0.01176, -11.27490,   4.74638,  12.72110,  96.13130, -24.04730, -90.23140,-106.32200, -68.58370,-118.64900,  -0.99029, -14.15630,   0.09759,  43.53930,   4.68788,  17.00950,-172.82800,  -3.22392,  -8.58811,   0.03713,  -0.10258,  19.21220,  -3.79782,  -0.87689, -64.64350,  -0.31829,  -0.36287, -17.21930,-171.56900,   7.76614, 175.20500,   0.00913,  -0.00959,  10.09650,   5.02984,  -5.03008, -61.22000,  -0.05326,   0.03931, -16.57300
   0.23333,   0.00000,   0.00000,  -0.00000,  87.39810,  -2.74436,  -4.33454, 132.99300,  88.26200,-132.68800,  -5.23216,   2.33303,   0.71707, -13.90410,  -3.33924,   1.68285,   7.65919,  -5.61515,   5.03932, -82.65900, -20.99860, -85.22640, -34.04080, -54.00080, -51.70190,   2.88438,  21.80610,  -7.75808,   4.34328,   4.75194,  11.97880,  96.62570, -22.58550, -88.17220, -77.08840, -60.83760, -91.08660,  -0.63780,  -8.61809,   0.06107,  46.40590,   4.70017,  15.09290,-172.90300,  -4.53681,  -7.47768,   0.03502,  -0.09488,  19.17520,  -3.54212,   0.16852, -63.63440,  -0.30005,  -0.41990, -18.62040,-171.98000,   9.11164, 176.70200,   0.00695,  -0.00096,   9.44256,   4.93320,  -3.47712, -60.51070,   0.02079,  -0.05358, -17.57460
   0.26667,   0.00000,   0.00000,  -0.00000,  87.24750,  -2.79331,  -3.36529, 132.52200,  88.42050,-132.03500,  -5.44841,   2.07636,   1.07359, -11.50020,  -3.57865,   2.63806,   8.02977,  -5.28213,   5.26931, -83.77000, -20.24930, -87.49500, -24.36300, -50.05320, -37.81230,   7.70355,  14.14520, -28.98220,  15.34940,   4.64089,  14.21810,  96.38240, -21.78980, -88.23070, -47.63450, -54.36860, -63.89190,  -0.61277,  -4.70855,  -7.51957,  44.15900,   4.80913,  11.06400,-172.55000,  -5.60758,  -6.53497,   0.03677,  -0.09236,  20.28790,  -3.57910,   1.41720, -64.33260,  -0.17689,  -0.29321, -19.01940,-172.12800,   9.34389, 177.72400,   0.00856,  -0.00539,  10.48440,   4.76807,  -3.31722, -61.64450,   0.03357,  -0.06063, -17.50700
   0.30000,   0.00000,   0.00000,  -0.00000,  87.00420,  -2.88676,  -2.86184, 129.23400,  88.28090,-128.62400,  -5.11562,   2.10381,   1.31409,  -9.87669,  -4.35080,   3.76281,   7.42394,  -5.58284,   6.52879, -84.18900, -19.34760, -87.92370, -11.03940, -47.39440, -25.28020,  10.10200,   8.94638, -48.89680,  18.90530,   4.67158,  13.66340,  96.25510, -20.94900, -87.95610, -26.76280, -50.04410, -45.13620,   0.79629,   1.49421, -27.15770,  36.14920,   5.01516,   6.95739,-172.18500,  -5.54137,  -6.40897,   0.04094,  -0.09457,  21.88880,  -3.91303,   1.53315, -65.97990,  -0.02026,  -0.07258, -18.68810,-171.86300,   7.59567, 178.07400,   0.01078,  -0.01001,  11.68430,   4.50155,  -5.17073, -63.47140,  -0.00388,   0.00285, -16.57390
