time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.36490,  -3.51259,  -0.44782,  84.49410,  84.38010, -85.78010,   3.41216,  -1.02836,  -2.53855,  -1.91832,  -3.06463,   3.71786, -14.75930,  -3.12759,   4.05441, -84.01500, -11.97010, -78.18310,  -8.70785, -44.40540, -13.39600,  49.30950,  -7.79802, -96.65420,  57.71550,   5.73480, -18.49330,  92.73840,  -8.36520, -86.80030,   1.37638, -42.41110,  -4.86700,  68.31920, -10.06130, -93.97090,  79.40410,   5.60612, -15.72660,-171.62900, -11.40950, -14.35300,   0.08402,  -0.11304,  32.55000,  -6.05863,   5.80841, -59.35660,   0.08218,  -0.13246, -18.91970, 176.44600,  17.92900, 166.81300,   0.06307,  -0.09563,  26.76050,   0.88135,   5.38832, -62.89910,  -0.57923,  -0.66744, -17.02330
   0.03333,   0.00000,   0.00000,  -0.00000,  89.87080,  -3.19454,  -1.12890,  84.66500,  84.08380, -85.72130,   4.00668,  -1.06389,  -2.07301,  -1.68117,  -2.71573,   2.78271, -17.49370,  -3.68340,   4.10000, -84.39070, -11.39490, -78.56790, -21.37440, -61.82360, -22.22320,  28.97300,  -5.34797, -99.56970,  60.06520,   5.70207, -16.22750,  92.28990,  -7.42135, -87.80000,  -2.53863, -60.36490,  -3.97104,  40.73320,  -4.97381, -95.73620,  57.61660,   5.63170, -10.29980,-171.57100,  -8.99899, -15.51140,   0.07462,  -0.09649,  33.18070,  -4.87086,   3.61249, -62.65460,   0.07095,  -0.11363, -18.59040, 177.12300,  18.79890, 163.24800,   0.08473,  -0.11510,  31.41220,   0.84497,   6.04100, -64.53080,  -0.72759,  -0.81671, -17.00160
   0.06667,   0.00000,   0.00000,  -0.00000,  89.90000,  -2.58114,  -2.47229,  84.11960,  84.49420, -85.11840,   3.17958,  -1.08700,  -1.96537,  -0.61758,  -2.72719,   2.29936, -17.78150,  -3.65827,   3.87837, -84.96610, -10.58490, -79.38130, -91.51850, -71.95100, -88.25680,   3.24569,  -0.68172,-101.55100,  44.34310,   5.30525,  -0.04603,  91.77660,  -5.98665, -88.43720, -41.06780, -81.11950, -40.96580,  21.27190,   0.02670, -89.78520,  33.56690,   4.96819,   7.86468,-172.05800,  -8.50010, -16.74390,   0.06356,  -0.08301,  32.64200,  -4.62007,   3.23862, -65.46760,  -0.55913,  -0.71596, -17.65640, 177.55500,  20.18400, 159.80700,   0.10464,  -0.13347,  34.46100,   0.77358,   6.75514, -65.48870,  -0.69083,  -0.77968, -17.03120
   0.10000,   0.00000,   0.00000,  -0.00000,  90.56000,  -1.74047,  -3.15773,  80.88930,  84.62670, -82.30040,   2.82745,  -1.63927,  -2.77894,   0.28049,  -2.48493,   2.38944, -17.44360,  -3.69487,   4.59974, -85.38390, -10.61260, -81.32740,-133.14600, -54.87960,-126.94300, -52.94310,   7.93377, -95.95560,  60.26020,   5.67885, -17.08720,  91.71740,  -6.08997, -89.21850,-139.28300, -71.02440,-136.99100, -26.93430,  -5.26521, -79.84920,  53.09790,   5.05405,   6.16370,-172.92800,  -8.71327, -17.92710,   0.06636,  -0.09073,  32.12340,  -4.54826,   4.16216, -64.35040,  -0.56512,  -0.71968, -17.62140, 177.25700,  20.59120, 157.30200,   0.12711,  -0.15944,  36.21630,   0.58908,   6.46259, -62.63420,  -0.62611,  -0.97078, -19.93010
   0.13333,   0.00000,   0.00000,  -0.00000,  90.40470,  -0.74174,  -2.98808,  78.08620,  84.40010, -79.44180,   3.16949,  -2.25523,  -2.64613,   1.01588,  -2.61562,   1.91199, -16.88630,  -3.53775,   4.23643, -85.58370, -11.07090, -83.08930,-140.40700, -41.74260,-129.55500, -55.98790,   6.73364, -94.51780,  70.02440,   5.67157, -18.45010,  91.80250,  -6.67060, -89.84200,-149.25900, -52.73550,-145.28700, -35.71680, -10.06330, -76.33880,  69.52570,   4.86623,   9.91635,-172.80000, -11.00210, -17.02450,   0.06206,  -0.09307,  29.61400,  -4.07668,   7.15905, -61.97240,  -0.38109,  -0.51865, -17.68920, 177.32500,  20.90740, 156.17600,   0.16242,  -0.20089,  37.36430,  -0.20077,   6.58234, -58.29230,   0.12226,  -0.49198, -19.89760
   0.16667,   0.00000,   0.00000,  -0.00000,  90.05150,  -1.12157,  -2.61312,  78.91710,  84.27080, -79.98860,   3.46145,  -2.15975,  -2.07553,   1.26964,  -2.88320,   1.59061, -15.83080,  -2.87261,   2.68469, -85.32280, -12.04430, -83.59090,-123.65200, -50.64880,-111.48300, -41.56150,   3.31309, -93.72630,  74.11120,   5.66006, -15.97800,  91.88200,  -7.10905, -90.13010,-134.72600, -56.19090,-130.52300, -23.78000,  -5.46022, -77.82820,  72.05120,   4.81771,  10.95370,-172.43100, -11.95220, -15.07270,   0.05055,  -0.08305,  26.50090,  -4.10072,   7.57212, -59.93680,  -0.30295,  -0.44559, -17.85070, 176.97000,  18.61920, 156.13400,   0.17853,  -0.22352,  37.32280,  -2.37202,   6.47721, -54.99590,   0.23494,  -0.27369, -19.22640
   0.20000,   0.00000,   0.00000,  -0.00000,  90.12250,  -2.04567,  -2.39349,  81.55080,  83.95310, -82.41450,   4.18552,  -1.74722,  -1.66182,  -0.32906,  -2.48538,   2.10997, -15.52720,  -1.98709,   1.14943, -84.79820, -12.36010, -81.95910, -75.01640, -56.57040, -69.66600, -40.77420,   1.10621, -91.28100,  53.22450,   5.62741, -11.35450,  92.14950,  -7.79556, -89.53260, -90.12900, -65.77900, -91.24210, -16.46460,  -2.02545, -83.19610,  59.33280,   4.91638,   8.96074,-172.44300, -11.91610, -14.22010,   0.04738,  -0.08027,  25.38900,  -4.26976,   6.69991, -59.00240,  -0.19177,  -0.34343, -18.06880, 176.10300,  14.69420, 157.21900,   0.14221,  -0.18596,  35.53220,  -2.29521,   5.22246, -56.79510,   0.15973,  -0.18325, -18.36160
   0.23333,   0.00000,   0.00000,  -0.00000,  90.61950,  -1.97272,  -2.23745,  82.41080,  83.63010, -83.02220,   4.85523,  -1.66377,  -1.15075,  -1.85120,  -1.96806,   2.27987, -16.15860,  -1.19317,   0.53076, -84.66620, -11.50120, -79.90830, -24.18000, -41.31900, -33.45590, -26.51850,   0.74082, -91.50790,  40.03510,   5.46207,  -5.06588,  92.85220,  -9.10109, -87.51840, -30.55250, -59.78130, -41.60680,  -4.81079,  -0.08118, -89.20770,  43.32970,   4.98063,   7.68485,-172.79400, -11.82690, -14.93350,   0.05539,  -0.08989,  26.87380,  -4.23042,   6.71881, -59.55980,   0.02275,  -0.10301, -17.93210, 175.18500,  13.02500, 159.02600,   0.10689,  -0.15315,  32.26710,  -0.76409,   1.87029, -57.73150,   0.15498,  -0.17762, -18.30740
   0.26667,   0.00000,   0.00000,  -0.00000,  90.88080,  -1.42823,  -2.05392,  83.51440,  83.19490, -83.96160,   5.75279,  -1.52564,  -0.81683,  -1.84251,  -2.35945,   3.88060, -18.44160,  -0.25406,   0.15097, -84.82820, -10.82520, -79.26910,  -3.39308, -30.89620, -21.71200,  37.66990,  -2.14370, -92.76370,  50.42550,   5.65131, -11.20180,  93.32580, -10.10850, -86.68050,   0.69831, -48.89460, -18.40190,  33.31190,  -2.41942, -93.64930,  39.54230,   5.31100,   0.20454,-172.72400, -11.82830, -16.95180,   0.07634,  -0.10993,  31.03940,  -4.19593,   7.51734, -61.80370,   0.04331,  -0.06828, -17.79230, 174.58900,  12.99230, 160.69300,   0.09745,  -0.14002,  31.26910,  -1.42782,   2.40196, -63.08310,  -0.10818,  -0.17027, -16.90310
   0.30000,   0.00000,   0.00000,  -0.00000,  90.05560,  -1.74755,  -2.34737,  88.42340,  83.01780, -88.41530,   6.19313,  -0.38324,   0.03702,  -1.73312,  -2.76978,   4.64562, -20.09170,  -0.33273,   0.74015, -84.97000, -10.62470, -79.48130,  -6.69912, -41.59170, -18.65220,  49.71160,  -2.16942, -91.84710,  71.27980,   5.68887, -23.10210,  93.40870,  -9.90592, -85.90230,   6.67951, -53.09980, -14.00220,  68.13780,  -1.30614, -90.53460,  74.30540,   5.64849, -18.80910,-171.52200, -12.15650, -20.07550,   0.11883,  -0.15036,  36.09200,  -4.85366,   8.02040, -63.21840,   0.05222,  -0.08274, -18.04760, 175.53700,  12.51590, 158.55500,   0.02820,  -0.02205,  34.41310,  -3.46661,   2.57148, -64.71760,  -0.06675,   0.04828, -16.57190
   0.33333,   0.00000,   0.00000,  -0.00000,  89.41830,  -3.33202,  -3.32629,  93.42870,  83.18190, -93.32000,   5.84563,   0.81160,   0.17569,  -1.44306,  -3.13993,   5.24898, -20.77550,  -1.01577,   3.45276, -85.10840, -10.47220, -79.78580, -27.36430, -63.36680, -28.91530,  24.26760,  -2.70454, -95.98280,  39.09510,   5.46656,  -2.40571,  92.84630,  -8.88008, -87.15020,  -3.43337, -65.63100, -17.08410,  44.09680,   0.80668, -89.16620,  59.27300,   5.66817, -13.90420,-170.90200, -13.28510, -23.44490,   0.18018,  -0.20772,  39.82750,  -6.01102,   7.93066, -61.72300,   0.10090,  -0.16442, -19.47620, 176.65500,  12.57540, 156.40500,   0.04819,  -0.05208,  35.21990,  -2.82939,   4.09228, -64.44530,  -0.06739,   0.04985, -16.57170
   0.36667,   0.00000,   0.00000,  -0.00000,  89.08170,  -2.93845,  -4.42533,  92.93030,  83.76560, -92.73510,   4.68581,   0.63103,   0.36432,  -0.51557,  -3.16729,   5.13337, -19.61320,  -3.03480,   6.12375, -85.63430,  -9.55735, -80.30770,-104.40900, -70.23370, -99.32960, -17.85060,   1.21843, -93.84600,  43.37110,   5.39620,  -1.77138,  91.84070,  -6.55201, -89.27280, -65.10950, -80.11690, -71.81060,  24.38420,   1.82843, -85.91550,  32.99770,   5.15745,   3.77338,-170.71800, -13.07220, -25.65380,   0.21492,  -0.24581,  40.59810,  -6.96423,   7.73027, -58.79220,   0.12017,  -0.19808, -20.05910, 177.53500,  13.40730, 156.36100,   0.05335,  -0.06440,  32.95970,  -2.58211,   4.39128, -63.27240,  -0.06701,   0.04932, -16.57170
   0.40000,   0.00000,   0.00000,  -0.00000,  89.15580,  -1.74679,  -3.55677,  90.18640,  83.97900, -90.01000,   4.27595,   0.03376,   0.35119,   0.88741,  -3.02852,   4.65693, -17.97880,  -4.20626,   6.84903, -86.29990,  -9.10192, -82.76450,-142.15000, -50.72460,-131.98100, -56.75110,   2.49379, -91.63470,  53.57770,   5.68063, -16.88410,  91.36320,  -5.19920, -90.28710,-133.14800, -69.12350,-134.68400, -14.64600,  -3.72250, -76.23380,  48.22360,   5.10832,   5.06851,-170.58900, -11.12610, -23.51430,   0.18645,  -0.22804,  38.47850,  -8.65107,   6.46715, -58.46150,   0.07910,  -0.12726, -18.82900, 177.11300,  13.92020, 159.71000,   0.04151,  -0.05045,  29.59020,  -2.94609,   3.76249, -62.28520,  -0.05688,   0.04116, -16.57220
   0.43333,   0.00000,   0.00000,  -0.00000,  89.12580,  -1.03312,  -2.16917,  87.42790,  84.05170, -87.61630,   4.11781,  -0.52707,  -0.35753,   1.33138,  -3.18681,   4.17001, -15.37390,  -4.42539,   7.70972, -86.32670,  -9.74154, -84.22180,-144.32900, -40.36120,-131.75300, -47.63630,   3.33240, -93.04190,  72.93910,   5.66967, -18.78720,  91.10580,  -4.53446, -91.27910,-149.95800, -55.91040,-146.78500, -35.21790, -14.41520, -70.58330,  60.37480,   5.00724,   6.99194,-170.74700, -10.05740, -19.50690,   0.12414,  -0.16573,  35.00160,  -7.68200,   5.85867, -59.99170,   0.09000,  -0.14571, -19.15090, 176.59400,  13.84520, 163.58900,   0.03772,  -0.04839,  26.50160,  -2.79176,   2.90975, -61.62570,  -0.22007,  -0.19250, -16.41370
   0.46667,   0.00000,   0.00000,  -0.00000,  88.85640,  -0.02545,  -1.25566,  82.30610,  84.34990, -82.56650,   3.43010,  -1.50122,  -0.47523,   1.46620,  -3.53347,   2.96550, -12.05270,  -3.99557,   6.88097, -86.23820, -10.31840, -84.84200,-127.00900, -47.19850,-115.77000, -37.55620,   2.91124, -93.77870,  72.72500,   5.67140, -17.55700,  91.17540,  -4.94022, -91.59920,-145.39500, -60.92370,-138.07100, -33.98860, -15.48040, -68.40440,  67.70680,   4.75552,  12.14340,-171.30000,  -9.92160, -16.09950,   0.07877,  -0.11220,  31.50370,  -4.52141,   3.55186, -60.66810,   0.09013,  -0.14595, -19.15510, 176.49000,  14.22130, 165.99300,   0.06385,  -0.10370,  25.41270,  -1.70734,   2.14465, -61.93110,  -0.16899,  -0.16021, -16.52020
   0.50000,   0.00000,   0.00000,  -0.00000,  89.05020,   0.30974,  -0.73741,  77.91330,  84.54890, -78.26130,   2.88979,  -2.26584,  -0.63815,   0.41336,  -3.36152,   1.50080,  -9.26833,  -3.75154,   5.49391, -85.78270, -11.05910, -83.97330, -85.41460, -54.13480, -81.84880, -36.65780,   0.85054, -91.13830,  56.95180,   5.66160, -14.76880,  91.31790,  -5.32430, -91.07640, -97.46260, -71.90650, -89.04610, -28.41420,  -9.97000, -72.26890,  62.46700,   4.83752,  10.52480,-171.91400,  -9.14600, -13.76290,   0.05240,  -0.07332,  29.41590,  -3.16204,   1.98214, -62.83440,  -0.04777,  -0.17639, -17.91410, 175.76900,  15.38800, 166.26600,   0.06967,  -0.10673,  26.94740,  -1.65732,   2.98208, -62.49970,  -0.36097,  -0.42668, -16.91420
