time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  80.35500, -26.38120, -27.86840, 146.27300,  86.35780,-148.69600,  -3.59406,   6.29502,  -4.65399, -19.55480,  -3.99848,   9.08877,  -1.12650,  -3.39828,  24.60440, -83.70770, -13.86800, -80.29570,  -2.27784, -79.95920, -58.58940,   9.91022,  26.21770, -21.57740,  67.72230,   5.39029,  -2.60475,  92.42600,  -8.78086, -89.48880,  -5.81962, -61.18240, -64.82110,   4.85925,  21.07000, -13.30760,  80.35810,   5.67153, -17.63180,-154.53700,  19.22200, -47.24590,   0.06232,  -0.11091,  39.33710, -12.60220, -24.39430, -65.32240,  -0.71649,  -1.39235, -21.09470,-154.23200,   5.09501, 148.54900,   0.07270,  -0.35030,  10.77450,  12.68750, -12.86540, -54.90810,  -0.19758,   0.13043, -16.56950
   0.03333,   0.00000,   0.00000,  -0.00000,  80.24750, -26.24920, -28.13760, 146.67500,  86.32830,-149.08100,  -3.60406,   6.37086,  -4.61615, -19.51870,  -3.92898,   9.21624,  -0.84801,  -3.23932,  24.83610, -83.68710, -13.90980, -80.28790,  -0.94939, -80.09380, -57.12840,  10.08960,  27.16360, -21.29380,  70.01550,   5.42176,  -3.65804,  92.35610,  -8.61765, -89.64540,  -8.71949, -61.90010, -66.98440,   4.42187,  18.98380, -13.37480,  81.20940,   5.66940, -17.29950,-154.29200,  19.07530, -47.72420,   0.05862,  -0.10479,  39.54680, -12.37830, -24.38880, -65.05640,  -0.81515,  -1.49936, -21.15760,-153.70200,   5.64544, 148.28900,   0.07006,  -0.34199,  10.61180,  12.81760, -12.19300, -54.90250,  -0.20082,   0.13253, -16.56950
   0.06667,   0.00000,   0.00000,  -0.00000,  80.20860, -26.03570, -28.25920, 146.75100,  86.25990,-149.15300,  -3.53493,   6.48892,  -4.60847, -19.54930,  -3.93173,   9.23116,  -0.47926,  -3.21056,  25.12830, -83.68360, -13.91230, -80.27990,  -1.21903, -80.13520, -57.44550,   9.46427,  26.14840, -20.71970,  70.90560,   5.40835,  -3.21087,  92.33440,  -8.56949, -89.69950, -12.10180, -62.57030, -69.53290,   3.45882,  15.74760, -12.55710,  81.56860,   5.66483, -16.65360,-154.09900,  19.07520, -48.06840,   0.05205,  -0.09771,  39.70010, -12.19400, -24.41480, -64.90990,  -0.88767,  -1.57712, -21.14220,-153.57800,   5.58180, 148.05000,   0.07174,  -0.34923,  10.66450,  12.86800, -12.34800, -54.84810,  -0.19656,   0.12948, -16.56950
   0.10000,   0.00000,   0.00000,  -0.00000,  80.14260, -25.78820, -28.39150, 147.07600,  86.21790,-149.47000,  -3.52364,   6.58148,  -4.59103, -19.48650,  -3.96055,   9.27362,  -0.12551,  -3.20173,  25.48640, -83.66150, -13.90510, -80.19210,  -7.09888, -80.35550, -63.32410,   8.44942,  23.71580, -20.27130,  70.33590,   5.37841,  -2.24127,  92.32740,  -8.55029, -89.71080, -15.24700, -62.91020, -71.83020,   2.26352,  11.19630, -11.50860,  81.63020,   5.65732, -15.74850,-153.83900,  19.11630, -48.34540,   0.05089,  -0.09614,  39.74640, -12.17250, -24.43030, -64.90990,  -0.91782,  -1.59441, -21.04450,-153.48000,   5.40711, 147.89400,   0.07138,  -0.35102,  10.58020,  12.92550, -12.63180, -54.70650,  -0.19162,   0.12593, -16.56960
   0.13333,   0.00000,   0.00000,  -0.00000,  80.11980, -25.52140, -28.45630, 146.93200,  86.19670,-149.31700,  -3.48456,   6.60501,  -4.57505, -19.40340,  -4.02593,   9.38070,   0.20715,  -3.19441,  25.72680, -83.65930, -13.88540, -80.15390, -14.71420, -80.52590, -70.79080,   7.30156,  20.17170, -20.38460,  68.90070,   5.30970,  -0.19238,  92.31460,  -8.50954, -89.72200, -18.95860, -63.17650, -74.60740,   1.20710,   6.38262, -10.73870,  81.25870,   5.64591, -14.63310,-153.59400,  19.26170, -48.57720,   0.05402,  -0.10013,  39.78630, -12.12230, -24.41520, -64.95540,  -0.90460,  -1.58531, -20.93860,-153.35500,   5.40947, 147.67900,   0.07292,  -0.35547,  10.67310,  12.96350, -12.76770, -54.69220,  -0.18095,   0.11859, -16.56980
   0.16667,   0.00000,   0.00000,  -0.00000,  80.07300, -25.27010, -28.50630, 146.70100,  86.17570,-149.08500,  -3.43554,   6.62223,  -4.57402, -19.30130,  -4.15876,   9.44932,   0.50895,  -3.23960,  26.06100, -83.61880, -13.96170, -80.13100, -23.32400, -80.57050, -79.14940,   5.73868,  15.37660, -20.75810,  67.53330,   5.22900,   1.98983,  92.29360,  -8.44038, -89.73720, -22.10480, -63.25950, -76.86930,   0.23696,   1.32476, -10.16360,  80.70430,   5.62830, -13.19980,-153.41800,  19.31180, -48.73950,   0.05203,  -0.09741,  39.78680, -11.97980, -24.41080, -64.92840,  -0.88234,  -1.55318, -20.85840,-153.42900,   5.02683, 147.64600,   0.07115,  -0.35204,  10.51640,  12.99670, -13.33520, -54.45870,  -0.18373,   0.12016, -16.56970
   0.20000,   0.00000,   0.00000,  -0.00000,  80.00310, -25.08920, -28.56750, 146.48700,  86.18200,-148.86700,  -3.41926,   6.59534,  -4.56740, -19.11410,  -4.28523,   9.53247,   0.75898,  -3.24878,  26.37790, -83.57050, -14.03500, -80.07700, -33.98560, -80.42330, -89.63580,   4.20828,  10.98620, -21.11350,  66.46720,   5.14245,   4.12793,  92.26790,  -8.38705, -89.80930, -25.72360, -63.22150, -79.71500,  -0.68729,  -4.08299,  -9.55381,  80.06480,   5.60814, -11.83630,-153.29600,  19.25610, -48.88280,   0.05419,  -0.09893,  39.84060, -12.01850, -24.31640, -64.98090,  -0.85793,  -1.52160, -20.79330,-153.26900,   5.08954, 147.48700,   0.07270,  -0.35709,  10.60700,  13.01810, -13.35470, -54.47180,  -0.18467,   0.12059, -16.56970
   0.23333,   0.00000,   0.00000,  -0.00000,  79.94100, -24.95740, -28.57060, 146.38000,  86.16300,-148.75600,  -3.38599,   6.61812,  -4.56143, -19.02650,  -4.34882,   9.55087,   1.08393,  -3.35624,  26.68630, -83.52970, -14.10870, -80.04960, -45.26970, -79.93140,-100.78000,   2.86873,   7.26988, -21.60610,  65.41920,   5.05364,   6.16514,  92.25240,  -8.35647, -89.85620, -30.18540, -63.14960, -83.34630,  -1.58125,  -9.70674,  -9.29381,  79.28390,   5.57384,  -9.87470,-153.18700,  19.28690, -48.98990,   0.05435,  -0.09825,  39.94480, -11.97520, -24.30120, -65.01140,  -0.87787,  -1.53074, -20.73130,-153.31700,   4.84974, 147.34000,   0.07661,  -0.36907,  10.83560,  12.98920, -13.72140, -54.47690,  -0.19216,   0.12539, -16.56960
   0.26667,   0.00000,   0.00000,  -0.00000,  79.82220, -24.93620, -28.65020, 146.60900,  86.13940,-148.98300,  -3.38454,   6.67419,  -4.55637, -18.98840,  -4.40237,   9.59377,   1.37466,  -3.39322,  26.93600, -83.47870, -14.20180, -80.01710, -54.68360, -79.27780,-110.02900,   1.70232,   4.16657, -22.24890,  63.93730,   4.95814,   8.20428,  92.21110,  -8.29358, -90.01510, -35.48760, -63.14200, -87.88570,  -2.51325, -15.60110,  -9.26624,  78.19350,   5.53102,  -7.82971,-153.03300,  19.25500, -49.12330,   0.05558,  -0.10110,  40.07000, -12.06990, -24.25840, -65.02180,  -0.83514,  -1.50074, -20.79340,-153.29700,   4.61980, 147.27000,   0.07782,  -0.37391,  10.87800,  12.99630, -13.91900, -54.40730,  -0.18590,   0.12131, -16.56960
   0.30000,   0.00000,   0.00000,  -0.00000,  79.72840, -24.93920, -28.73350, 146.89100,  86.12650,-149.27000,  -3.40131,   6.71753,  -4.56400, -18.95030,  -4.43787,   9.66725,   1.60164,  -3.43780,  27.13420, -83.45820, -14.20620, -79.95440, -60.93890, -78.59830,-116.40000,   0.71425,   1.70908, -22.68860,  63.17210,   4.87213,   9.93049,  92.19160,  -8.29876, -90.15010, -42.04750, -62.97250, -93.54370,  -3.40631, -21.04140,  -9.41037,  77.25390,   5.48352,  -5.87104,-152.91100,  19.24280, -49.26570,   0.05744,  -0.10348,  40.19640, -12.20310, -24.29710, -65.11430,  -0.84873,  -1.50773, -20.75410,-153.20300,   4.60037, 147.06200,   0.08230,  -0.38587,  11.15950,  12.97020, -13.91230, -54.51500,  -0.18998,   0.12405, -16.56950
