time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  92.10110,  -6.87884,  -2.58065, 128.24100,  87.98650,-128.87000,  -4.59127,   2.55813,  -1.15615,  -5.99672,   0.33968,  -1.98741,   2.97055,  -4.59213,  -3.25668, -90.81550,   3.61627, -92.28360, -72.19610,  -7.33605,   8.56467,   0.15903,   7.66172,  -1.19220,   8.98582,   5.29199,   0.29465,  89.33260,   4.90150, -97.23630, -72.15650, -12.12040,  15.40620,  -0.04102,   7.99392,   0.00376,  14.47390,   5.38222,  -2.13219, 174.81300,   4.76461, -16.13470,   0.03024,  -0.05069,  20.33720,   3.46735,  -5.89989, -57.11760,   0.04779,  -0.05346, -17.10010,-176.47300,  12.46380, 172.81800,  -0.03467,   0.14386,  19.43100,   0.00979, -19.85820, -67.30920,  -0.14183,   0.07961, -16.57430
   0.03333,   0.00000,   0.00000,  -0.00000,  92.03930,  -6.59979,  -2.43756, 126.40900,  87.99050,-127.07700,  -4.51908,   2.45500,  -1.24115,  -5.65003,  -0.25005,  -1.97981,   2.90591,  -5.34344,  -2.88615, -90.78720,   3.50566, -92.33720, -72.27170,  -6.86493,   8.29043,   0.21226,   8.05030,  -1.51480,  10.09170,   5.28860,   0.38969,  89.32190,   4.92537, -97.15170, -72.42230, -12.21010,  15.75330,  -0.06316,   7.54248,   0.00584,  14.19930,   5.39249,  -2.31881, 174.97900,   5.30502, -16.40190,   0.02442,  -0.03467,  21.01370,   3.31917,  -6.16753, -57.34510,   0.04575,  -0.05116, -17.07760,-176.33200,  12.29450, 172.61000,  -0.04539,   0.16901,  20.00330,  -0.07779, -20.32390, -67.57200,  -0.14077,   0.07857, -16.57440
   0.06667,   0.00000,   0.00000,  -0.00000,  91.98560,  -6.31740,  -2.27604, 124.07600,  87.98590,-124.75800,  -4.41721,   2.32758,  -1.27543,  -5.38003,  -0.66435,  -1.96395,   2.91886,  -5.80697,  -2.64506, -90.72320,   3.24692, -92.43720, -72.64150,  -6.73057,   7.70122,   0.23971,   8.33864,  -1.65222,  10.67420,   5.28985,   0.35568,  89.34630,   4.70567, -97.08340, -72.76360, -12.89150,  15.76860,  -0.09243,   6.90144,   0.00855,  14.11160,   5.40113,  -2.40596, 175.09400,   5.52171, -16.70470,   0.01922,  -0.02115,  21.74840,   3.23232,  -6.11867, -57.59470,   0.03919,  -0.04377, -17.00570,-176.20200,  12.25230, 172.32600,  -0.05446,   0.18497,  20.70260,  -0.17388, -20.71930, -67.87960,  -0.14596,   0.08102, -16.57430
   0.10000,   0.00000,   0.00000,  -0.00000,  91.86540,  -6.07732,  -1.98892, 121.63300,  87.91520,-122.27600,  -4.20463,   2.25234,  -1.20482,  -5.12199,  -0.90251,  -1.93807,   2.80996,  -6.05612,  -2.60473, -90.66970,   3.05637, -92.63530, -73.16560,  -6.21341,   6.94427,   0.28582,   8.36971,  -1.96259,  10.76890,   5.28705,   0.43232,  89.36350,   4.55915, -97.04270, -72.91940, -13.74010,  15.71820,  -0.08275,   6.01109,   0.00761,  13.62630,   5.38149,  -1.85071, 175.24900,   5.58600, -16.88720,   0.01519,  -0.01123,  22.53270,   3.15903,  -5.98804, -57.89050,   0.04319,  -0.04828, -17.04960,-176.05500,  12.18050, 172.25500,  -0.06422,   0.20324,  21.31760,  -0.26203, -21.03470, -68.16580,  -0.14125,   0.07811, -16.57440
   0.13333,   0.00000,   0.00000,  -0.00000,  91.73420,  -5.77761,  -1.67672, 118.62000,  87.85350,-119.21800,  -3.98763,   2.11625,  -1.12193,  -4.81090,  -1.04304,  -1.88418,   2.60064,  -5.99468,  -2.50064, -90.63570,   2.94970, -92.83480, -73.68510,  -5.78856,   6.25729,   0.43285,   8.64904,  -2.87470,  11.31190,   5.28992,   0.35201,  89.33170,   4.75011, -96.98410, -72.88250, -13.65730,  15.67870,  -0.00472,   5.52849,   0.00037,  12.57320,   5.33659,  -0.95701, 175.40300,   5.76775, -17.16130,   0.01170,  -0.00314,  23.47410,   3.08834,  -5.90383, -58.21820,   0.03786,  -0.04228, -16.99110,-175.88800,  12.06880, 172.04600,  -0.07234,   0.21546,  22.16450,  -0.40539, -21.46750, -68.53810,  -0.13731,   0.07554, -16.57440
   0.16667,   0.00000,   0.00000,  -0.00000,  91.73460,  -5.71345,  -1.27623, 116.12300,  87.75430,-116.72400,  -3.72363,   2.03660,  -1.13579,  -4.64323,  -0.88946,  -1.82404,   2.62763,  -5.58799,  -2.29459, -90.61540,   2.99156, -93.37120, -74.06090,  -6.16332,   6.33201,   0.88639,   8.59717,  -5.91338,  12.58840,   5.26246,   1.09706,  89.27930,   5.23518, -97.15030, -72.72340, -12.92040,  15.92470,   0.22637,   5.39254,  -2.42005,  12.20640,   5.31406,  -0.32595, 175.38000,   5.73479, -17.31690,   0.01060,   0.00044,  24.32310,   3.04642,  -5.87528, -58.51130,   0.03875,  -0.04328, -17.00080,-175.89800,  11.78490, 171.80400,  -0.08317,   0.23035,  23.19970,  -0.60181, -21.88960, -68.97970,  -0.14631,   0.08033, -16.57450
   0.20000,   0.00000,   0.00000,  -0.00000,  91.96060,  -5.90680,  -0.71489, 112.96400,  87.52730,-113.65500,  -3.20110,   1.99465,  -1.32531,  -4.76370,  -0.38384,  -1.69515,   2.50377,  -4.56946,  -2.02787, -90.57760,   3.01736, -94.15780, -74.50530,  -7.14313,   7.08848,   1.46596,   6.94488, -11.95230,  15.11100,   5.26576,   1.02265,  89.23830,   5.73471, -97.41990, -72.43770, -12.31610,  15.87480,   0.44620,   4.00366,  -6.39706,  12.94500,   5.31316,  -0.30033, 175.09900,   5.37924, -17.18400,   0.00925,   0.00400,  24.82410,   3.05920,  -5.71412, -58.62840,   0.03591,  -0.04009, -16.96970,-176.20000,  11.50260, 171.64400,  -0.09521,   0.24679,  24.29010,  -0.75129, -22.04270, -69.38840,  -0.13784,   0.07596, -16.57440
   0.23333,   0.00000,   0.00000,  -0.00000,  92.07980,  -6.24034,  -0.23922, 108.46500,  87.32680,-109.16700,  -2.68427,   1.75673,  -1.36368,  -5.00943,   0.75743,  -1.38050,   2.23971,  -2.33582,  -2.03097, -90.54760,   2.94269, -94.45340, -74.85800,  -7.88372,   8.06924,   2.82856,   7.29472, -21.24780,  18.15950,   5.36288,  -1.75184,  89.28070,   5.25873, -97.19960, -72.45050, -12.34330,  14.34110,   0.29117,   1.49144, -11.12730,  15.78870,   5.31549,  -0.35596, 174.89300,   4.44197, -16.94870,   0.01242,  -0.00114,  24.89540,   3.18429,  -5.20238, -58.52730,   0.02385,  -0.02656, -16.83760,-176.42500,  11.63430, 171.65600,  -0.10770,   0.26725,  24.82680,  -0.65070, -21.63810, -69.43970,  -0.13973,   0.07753, -16.57440
   0.26667,   0.00000,   0.00000,  -0.00000,  92.10730,  -6.80791,  -0.13597, 105.89300,  87.34550,-106.55700,  -2.65130,   1.51364,  -1.29287,  -5.09371,   2.39343,  -1.09505,   2.26554,   0.58235,  -1.88896, -90.45340,   2.37757, -94.19900, -74.79660,  -8.67272,   8.14187,   4.94173,   8.16255, -31.32520,  18.72100,   5.44265,  -4.36645,  89.45750,   3.82642, -96.92390, -72.64130, -12.96550,  12.62810,   0.01326,   0.04672, -18.72810,  19.60390,   5.36027,  -1.65747, 174.79300,   3.04043, -16.47410,   0.01580,  -0.00906,  23.76480,   3.41837,  -4.32492, -57.86450,   0.02266,  -0.02523, -16.82450,-176.56600,  12.34650, 171.92400,  -0.09883,   0.25268,  24.07880,  -0.13584, -20.40730, -68.75200,  -0.15378,   0.08630, -16.57450
   0.30000,   0.00000,   0.00000,  -0.00000,  92.03670,  -7.82764,  -0.65493, 111.62700,  87.62360,-112.27000,  -3.33821,   1.81304,  -1.23198,  -5.16255,   4.02673,  -0.81407,   2.96344,   3.24659,  -1.44050, -90.27940,   1.41573, -93.83370, -74.30090, -10.69560,   7.01037,   8.15166,   9.30063, -41.53230,  22.45620,   5.45353,  -4.78489,  89.70070,   2.12138, -96.96770, -72.64100, -11.52770,  12.08230,   0.29705,   0.50299, -30.32720,  25.73070,   5.41342,  -3.33964, 174.83600,   1.50723, -15.88820,   0.01786,  -0.01817,  21.19300,   3.62058,  -3.66971, -56.51140,   0.02669,  -0.02975, -16.86870,-176.46000,  12.55730, 172.28000,  -0.07485,   0.22302,  21.84010,   0.64760, -19.12930, -67.23060,  -0.14871,   0.08510, -16.57430
