time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.35400, -24.16720,   2.26006, 156.14400,  85.93180,-155.54900,  -4.53320,   7.37126,   1.48330, -14.45800,   8.88555,  -2.24362,  -2.20884,   6.30363,  -1.92599, -87.04100,  -6.94460, -81.85240,   5.21707, -65.32220, -41.29020,  18.91860,  20.29960, -44.65070,  59.06690,   5.56749,  -9.56245,  93.68620, -12.68870, -88.65340, -21.35850, -59.97110, -74.25300,   6.42816,   9.57715, -34.09370,  52.30660,   5.68239, -21.74830,-179.40500, -11.01640, -20.28430,  -0.01046,   0.02320,  28.69600,   2.43118,  -8.84127, -55.81320,   0.06638,  -0.07455, -17.30490,-170.70200,  20.93670, 173.79600,   0.11294,  -0.18574,  24.42170,   1.29656, -22.72520, -68.96800,  -0.10394,   0.04705, -16.57420
   0.03333,   0.00000,   0.00000,  -0.00000,  87.36320, -23.82010,   2.24971, 156.71200,  85.92200,-156.27600,  -4.59022,   7.43796,   1.17241, -14.62520,   8.77945,  -2.54659,  -2.66644,   5.92609,  -1.73801, -86.88050,  -7.27377, -81.71070,   1.37394, -65.84540, -44.74430,  14.45850,  18.53890, -39.03200,  55.53070,   5.55151,  -8.72037,  93.80300, -13.16080, -88.72470, -25.38810, -60.57300, -76.93390,   3.43408,   7.03963, -26.07680,  49.03000,   5.67861, -18.70810,-179.35200, -10.60110, -20.34520,  -0.01094,   0.02310,  28.86790,   2.32701,  -8.90914, -55.92660,   0.06895,  -0.07746, -17.33330,-170.66300,  21.31800, 173.85000,   0.11120,  -0.18239,  24.39700,   1.28587, -22.71590, -69.09740,  -0.09574,   0.04300, -16.57400
   0.06667,   0.00000,   0.00000,  -0.00000,  87.43300, -23.51410,   2.15792, 157.97900,  85.91990,-157.72500,  -4.74494,   7.53008,   0.82169, -14.87490,   8.68092,  -2.86995,  -2.90155,   5.43353,  -1.56618, -86.66740,  -7.63041, -81.32050,  -4.69249, -66.60080, -50.82040,   8.97439,  14.18580, -32.78490,  48.27170,   5.47059,  -5.23740,  93.88140, -13.62280, -88.93040, -32.93300, -61.18150, -82.60170,   1.59827,   4.88346, -18.12430,  45.55740,   5.62732, -12.99720,-179.36300, -10.20150, -20.41090,  -0.01347,   0.02879,  28.85230,   2.22655,  -8.96445, -55.95160,   0.06310,  -0.07081, -17.26870,-170.65000,  21.52060, 173.83400,   0.10679,  -0.17399,  24.27040,   1.26803, -22.79340, -69.14340,  -0.10041,   0.04483, -16.57410
   0.10000,   0.00000,   0.00000,  -0.00000,  87.50760, -23.27580,   2.08203, 159.43900,  85.89440,-159.33100,  -4.91302,   7.66857,   0.54523, -15.08590,   8.72022,  -3.30817,  -2.88656,   4.90252,  -1.52798, -86.64210,  -7.59831, -81.07160, -11.05400, -67.41050, -58.48580,   6.07929,  12.27140, -26.61100,  40.08600,   5.23859,   1.97244,  94.03630, -14.09050, -88.83610, -44.78820, -61.09790, -92.55160,   0.03378,   0.16226, -11.06070,  44.28530,   5.44241,  -4.41040,-179.42200,  -9.90302, -20.42030,  -0.01332,   0.02888,  28.76040,   2.17507,  -9.08042, -55.95120,   0.06580,  -0.07386, -17.29830,-170.66200,  21.60200, 173.87000,   0.10184,  -0.16492,  24.09520,   1.22451, -22.94610, -69.16010,  -0.10655,   0.04730, -16.57400
   0.13333,   0.00000,   0.00000,  -0.00000,  87.60890, -23.07530,   2.03745, 160.55900,  85.91590,-160.59300,  -5.06988,   7.69811,   0.27439, -15.20440,   8.83983,  -3.55072,  -2.89291,   4.81282,  -1.69992, -86.59070,  -7.65792, -80.91230, -16.94650, -68.22910, -65.68500,   5.39053,  12.61460, -23.36750,  30.37920,   4.64535,  14.36900,  94.13570, -14.26070, -88.64110, -55.77780, -59.94090,-101.68000,  -0.61200,  -4.05060,  -8.59142,  46.26590,   4.83660,  10.42900,-179.46900,  -9.55855, -20.44100,  -0.01448,   0.03050,  28.76850,   2.08444,  -9.16286, -56.01040,   0.05996,  -0.06725, -17.23410,-170.72300,  21.74090, 173.86300,   0.09839,  -0.15787,  24.06530,   1.17302, -22.98650, -69.24920,  -0.10646,   0.04708, -16.57410
   0.16667,   0.00000,   0.00000,  -0.00000,  87.68630, -22.99380,   2.11893, 161.17200,  85.96030,-161.27500,  -5.17672,   7.65033,   0.13951, -15.09750,   9.11702,  -3.93608,  -3.00205,   4.99768,  -1.73013, -86.59450,  -7.65232, -80.92100, -21.79030, -68.73370, -71.62130,   5.48578,  12.92410, -23.23830,  21.73250,   3.71864,  28.20520,  94.17700, -14.17700, -88.39610, -58.65240, -58.98970,-104.19000,  -1.40591,  -9.31632,  -8.61394,  48.11600,   4.21021,  21.16880,-179.48000,  -9.40937, -20.33430,  -0.01405,   0.03043,  28.83460,   2.00599,  -9.19199, -56.12200,   0.06241,  -0.07002, -17.26100,-170.82400,  21.88780, 174.02800,   0.09791,  -0.15718,  24.03070,   1.14014, -22.93900, -69.34430,  -0.10643,   0.04698, -16.57410
   0.20000,   0.00000,   0.00000,  -0.00000,  87.72350, -23.05830,   2.28195, 161.42600,  86.04370,-161.55300,  -5.26184,   7.50640,   0.09023, -15.06950,   9.52580,  -4.21164,  -2.66484,   5.39078,  -1.73951, -86.61020,  -7.60321, -80.88280, -24.87740, -68.71070, -75.88300,   5.28152,  12.05900, -23.86910,  18.82510,   3.37268,  32.55910,  94.21230, -14.13030, -88.21190, -57.46370, -58.02460,-102.93400,  -1.73767,  -9.66136, -10.24740,  42.57960,   4.15136,  22.01090,-179.47100,  -9.55266, -20.19780,  -0.01383,   0.02907,  29.04510,   1.96497,  -9.18286, -56.32080,   0.05665,  -0.06350, -17.19760,-170.94700,  21.95900, 174.24400,   0.09826,  -0.15643,  24.13740,   1.08670, -22.83280, -69.50350,  -0.10526,   0.04653, -16.57400
   0.23333,   0.00000,   0.00000,  -0.00000,  87.73580, -23.22230,   2.47385, 161.44400,  86.09770,-161.55900,  -5.29902,   7.40345,   0.11235, -14.95690,   9.98658,  -4.60478,  -2.37664,   5.69096,  -1.76432, -86.58930,  -7.62361, -80.80850, -25.79260, -68.10140, -77.49990,   6.05038,  12.13530, -26.75310,  19.55590,   3.67936,  28.61830,  94.19410, -14.10850, -88.25660, -51.10100, -57.50530, -97.18750,  -1.27919,  -4.84242, -14.85110,  36.95440,   4.28437,  20.02110,-179.41500,  -9.72629, -20.03760,  -0.01163,   0.02645,  29.27630,   1.90517,  -9.18002, -56.51910,   0.04992,  -0.05587, -17.12350,-171.06200,  21.92440, 174.48900,   0.09869,  -0.15631,  24.25610,   1.04354, -22.72700, -69.64240,  -0.10106,   0.04481, -16.57410
   0.26667,   0.00000,   0.00000,  -0.00000,  87.77040, -23.44580,   2.69677, 160.98700,  86.10550,-161.08500,  -5.24577,   7.36676,   0.14042, -14.86260,  10.36430,  -4.89027,  -2.23455,   6.07758,  -1.99584, -86.62250,  -7.57439, -80.88000, -24.17010, -67.40910, -76.51510,   8.54763,  13.85440, -32.10870,  20.94030,   4.03576,  23.73080,  94.07610, -13.96390, -88.54760, -43.54110, -57.02030, -90.99580,  -0.17656,  -0.46206, -21.04800,  35.80480,   4.47153,  17.07360,-179.37100,  -9.86634, -19.83380,  -0.01026,   0.02442,  29.45840,   1.83582,  -9.26873, -56.68500,   0.05196,  -0.05819, -17.14600,-171.20200,  21.93640, 174.74900,   0.10137,  -0.16106,  24.36640,   1.04076, -22.53900, -69.75830,  -0.10000,   0.04454, -16.57410
   0.30000,   0.00000,   0.00000,  -0.00000,  87.81910, -23.66730,   2.92520, 160.45200,  86.10480,-160.55500,  -5.17586,   7.34496,   0.12672, -14.81970,  10.69810,  -5.03532,  -2.03284,   6.55003,  -2.15751, -86.71620,  -7.44249, -81.10880, -22.00370, -66.91300, -75.16430,  10.62260,  14.10590, -37.58030,  23.29700,   4.46569,  17.21030,  94.02120, -14.00150, -88.79840, -39.53670, -56.24060, -87.62830,   0.62369,   1.13767, -28.73090,  36.40630,   4.72968,  12.61760,-179.32900, -10.00540, -19.61600,  -0.00916,   0.02287,  29.59720,   1.76383,  -9.33142, -56.81960,   0.06011,  -0.06741, -17.23570,-171.32500,  21.72040, 174.99900,   0.10290,  -0.16262,  24.46200,   1.00358, -22.55930, -69.85410,  -0.10432,   0.04672, -16.57410
   0.33333,   0.00000,   0.00000,  -0.00000,  87.85620, -23.89950,   2.99270, 160.15100,  86.09600,-160.26400,  -5.13042,   7.34870,   0.10314, -14.95240,  11.02580,  -5.13809,  -1.94293,   6.80526,  -2.23924, -86.82090,  -7.28144, -81.33520, -20.62680, -66.58050, -74.52200,  11.13940,  12.85210, -41.51710,  28.07880,   5.01196,   7.23546,  93.96650, -14.16470, -89.17970, -36.34930, -55.83770, -84.39450,   1.43110,   1.85894, -37.61640,  36.54190,   5.03577,   6.54943,-179.29700, -10.08790, -19.51020,  -0.00897,   0.02252,  29.60570,   1.68850,  -9.45910, -56.86640,   0.05941,  -0.06662, -17.22800,-171.37500,  21.59140, 175.12800,   0.10421,  -0.16642,  24.42130,   1.03435, -22.48650, -69.85470,  -0.10709,   0.04820, -16.57400
