time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.44750,  -5.92149,  11.62590,  99.16810,  80.66000, -98.14320,  10.66000,   2.98111,   1.77070,   3.23120,   0.78346,  -1.66156,  18.01550,  -2.90918,  -2.48517, -89.19040,  -6.03049, -97.33950, -77.98980,  11.84470,  -4.35346,  27.91000, -18.61550,-121.07500,  39.70520,   5.40887,  -3.23381,  90.22260,  -5.93494,-102.84800, -79.11700,  16.82930,  -9.36061,  27.09320, -13.08480,-113.87300,  61.46770,   5.55787,  -9.09453,-175.07300,  15.11350, -10.57210,  -0.01146,   0.03762,  30.67630,  -2.97958,   9.33793, -59.83620,   0.05576,  -0.06251, -17.18810,-170.28400,  -1.85295,-179.93200,   0.08464,  -0.10459,  28.21690,   5.28176,  -8.23551, -66.46130,   0.01231,  -0.01276, -16.67250
   0.03333,   0.00000,   0.00000,  -0.00000,  87.43560,  -5.97601,  11.69580,  99.31500,  80.65110, -98.29400,  10.66960,   3.03085,   1.75809,   3.32471,   0.71923,  -1.56748,  18.08460,  -3.00945,  -2.46521, -89.21550,  -5.78285, -97.26090, -78.21270,  10.24350,  -4.50221,  23.65840, -16.04060,-122.24000,  42.92530,   5.37173,  -2.08235,  90.22490,  -5.93864,-102.82700, -79.08140,  16.51420,  -9.01409,  35.09830, -15.78650,-111.16400,  61.84020,   5.60442, -11.59720,-175.08400,  14.98640, -10.47440,  -0.01024,   0.03611,  30.74420,  -2.92362,   9.43005, -59.91810,   0.06074,  -0.06812, -17.24260,-170.28000,  -1.83318,-179.80700,   0.08443,  -0.10422,  28.21180,   5.28860,  -8.16238, -66.50850,   0.00644,  -0.00665, -16.62540
   0.06667,   0.00000,   0.00000,  -0.00000,  87.45830,  -6.04454,  11.72730,  99.63920,  80.65440, -98.64010,  10.64630,   3.13272,   1.70539,   3.43466,   0.66157,  -1.42813,  18.23180,  -3.16774,  -2.41154, -89.21860,  -5.58896, -97.02760, -78.33130,   8.62916,  -4.95412,  21.11730, -14.41170,-122.79900,  45.87730,   5.28613,   0.43892,  90.22780,  -5.83503,-102.76000, -79.19620,  15.73900,  -8.63294,  40.43680, -17.22470,-109.16200,  63.26540,   5.62278, -12.83610,-175.11900,  14.87300, -10.41860,  -0.00989,   0.03488,  30.78970,  -2.88342,   9.46223, -59.97700,   0.05384,  -0.06032, -17.16670,-170.30400,  -1.83415,-179.75300,   0.08655,  -0.10805,  28.23510,   5.28570,  -8.14005, -66.55400,  -0.00799,   0.00646, -16.57360
   0.10000,   0.00000,   0.00000,  -0.00000,  87.47030,  -6.05469,  11.68580, 100.09300,  80.68450, -99.11830,  10.56200,   3.26602,   1.64665,   3.55544,   0.58728,  -1.37732,  18.36890,  -3.33886,  -2.18632, -89.20370,  -5.50532, -96.75690, -77.24850,   9.68908,  -5.33730,  21.79180, -14.74050,-122.47400,  47.41260,   5.27154,   0.85591,  90.22490,  -5.68757,-102.73200, -79.27780,  15.66590,  -8.20344,  36.40470, -15.96880,-110.46100,  64.17550,   5.61739, -12.44700,-175.12400,  14.88810, -10.48240,  -0.01173,   0.03570,  30.87460,  -2.87805,   9.42512, -60.04160,   0.05490,  -0.06151, -17.17820,-170.31800,  -1.85022,-179.79400,   0.08565,  -0.10595,  28.30540,   5.28215,  -8.11901, -66.62300,   0.00893,  -0.00925, -16.64540
   0.13333,   0.00000,   0.00000,  -0.00000,  87.47360,  -5.98481,  11.71030, 100.28600,  80.68030, -99.31540,  10.55910,   3.32875,   1.63280,   3.62604,   0.54692,  -1.38347,  18.40800,  -3.42016,  -2.09822, -89.19360,  -5.57098, -96.74990, -76.03390,  11.77040,  -5.10041,  27.02490, -17.65120,-120.73100,  45.53770,   5.36207,  -1.77193,  90.22780,  -5.69181,-102.70500, -79.43080,  16.17040,  -8.12611,  27.51990, -12.89570,-113.19000,  65.15150,   5.58575, -10.55460,-175.16600,  14.96610, -10.45690,  -0.01094,   0.03432,  30.92280,  -2.85939,   9.38596, -60.09120,   0.04965,  -0.05557, -17.12050,-170.32600,  -1.81135,-179.75100,   0.08584,  -0.10633,  28.31580,   5.26588,  -8.16405, -66.66110,  -0.00751,   0.00603, -16.57370
   0.16667,   0.00000,   0.00000,  -0.00000,  87.42700,  -5.86405,  11.71900, 100.09300,  80.65900, -99.09470,  10.61170,   3.27567,   1.69124,   3.54697,   0.58112,  -1.41966,  18.44260,  -3.36760,  -2.12709, -89.18670,  -5.62778, -96.76270, -75.76580,  12.43530,  -4.70082,  35.47640, -21.65590,-117.37700,  43.82970,   5.47753,  -5.67027,  90.22820,  -5.67888,-102.69500, -79.49320,  16.49740,  -8.31978,  18.82680,  -9.48797,-115.80600,  66.00110,   5.54424,  -8.44660,-175.13500,  15.04470, -10.48600,  -0.01106,   0.03678,  30.99620,  -2.84388,   9.45276, -60.13460,   0.05459,  -0.06115, -17.17480,-170.31300,  -1.64479,-179.74100,   0.08468,  -0.10424,  28.33020,   5.26663,  -8.15209, -66.69880,  -0.00207,   0.00166, -16.57380
   0.20000,   0.00000,   0.00000,  -0.00000,  87.36260,  -5.71361,  11.83940,  99.93040,  80.62710, -98.89620,  10.68280,   3.23608,   1.76485,   3.68293,   0.53776,  -1.39277,  18.28500,  -3.27604,  -2.15458, -89.21770,  -5.45077, -96.81950, -76.06690,  11.99370,  -4.45563,  39.44690, -23.21160,-115.59500,  43.89690,   5.50526,  -6.75314,  90.24240,  -5.64339,-102.53600, -79.41780,  16.82620,  -8.56597,  13.38860,  -7.02210,-117.18600,  66.78510,   5.50728,  -6.83060,-175.13200,  15.02460, -10.44300,  -0.00863,   0.03339,  31.16270,  -2.77345,   9.58520, -60.21720,   0.05064,  -0.05668, -17.13130,-170.27900,  -1.47757,-179.63200,   0.08390,  -0.10193,  28.39570,   5.25307,  -8.15860, -66.77370,   0.00273,  -0.00283, -16.59580
   0.23333,   0.00000,   0.00000,  -0.00000,  87.27850,  -5.57918,  11.94240,  99.74430,  80.58950, -98.67420,  10.76650,   3.19053,   1.83870,   3.70497,   0.49888,  -1.36511,  18.37210,  -3.22354,  -2.19883, -89.25950,  -5.19372, -96.87380, -76.77540,  11.07570,  -4.55759,  33.15980, -20.30050,-117.96900,  45.82190,   5.42405,  -3.80258,  90.25530,  -5.65838,-102.41200, -79.41780,  16.98000,  -8.63619,  12.39940,  -6.58546,-117.54800,  66.73290,   5.48935,  -6.11235,-175.07700,  15.02630, -10.43460,  -0.00905,   0.03237,  31.33190,  -2.72590,   9.75898, -60.29420,   0.05363,  -0.06008, -17.16440,-170.19300,  -1.36449,-179.54800,   0.08753,  -0.10792,  28.44750,   5.24186,  -8.23452, -66.81950,  -0.00205,   0.00166, -16.57370
   0.26667,   0.00000,   0.00000,  -0.00000,  87.25290,  -5.50348,  12.03540,  99.63350,  80.56740, -98.55310,  10.81600,   3.16276,   1.86055,   3.76890,   0.48304,  -1.33228,  18.50650,  -3.21728,  -2.25270, -89.27290,  -5.11027, -96.89130, -77.87740,  10.08620,  -4.86784,  25.59560, -16.40150,-120.51800,  50.26310,   5.26469,   0.99341,  90.25610,  -5.61532,-102.38500, -79.35780,  17.26630,  -8.68472,  12.92720,  -6.84503,-117.44100,  67.38590,   5.49106,  -6.17629,-175.08100,  15.00930, -10.40850,  -0.01075,   0.03396,  31.46240,  -2.68542,   9.87031, -60.35890,   0.05434,  -0.06087, -17.17200,-170.14300,  -1.43696,-179.49400,   0.08579,  -0.10378,  28.54500,   5.19103,  -8.39537, -66.87430,   0.00392,  -0.00405, -16.60520
   0.30000,   0.00000,   0.00000,  -0.00000,  87.26910,  -5.48460,  12.05400,  99.59820,  80.55140, -98.54800,  10.85040,   3.15610,   1.79979,   3.81732,   0.53227,  -1.27256,  18.52230,  -3.28394,  -2.22583, -89.26240,  -5.10619, -96.76880, -78.38880,   9.56998,  -5.00276,  24.26400, -15.59790,-120.81700,  51.26110,   5.20064,   2.70151,  90.25280,  -5.56011,-102.39300, -79.06900,  17.95170,  -8.84689,  15.36010,  -7.97476,-116.79700,  67.91420,   5.50447,  -6.71987,-175.11000,  14.97860, -10.36630,  -0.00965,   0.03267,  31.43540,  -2.66835,   9.89403, -60.35340,   0.04996,  -0.05591, -17.12380,-170.14400,  -1.48664,-179.46000,   0.08737,  -0.10700,  28.52180,   5.17061,  -8.47605, -66.86460,  -0.00310,   0.00249, -16.57380
