time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  82.75220,   6.56716,   5.23857,  77.53840,  87.62210, -76.57750,  -3.11252,  -1.11694,   1.89165, -10.35650,  -8.18044,   6.07288,   6.37936,  -7.53872,  11.96420, -85.52190, -11.02660, -82.73260,  78.70490, -89.71050,  47.65510,   8.17158,   3.75020, -65.50910,  49.56940,   5.41146,  -3.31195,  94.23400, -10.44290, -82.78290,  49.48080, -71.36300,  33.24280,  -0.95650,  -0.35900, -69.43670,  62.51040,   5.67908, -19.16480,-154.39800, -37.09000,  -5.04831,   0.08558,  -0.49338,  10.26350,  -9.44860,  -9.41837, -40.62690,   0.06406,  -0.07190, -17.27930,-166.81300,   8.13322, 175.32200,   0.15487,  -0.24774,  26.22140,   3.27542, -13.17140, -68.65420,  -0.08200,   0.05596, -16.57310
   0.03333,   0.00000,   0.00000,  -0.00000,  82.73300,   6.45910,   5.37515,  78.05000,  87.65990, -77.14030,  -3.17849,  -1.05546,   1.79038, -10.10360,  -8.23456,   6.14854,   6.71307,  -7.57684,  12.25270, -85.60730, -10.71580, -82.55270,-121.60600, -89.03680,-152.87500,   7.89295,   4.13499, -62.51700,  49.00580,   5.39939,  -2.91313,  94.14540, -10.17440, -82.69180,  48.58570, -71.94920,  31.64920,  -1.77731,  -0.82435, -65.11750,  64.10930,   5.67927, -19.33550,-154.09500, -37.05640,  -4.89241,   0.08812,  -0.48621,  10.67230,  -9.62035,  -9.44329, -40.90240,   0.05446,  -0.06102, -17.17340,-166.79100,   8.09577, 175.55700,   0.15617,  -0.24902,  26.30450,   3.27123, -13.12730, -68.82190,  -0.07457,   0.05093, -16.57320
   0.06667,   0.00000,   0.00000,  -0.00000,  82.70090,   6.33447,   5.54398,  78.28430,  87.69900, -77.41290,  -3.25177,  -1.01778,   1.71441,  -9.89230,  -8.27973,   6.21224,   7.13149,  -7.58383,  12.40900, -85.74020, -10.29080, -82.36630, -92.28060, -88.63710,-124.50700,   5.24565,   3.48351, -56.47460,  47.34320,   5.38080,  -2.31576,  94.06210,  -9.89641, -82.54910,  45.78700, -72.46970,  27.69050,  -3.20627,  -2.02535, -57.79260,  63.02820,   5.67535, -18.27510,-153.75900, -36.97410,  -4.72771,   0.09190,  -0.48405,  11.13220,  -9.79459,  -9.51242, -41.20710,   0.05929,  -0.06649, -17.22670,-166.77100,   8.17634, 175.82200,   0.15690,  -0.24915,  26.38770,   3.28559, -13.01510, -68.99430,  -0.07641,   0.05223, -16.57320
   0.10000,   0.00000,   0.00000,  -0.00000,  82.66340,   6.22032,   5.65202,  78.31670,  87.76840, -77.46600,  -3.38766,  -0.98613,   1.67281,  -9.71283,  -8.30244,   6.21329,   7.47526,  -7.62639,  12.41410, -85.81280, -10.01490, -82.16920, -38.64040, -88.16550, -71.98500,   1.91736,   1.68578, -48.61920,  44.55500,   5.34233,  -1.13227,  93.94890,  -9.48599, -82.27320,  41.26950, -72.91830,  21.45900,  -5.89187,  -5.18263, -48.83990,  59.00070,   5.66251, -16.20870,-153.46400, -36.84170,  -4.61770,   0.09607,  -0.48605,  11.55210,  -9.98368,  -9.60571, -41.50350,   0.06204,  -0.06960, -17.25680,-166.73000,   8.19722, 176.02400,   0.15899,  -0.25212,  26.46480,   3.30554, -12.90570, -69.15620,  -0.06760,   0.04626, -16.57330
   0.13333,   0.00000,   0.00000,  -0.00000,  82.65520,   6.12553,   5.83660,  78.78130,  87.82210, -77.95860,  -3.48650,  -0.92775,   1.61758,  -9.56457,  -8.31486,   6.13273,   7.74015,  -7.73183,  12.41400, -85.86780,  -9.79249, -81.98470,  -4.40298, -86.04470, -39.18800,  -0.28296,  -0.34939, -39.52800,  40.85200,   5.29987,   0.08920,  93.86980,  -9.11525, -81.87760,  35.30440, -72.69980,  13.58820,  -8.09123, -10.09110, -39.08190,  54.92090,   5.63424, -13.54750,-153.17400, -36.64190,  -4.37132,   0.09913,  -0.48762,  11.85500, -10.14460,  -9.76463, -41.75610,   0.06346,  -0.07120, -17.27230,-166.73800,   8.15853, 176.31500,   0.15887,  -0.25117,  26.51020,   3.28522, -12.89290, -69.29360,  -0.08614,   0.05906, -16.57310
   0.16667,   0.00000,   0.00000,  -0.00000,  82.66300,   6.06370,   6.06955,  79.02140,  87.87180, -78.22830,  -3.58102,  -0.88869,   1.55876,  -9.40953,  -8.30589,   5.96163,   8.00882,  -7.82845,  12.49330, -85.89660,  -9.56432, -81.64680,   7.07589, -82.32180, -29.84950,  -1.88341,  -3.41812, -28.95730,  36.53290,   5.26070,   1.17167,  93.75780,  -8.63165, -81.36380,  28.60460, -71.62150,   4.32275,  -8.36593, -16.06060, -28.04120,  50.89150,   5.58869, -10.60650,-152.89400, -36.37490,  -4.18045,   0.10179,  -0.47809,  12.34370, -10.32010,  -9.93941, -42.11370,   0.06163,  -0.06915, -17.25260,-166.80400,   8.30418, 176.63600,   0.15817,  -0.24794,  26.62580,   3.26951, -12.76280, -69.49490,  -0.07477,   0.05124, -16.57310
   0.20000,   0.00000,   0.00000,  -0.00000,  82.71490,   6.01910,   6.30519,  79.18160,  87.91820, -78.40920,  -3.67041,  -0.85809,   1.51772,  -9.30105,  -8.28131,   5.89431,   8.21172,  -7.82067,  12.29980, -85.86420,  -9.43101, -81.18810,  10.33540, -77.95350, -28.72610,  -2.68005,  -7.95786, -18.71000,  30.54050,   5.17232,   3.47749,  93.65420,  -8.06992, -80.53690,  21.72710, -70.05360,  -5.99737,  -5.16271, -20.09450, -14.73460,  45.95960,   5.51256,  -6.88031,-152.66800, -36.16050,  -3.90910,   0.10340,  -0.47087,  12.68930, -10.47340, -10.02570, -42.40350,   0.06168,  -0.06919, -17.25290,-166.90200,   8.34310, 176.96800,   0.15987,  -0.24992,  26.71470,   3.22659, -12.73960, -69.67150,  -0.08140,   0.05581, -16.57320
   0.23333,   0.00000,   0.00000,  -0.00000,  82.77310,   5.97557,   6.51334,  79.09040,  87.95160, -78.32030,  -3.73724,  -0.85220,   1.51301,  -9.36876,  -8.24676,   5.74880,   8.54268,  -7.77554,  12.13880, -85.80880,  -9.38237, -80.79430,   9.40527, -74.67020, -30.91290,  -2.12264, -10.77030, -11.22160,  23.13140,   4.88524,   9.81038,  93.55360,  -7.62933, -79.93080,  15.56760, -69.50540, -15.17500,  -0.89898, -22.31100,  -2.37240,  40.60780,   5.32134,  -0.45456,-152.50100, -36.00660,  -3.61131,   0.10376,  -0.46442,  12.87750, -10.57590, -10.09910, -42.60430,   0.05927,  -0.06647, -17.22660,-167.04000,   8.46530, 177.28900,   0.15654,  -0.24293,  26.73830,   3.19271, -12.64220, -69.79720,  -0.07837,   0.05375, -16.57310
   0.26667,   0.00000,   0.00000,  -0.00000,  82.82190,   5.98856,   6.75981,  78.32550,  87.96280, -77.55210,  -3.76952,  -0.90178,   1.51773,  -9.47026,  -8.24322,   5.57148,   8.91226,  -7.75851,  12.01500, -85.79050,  -9.42674, -80.80080,   4.99131, -73.82940, -35.10910,  -1.48949, -10.08010,  -8.44933,  17.35850,   4.26794,  20.35160,  93.54880,  -7.49178, -79.56150,   6.78865, -71.52970, -24.58930,  -0.26231, -24.46310,   0.02789,  40.46730,   4.90907,  10.00280,-152.33400, -35.90700,  -3.39485,   0.10472,  -0.45589,  13.18680, -10.65530, -10.05680, -42.81890,   0.05957,  -0.06681, -17.22970,-167.15800,   8.57218, 177.58600,   0.15703,  -0.24237,  26.83340,   3.15785, -12.57210, -69.94320,  -0.07622,   0.05224, -16.57310
   0.30000,   0.00000,   0.00000,  -0.00000,  82.85900,   6.09374,   7.05910,  76.87030,  87.93510, -76.09810,  -3.73712,  -1.01505,   1.51194,  -9.57571,  -8.28046,   5.40618,   9.17080,  -7.72849,  11.92060, -85.79860,  -9.48586, -80.97560,   1.62203, -73.54740, -37.78780,  -1.20511,  -8.36640,  -8.22741,  14.40560,   3.75563,  27.61010,  93.47490,  -7.33577, -79.56600,   0.05415, -72.72750, -31.05590,  -0.39872, -26.59380,   0.04336,  42.74220,   4.53036,  17.20420,-152.14400, -35.82800,  -3.20478,   0.10545,  -0.44447,  13.56120, -10.73280,  -9.85555, -43.03520,   0.05962,  -0.06686, -17.23040,-167.23900,   8.65730, 177.89600,   0.15939,  -0.24506,  26.95960,   3.08853, -12.67870, -70.10580,  -0.07250,   0.04961, -16.57320
