time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.64180,  -2.23271,  18.56470,  91.21670,  78.50290, -92.42820,  15.22880,   0.40300,  -2.47889,   2.73357,  -1.34556,  -1.98620, -15.38250,   0.79533,  -8.93658, -88.76050,  -3.70388, -86.48260,  -6.96870, -67.93730, -39.82150,  -5.14978,  -1.29198, -75.95370,  25.60680,   5.62062, -12.66290,  92.79920,  -8.35071, -86.39390, -16.88850, -61.82020, -48.11010,  14.28940,   4.24907, -73.78210,  19.97910,   5.35854,  -1.63461,-169.69600,  -6.04101,   6.08396,   0.00749,   0.01285,  28.78520,  -5.31121,   1.78230, -65.64870,  -0.00419,   0.00269, -16.57700, 171.09200,  13.19620,-172.35600,   0.02805,  -0.00684,  27.80440,  -3.60687,   3.99798, -65.33130,   0.04261,  -0.04777, -17.04450
   0.03333,   0.00000,   0.00000,  -0.00000,  88.62300,  -2.14518,  18.28530,  91.29890,  78.53450, -92.59090,  15.16580,   0.42967,  -2.64322,   2.57695,  -1.32282,  -1.93735, -15.45790,   0.82421,  -8.68231, -88.67200,  -3.90305, -86.19300,  -7.57617, -68.62520, -40.59280,  -5.54978,  -1.44436, -75.45780,  25.76240,   5.63097, -13.40940,  92.94780,  -8.58820, -85.97430, -17.72790, -62.41790, -49.17280,  13.72370,   4.38660, -72.61090,  20.08930,   5.37635,  -2.18333,-169.80800,  -6.02076,   5.77655,   0.00777,   0.01189,  28.72090,  -5.24804,   1.73843, -65.57830,  -0.00415,   0.00270, -16.57700, 171.11600,  13.24100,-172.56400,   0.02734,  -0.00637,  27.60540,  -3.68173,   3.95668, -65.19090,   0.04198,  -0.04705, -17.03760
   0.06667,   0.00000,   0.00000,  -0.00000,  88.59010,  -2.08414,  17.94320,  91.44440,  78.59620, -92.80750,  15.04200,   0.48103,  -2.79156,   2.38772,  -1.25650,  -1.80726, -15.34460,   0.91923,  -8.53830, -88.56800,  -4.14129, -85.90650,  -7.76287, -69.51260, -40.42840,  -5.86024,  -1.70984, -73.79180,  25.68310,   5.63496, -13.71750,  93.06800,  -8.75553, -85.60260, -18.81630, -63.35680, -49.97840,  12.60120,   4.66336, -70.01540,  20.41750,   5.38967,  -2.60454,-169.90500,  -6.04051,   5.40123,   0.01044,   0.00660,  28.68210,  -5.17913,   1.70436, -65.52230,  -0.00670,   0.00432, -16.57660, 171.15600,  13.35460,-172.84400,   0.02700,  -0.00624,  27.41760,  -3.73686,   3.95855, -65.04530,   0.04068,  -0.04558, -17.02320
   0.10000,   0.00000,   0.00000,  -0.00000,  88.56560,  -2.01835,  17.48860,  91.62480,  78.70350, -93.06810,  14.82710,   0.54371,  -2.95914,   2.38481,  -1.21960,  -1.85231, -15.44200,   0.93272,  -8.14474, -88.48540,  -4.29932, -85.57120,  -7.48255, -70.49840, -39.56470,  -6.13883,  -2.11304, -71.07930,  25.29430,   5.63380, -13.62550,  93.12870,  -8.76250, -85.26150, -20.12930, -64.58150, -50.50450,  11.61570,   5.10427, -66.59700,  20.56420,   5.39085,  -2.64222,-170.05400,  -6.00280,   4.98748,   0.01115,   0.00454,  28.51870,  -5.11680,   1.62241, -65.42680,  -0.00727,   0.00472, -16.57650, 171.18600,  13.51490,-173.15700,   0.02559,  -0.00472,  27.09460,  -3.80570,   3.98661, -64.83690,   0.03836,  -0.04297, -16.99750
   0.13333,   0.00000,   0.00000,  -0.00000,  88.52660,  -1.93415,  17.03130,  91.76090,  78.82140, -93.27500,  14.59100,   0.58850,  -3.10536,   2.39052,  -1.09889,  -1.92418, -15.48770,   0.95568,  -7.86286, -88.42520,  -4.39108, -85.24790,  -6.62433, -71.56770, -37.79520,  -5.79679,  -2.38162, -67.73710,  24.88870,   5.62909, -13.26740,  93.12970,  -8.62423, -84.96670, -21.40170, -65.99820, -50.68230,  10.72090,   5.62023, -62.65100,  20.64440,   5.38853,  -2.56805,-170.18700,  -5.95506,   4.63262,   0.01281,   0.00096,  28.27790,  -5.05882,   1.53051, -65.31620,  -0.00707,   0.00458, -16.57660, 171.22500,  13.68080,-173.38400,   0.02334,  -0.00128,  26.66110,  -3.88257,   4.01602, -64.60420,   0.04372,  -0.04902, -17.05690
   0.16667,   0.00000,   0.00000,  -0.00000,  88.53800,  -1.84206,  16.70360,  91.87080,  78.89550, -93.48790,  14.44260,   0.62219,  -3.31474,   2.22329,  -0.95459,  -1.99881, -15.32880,   1.03972,  -7.66100, -88.36730,  -4.48992, -84.99270,  -4.81289, -72.71750, -34.85330,  -5.16160,  -2.52883, -63.96330,  24.35380,   5.62434, -12.92160,  93.08810,  -8.41265, -84.75770, -22.37060, -67.55010, -50.11660,   9.44617,   5.84954, -58.51130,  20.64620,   5.38608,  -2.48955,-170.34900,  -5.91154,   4.48723,   0.01025,   0.00535,  27.94290,  -4.99869,   1.44185, -65.19060,  -0.00716,   0.00466, -16.57660, 171.17300,  13.80700,-173.42600,   0.01994,   0.00474,  26.18360,  -3.97300,   4.04661, -64.38170,   0.04565,  -0.05120, -17.07840
   0.20000,   0.00000,   0.00000,  -0.00000,  88.54620,  -1.75061,  16.34990,  91.90920,  78.96790, -93.64010,  14.29860,   0.62783,  -3.54215,   2.07107,  -0.79218,  -2.11307, -15.40530,   1.15074,  -7.47987, -88.35170,  -4.47068, -84.73660,  -2.32619, -73.84520, -31.25600,  -4.64248,  -2.70478, -59.83550,  23.79190,   5.61764, -12.45510,  92.97400,  -8.06412, -84.67780, -22.57600, -69.17350, -48.58840,   8.45691,   6.09156, -54.48650,  20.76340,   5.38213,  -2.36586,-170.51200,  -5.84115,   4.30936,   0.01126,   0.00324,  27.63190,  -4.94816,   1.34631, -65.08380,  -0.00625,   0.00409, -16.57680, 171.17200,  13.85770,-173.51200,   0.01715,   0.00992,  25.73720,  -4.07437,   3.97904, -64.18750,   0.04808,  -0.05396, -17.10540
   0.23333,   0.00000,   0.00000,  -0.00000,  88.60490,  -1.65289,  15.99110,  91.91250,  79.04400, -93.77720,  14.14730,   0.61905,  -3.80774,   1.89244,  -0.62362,  -2.21048, -15.43960,   1.25677,  -7.39763, -88.36900,  -4.39497, -84.61620,   0.73747, -74.91150, -26.98560,  -4.42753,  -3.03594, -55.63260,  23.39510,   5.60917, -11.90560,  92.80080,  -7.61852, -84.74520, -21.86070, -70.79480, -45.93520,   7.89968,   6.49419, -50.82060,  21.17950,   5.37030,  -1.99611,-170.74300,  -5.71578,   4.15784,   0.01117,   0.00352,  27.27020,  -4.90607,   1.21893, -64.96580,  -0.00824,   0.00539, -16.57640, 171.09000,  13.98100,-173.59800,   0.01471,   0.01425,  25.30430,  -4.16294,   3.98720, -64.00120,   0.04650,  -0.05216, -17.08790
   0.26667,   0.00000,   0.00000,  -0.00000,  88.61730,  -1.56768,  15.69680,  91.97410,  79.09400, -93.94440,  14.04780,   0.63488,  -4.02027,   1.57382,  -0.45557,  -2.27398, -15.23700,   1.36421,  -7.49782, -88.41360,  -4.26089, -84.55720,   3.60696, -75.76880, -22.83660,  -5.16220,  -4.13660, -51.40080,  23.34490,   5.60415, -11.59290,  92.67690,  -7.28025, -84.74850, -21.55310, -72.37760, -43.29250,   7.28358,   6.70662, -47.58550,  21.53020,   5.35589,  -1.55521,-170.88200,  -5.66366,   4.06877,   0.01190,   0.00196,  26.94110,  -4.86204,   1.13474, -64.86450,  -0.00958,   0.00628, -16.57630, 171.04200,  14.12030,-173.59000,   0.01193,   0.02015,  24.85010,  -4.23422,   4.02814, -63.81900,   0.04081,  -0.04573, -17.02470
   0.30000,   0.00000,   0.00000,  -0.00000,  88.62170,  -1.51809,  15.43410,  92.10140,  79.13800, -94.17360,  13.95980,   0.67568,  -4.22851,   1.30398,  -0.31215,  -2.30606, -15.10910,   1.44935,  -7.65212, -88.43200,  -4.19696, -84.49350,   5.66342, -76.54460, -19.30030,  -6.00773,  -5.57774, -47.28540,  23.11150,   5.60015, -11.34950,  92.56380,  -7.00469, -84.83870, -20.15690, -73.77080, -39.35950,   6.53018,   6.66733, -44.59600,  21.79470,   5.34188,  -1.13561,-170.99700,  -5.58212,   3.96389,   0.01098,   0.00374,  26.72900,  -4.83905,   1.03472, -64.83180,  -0.01007,   0.00662, -16.57610, 170.99100,  14.27190,-173.61500,   0.00941,   0.02548,  24.52670,  -4.28784,   4.12574, -63.69980,   0.04012,  -0.04494, -17.01700
