time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  92.95020,  -3.63796,   1.60019, -95.91770,  77.20810,  94.21090,  11.65070,   0.99287,  -0.47228,  20.08380,  -0.55550,  -1.39939,   4.97383,  -0.74678,   0.20205, -88.77420,   2.16319, -94.99920, -70.13320,  16.92300,   2.37886,  -7.96423,   0.92440,-123.67600, -41.47890, -27.66040, -20.53550,  91.56330,   8.36841, -92.99640, -59.74380,  18.65610,  -5.45201,   1.29574,   6.74259,-126.13800, -18.58220, -22.30380, -19.64470, 175.38000,   8.18356,  -4.61528,  -1.51447,  -6.57210,  17.12880,   1.40453,  -6.84292, -60.67290,  -0.00000,   0.00000, -16.57750,-179.98700,  -2.95116, 172.02600,   3.49833,   4.39555,  22.33170,  -1.72643,   0.71056, -63.30300,   0.00000,   0.00000, -16.57380
   0.03333,   0.00000,   0.00000,  -0.00000,  92.95990,  -3.62362,   1.58225, -95.93600,  77.22150,  94.22160,  11.65950,   0.98940,  -0.44881,  20.12690,  -0.55542,  -1.41164,   4.98115,  -0.74682,   0.20676, -88.76930,   2.20399, -95.00530, -70.10450,  16.91310,   2.38143,  -7.96759,   0.91888,-123.67400, -41.48630, -27.67050, -20.53880,  91.56200,   8.36726, -92.98900, -59.74770,  18.65530,  -5.45090,   1.29879,   6.73808,-126.13000, -18.59490, -22.29300, -19.62840, 175.37600,   8.18045,  -4.62403,  -1.52042,  -6.56094,  17.09810,   1.40963,  -6.83543, -60.65100,   0.00000,   0.00000, -16.57750,-179.99800,  -2.97013, 172.11300,   3.50517,   4.36989,  22.21560,  -1.72568,   0.69537, -63.28630,   0.00000,  -0.00000, -16.57790
   0.06667,   0.00000,   0.00000,  -0.00000,  92.96370,  -3.60638,   1.56296, -95.94060,  77.23240,  94.22780,  11.66820,   0.98578,  -0.43078,  20.16400,  -0.55527,  -1.41952,   4.99019,  -0.74781,   0.21594, -88.76580,   2.23739, -95.00470, -70.08180,  16.90330,   2.38767,  -7.96879,   0.91250,-123.66800, -41.49760, -27.68690, -20.54320,  91.56200,   8.36731, -92.98870, -59.74960,  18.65130,  -5.44159,   1.30156,   6.73402,-126.12100, -18.60570, -22.29410, -19.60700, 175.37500,   8.18657,  -4.65434,  -1.51550,  -6.55289,  17.10690,   1.40613,  -6.82989, -60.64700,   0.00000,   0.00000, -16.57750, 179.99800,  -2.95782, 172.03600,   3.50133,   4.37344,  22.27610,  -1.72620,   0.69072, -63.29160,   0.00000,  -0.00000, -16.57470
   0.10000,   0.00000,   0.00000,  -0.00000,  92.96320,  -3.58722,   1.54876, -95.92920,  77.25030,  94.22490,  11.67330,   0.98121,  -0.41951,  20.19300,  -0.55569,  -1.42050,   5.00377,  -0.74948,   0.22418, -88.76470,   2.25624, -94.99570, -70.07240,  16.89920,   2.40015,  -7.97204,   0.91133,-123.66300, -41.50770, -27.69240, -20.54230,  91.56280,   8.36687, -92.99410, -59.75060,  18.64640,  -5.42976,   1.30390,   6.73059,-126.11500, -18.62210, -22.30240, -19.59300, 175.37800,   8.18691,  -4.65625,  -1.51425,  -6.53870,  17.06560,   1.40652,  -6.82198, -60.61560,  -0.00000,   0.00000, -16.57750,-179.99500,  -2.97780, 172.07200,   3.51965,   4.34925,  22.19630,  -1.73423,   0.67509, -63.25650,  -0.00000,   0.00000, -16.57830
   0.13333,   0.00000,   0.00000,  -0.00000,  92.96010,  -3.56852,   1.54003, -95.90400,  77.27820,  94.21240,  11.67290,   0.97595,  -0.41595,  20.21580,  -0.55617,  -1.41414,   5.02177,  -0.75048,   0.22857, -88.76560,   2.26372, -94.98060, -70.07390,  16.90140,   2.41589,  -7.97890,   0.91637,-123.66300, -41.51140, -27.67870, -20.53270,  91.56480,   8.37354, -93.00310, -59.74200,  18.64170,  -5.42725,   1.30517,   6.72762,-126.11100, -18.64990, -22.30860, -19.60240, 175.38400,   8.18505,  -4.64638,  -1.51432,  -6.52336,  17.01170,   1.40784,  -6.81362, -60.57780,  -0.00000,   0.00000, -16.57750,-179.97400,  -2.96746, 172.07000,   3.55408,   4.35068,  22.15110,  -1.75089,   0.67235, -63.22260,   0.00000,   0.00000, -16.57320
   0.16667,   0.00000,   0.00000,  -0.00000,  92.95710,  -3.54997,   1.53245, -95.87770,  77.31320,  94.19840,  11.66570,   0.97098,  -0.41754,  20.23340,  -0.55663,  -1.40321,   5.04775,  -0.75100,   0.23009, -88.76630,   2.26737, -94.96980, -70.07940,  16.90430,   2.42767,  -7.98714,   0.91988,-123.66800, -41.50790, -27.65880, -20.52140,  91.56760,   8.38478, -93.01480, -59.72760,  18.63740,  -5.43916,   1.30598,   6.72134,-126.10500, -18.67770, -22.29860, -19.62250, 175.39000,   8.18280,  -4.63367,  -1.51534,  -6.50835,  16.95630,   1.40919,  -6.80482, -60.54030,   0.00000,   0.00000, -16.57750,-179.97800,  -2.97947, 172.10200,   3.54237,   4.32553,  22.08420,  -1.74256,   0.65881, -63.19000,   0.00000,   0.00000, -16.57700
   0.20000,   0.00000,   0.00000,  -0.00000,  92.95790,  -3.52818,   1.52013, -95.85970,  77.34810,  94.18460,  11.65210,   0.96662,  -0.41818,  20.22940,  -0.55743,  -1.39242,   5.08611,  -0.75228,   0.23199, -88.76580,   2.27212, -94.97030, -70.08480,  16.90350,   2.43082,  -7.99582,   0.91634,-123.67800, -41.49700, -27.64610, -20.51240,  91.56990,   8.39070, -93.02550, -59.71480,  18.63470,  -5.46401,   1.30507,   6.70908,-126.10100, -18.69330, -22.26850, -19.62450, 175.39300,   8.18892,  -4.64869,  -1.51198,  -6.49728,  16.94870,   1.40530,  -6.79756, -60.52750,  -0.00000,   0.00000, -16.57750,-179.98300,  -2.97696, 172.06200,   3.52934,   4.31421,  22.10840,  -1.73564,   0.64887, -63.18400,  -0.00000,  -0.00000, -16.57730
   0.23333,   0.00000,   0.00000,  -0.00000,  92.96330,  -3.50137,   1.49882, -95.84410,  77.37580,  94.16140,  11.63650,   0.96162,  -0.41659,  20.21150,  -0.55537,  -1.38354,   5.13247,  -0.75088,   0.23676, -88.76490,   2.27686, -94.97410, -70.08470,  16.90300,   2.42232,  -8.00604,   0.91007,-123.69300, -41.48160, -27.63840, -20.50330,  91.57170,   8.39596, -93.03410, -59.69630,  18.63160,  -5.49615,   1.30053,   6.69461,-126.10300, -18.70200, -22.23270, -19.60860, 175.39300,   8.19910,  -4.67686,  -1.50922,  -6.48558,  16.95320,   1.40084,  -6.78977, -60.52280,   0.00000,   0.00000, -16.57750,-179.98100,  -2.97210, 171.90200,   3.53789,   4.31782,  22.24370,  -1.74746,   0.63705, -63.18350,   0.00000,   0.00000, -16.57380
   0.26667,   0.00000,   0.00000,  -0.00000,  92.96730,  -3.46964,   1.46974, -95.81540,  77.39030,  94.12170,  11.62380,   0.95552,  -0.41811,  20.19240,  -0.54669,  -1.37456,   5.17466,  -0.74208,   0.24272, -88.76540,   2.27519, -94.97020, -70.07860,  16.90840,   2.40399,  -8.01646,   0.90767,-123.70600, -41.47150, -27.62760, -20.49360,  91.57390,   8.40475, -93.04360, -59.67390,  18.62700,  -5.52671,   1.29556,   6.68197,-126.10700, -18.71120, -22.20360, -19.59660, 175.39600,   8.21265,  -4.71647,  -1.50468,  -6.47207,  16.97440,   1.39397,  -6.78174, -60.53060,   0.00000,   0.00000, -16.57750,-179.98100,  -2.98480, 171.91900,   3.54154,   4.29338,  22.21680,  -1.74471,   0.61341, -63.19870,   0.00000,   0.00000, -16.57560
   0.30000,   0.00000,   0.00000,  -0.00000,  92.96290,  -3.43282,   1.44086, -95.77630,  77.39520,  94.08070,  11.61390,   0.95009,  -0.42431,  20.18950,  -0.53502,  -1.36419,   5.20283,  -0.72884,   0.24389, -88.76710,   2.26706, -94.96260, -70.07250,  16.91610,   2.38599,  -8.02206,   0.90853,-123.71200, -41.47740, -27.61820, -20.48960,  91.57560,   8.40947, -93.05150, -59.65960,  18.62260,  -5.54858,   1.29340,   6.67226,-126.11100, -18.72090, -22.18710, -19.60060, 175.40800,   8.21429,  -4.72915,  -1.50790,  -6.44706,  16.94720,   1.39284,  -6.76769, -60.51590,  -0.00000,   0.00000, -16.57750,-179.98300,  -2.99341, 171.86600,   3.52603,   4.27129,  22.23080,  -1.73837,   0.58663, -63.18240,  -0.00000,  -0.00000, -16.57830
