time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  94.66270,   4.69942, -18.15410,  76.03570,  80.35460, -77.57340,  10.91980,  -4.66301,  -2.62889, -13.70900,  -4.81441,   2.12813,  -5.08278,  -1.45517,   5.19071, -90.11080,   3.50169,-103.21600, -67.11790,  16.11470,   2.59205,  18.14550,  -2.08157, -96.32340,  24.86440,   5.18445,   3.05548,  90.08590,  -1.04950,-100.24300, -80.83630,  -5.29173,  16.63860,  10.92160,  10.95800, -45.81070,  27.25170,   5.26701,   1.01206, 169.98400, -10.72270, -22.42100,   0.41073,  -0.37426,  44.93420,   9.74667,   7.91412, -83.85740,   0.55449,  -0.79759, -25.13750, 178.62400,   2.47817, 131.47500,  -0.99776,  -0.23128, 101.88400,  13.42650, -25.64220, -34.95980,   0.50340,  -0.56047, -20.76710
   0.03333,   0.00000,   0.00000,  -0.00000,  91.06900,   7.45215, -19.25680,  68.51950,  80.86580, -68.01400,   9.30956,  -6.64588,   1.55281, -12.83610,  -5.16568,  -1.38516,  -3.59420,  -3.37409,   3.42727, -90.08480,  -2.22942,-107.09700, -65.05210,   9.62908, -17.81600,  27.30620,  -5.21879, -99.98580,  17.25720,   5.26099,   1.16129,  89.87360,   1.07073, -98.22850, -72.83670,  -0.54867,  31.64550,  16.69310,  20.11440, -41.11930,  25.59100,   5.33652,  -1.03030, 177.50400, -14.31080, -14.13530,   0.12256,  -0.13711,  36.32360,   6.87777,  14.16900, -74.42310,   2.12539,  -0.94906, -36.63160,-178.06100,  -2.06436, 121.33100,  -0.74219,  -0.11265,  96.93890,  10.01320, -26.82800, -43.42690,   0.45119,  -0.49839, -20.31600
   0.06667,   0.00000,   0.00000,  -0.00000,  86.96070,  10.23490, -23.16420,  56.72830,  81.87230, -53.74820,   6.12304,  -8.93701,   6.44221, -11.76010,  -5.33834,  -4.12789,  -3.13095,  -3.08863,   0.81894, -90.87630, -10.53450,-109.77200, -70.68940,  -0.57734, -30.17180,  16.29320,  -6.12583,-110.15100,  19.60760,   5.06606,   5.74014,  90.68380,  -3.27494, -93.24810, -74.79940,  11.08050,  45.44750,   4.59417,   4.03870, -48.96340,  28.45620,   5.44378,  -4.31332,-175.78500, -15.44370,  -8.99500,   0.03728,  -0.05548,  24.11050,   4.18190,  16.31000, -56.40360,   1.85306,  -3.62631, -46.55030,-176.42200,  -6.74768, 112.98500,  -0.33887,   0.02036,  82.80490,   8.90391, -26.79270, -50.28500,   0.45534,  -0.50328, -20.35160
   0.10000,   0.00000,   0.00000,  -0.00000,  84.28390,  11.28240, -26.04120,  43.53780,  81.56500, -38.87640,   4.46189, -12.34500,   9.82418, -12.05070,  -4.40913,  -6.65187,  -1.46841,  -1.13125,  -1.68041, -91.46250, -16.13450,-110.25100, -71.72160, -11.03850, -35.08920,   6.90532,  -4.75542,-124.49900,  23.56140,   4.91692,   9.03795,  91.96910,  -9.32307, -93.00910, -76.82580,  12.97010,  56.57640,   1.42429,   0.75489, -62.19030,  31.11350,   5.48804,  -6.13848,-171.92400, -12.63560,  -5.01155,   0.01852,  -0.06383,  13.86450,   1.97093,  12.74130, -31.96630,   2.01644,  -4.85240, -55.56260,-177.26700, -10.06540, 110.80700,  -0.07887,   0.02233,  62.05410,   8.27614, -29.07260, -57.28360,   0.41622,  -0.45736, -20.01610
   0.13333,   0.00000,   0.00000,  -0.00000,  84.64530,  10.24230, -24.80380,  41.58500,  80.16130, -37.29450,   6.02217, -14.74800,   9.38921, -13.47250,  -3.08399,  -8.03244,  -1.72432,  -0.78955,  -1.67381, -90.85310, -17.94870,-107.76700, -69.99080, -15.27620, -36.32790,  11.22820, -11.97910,-136.23900,  23.25330,   5.09644,   5.16601,  92.11810, -12.25590, -95.11600, -73.74310,   6.69972,  63.11160,   0.23126,   0.07999, -71.51390,  26.40160,   5.53858,  -8.16531,-171.50500,  -4.17742,  -2.92093,   0.05422,  -0.15274,  18.10480,  -3.92166,   1.50731, -20.34050,   0.68352,  -0.87480, -24.67040,-178.84500, -11.08040, 117.95100,   0.01369,   0.00098,  40.03140,   6.35915, -30.49160, -63.71110,   0.41516,  -0.45609, -20.00690
   0.16667,   0.00000,   0.00000,  -0.00000,  86.36620,   8.62994, -20.56560,  47.45650,  78.93350, -44.75050,   9.13050, -14.85750,   6.62414, -14.84600,  -2.92970,  -8.98811,  -3.94909,  -1.48014,   0.99967, -90.57130, -16.77830,-106.97900, -69.13740,  -8.91310, -29.96850,   9.43316, -12.86520,-143.27900,  20.13080,   5.43432,  -4.21592,  91.79490, -11.85200, -96.32510, -73.95340,   1.29079,  62.94570,  -6.63547,  -1.77089, -75.09670,  39.23690,   5.58846, -10.43530,-174.56900,   3.21655,  -1.54155,  -0.04773,   0.08699,  32.43460,  -6.15283,   5.09210, -19.43710,   0.49431,  -0.60611, -22.27750,-177.52100,  -9.56864, 127.84800,   0.00963,  -0.02447,  29.50370,   3.39612, -27.87440, -64.82000,   0.40207,  -0.44086, -19.89520
   0.20000,   0.00000,   0.00000,  -0.00000,  87.29870,   7.04349, -16.00930,  57.32490,  78.29590, -55.82000,  12.31770, -12.46550,   4.36902, -15.69960,  -2.81054,  -9.81301,  -7.78784,  -2.63573,   3.57232, -90.47860, -12.74050,-107.16700, -70.61750,   2.45847, -17.90840,  12.72690, -15.72360,-140.20600,  16.25880,   5.40833,  -3.19295,  91.41940,  -9.35794, -96.33640, -73.30660,  -4.14935,  57.12310,  -7.91021,  -1.77830, -77.40870,  39.64880,   5.60171, -11.46540,-176.10400,   3.38804,  -6.65572,  -0.21460,   0.14376,  57.14870,  -7.45283,   7.49017, -20.76200,   0.47795,  -0.58398, -22.07720,-172.27800,  -4.77902, 134.69300,   0.20593,  -0.30776,  33.03180,   5.27712, -21.74470, -60.15340,   0.41586,  -0.45693, -20.01300
   0.23333,   0.00000,   0.00000,  -0.00000,  84.82440,   6.74499, -14.13770,  70.03370,  78.86440, -68.22070,  13.37010,  -7.43686,   4.50338, -14.51400,  -2.13549,  -7.92423, -12.69550,  -3.39252,   3.87210, -90.00450,  -7.51964,-105.02400, -75.47150,   8.37884,  -6.08694,  17.37740, -11.63240,-122.78400,  11.49450,   5.27905,   0.78702,  90.54190,  -4.33238, -97.89310, -73.06290,  -6.94490,  48.14580,  -8.69522,  -2.12619, -76.36910,  40.52880,   5.62287, -12.69530,-172.07100,   1.12761, -19.40700,  -0.13895,   0.00755,  83.67210,  -6.25065,  -1.87008, -18.64300,   0.46297,  -0.56383, -21.89430,-164.57800,   3.25072, 136.29400,   0.02301,   0.00458,  46.80590,   5.59654, -13.89500, -69.05530,   0.00464,  -0.00482, -16.61110
   0.26667,   0.00000,   0.00000,  -0.00000,  82.09340,   6.67778, -11.75630,  86.31190,  79.24220, -84.07900,  13.73600,  -1.25246,   4.61803, -14.07970,  -0.61294,  -4.88293, -11.61730,  -3.67425,   3.66140, -89.91120,  -2.50336,-102.92700, -79.15820,   4.69802,   2.65122,  18.93550,  -0.97886, -92.85820,   9.20838,   4.91747,   8.88685,  89.74590,   2.88850, -99.94970, -70.59000,  -3.33546,  32.91530, -11.18870,  -4.44410, -68.61570,  42.69670,   5.61430, -12.24860,-168.64500,   0.36368, -32.78360,  -0.36385,  -0.10370, 103.28400,  -1.86895,  -5.77617, -20.89250,   0.43397,  -0.52522, -21.54270,-160.83700,   5.79732, 144.12500,   0.13562,  -0.06676,  51.95470,   4.72944, -12.31480, -80.42600,   0.05625,  -0.05865, -17.02630
   0.30000,   0.00000,   0.00000,  -0.00000,  83.25470,   5.46952, -10.80940,  99.52510,  79.31720, -98.04240,  13.27860,   3.56959,   2.55086, -14.30000,   1.19866,  -2.70957,  -7.10807,  -3.61325,   3.48477, -90.14010,   1.61970,-100.10900, -75.84080,  -0.34580,   8.72208,  39.56510,  16.95210, -70.63190,  14.60860,   4.84636,  10.20070,  89.73110,   7.82396,-103.03100, -65.30440,   2.25218,  13.30100,  -3.58203,  -2.24145, -57.92160,  52.61800,   5.62568, -13.04580,-171.77600,   1.10331, -44.68880,  -0.96570,  -0.41412, 112.05800,   3.98096,  -8.49194, -27.78510,   0.41170,  -0.49590, -21.27460,-162.69300,   8.38842, 155.82800,   0.28555,  -0.19858,  48.78440,   4.22035,  -9.39485, -87.64410,   0.14220,  -0.15010, -17.72500
