time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.84580,  12.84380, -15.43600,  78.77600,  85.01590, -78.25130,   2.02192,  -1.96525,   1.08333,  -6.45541,  -7.17779,   0.91164, -15.94580,  -8.47833,   3.27196, -91.03000,   5.18800, -93.75630, -62.48890, -14.41770, -37.46930,  -5.45380, -11.35400, -25.88100,  16.54170,   5.49523,  -6.34071,  88.03780,  14.25520, -97.07810, -57.05820, -12.62980,  23.35690,   2.09188,  13.94800,  -8.62281,   5.50373,   5.08887,   5.35398,-176.10500,   4.07431, -21.26650,   0.03117,   0.01354,  46.74880,   2.83377,   2.94315, -87.04250,  -0.18960,  -0.60524, -21.35230, 175.32400,   9.13495, 133.24500,   1.36045,   0.74813, 119.43500,  -3.36836,  -0.73252, -23.51910,   0.38946,  -0.46860, -21.05490
   0.03333,   0.00000,   0.00000,  -0.00000,  89.08480,  15.18350, -18.26800,  68.54140,  85.09530, -67.24050,   1.40944,  -3.65893,   2.64515,  -8.20133,  -6.77128,   0.92952, -18.95880,  -6.99150,   4.27396, -90.53410,   2.75874, -94.03530, -63.61740,  -8.90145, -49.28800,  -6.97197,  -9.02589, -37.96440,  21.18140,   5.52796,  -7.65634,  88.13870,  12.55470, -96.49650, -53.05870, -16.14830,  32.20120,   1.99432,  14.70280,  -7.81624,   7.67452,   4.98263,   7.67809,-173.49600,   5.48082, -16.34290,   0.00893,   0.03982,  38.87480,   2.28072,   3.90306, -83.11260,  -0.11756,  -0.77849, -24.57790, 177.20500,   8.59769, 119.82400,   1.27334,   0.77353, 122.06000,   3.18757,  -5.14882, -28.67040,   0.39462,  -0.47532, -21.11720
   0.06667,   0.00000,   0.00000,  -0.00000,  87.80860,  16.58750, -21.65770,  55.41250,  85.38210, -53.13920,  -0.04863,  -5.39647,   4.54427,  -9.95916,  -6.13998,   0.97655, -21.24670,  -5.09788,   4.76717, -89.87700,  -0.59988, -93.44700, -61.13230,  -4.26438, -55.40760,  -5.21920,  -4.41922, -49.85860,  28.27380,   5.57673,  -9.84895,  88.34740,  10.28480, -95.81950, -50.87290, -17.51710,  37.07510,   2.22298,  14.46550,  -8.83725,   8.83905,   4.93310,   8.71055,-170.44400,   2.44547, -12.81960,   0.00414,   0.04364,  30.00700,   1.65226,   7.68569, -68.41390,   0.50505,  -1.16793, -35.78270, 179.18100,   6.04156, 111.27600,   1.09787,   0.49909, 115.49700,   5.27374,  -8.38854, -37.36110,   0.30050,  -0.35483, -19.99340
   0.10000,   0.00000,   0.00000,  -0.00000,  87.31570,  17.15070, -24.39700,  41.41120,  85.41510, -38.36710,  -1.50650,  -7.12176,   5.99899, -10.30980,  -5.20584,   1.06804, -23.14010,  -3.87144,   4.82153, -89.56780,  -1.93065, -92.37980, -59.11080,  -0.45917, -56.95020,  -8.48311,  -5.38642, -57.80610,  31.35610,   5.63134, -13.44320,  88.66480,   7.83078, -95.29170, -48.77600, -20.74350,  37.81750,   2.02517,  12.64780,  -9.17883,   8.84271,   4.92455,   8.88586,-168.25100,  -5.06041,  -9.99054,   0.03214,  -0.04729,  20.55490,  -4.02512,  16.10380, -42.38860,   0.61368,  -2.17338, -51.02060, 179.22400,   3.41792, 108.00200,   0.94567,   0.18577, 102.36300,   4.52930,  -7.66130, -43.76880,   0.36521,  -0.43718, -20.76330
   0.13333,   0.00000,   0.00000,  -0.00000,  87.83780,  15.31280, -25.37760,  36.15510,  85.34470, -33.05100,  -2.06099,  -7.78153,   6.07480,  -9.90151,  -4.93490,   1.66079, -23.06870,  -2.47917,   5.31902, -89.78560,  -0.94645, -92.23700, -61.07840,   2.76392, -53.92060,  -8.95890,  -5.49095, -58.74100,  28.57190,   5.62917, -13.25360,  88.91080,   6.02934, -94.73940, -46.85500, -24.77870,  34.52420,   1.93274,  11.06620,  -9.97871,   7.00277,   4.93127,   8.74169,-167.50800,  -7.24043,  -5.66794,   0.07122,  -0.21546,  16.47780, -12.29970,  14.63330, -27.11310,   0.39729,  -0.80678, -30.11930, 178.25800,   2.58340, 109.86800,   0.71538,  -0.07158,  85.81480,   3.86294,  -3.09458, -49.06410,   0.35583,  -0.42508, -20.65070
   0.16667,   0.00000,   0.00000,  -0.00000,  89.47200,  13.04440, -24.87410,  36.24730,  85.05520, -33.64830,  -1.73238,  -8.18913,   5.07980,  -9.63249,  -5.11645,   2.49140, -21.71920,  -1.54098,   5.86881, -90.11600,   0.54534, -92.98070, -63.30220,   5.95355, -46.71730,  -6.61479,  -4.90522, -53.58720,  26.91920,   5.61272, -12.12200,  88.78280,   6.30064, -94.04360, -45.85980, -26.26080,  28.10220,   1.77182,   7.60472, -13.17910,   5.72601,   5.02646,   6.74980,-169.09800,  -2.17292,  -4.37037,   0.16437,  -0.32872,  25.35470, -10.31220,   9.48261, -23.98730,   0.20159,  -0.34982, -22.64660, 178.29300,   4.89706, 116.06600,   0.40799,  -0.18664,  66.58640,   0.16744,   0.76138, -53.62970,   0.38074,  -0.45726, -20.94980
   0.20000,   0.00000,   0.00000,  -0.00000,  90.66310,  10.29080, -22.58260,  44.86360,  84.54580, -42.69620,   0.08840,  -7.87494,   4.34341,  -9.45245,  -5.13905,   2.88886, -21.74870,  -0.88719,   6.07309, -90.49490,   2.45249, -93.58520, -64.81690,   8.96118, -36.41920,  -5.17869,  -5.01249, -45.62860,  24.92180,   5.59383, -10.96200,  88.37130,   7.72679, -93.06030, -45.23160, -25.76470,  17.66960,   1.12574,   3.59459, -17.45770,   5.51148,   5.08898,   5.36477,-171.12000,   1.26344,  -5.84179,   0.30024,  -0.29196,  44.29220,  -8.76292,   8.39140, -25.64250,   0.17918,  -0.30637, -21.91200, 179.91500,   8.61052, 125.57400,   0.10937,  -0.10934,  47.52630,  -5.47035,   6.28160, -54.19090,   0.39216,  -0.47213, -21.08760
   0.23333,   0.00000,   0.00000,  -0.00000,  90.32400,   6.83533, -19.77300,  55.88250,  84.08890, -53.97880,   2.15031,  -6.71973,   3.93349,  -8.24197,  -4.79701,   3.84527, -21.82120,  -0.26176,   6.12664, -90.98930,   4.94806, -93.68060, -66.16130,  10.46270, -24.59020,  -2.98716,  -4.25143, -35.09760,  19.87340,   5.55342,  -8.76316,  87.98870,   9.54708, -93.04410, -44.13680, -24.45830,   5.19675,  -0.06086,  -0.14109, -22.45370,   4.99786,   5.14628,   4.03127,-171.57300,   1.32879,  -9.69605,   0.53152,  -0.21908,  66.84380,  -9.91518,   6.45359, -24.07670,   0.16004,  -0.27032, -21.29890,-175.30400,  12.67610, 132.58700,   0.05066,  -0.05783,  38.93910,  -2.35992,   6.10984, -47.06250,   1.39548,  -0.11848, -25.69260
   0.26667,   0.00000,   0.00000,  -0.00000,  90.80680,   3.91017, -17.45690,  63.51060,  84.14970, -62.07010,   2.78469,  -5.27667,   3.00785,  -6.08091,  -4.37124,   4.02818, -19.14070,  -0.53054,   5.15082, -91.55700,   7.31439, -92.95030, -67.06910,  11.59960, -12.24830,  -0.70257,  -1.69199, -22.35140,  14.11660,   5.49941,  -6.47777,  87.93660,  10.14650, -93.44120, -43.48740, -24.50010,  -6.77094,  -0.50051,  -0.89819, -29.04120,   6.32126,   5.18893,   2.99945,-171.96500,   0.70678, -16.14500,   0.73892,   0.00756,  90.47940,  -8.54745,   5.06850, -24.63840,   0.14768,  -0.24752, -20.90900,-175.45500,  14.37810, 139.83300,   0.07229,  -0.04469,  47.29820,   6.03522,   6.30646, -73.69740,   0.22779,  -0.26499, -19.14370
   0.30000,   0.00000,   0.00000,  -0.00000,  90.01840,  -0.16107, -17.48220,  79.92770,  85.11750, -78.54530,   1.87247,  -1.77783,   2.79156,  -5.30074,  -4.02727,   3.68783, -15.51740,  -1.67171,   3.32170, -91.86590,   8.30803, -92.29350, -68.76060,   7.59763,  -0.12954,   0.02106,   0.14023,  -9.37085,  13.30480,   5.47717,  -5.65063,  87.91650,  10.59330, -93.80540, -44.29190, -26.33190, -19.25380,  -0.23083,  -0.31718, -36.11670,  10.63440,   5.18704,   3.04223,-171.80600,  -1.38786, -29.73130,   0.90532,   0.34940, 111.48400,  -4.66207,   5.28017, -24.76170,   0.15107,  -0.25374, -21.01550,-177.60000,   7.57499, 143.26000,   0.07852,  -0.03255,  52.99020,   5.08894,   2.79853, -83.18340,   0.22293,  -0.25905, -19.08730
