time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.64390,  -5.73690,  -8.60783, 126.77300,  85.98420,-123.54000,  -1.45363,   4.54718,   6.52423, -11.43550,   6.32738,  -3.32012,   4.01545,   1.34257,  -7.20983, -89.65410,  -1.64115, -93.11850, -82.62700,   7.18582,  39.36530,  28.72540,   1.69739, -86.91190,  22.73540,   4.94062,   8.55775,  89.81760,   6.54595,-103.40500, -63.41620,   5.05782,   4.48785,   9.55375,  -1.66259, -99.76810,  70.53180,   5.66686, -16.85910,-175.41000,  -0.94129, -34.47730,  -0.94150,  -0.12093,  96.31340,  15.05590,  -9.67039, -35.32300,   0.48341,  -0.59135, -22.14390,-167.25400,   1.59700, 167.28000,  -0.00675,   0.06298,  44.02250,   5.30554,  -5.99336, -89.79100,   0.16122,  -0.17065, -17.88080
   0.03333,   0.00000,   0.00000,  -0.00000,  89.56960,  -5.14002, -10.09900, 155.63900,  84.15810,-154.86500,  -3.04142,  10.56600,   1.83291, -11.64940,   3.56843,  -2.72554,   3.83297,  -4.72899,  -6.07573, -88.88820,  -4.73578, -91.77560, -80.18920,   8.01065,  41.97750,  27.74330,  -0.76930, -91.45850,  23.04290,   4.88525,   9.66627,  90.01410,   4.48084,-105.18800, -66.94290,  -1.87059,   3.70476,   8.45976,  -2.18325,-104.37500,  68.04030,   5.67166, -17.62650, 178.46100,   4.73780, -42.06390,  -0.79553,  -0.05493,  92.84760,  12.44880, -11.06320, -44.36780,   0.44452,  -0.53921, -21.67030,-172.71900,  -0.07169, 174.76100,   0.14112,  -0.16140,  33.01240,   4.55515,  -7.72668, -83.03710,   0.04994,  -1.05086, -21.55600
   0.06667,   0.00000,   0.00000,  -0.00000,  94.96810,  -3.93576, -12.52370, 165.03900,  82.29310,-166.85700,  -3.60409,  15.06300,  -3.17715, -12.20350,   1.27592,  -2.53501,   2.86036, -10.22790,  -5.00002, -88.36090,  -6.28527, -90.35300, -76.66460,   7.96857,  42.78600,  29.82920,  -3.88422, -96.73710,  23.71600,   4.81586,  11.01660,  90.07390,   1.95837,-107.17300, -69.88500,  -7.14054,   4.91487,   5.78248,  -1.94228,-108.51000,  65.98660,   5.66644, -16.79190, 172.94400,  11.14730, -46.25480,  -0.55748,   0.07054,  81.51750,  12.39600, -13.16360, -49.39460,   0.46941,  -0.57245, -21.97270,-178.25800,   0.02369, 178.89800,   0.07905,  -0.12845,  23.83110,   7.01735, -10.74460, -65.00200,   0.46612,  -3.16001, -34.29160
   0.10000,   0.00000,   0.00000,  -0.00000,  97.24920,  -2.39485, -14.63220, 169.55600,  81.03890,-172.83700,  -4.09086,  17.95090,  -5.96072, -12.74480,  -0.39668,  -2.33619,   1.67721, -14.52160,  -3.64487, -88.08520,  -6.49367, -88.53090, -72.90650,   7.08173,  43.45270,  28.47540,  -6.43792,-101.68300,  23.92510,   4.78788,  11.54490,  90.03980,   0.74637,-108.05600, -71.97800,  -8.59229,   7.79534,   5.66568,  -2.10004,-110.27200,  62.25230,   5.65765, -15.72350, 171.86400,  15.97210, -46.35850,  -0.29788,   0.13095,  64.92050,  12.74340, -15.86260, -53.11010,   0.45474,  -0.55280, -21.79400, 179.42100,   5.07869,-178.90200,   0.00928,   0.00595,  17.42050,  12.61320,  -9.38194, -42.99480,   2.55083,  -4.50892, -45.64600
   0.13333,   0.00000,   0.00000,  -0.00000,  95.71840,   0.36200, -14.97760, 171.54100,  80.62180,-174.64300,  -4.61387,  18.86950,  -5.48411, -13.65620,  -1.62557,  -2.21992,   1.37203, -17.35230,  -2.03350, -87.98730,  -6.18834, -86.94240, -70.58340,   4.94594,  44.50820,  24.80950,  -7.71041,-106.18800,  25.00510,   4.78448,  11.60410,  90.04050,   0.78455,-107.95500, -73.72240,  -6.61108,  11.17250,   8.37547,  -2.90820,-109.02400,  57.62090,   5.66051, -16.14490, 174.88500,  18.25290, -41.35520,  -0.07690,   0.07264,  44.87120,  10.65920, -10.71760, -57.82180,   0.45238,  -0.54968, -21.76560,-178.70900,  11.03410,-177.42800,  -0.01464,   0.08641,  15.91870,  12.60760,  -8.23629, -26.31080,   2.00493,  -2.96944, -36.57840
   0.16667,   0.00000,   0.00000,  -0.00000,  92.58730,   3.58357, -13.53900, 171.95500,  80.85940,-173.92300,  -5.02468,  18.30110,  -3.15506, -13.53500,  -2.58354,  -2.08456,   0.51885, -18.97920,  -0.88468, -88.07520,  -5.64657, -86.14210, -70.62530,   2.93877,  45.85480,  24.31140,  -9.39564,-109.86600,  29.16020,   4.73951,  12.42500,  90.03620,   0.82366,-107.51600, -76.61600,  -2.79358,  15.16230,  11.68200,  -3.24642,-105.32500,  55.23660,   5.66928, -17.26920, 177.90500,  17.23560, -33.10900,   0.00173,  -0.00161,  25.22840,   5.79260,  -1.88697, -61.61860,   0.45415,  -0.55204, -21.78710,-174.70700,  13.11770,-177.29700,  -0.00914,   0.06282,  21.27490,   9.68476, -11.38610, -18.79080,   0.62957,  -0.71473, -21.87550
   0.20000,   0.00000,   0.00000,  -0.00000,  90.78570,   6.40084, -12.27890, 171.55400,  81.52570,-172.81500,  -5.21119,  16.88830,  -1.76393, -12.87730,  -3.83647,  -1.57507,  -1.13336, -19.65600,  -0.25468, -88.28890,  -5.20666, -86.77950, -73.33850,   2.05411,  45.94990,  24.08650, -10.69070,-112.53900,  37.82260,   4.73974,  12.45290,  90.01650,   0.72190,-106.31500, -80.37360,   0.30119,  19.46110,  15.79500,  -2.90962,-100.18100,  50.23310,   5.66246, -16.48840, 178.41200,  14.63710, -27.56410,  -0.01142,   0.05096,  15.07840,  -0.82367,   4.02811, -63.61600,   0.45439,  -0.55234, -21.78980,-171.78600,  12.17290,-179.27700,  -0.03926,   0.10320,  31.54860,   6.59749, -13.38380, -21.87050,   0.64469,  -0.73364, -22.01010
   0.23333,   0.00000,   0.00000,  -0.00000,  91.63250,   9.66694, -10.48120, 163.14100,  82.81010,-164.55500,  -3.47050,  13.89300,  -2.41777, -13.40100,  -5.07796,  -1.50398,  -2.89007, -19.76910,   1.33101, -88.88310,  -3.60493, -87.77670, -75.78530,   3.24460,  42.68720,  20.18230, -10.08880,-115.48300,  43.59370,   4.83144,  10.73570,  89.97810,   1.22936,-103.99900, -83.00930,   1.13502,  22.92320,  18.27490,  -1.20718, -93.65740,  44.46830,   5.68059, -20.62000, 174.15300,  12.45040, -27.63040,   0.16608,  -0.35196,  23.27600,   7.19195,   5.33658, -63.05550,   0.46612,  -0.56805, -21.93270,-172.98900,  13.91570, 177.30600,  -0.09091,   0.11768,  45.07490,   7.46188, -14.25720, -23.70650,   0.62434,  -0.70821, -21.82900
   0.26667,   0.00000,   0.00000,  -0.00000,  95.63790,  11.68890,  -9.67489, 147.19000,  84.08520,-149.80100,  -1.12054,  10.14270,  -5.13094, -13.86990,  -6.11290,  -1.58273,  -5.26605, -19.26460,   3.22061, -89.81000,  -0.67611, -89.35910, -77.17480,   7.08983,  36.78770,  19.67370, -10.97480,-118.03100,  47.37710,   4.96034,   8.16132,  89.85310,   2.12635,-101.05500, -83.63610,   1.17494,  26.27400,  17.84660,   0.83278, -87.40750,  39.76690,   5.68259, -19.69670, 167.94900,   9.20793, -28.12810,   0.25966,  -0.31040,  35.88510,  10.12200,   5.31333, -65.64080,   0.16772,  -0.19213, -18.43610,-179.44600,  16.01530, 169.80700,  -0.13708,   0.07671,  63.64000,   8.38278, -17.89200, -24.69270,   0.62480,  -0.70881, -21.83320
   0.30000,   0.00000,   0.00000,  -0.00000,  98.29430,  12.66310,  -8.70713, 125.13700,  85.10060,-128.45200,   0.42992,   5.84993,  -6.65150, -12.78370,  -7.29379,  -1.18658,  -8.26394, -17.88480,   4.64531, -90.67030,   2.87979, -91.86730, -76.38320,  12.64770,  27.52010,  18.31360, -11.23980,-120.49500,  48.72870,   5.00102,   7.29845,  89.68740,   2.86965, -98.78220, -82.14950,  -0.37066,  29.77330,  17.50140,   2.93391, -80.79620,  38.48030,   5.68387, -20.60430, 164.67400,   8.72214, -26.60970,   0.38602,  -0.31593,  46.53370,  11.74770,   4.48936, -75.99260,   0.00340,  -0.00376, -16.61440, 175.96900,  14.67380, 160.26000,  -0.36892,   0.05379,  81.08870,  11.56240, -19.91300, -26.83080,   0.59902,  -0.67682, -21.60470
