time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.89050,   3.51674, -15.23870,  79.94010,  79.16180, -83.21430,  13.49490,  -3.90871,  -6.08862,  -3.32993,  -5.19360,   0.13452, -16.52400,  -6.38524,  10.24560, -90.86680,   4.09890, -93.08190, -65.02330,  -2.59567, -23.86560,  -1.90566,  -0.38381, -78.63620,  14.88290,   5.64423, -14.48290,  87.97870,  10.72990, -94.26070, -65.84240,  11.44270,  29.58450,  -0.03536,  -0.04798, -35.51400,   3.76925,   5.60777, -11.83180, 179.27800,  -6.45658, -30.28280,   0.05792,  -0.01871,  60.38250,   1.82648,   4.75331, -95.62780,   0.07761,  -0.12476, -18.78540, 177.25400,  18.65880, 132.09700,   0.84210,   0.09733,  97.29930,  -6.29361,  -6.76185, -47.94470,   0.39052,  -0.46998, -21.06780
   0.03333,   0.00000,   0.00000,  -0.00000,  91.12770,   6.09430, -16.15260,  70.01260,  79.59270, -71.85320,  11.74820,  -7.11843,  -2.95011,  -3.62734,  -4.74803,   0.00656, -14.58240,  -2.44529,   9.80320, -89.63140,  -2.11165, -95.07710, -67.52670,  -2.03790, -35.27510,  -6.96746,  -0.13497, -88.79980,  16.13850,   5.64073, -14.16080,  88.14490,   7.51245, -91.07540, -66.34810,  16.27990,  41.75170,  -3.38171,  -3.85124, -41.32650,   0.35436,   5.61577, -12.34530,-177.66200,  -6.93476, -19.14760,   0.11828,  -0.08330,  49.67660,   1.90967,   8.03198, -94.97700,   0.12778,  -0.21156, -20.29150,-178.47500,  19.03520, 122.43700,   0.58967,   0.03541,  94.70670,  -7.78079,  -7.65121, -54.50170,   0.33313,  -0.39604, -20.37970
   0.06667,   0.00000,   0.00000,  -0.00000,  88.71450,   6.43727, -18.17750,  59.42050,  80.40140, -59.54580,   8.84533,  -9.71806,   0.50268,  -2.78564,  -3.38368,  -0.02081, -11.80370,   1.62776,   8.59708, -88.54450,  -8.44174, -95.18140, -68.53410,  -4.46737, -40.28360, -12.74550,   1.68494, -97.39990,  18.20660,   5.64555, -14.59330,  89.45810,   1.98299, -89.69280, -66.75880,  17.59980,  49.56760,  -3.40577,  -2.98535, -48.80050,  -0.99340,   5.62365, -12.87590,-173.85800,  -6.37685,  -9.22800,   0.01319,   0.00831,  36.95230,  -0.73670,   8.97426, -83.92160,   0.34272,  -0.66172, -27.79100,-174.36500,  15.66290, 116.02300,   0.26662,  -0.03835,  85.28200,  -9.08417,  -6.42179, -60.30080,   0.32158,  -0.38139, -20.24250
   0.10000,   0.00000,   0.00000,  -0.00000,  86.09170,   5.76312, -21.89360,  48.74670,  81.37910, -47.02120,   5.45588, -11.37870,   3.99977,  -2.34942,  -1.89073,   0.40108,  -8.64191,   5.36697,   5.89664, -87.78490, -11.92980, -94.40300, -67.06410,  -8.25399, -40.74680, -11.58520,   3.12729,-104.90600,  15.82650,   5.62233, -12.76140,  91.04570,  -3.59070, -88.76060, -66.81560,  16.78210,  54.09790,  -5.73416,  -3.61214, -57.86600,  -1.90191,   5.62289, -12.81940,-170.79400,  -8.32563,  -5.87830,   0.04328,  -0.03847,  30.04120,  -2.28509,   9.35223, -63.35950,   0.60897,  -1.86382, -46.36770,-170.99400,  11.25250, 111.63500,   0.09839,  -0.04754,  70.69190,  -9.51855,  -6.41010, -64.45950,   0.31810,  -0.37699, -20.20130
   0.13333,   0.00000,   0.00000,  -0.00000,  85.50320,   4.53915, -24.17690,  41.69070,  81.53180, -38.98560,   3.88662, -12.72250,   5.85518,  -1.51460,  -0.54915,   1.45530,  -7.35834,   8.38907,   3.64519, -87.01400, -14.07090, -92.89260, -65.55880, -10.13750, -38.00320, -12.41420,   4.74949,-110.59800,  14.99640,   5.60971, -11.94750,  92.34460,  -7.57284, -87.74480, -66.71870,  14.48290,  55.12320,  -6.18865,  -2.70475, -66.49260,  -1.67963,   5.62012, -12.63060,-168.82600, -14.23990,  -3.94141,   0.13260,  -0.22238,  26.62290,  -7.23903,  13.74980, -39.21400,   0.60806,  -2.30480, -52.99770,-170.07100,   8.93103, 111.16100,  -0.01468,   0.00202,  53.62680,  -9.03638,  -4.70911, -66.73130,   0.33809,  -0.40237, -20.43880
   0.16667,   0.00000,   0.00000,  -0.00000,  86.91530,   1.73088, -21.90980,  44.14510,  80.82260, -41.46880,   5.44791, -13.19700,   5.99578,   1.09354,   0.19548,   2.57117,  -8.66659,  10.42380,   0.97913, -86.44720, -14.62640, -91.18600, -64.78600,  -8.96749, -32.50070, -12.38510,   5.64664,-114.13000,  15.11710,   5.59367, -10.96570,  93.27360,  -9.82797, -86.47500, -66.09400,  11.73590,  53.93160,  -5.94904,  -1.56424, -75.30740,  -1.61853,   5.60803, -11.83280,-170.04700, -10.12170,   1.55930,   0.12306,  -0.17404,  28.63340, -13.78280,   6.75643, -30.04020,   0.26298,  -0.47645, -24.76070,-170.85400,   9.54797, 115.67000,  -0.10404,   0.13131,  39.46960, -11.20450,  -0.15806, -68.27400,   0.35166,  -0.41972, -20.60070
   0.20000,   0.00000,   0.00000,  -0.00000,  88.66160,   0.21276, -18.13340,  48.81200,  79.71290, -46.16170,   8.20818, -13.48130,   6.28650,   3.97531,   0.14972,   4.14494, -10.18620,  11.62270,  -1.95310, -86.69160, -12.90980, -90.49290, -64.11690,  -5.16043, -24.90910, -10.90140,   5.24328,-115.38400,  14.84880,   5.59010, -10.76930,  93.06640,  -8.60855, -85.30340, -63.92920,   9.09998,  51.43080,  -7.13720,  -0.89112, -82.91380,  -1.24270,   5.59608, -11.11160,-173.38900,  -5.07752,   5.35827,   0.13853,  -0.11771,  38.26810, -10.14020,   0.46641, -31.81990,   0.18148,  -0.31076, -21.98650,-169.86200,  13.62810, 119.55600,  -0.19420,   0.29675,  34.35070, -14.39470,   4.12815, -69.13090,   0.35124,  -0.41919, -20.59570
   0.23333,   0.00000,   0.00000,  -0.00000,  89.56300,  -0.52105, -14.64820,  55.82110,  78.70830, -52.96160,  11.43890, -12.49820,   6.99145,   6.15132,  -0.29131,   6.48177, -11.70320,  12.22890,  -4.22463, -87.63390,  -9.18034, -90.47870, -64.09280,   0.95409, -16.92430, -11.92180,   4.95644,-112.26500,  15.14270,   5.60279, -11.48800,  91.42440,  -3.71097, -83.97290, -59.97360,   6.83331,  45.55640,  -6.44723,  -0.37238, -86.70690,  -0.24526,   5.59739, -11.18440,-174.08200,  -4.99081,   4.96278,   0.35790,  -0.21103,  54.37920,  -6.81790,  -3.43781, -33.34550,   0.16562,  -0.28073, -21.47590,-169.56200,  15.78870, 121.11100,  -0.18249,   0.23638,  40.88190,  -9.43520,   4.05157, -72.20220,   0.35591,  -0.42518, -20.65160
   0.26667,   0.00000,   0.00000,  -0.00000,  88.91230,  -0.39832, -13.54750,  63.41390,  78.33930, -59.68590,  13.59010, -10.13800,   8.68440,   7.87808,  -0.52839,   7.53336, -13.91060,  11.02540,  -4.57601, -88.98490,  -3.87304, -90.29520, -64.98390,   7.47740,  -9.51457, -14.37610,   2.90355,-101.18100,  16.60060,   5.63037, -13.35950,  88.87250,   2.95360, -84.07150, -55.32300,   3.63362,  37.07000,  -6.31932,  -0.48309, -85.64840,   1.01419,   5.60762, -11.79490,-171.49600,  -7.14894,  -2.55500,   0.81024,  -0.21965,  73.64000,  -3.21311,  -5.64114, -26.86390,   0.13427,  -0.22319, -20.49170,-168.51300,  15.13580, 120.06200,   0.64133,  -0.47698,  52.41260,   6.56347,  -1.40656, -64.23740,   0.03102,  -0.03469, -16.91610
   0.30000,   0.00000,   0.00000,  -0.00000,  87.38630,  -1.23935,  -9.85333,  73.83050,  77.19550, -69.24520,  17.20150,  -6.63687,  10.19930,   6.41817,  -0.58711,   5.23780, -14.12420,   7.92024,  -2.39841, -90.33380,   1.19408, -89.40210, -66.88340,  11.11470,  -2.90531, -12.97190,  -2.53658, -79.07640,  16.26020,   5.64722, -14.77770,  86.47550,  11.03150, -87.12330, -48.40710,   0.68554,  27.10980,  -8.45461,  -1.35332, -80.99910,   3.44166,   5.62642, -13.06760,-167.60600,  -9.81379, -10.48330,   1.26322,   0.08825,  93.71510,  -2.37849,  -3.06043, -24.99020,   0.13060,  -0.21661, -20.37860,-170.77600,  15.51440, 124.69500,   0.32119,  -0.13654,  65.56410,   3.56298,  -2.71944, -72.48190,  -0.10228,   0.11152, -15.46070
