time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.74310,   0.38290,  -6.94554, 114.72800,  80.82900,-112.47000,   8.80484,   7.65399,   3.92643, -15.05390,   2.64517,  -8.53009,  -8.42276,  -8.27921, -11.01970, -90.05000,   0.24199, -93.45790, -75.32290,  19.46380,  11.19280,  32.34460, -15.91610,-113.41600,  20.81230,   5.37215,  -2.06146,  89.97400,   1.31674,-103.87900, -62.80830,  17.21730,  -7.16881,  13.56380,  -4.91788,-109.55900,  54.44850,   5.66054, -16.18470,-171.55600,   8.26394, -52.79870,  -0.72948,  -0.45820, 120.60700,   2.58248,   0.00985, -33.25380,   0.44888,  -0.54501, -21.72310,-168.90600,   7.59023, 159.52800,   0.07752,  -0.00667,  47.97040,   1.17124,  -7.94831, -85.70310,   0.10966,  -0.11521, -17.45930
   0.03333,   0.00000,   0.00000,  -0.00000,  87.54120,  -1.27151,  -8.21185, 124.23600,  80.74180,-123.06500,   7.52962,  10.37450,   1.65999, -13.89340,   6.60538,  -6.11310,  -6.59254,  -4.78513, -10.32430, -89.93510,  -0.22048, -88.80440, -73.25550,  13.58710,  25.82850,  28.23000, -14.36760,-114.80600,  22.79840,   5.33292,  -0.88043,  89.94340,  -1.53060,-107.08500, -62.71080,   9.55424, -21.63470,  19.85230,  -8.38388,-111.98100,  46.96560,   5.66369, -16.45370,-176.95900,   7.11345, -60.76090,  -0.92602,  -0.57379, 120.61200,   8.56089,  -8.89155, -41.67140,   0.44105,  -0.53458, -21.62810,-173.30100,   9.03255, 166.13500,   0.10541,  -0.05345,  42.25950,   1.38887,  -4.75964, -87.19650,   0.19015,  -0.20211, -18.11870
   0.06667,   0.00000,   0.00000,  -0.00000,  91.71720,  -1.64680, -11.00910, 138.21600,  81.16030,-138.88600,   4.18342,  13.18400,  -1.82610, -11.72670,   7.61099,  -3.44092,  -4.01455,  -3.23536,  -6.80071, -89.09830,  -2.44581, -84.76640, -67.59280,  11.17950,  35.15530,  28.14120, -15.04730,-115.89200,  22.16610,   5.33626,  -0.97173,  89.82420,  -3.89189,-107.59000, -68.16490,   3.99214, -27.62170,  18.96700, -10.44610,-117.82500,  39.54410,   5.62968, -13.20890, 177.51100,   9.01373, -65.03710,  -0.76351,  -0.30783, 110.45500,   8.44112, -14.88470, -48.52030,   0.37675,  -0.45044, -20.85680,-178.47200,   6.83295, 172.22300,   0.07235,  -0.05760,  31.99980,  -0.49934,  -5.51569, -77.01020,   0.56805,  -0.98740, -26.24880
   0.10000,   0.00000,   0.00000,  -0.00000,  95.46130,   0.13382, -13.70630, 152.16800,  81.17260,-154.22700,   0.81002,  15.73230,  -4.24773,  -9.62856,   6.16296,  -1.71218,  -0.55754,  -3.97443,  -2.00983, -87.87900,  -5.65336, -84.39390, -65.53320,  11.90880,  40.33250,  24.51720, -14.12700,-118.18000,  25.59950,   5.22154,   2.14832,  89.83480,  -4.93098,-106.92200, -70.81940,   2.51230, -26.07170,  12.69730,  -9.14510,-125.20000,  42.44810,   5.57126,  -9.98180, 174.57700,  13.34570, -64.20540,  -0.45688,  -0.04527,  93.31840,   7.57782, -15.25990, -52.24850,   0.42251,  -0.51011, -21.40460, 177.35600,   8.56902, 176.01400,   0.02912,  -0.01330,  24.02220,   0.46711,  -7.02325, -58.67920,   1.96465,  -2.88035, -36.03610
   0.13333,   0.00000,   0.00000,  -0.00000,  95.50770,   1.84090, -14.88690, 161.74500,  80.83310,-163.67500,  -1.74574,  17.56700,  -3.61144,  -9.37978,   4.09077,   0.04960,   3.59946,  -4.67000,   1.13622, -87.53930,  -7.03296, -85.66060, -67.18930,  13.62040,  42.67730,  21.82980, -13.98260,-121.10900,  27.48950,   5.23809,   1.74466,  89.93750,  -4.61058,-105.77600, -72.56800,   4.46241, -20.02480,  12.24310,  -9.97298,-128.59000,  44.37830,   5.61183, -12.12680, 176.36900,  15.77340, -57.49040,  -0.16594,   0.04323,  71.00930,   6.30245,  -9.37050, -53.72830,   0.43185,  -0.52242, -21.51710, 176.49900,  13.22220, 176.96200,   0.04489,  -0.06426,  22.77810,   1.38682,  -4.38025, -41.04220,   1.89593,  -2.73322, -35.13540
   0.16667,   0.00000,   0.00000,  -0.00000,  92.79770,   3.05290, -12.20300, 159.91900,  81.10470,-160.62000,  -1.57109,  16.76240,  -1.17753, -10.18940,   3.00745,   2.47692,   4.88287,  -3.81556,   2.40439, -88.01110,  -6.31651, -87.48380, -72.23890,  14.41420,  43.76150,  23.17040, -16.44780,-123.48800,  25.93870,   5.26266,   1.08611,  90.04970,  -3.33907,-104.14100, -75.46560,   8.92029, -13.05850,  16.89300, -12.91940,-126.36400,  38.38060,   5.64340, -14.60980, 179.53100,  15.97650, -43.53590,  -0.03202,   0.01913,  46.34680,   5.30807,  -2.10465, -52.51820,   0.43484,  -0.52637, -21.55330, 179.02200,   7.95418, 176.80900,   0.07328,  -0.08766,  32.48850,  -3.66511,  -8.27064, -35.72520,   0.50460,  -0.56192, -20.77770
   0.20000,   0.00000,   0.00000,  -0.00000,  90.24010,   3.38336,  -7.98496, 149.34500,  82.15830,-148.93300,   0.20343,  13.46070,   0.80205,  -9.69350,   2.44354,   4.88261,   3.59698,  -1.28697,   3.57959, -88.60540,  -5.12438, -89.75750, -79.99980,  14.51270,  42.31740,  23.43320, -17.03260,-124.05200,  25.62930,   5.37417,  -2.11632,  90.09650,  -1.84334,-101.99400, -78.43030,  15.17770,  -5.28899,  19.57630, -11.75480,-119.80500,  35.03730,   5.65809, -15.84160,-179.81400,  12.31680, -28.75420,   0.00893,  -0.01945,  27.35620,   7.02668,   7.25807, -45.93690,   0.43342,  -0.52449, -21.53590,-177.68500,   2.84218, 173.24200,   0.03772,  -0.01224,  52.13790,  -4.62774,  -5.16110, -38.10910,   0.59375,  -0.67032, -21.55810
   0.23333,   0.00000,   0.00000,  -0.00000,  90.23730,   3.31591,  -5.43356, 127.51200,  83.73450,-127.18700,   2.17083,   7.60915,   0.50488,  -9.00304,   2.41835,   6.58018,   2.10343,   2.67422,   5.17774, -89.28180,  -3.25706, -92.57140, -84.68160,  13.65270,  37.16220,  23.69680, -16.65190,-123.14000,  24.69740,   5.45043,  -4.67207,  90.10450,  -1.19139, -99.97230, -81.34460,  19.97900,   2.60098,  18.01840,  -7.09964,-110.78900,  33.63180,   5.66645, -17.16680, 178.72200,   6.23863, -21.30810,  -0.00970,   0.03750,  24.71560,   4.17207,  11.32870, -46.49220,   0.77959,  -0.66059, -30.67990,-177.84900,   0.80619, 162.56500,  -0.00051,   0.00215,  77.24100,  -4.72909,  -5.88512, -37.84740,   0.55594,  -0.62398, -21.22560
   0.26667,   0.00000,   0.00000,  -0.00000,  91.54410,   2.44893,  -3.72941,  96.22670,  84.10000, -96.62080,   3.96971,   1.29106,  -0.83208,  -8.02982,   2.24178,   6.67658,  -0.31875,   6.65073,   7.04852, -89.89340,  -0.65432, -95.79580, -82.40430,  14.11400,  28.22790,  18.39340, -12.50530,-123.06600,  24.65730,   5.45067,  -4.66842,  90.12070,  -0.95299, -97.77410, -81.94760,  19.93100,  11.22290,  23.67970,  -5.98074,-103.37900,  31.13970,   5.67992, -19.44060, 177.23200,   1.13486, -16.94750,   0.02304,   0.00804,  33.02190,   7.99503,  15.55740, -71.14560,   0.07820,  -0.08801, -17.43550, 179.84500,  -0.90549, 148.66900,  -0.12573,  -0.03367,  99.99430,  -2.09264, -10.08900, -37.08250,   0.55287,  -0.62024, -21.19870
   0.30000,   0.00000,   0.00000,  -0.00000,  94.09410,   0.80971,  -1.79069,  72.90780,  82.71870, -74.39120,   6.11296,  -4.24683,  -2.73737,  -8.62791,   2.23564,   5.25618,  -2.68132,   8.28291,   9.20953, -90.30640,   2.06105, -96.53550, -72.02860,  17.69300,  12.47770,  18.84790, -12.72270,-122.82400,  28.36550,   5.35057,  -1.41829,  89.90410,   0.65634, -96.72450, -76.36210,  16.43460,  22.01680,  24.97120,  -6.11987,-102.89700,  32.80310,   5.67261, -17.85040, 173.27300,   5.07002, -14.39180,   0.15191,  -0.09697,  41.85850,   8.79501,   8.61243, -79.84500,  -0.07812,   0.08069, -16.57640, 175.93000,  -3.52409, 135.23300,  -0.45417,  -0.23102, 114.76100,   3.89031, -13.83710, -38.42710,   0.57017,  -0.64136, -21.35050
   0.33333,   0.00000,   0.00000,  -0.00000,  93.92640,  -0.19675,  -4.06052,  62.13130,  82.66750, -63.87120,   5.12578,  -6.80049,  -3.17411, -10.78270,  -0.42524,   3.50263,  -2.60493,   7.09860,  10.94320, -90.06650,   0.66313, -99.39700, -63.33250,  14.90520,  -5.30795,  23.62510, -17.16640,-124.00800,  25.56560,   5.31005,  -0.22753,  89.72100,   1.33094, -93.14240, -69.88040,  13.28770,  32.14690,  18.58580,  -4.59943,-103.41200,  34.94220,   5.66744, -17.00150, 173.25800,   6.38414, -10.98460,   0.16299,  -0.11778,  40.75800,   8.86832,   6.26152, -84.20600,  -0.05731,   0.05883, -16.57670, 176.34700,  -6.39655, 121.78200,  -0.72206,  -0.40607, 117.75200,   9.43494, -20.82430, -42.59600,   0.58063,  -0.65417, -21.44250
