time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.87830,  -2.00464, -27.78500,  89.67600,  84.90580, -88.27800,   2.42509,  -0.12273,   2.79583, -17.66720,  -1.05576,   0.29504,  -0.68051,   1.32538,   0.66733, -89.77430,  -2.22081, -99.19490, -23.27030,  22.99630,  -8.76127,  13.55730, -14.28890,-135.66600,   4.74767,   5.39555,  -2.79260,  90.71270,  -5.28943, -97.31550, -21.97890,  -8.42816,  20.10480,  -0.07931,  -0.63860,  -6.98889,  -0.66756,   4.53890,  15.95250,-175.41400,   2.35829, -54.37210,  -1.23992,  -0.12778,  94.72740,  17.38260, -15.40590, -40.97120,   0.56281,  -0.70065, -23.12770,-164.02300,   8.15803, 143.57800,   0.07437,  -0.02122,  54.42190,  -2.32663, -12.81370, -87.30810,  -0.30740,  -2.29922, -26.93310
   0.03333,   0.00000,   0.00000,  -0.00000,  89.00360,  -1.48671, -27.06590,  94.00480,  85.10850, -94.20210,   1.99456,   0.69274,  -0.40633, -16.54520,  -2.30886,   0.48207,   0.55749,  -0.90242,   1.15724, -89.73520,  -2.49330, -98.93750, -22.87600,  23.55240,  -8.92276,  14.18290, -14.92590,-135.54500,   4.76241,   5.39241,  -2.69275,  90.68130,  -5.26461, -97.61730, -21.48230,  -7.53048,  20.53230,   0.10907,   0.84662,  -7.40868,   0.10079,   4.54367,  15.87240,-178.07100,   5.32997, -61.07960,  -0.85171,   0.00059,  88.38180,  13.11280, -19.31340, -51.67300,   0.47962,  -0.58622, -22.09760,-169.64500,  11.87050, 153.92600,   0.02961,   0.00331,  44.89890,  -1.17388, -12.73470, -78.24940,   0.43717,  -3.21283, -34.11430
   0.06667,   0.00000,   0.00000,  -0.00000,  93.68920,  -0.36167, -27.32520,  95.44360,  85.70680, -97.25140,   0.79895,   0.92411,  -3.61932, -14.82820,  -3.63334,   0.83394,   1.90660,  -2.72560,   1.55069, -89.69760,  -2.89913, -99.04330, -23.02730,  25.19240,  -9.26039,  15.41810, -16.14920,-135.24300,   4.22264,   5.38969,  -2.60495,  90.65860,  -5.19537, -97.76580, -21.86590,  -6.04009,  21.38070,   0.08629,   0.66209,  -7.51146,   0.98609,   4.58067,  15.24580, 177.45500,   7.24831, -64.20290,  -0.45868,   0.11507,  73.76370,  11.08670, -16.22860, -58.54110,   0.46806,  -0.57065, -21.95630,-175.54300,  13.51460, 163.65500,   0.03630,  -0.00088,  33.19480,   1.46085, -14.73870, -62.53170,   2.47462,  -4.23914, -44.09100
   0.10000,   0.00000,   0.00000,  -0.00000,  96.10550,   0.87896, -26.91900, 101.02000,  85.89130,-103.67800,   0.34608,   1.74221,  -5.31775, -13.39780,  -4.70637,   1.06960,   2.67264,  -4.34552,   1.92383, -89.65470,  -3.45204, -99.28400, -23.24910,  27.17050, -10.29980,  16.53150, -17.30830,-135.06700,   4.15243,   5.39602,  -2.80814,  90.61280,  -4.54053, -97.30390, -21.08100,  -6.50246,  22.81150,   0.43175,   3.16372,  -7.79193,   2.47830,   4.58466,  15.17790, 172.94300,   5.86394, -61.97250,  -0.17675,   0.11621,  55.37330,   4.47546,  -5.59839, -65.62890,   0.41641,  -0.50206, -21.33100,-178.40200,   7.98131, 171.35100,  -0.01363,   0.08267,  24.20140,   8.32567, -19.65970, -37.65650,   2.80922,  -5.79575, -52.93520
   0.13333,   0.00000,   0.00000,  -0.00000,  95.00000,   2.54043, -24.71630, 103.24900,  85.52710,-105.40500,   0.98722,   2.17685,  -4.32911, -12.13010,  -4.99226,   1.24557,   2.94284,  -5.04735,   2.02145, -89.66210,  -3.07646, -98.72710, -22.73610,  28.76070, -11.56580,  17.34130, -18.14730,-134.92700,   4.01818,   5.41907,  -3.56749,  90.53450,  -3.63318, -96.62390, -20.05250,  -5.08367,  22.99540,   0.50862,   3.90560,  -7.43883,   3.40460,   4.60903,  14.75940, 169.77200,   1.15550, -55.93270,  -0.15341,   0.15943,  41.12910,  -4.76563,   4.03064, -69.26700,   0.42242,  -0.50997, -21.40330,-177.12800,   0.82936, 174.39800,  -0.05709,   0.14220,  26.86630,   5.59031, -24.66220, -19.58200,   1.72004,  -2.38164, -32.95460
   0.16667,   0.00000,   0.00000,  -0.00000,  93.98420,   3.80321, -22.05420,  98.39520,  85.24020, -99.88140,   1.67288,   1.46807,  -2.99127, -10.21520,  -4.82870,   1.32312,   3.05881,  -4.58606,   2.00112, -89.71980,  -2.57034, -98.77770, -23.22900,  29.88380, -12.08860,  17.30120, -18.00480,-134.77800,   4.24615,   5.41406,  -3.40124,  90.48200,  -3.34867, -96.80520, -18.49680,  -4.96460,  23.91150,   0.52844,   4.11034,  -7.34566,   4.19171,   4.62953,  14.40350, 164.50500,  -2.61706, -51.87480,   0.53391,  -0.64473,  39.15830,  10.41160,   2.68475, -67.24940,   0.43987,  -0.53304, -21.61400,-176.04800,   1.08613, 172.31300,  -0.22368,   0.27188,  41.16460,   3.47400, -10.45630, -20.73620,   0.57506,  -0.64734, -21.39350
   0.20000,   0.00000,   0.00000,  -0.00000,  94.84930,   4.41082, -20.49470,  86.09080,  85.09090, -87.67760,   2.02347,  -0.58945,  -3.16006,  -8.84008,  -4.69746,   1.84037,   2.65760,  -3.13536,   2.16006, -89.78150,  -2.35702, -99.70220, -23.14510,  29.49150, -12.25430,  16.19640, -17.23450,-135.56800,   4.44629,   5.41684,  -3.49462,  90.54970,  -3.48494, -96.03060, -18.06720,  -4.85885,  23.13390,   0.55361,   4.59592,  -6.88566,   4.88029,   4.66018,  13.86330, 163.15400,  -5.97499, -49.19340,   0.25484,  -0.20437,  48.81250,  11.21030,   2.59548, -71.29330,   0.18969,  -0.21827, -18.68480,-177.93700,   4.17983, 164.06000,  -0.43095,   0.24385,  60.72610,   4.70118,  -6.84239, -26.73640,   0.48854,  -0.54270, -20.63830
   0.23333,   0.00000,   0.00000,  -0.00000,  96.50250,   4.08474, -18.11760,  75.29440,  84.15410, -77.41210,   3.49679,  -2.88551,  -4.14330,  -9.59019,  -4.72565,   1.76516,   2.35469,  -1.36636,   2.80001, -89.84980,  -1.96634,-100.63500, -21.43800,  27.92010, -14.13220,  14.60670, -15.75910,-136.18300,   4.16287,   5.39509,  -2.77906,  90.73460,  -4.07805, -94.78100, -18.61420,  -5.68331,  22.39090,   0.24341,   2.35216,  -5.93144,   1.94425,   4.71696,  12.84420, 163.99800,  -3.67254, -42.23920,   0.15385,  -0.08445,  55.28190,   8.75557,  -1.67862, -81.40990,  -0.01141,   0.00905, -16.57700, 178.51300,   5.39333, 153.13400,  -0.46593,   0.09490,  77.82670,   5.95844, -19.70080, -31.01710,   0.50194,  -0.55873, -20.75460
   0.26667,   0.00000,   0.00000,  -0.00000,  96.48830,   3.49109, -17.01100,  69.96550,  82.97320, -71.94070,   5.37260,  -4.76239,  -3.72392, -12.42180,  -4.46148,   1.20323,   0.65397,   0.67821,   2.64720, -89.88280,  -2.33255,-102.12000, -21.26850,  25.02920, -15.89850,  13.82570, -14.71290,-135.90400,   4.25586,   5.38295,  -2.39280,  90.85570,  -4.39365, -93.96820, -18.69220,  -8.13977,  22.69090,   0.15660,   1.78110,  -5.05786,   0.91959,   4.75826,  12.09740, 165.11900,  -4.13686, -33.99360,   0.14116,  -0.07545,  55.52550,   6.97122,  -3.00746, -87.97320,   0.14372,  -0.16385, -18.16580, 178.15400,   2.70545, 141.29200,  -1.03990,   0.06040,  85.90140,  16.71450, -26.68790, -36.89700,   0.53145,  -0.59425, -21.01140
   0.30000,   0.00000,   0.00000,  -0.00000,  93.19820,   2.23186, -17.19340,  66.99450,  82.49840, -67.76500,   6.02942,  -5.83603,  -1.23256, -14.07400,  -3.04118,   0.36674,  -0.85882,   2.76758,   2.78763, -89.89030,  -2.54715,-102.53200, -21.31860,  23.06570, -16.92770,  12.22330, -13.10000,-136.29700,   4.54567,   5.37011,  -1.99015,  90.83620,  -4.17238, -93.65650, -18.48370,  -8.30549,  22.95180,   0.06308,   0.63744,  -5.75005,   0.10203,   4.78722,  11.55340, 169.43200,  -8.20376, -26.73660,   0.29784,  -0.20872,  52.47150,   6.17546,  -0.98153, -84.94080,   0.48317,  -0.82342, -26.20670, 179.84400,  -3.31339, 130.53000,  -1.01111,   0.10273,  83.32440,  16.20160, -32.26020, -48.03370,   0.49360,  -0.54875, -20.68220
