time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.57960,   2.66373, -19.89750,  85.74280,  66.95580, -89.87180,   5.15958,  -0.43202,   1.05228, -11.55450,  -0.19456,   3.62160, -22.09460,   1.58182,  -1.07795, -89.15180,  10.04150, -91.45180, -74.93080,  -4.93609, -36.81860,  -0.00000,   0.00001, -79.66600,  20.17100,  34.88420, -12.77210,  90.35210,  11.44600, -88.41860, -65.00370,   4.07429,  12.72450,   0.00057,  -0.00045, -53.97590,  22.29580,  -1.03889, -20.41290, 176.04300,   1.19116, -37.43720,   0.00000,  -0.00000,  58.67400,  -0.39653,   2.87944, -84.45170,  -0.51348,   0.79903, -22.36990,-178.47100,   3.93267, 126.19300,   0.00000,  -0.00001, 118.12200,  -4.83010,   8.04007, -44.94370,   1.03016,   0.74549, -24.97370
   0.03333,   0.00000,   0.00000,  -0.00000,  91.08120,   3.53199, -20.44900,  77.44510,  65.39710, -80.58430,   5.63774,  -3.96708,   3.51084, -12.64990,   2.03557,   1.93109, -23.90340,   3.63362,  -0.63015, -89.33890,   5.81498, -91.42860, -80.05030,  -4.45091, -56.38580,   0.00000,   0.00000, -87.29490,  18.66940,  35.56140, -12.30170,  90.32670,   9.49996, -88.46050, -62.99910,   8.57028,  28.44160,   0.00047,  -0.00045, -57.75510,  24.89590,  -2.46558, -20.84830, 177.16700,  -1.63385, -24.86150,   0.00000,  -0.00000,  49.94310,   1.07794,   5.52422, -81.57730,  -0.51347,   0.79903, -29.13920, 179.43700,  -0.91032, 109.78100,   0.00000,  -0.00001, 119.13200,  -3.04097,   4.04777, -50.49090,   1.03016,   0.74549, -28.14060
   0.06667,   0.00000,   0.00000,  -0.00000,  90.25580,   2.88259, -20.67420,  69.42940,  64.26980, -70.90560,   5.66008,  -7.87483,   5.45086, -12.75670,   5.12756,  -0.47218, -23.88700,   6.01922,   0.16818, -89.52560,   4.50661, -90.40830, -82.45860,  -7.07067, -68.15960,   0.00001,  -0.00000, -96.17460,  15.97280,  34.94140, -11.38240,  90.42710,   6.32361, -89.56930, -62.79790,  12.40200,  39.97570,   0.00044,  -0.00044, -57.43950,  26.82170,  -2.72454, -21.36610, 178.48300,  -5.99005,  -6.39347,   0.00000,  -0.00000,  28.00330,   3.60065,   7.53206, -64.70410,  -0.51347,   0.79903, -41.09550, 176.12700,  -5.09864, 101.30400,   0.00002,  -0.00001, 109.42100,  -2.66352,  -0.52426, -55.35190,   1.03016,   0.74548, -28.53390
   0.10000,   0.00000,   0.00000,  -0.00000,  89.39050,   0.89477, -21.17520,  63.55690,  64.22000, -62.91310,   5.30265, -10.86610,   6.19319, -11.89480,   7.93813,  -2.81146, -23.87920,   8.02220,   0.81357, -89.53090,   5.89522, -90.02870, -81.48230,  -9.19803, -72.74940,   0.00001,  -0.00001,-104.81300,  13.70500,  33.66340,  -9.34765,  90.51510,   3.85852, -90.87110, -62.87460,  15.85390,  46.94530,   0.00041,  -0.00042, -56.06020,  28.62270,  -3.05511, -21.36020, 178.77100,  -9.73884,  13.34000,   0.00000,  -0.00000,   0.00159,   4.62698,   9.82697, -35.63590,  -0.51346,   0.79904, -48.17060, 174.03100,  -7.36499,  98.13660,   0.00002,  -0.00001,  93.78730,  -3.48673,  -2.45249, -58.84780,   1.03016,   0.74548, -26.46060
   0.13333,   0.00000,   0.00000,  -0.00000,  89.00640,  -1.20309, -22.32710,  58.40670,  65.59470, -57.07640,   5.24900, -12.39830,   6.19710, -11.07640,   9.60980,  -4.12247, -24.12100,   9.12358,   1.18888, -89.40800,   7.93623, -90.40890, -76.26430,  -7.72576, -70.29570,   0.00001,  -0.00002,-109.19700,  14.56440,  33.00570,  -8.04134,  90.56870,   3.21971, -91.56190, -62.16280,  16.93970,  48.20880,   0.00041,  -0.00040, -53.35330,  29.49300,  -4.02843, -21.65410, 177.26800, -10.50730,  17.32400,   0.00000,  -0.00000,   0.00209,   0.70530,  11.71290, -16.47550,  -0.51346,   0.79905, -36.68740, 174.36400,  -7.31156,  99.37450,  -0.00000,  -0.00001,  74.92400,  -5.74563,   0.18609, -61.37520,   1.03016,   0.74549, -23.50280
   0.16667,   0.00000,   0.00000,  -0.00000,  89.25110,  -2.68501, -22.41790,  56.28350,  66.62130, -56.21630,   5.79038, -12.30140,   6.19055, -10.91900,   9.92477,  -4.27305, -24.55860,   9.12135,   1.17618, -89.23800,   9.18093, -91.17910, -69.98290,  -1.98480, -62.55140,   0.00001,  -0.00001,-107.92600,  16.99170,  34.56720,  -7.31441,  90.59270,   3.97241, -91.48690, -60.55240,  13.51620,  43.10860,   0.00041,  -0.00038, -49.25910,  28.20200,  -5.85634, -22.20750, 174.23500,  -8.44341,  22.41910,   0.00000,  -0.00000,   0.00288,  -7.35306,  11.55400,  -3.69029,  -0.51348,   0.79903, -24.30620, 176.20300,  -6.01323, 105.28700,  -0.00000,   0.00000,  58.28390,  -8.18918,   3.64809, -62.59500,   1.03017,   0.74549, -20.19270
   0.20000,   0.00000,   0.00000,  -0.00000,  89.65850,  -3.32735, -20.95100,  59.43540,  66.54800, -60.76590,   6.43411, -10.91220,   5.89085, -10.84150,   9.29494,  -4.05851, -25.34560,   8.12390,   0.81923, -89.00300,  10.18630, -92.29640, -66.82010,   5.31888, -51.51440,  -0.00000,  -0.00001,-101.66500,  20.24880,  35.11310,  -7.69554,  90.55140,   5.80232, -90.59660, -60.36170,   9.17949,  34.40770,   0.00039,  -0.00037, -47.34740,  27.22210,  -6.90979, -22.57810, 171.89000,  -7.19689,  10.48750,   0.00000,  -0.00000,  34.56370,  -9.49810,   6.52618, -12.74610,  -0.51346,   0.79902, -23.29190, 177.52500,  -4.33949, 113.10600,   0.00000,  -0.00000,  50.96970, -10.40900,   4.92502, -61.79520,   1.03018,   0.74548, -20.69470
   0.23333,   0.00000,   0.00000,  -0.00000,  89.46260,  -2.82224, -19.37760,  67.08920,  66.16350, -67.19840,   6.60408,  -8.71237,   4.25463, -10.82640,   7.88106,  -3.31693, -26.07690,   6.88108,   0.00685, -88.79280,  11.30110, -93.12360, -67.66560,  10.38490, -37.68590,   0.00000,   0.00000, -92.78230,  22.39450,  33.14820,  -8.32444,  90.35560,   8.79078, -88.71950, -61.38390,   7.35921,  23.78330,   0.00041,  -0.00040, -51.44140,  27.64370,  -6.37121, -21.96860, 173.71200,  -9.92482,  -2.67448,  -0.00000,  -0.00001,  66.62120,  -8.82494,  -0.02128, -21.07200,  -0.51347,   0.79903, -22.78140, 177.75900,  -3.87812, 120.39900,  -0.00000,   0.00000,  52.50460, -12.76940,   3.72025, -63.83310,   1.03016,   0.74550, -22.25050
   0.26667,   0.00000,   0.00000,  -0.00000,  88.76250,  -2.12335, -18.85470,  76.21770,  65.06550, -74.04220,   7.19322,  -6.34862,   1.49006, -11.79250,   6.28072,  -1.93324, -26.89910,   5.94519,  -0.75269, -88.74830,  11.69910, -93.22780, -69.98340,   8.69155, -22.39310,  -0.00000,   0.00000, -85.93600,  22.53100,  32.12850,  -9.46951,  90.09270,  11.64500, -87.00340, -62.89130,   6.81135,   7.88449,   0.00044,  -0.00046, -60.82090,  28.11570,  -3.87568, -20.33360, 176.86500, -14.27280, -19.52730,   0.00000,  -0.00001,  92.22170,  -3.26557,   0.20011, -28.44830,  -0.51347,   0.79904, -22.03070, 178.55400,  -5.50442, 127.69300,  -0.00000,   0.00000,  55.25570, -12.37640,   0.99698, -68.99780,   1.03016,   0.74548, -19.63260
   0.30000,   0.00000,   0.00000,  -0.00000,  88.41640,  -2.68166, -19.22540,  82.65350,  63.41910, -80.58350,   8.27406,  -4.18006,  -0.96941, -12.95120,   5.23668,  -0.92293, -28.46350,   5.24999,  -0.68344, -88.96650,  11.24560, -92.16960, -69.31810,   0.82905,  -6.87030,  -0.00000,   0.00001, -84.54360,  23.18110,  30.33710, -10.29320,  90.11260,  11.98810, -87.10040, -66.18640,   6.24115, -12.22690,   0.00037,  -0.00051, -74.46960,  26.01600,   1.68897, -17.98820, 175.63300, -15.47640, -41.35990,  -0.00001,  -0.00002, 110.16300,   3.40966,   1.79369, -36.31100,  -0.51347,   0.79903, -25.70020, 179.78800,  -7.37778, 135.28500,  -0.00000,   0.00000,  56.53210, -10.67630,   0.20014, -74.96730,   1.03017,   0.74548, -19.21720
