time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  93.43000,   3.18241, -14.71690,  86.65630,  73.99300, -87.39170,  24.19060,  -1.91206,  -1.06985,  -8.90823,  -2.00181,  -1.96027,  -9.15807,  -4.47010,   1.45282, -89.74630,  -4.76806,-101.94400, -80.15890,   4.22691,  -9.70778,  27.71140,  -0.74049, -91.40390,   8.80968,   5.20103,   2.69798,  90.02400,  -0.54661,-102.46600, -76.43790,  -5.67362,  10.90670,  19.07570,   8.89442, -65.90520,  38.70700,   5.68182, -20.74270, 170.75700,   0.93910, -32.48860,   0.40024,  -0.33572,  47.15270,   6.81912,  -0.73530, -79.43830,  -0.01045,   0.00891, -16.57710, 179.09800,  -0.48281, 137.53700,  -0.62871,   0.06803,  82.43700,   8.99930, -17.71180, -39.49880,   0.59057,  -0.66641, -21.53020
   0.03333,   0.00000,   0.00000,  -0.00000,  91.70840,   3.69468, -15.30540,  85.65500,  74.20300, -85.43520,  23.75540,  -2.28916,   0.92368,  -9.89872,  -1.72127,  -3.46041,  -7.82763,  -3.41123,   1.07388, -89.86120,  -7.19417,-103.88900, -81.44900,   6.20264, -19.31250,  25.49480,  -3.63691, -97.58910,   8.00148,   5.16333,   3.62271,  90.06430,  -0.83895,-100.62600, -72.58690,  -8.31583,  21.11440,   9.05329,   3.96855, -66.55020,  41.80120,   5.68107, -19.99280, 173.15500,  -1.78493, -24.75340,   0.31310,  -0.32208,  41.83820,   7.24196,   2.06113, -82.86900,   0.00955,  -0.01060, -16.68150,-179.57900,  -2.06904, 131.40400,  -0.60316,   0.10654,  78.54620,  10.23420, -22.88550, -45.10180,   0.49125,  -0.54595, -20.66190
   0.06667,   0.00000,   0.00000,  -0.00000,  89.02210,   2.46433, -16.46000,  84.26900,  74.74590, -83.30670,  22.63510,  -2.83663,   2.50180,  -8.79725,  -0.32338,  -3.86461,  -7.46951,  -1.38024,  -0.65197, -89.83290,  -8.48707,-103.86800, -84.02950,   6.55407, -23.75800,  19.14410,  -5.08982,-104.34600,  10.23130,   5.16545,   3.57403,  90.14860,  -2.05985,-100.87000, -71.27600, -12.60480,  28.62500,   7.90955,   2.57873, -72.05700,  40.13170,   5.68060, -19.80590, 176.39000,  -6.45069, -17.63660,   0.33109,  -0.47627,  34.17150,   7.61988,   5.71358, -77.18640,   0.47529,  -0.65484, -23.91260,-177.93700,  -5.17363, 128.47400,  -0.41868,   0.17639,  65.51450,   8.87333, -25.53610, -51.87180,   0.45636,  -0.50447, -20.36040
   0.10000,   0.00000,   0.00000,  -0.00000,  87.33220,   1.07740, -18.47880,  83.47700,  75.42480, -82.33640,  21.25080,  -3.09532,   2.87116,  -8.02482,   0.74010,  -4.53649,  -7.14568,  -0.32556,  -0.28831, -89.72550,  -8.25758,-103.08900, -83.19910,   8.76835, -24.63460,  19.47980,  -7.43357,-110.08500,  10.45820,   5.22458,   2.07101,  90.11930,  -2.07305,-101.70700, -72.08590, -14.89790,  31.61690,   7.62100,   1.96904, -75.60320,  37.78990,   5.68093, -20.28600, 179.55900,  -8.27372, -16.39880,   0.02451,  -0.03084,  32.71450,   0.78262,   9.20885, -60.43530,   3.67586,  -0.63877, -39.89340,-176.85100,  -6.93530, 129.67000,  -0.19603,   0.19121,  43.45640,   7.05329, -25.77410, -56.41620,   0.40404,  -0.44316, -19.91210
   0.13333,   0.00000,   0.00000,  -0.00000,  87.55960,   1.05599, -18.66770,  83.07770,  75.25440, -81.85560,  21.57390,  -3.31658,   3.08675,  -8.15056,   0.82880,  -5.91088,  -7.67716,  -0.57752,   0.66055, -89.68760,  -7.15244,-102.49200, -82.18430,  11.69270, -22.34580,  19.57680,  -8.37722,-112.27700,   8.88035,   5.30019,   0.06406,  90.08470,  -1.93233,-102.48900, -74.36270, -14.84920,  29.83400,   8.19673,   2.04132, -76.11400,  36.66220,   5.68118, -22.09090,-179.19000,  -3.10128, -16.42190,  -0.03753,   0.05171,  36.89740,   0.15769,   9.33308, -46.18080,   1.61733,  -2.76695, -40.06590,-175.72300,  -4.86808, 136.18400,  -0.03737,   0.07743,  20.08180,  -0.09623, -22.10940, -60.27820,   0.39384,  -0.43132, -19.82510
   0.16667,   0.00000,   0.00000,  -0.00000,  88.36960,   1.27174, -17.76600,  85.10080,  75.01610, -83.88580,  22.13250,  -2.33882,   2.89850,  -7.74629,   0.39486,  -7.53712,  -8.12431,  -2.52087,   2.26632, -89.72510,  -6.07372,-102.40400, -82.03600,  13.15610, -17.96030,  18.90570,  -6.67336,-108.74500,   8.52488,   5.32214,  -0.55734,  90.04550,  -1.56720,-103.33800, -76.44120, -12.56650,  25.17160,   6.46564,   1.77018, -74.74920,  37.77100,   5.67892, -23.08550,-178.19400,   3.80310, -19.81810,  -0.12147,   0.10086,  48.63720,  -6.14638,   9.28639, -36.00900,   0.53889,  -0.66732, -22.82890,-173.84400,  -2.77993, 137.49100,  -0.00045,  -0.00367,  16.79280,   1.71384, -20.88000, -58.92700,   0.43069,  -0.47427, -20.13990
   0.20000,   0.00000,   0.00000,  -0.00000,  87.75180,   1.94119, -17.61660,  90.18740,  75.42510, -88.62650,  21.38180,   0.27731,   3.08173,  -8.14596,  -0.53606,  -6.79869,  -7.05999,  -5.00892,   1.96193, -89.80240,  -5.04535,-102.75500, -83.09190,  11.19150, -11.59690,  20.55470,  -4.22768,-101.12100,   7.41871,   5.31813,  -0.44272,  90.00650,  -0.30821,-103.80400, -76.51430,  -9.48785,  18.47310,   3.62955,   1.12821, -72.76630,  41.05800,   5.67427, -24.19510,-175.76300,   5.32695, -27.43010,  -0.30083,   0.13786,  63.77150,  -5.67181,   9.28275, -30.53350,   0.42342,  -0.51129, -21.41530,-170.62600,  -0.43815, 132.88400,   0.04526,  -0.06033,  31.14810,   7.08597, -18.77090, -52.00390,   0.22358,  -0.23879, -18.39490
   0.23333,   0.00000,   0.00000,  -0.00000,  86.96430,   2.96593, -14.52770,  94.89970,  74.70170, -92.96890,  22.69180,   2.78885,   3.32088,  -7.76241,  -1.95878,  -4.84557,  -8.78233,  -6.89511,   0.92409, -89.84110,  -4.80622,-103.10500, -84.81870,   4.86146,  -4.74424,  20.88120,  -0.37628, -90.99060,   9.72957,   5.34341,  -1.17343,  89.99230,   0.40588,-103.90500, -74.95690,  -6.66958,   8.31482,   7.53929,   2.47841, -71.91110,  43.96710,   5.67526, -23.84390,-173.86200,   5.60180, -33.53000,  -0.38228,   0.06897,  77.90230,  -1.40902,   3.75827, -36.18680,   0.43199,  -0.52260, -21.51870,-168.53000,   1.69838, 133.82800,  -0.10564,   0.12180,  47.03820,   3.35358, -18.84170, -66.76590,   0.00145,  -0.00150, -16.58550
   0.26667,   0.00000,   0.00000,  -0.00000,  85.97450,   2.97528, -12.16250,  97.12120,  73.57150, -95.00240,  24.80680,   4.24876,   3.33095,  -9.71978,  -1.91271,  -3.53169,  -9.07922,  -7.37193,  -0.27239, -89.80050,  -4.07754,-102.19400, -83.62220,  -4.11907,   2.43827,  22.94930,   2.42925, -84.28610,  14.24010,   5.36908,  -1.95617,  90.00000,   0.07729,-105.06900, -71.61310,  -4.30860,  -6.03088,  10.98190,   3.12155, -74.31660,  45.85050,   5.67898, -22.84000,-173.36200,   4.71841, -40.20840,  -0.58747,   0.03042,  85.50190,   6.22459,  -3.83737, -41.97440,   0.42017,  -0.50703, -21.37650,-166.70500,   5.06311, 139.77300,  -0.25076,   0.21954,  52.55440,   1.75972, -16.48210, -76.54260,  -0.10455,   0.07051, -16.57260
   0.30000,   0.00000,   0.00000,  -0.00000,  86.67800,   2.53539, -12.63830,  97.69850,  73.70020, -96.37690,  24.53970,   4.41524,   1.69972, -10.27780,  -1.82234,  -1.68308,  -8.66197,  -7.49191,  -0.60038, -89.71180,  -3.28275, -99.98090, -78.19580, -10.64480,  12.80650,  23.20750,   2.28611, -84.68650,  13.84430,   5.36707,  -1.89704,  89.97230,  -1.70764,-105.92500, -71.10490,  -3.60251, -18.90250,  14.70740,   2.38891, -80.97750,  43.60760,   5.68333, -21.10980,-174.94200,   3.09432, -48.08630,  -0.63531,   0.04526,  84.33040,  10.08710,  -9.76958, -47.38710,   0.40030,  -0.48100, -21.13790,-167.54400,   6.65015, 146.19100,  -0.32565,   0.28494,  51.58350,   0.49678, -14.91200, -82.62640,  -0.04578,   0.03089, -16.57330
