time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.65300,   3.02812, -21.83900,  81.65460,  80.33060, -82.37900,  11.36040,  -2.80732,  -1.16914,  -6.76129,  -3.81602,   0.69160, -29.39150,  -5.29420,   7.78104, -89.53080,  -2.06333, -92.18210, -60.66110, -23.95210, -34.60280, -14.74220,  -3.32411, -77.59070,  23.71220,   5.64130, -14.15500,  88.63910,   9.78424, -97.04160, -51.40530,  -9.50011, -12.33340,  -9.17098,  -5.45598, -59.49150,   9.91654,   5.44406,  -4.42704,-176.86800,  -5.63539, -34.13640,   0.06034,  -0.02606,  52.89500,  -2.17928,  -2.00814, -85.57750,  -0.70000,  -1.10921, -21.31220,-178.49500,  12.34540, 116.52300,   0.74054,   0.17804, 105.06800,   2.49344,  -9.56332, -40.67990,   0.45289,  -0.55244, -21.82760
   0.03333,   0.00000,   0.00000,  -0.00000,  87.74730,   2.81691, -23.89350,  81.30130,  80.43900, -81.39340,  11.14390,  -2.87261,   0.09628,  -6.37441,  -3.65336,   0.49524, -29.81360,  -4.37830,   7.53761, -89.36900,  -2.67477, -91.72120, -58.60750, -20.49060, -36.71280, -20.18200,  -4.92893, -76.84440,  26.96550,   5.66264, -16.36470,  88.56300,   8.99950, -95.88800, -49.00790, -11.56930,  -9.61602, -11.14610,  -5.77419, -62.94630,   8.75357,   5.42900,  -3.90085,-175.21800,  -6.57669, -27.40430,   0.04887,  -0.02745,  46.20750,  -4.00504,  -0.06020, -81.00450,   0.28704,  -0.52958, -25.63680,-175.36000,  10.76660, 108.65200,   0.47706,   0.02435,  95.42370,  -1.56151, -10.23470, -47.30040,   0.40819,  -0.49312, -21.28160
   0.06667,   0.00000,   0.00000,  -0.00000,  87.27030,   2.48306, -26.27450,  81.23130,  80.69590, -80.62900,  10.64920,  -2.80167,   1.46547,  -5.63584,  -3.17141,   1.05517, -29.61680,  -2.67981,   6.74914, -89.55800,  -1.82086, -91.35210, -57.25410, -16.58140, -33.05490, -17.53990,  -4.37033, -76.44440,  24.04350,   5.65240, -15.16500,  88.52400,   8.36558, -94.95620, -45.12040, -14.45730,  -8.77724, -10.62530,  -4.63948, -66.67790,   7.80501,   5.42848,  -3.88610,-174.13800,  -8.61296, -23.96270,   0.12036,  -0.11747,  41.67200,  -4.81201,   2.60865, -66.25590,   0.56751,  -1.47724, -40.52430,-173.06500,   9.17190, 106.35800,   0.24176,  -0.07651,  76.95010,  -5.17392,  -8.48366, -52.37870,   0.34747,  -0.41436, -20.55080
   0.10000,   0.00000,   0.00000,  -0.00000,  88.13320,   2.74289, -27.83660,  79.51390,  80.55310, -78.38170,  10.86070,  -3.38311,   2.58544,  -4.60628,  -3.21435,   2.06852, -30.08410,  -1.05576,   5.69256, -89.83050,  -0.68023, -90.99430, -57.96790, -12.09930, -26.41140, -13.63140,  -3.99312, -73.97620,  21.23200,   5.63978, -14.10270,  88.52180,   7.34194, -93.58200, -41.31650, -17.61240, -10.34370, -11.14580,  -3.75840, -71.59520,   8.31671,   5.43656,  -4.16606,-173.58100, -10.02660, -22.91600,   0.26607,  -0.30066,  40.27450,  -6.50572,   7.34817, -45.16190,   0.60532,  -2.34662, -53.62750,-171.21000,  10.35200, 109.94200,   0.08800,  -0.08671,  52.54520,  -9.03306,  -3.13156, -56.47070,   0.36891,  -0.44194, -20.80760
   0.13333,   0.00000,   0.00000,  -0.00000,  91.22470,   3.47678, -26.51940,  76.77960,  79.49440, -75.51920,  12.77300,  -4.70361,   3.04864,  -2.35935,  -3.87761,   3.85860, -31.72760,   0.27962,   3.43903, -90.19350,   0.74776, -90.49840, -59.36530,  -5.50932, -19.50210, -14.98490,  -6.18582, -68.07470,  21.31410,   5.63322, -13.57850,  88.57370,   6.05943, -91.72580, -36.68670, -21.87780, -14.14810, -12.41950,  -2.95107, -76.83580,   8.62252,   5.44304,  -4.39202,-173.97200,  -5.58335, -22.43820,   0.42816,  -0.38229,  47.53950,  -9.58882,   8.09639, -33.06210,   0.41485,  -0.85767, -30.92790,-168.63200,  16.76270, 116.44400,   0.04447,  -0.09280,  31.67870, -12.61230,  -0.02637, -46.90360,   0.35268,  -0.42103, -20.61310
   0.16667,   0.00000,   0.00000,  -0.00000,  93.83810,   5.01178, -26.98640,  76.34590,  79.55360, -74.85400,  12.63430,  -4.82181,   3.51908,  -0.59034,  -4.85071,   6.16189, -30.92530,   0.35979,   1.32499, -90.51510,   2.01698, -90.67130, -61.54830,   0.83172, -12.65650, -12.67800,  -7.26650, -60.64120,  18.58370,   5.62525, -12.95740,  88.53010,   5.45867, -89.90260, -29.76420, -27.49050, -16.75160, -13.28760,  -1.98638, -81.64670,   9.87557,   5.45673,  -4.87818,-174.25100,  -3.62077, -28.59530,   0.67810,  -0.32816,  64.24330,  -9.03978,   4.08694, -28.57160,   0.15117,  -0.25391, -21.01840,-164.32300,  21.20960, 113.12400,  -0.02318,  -0.02357,  40.80320,   7.63376,  -3.03832, -56.36860,  -0.16852,   0.09161, -16.56690
   0.20000,   0.00000,   0.00000,  -0.00000,  93.99810,   5.25169, -23.92580,  82.96820,  79.03220, -81.26980,  14.05550,  -2.56126,   3.71425,   0.13812,  -5.30657,   6.76951, -28.48960,  -0.95026,   0.49047, -90.78900,   2.93066, -89.92990, -63.70520,   5.23967,  -5.65540,  -8.87332,  -6.36969, -54.59270,  14.74510,   5.61471, -12.26350,  88.83890,   4.11273, -89.22330, -23.48250, -33.81220, -18.45540, -13.88360,  -1.54252, -83.78330,  10.65680,   5.46431,  -5.15884,-172.47400,  -4.36458, -35.46530,   1.07036,  -0.07878,  86.04690,  -8.63238,  -0.17387, -32.38650,   0.14308,  -0.23913, -20.76550,-171.51600,  18.58130, 116.63900,   0.11107,  -0.07317,  57.70800,   2.36961,  -8.85162, -70.41340,  -0.53478,  -0.53583, -16.82540
   0.23333,   0.00000,   0.00000,  -0.00000,  91.45520,   3.05910, -22.85010,  88.96800,  77.87210, -87.10820,  16.49360,  -0.28889,   3.76638,  -1.32760,  -4.39054,   6.65035, -28.80170,  -1.36712,   0.77126, -91.17950,   4.04362, -88.72470, -65.63870,   1.71342,   2.53712,  -7.22403,  -5.42124, -53.30180,  14.47740,   5.61986, -12.60770,  88.92510,   4.37549, -91.18360, -20.73370, -40.89140, -27.52460, -11.94650,  -2.19604, -79.71700,  11.05300,   5.46746,  -5.27573,-171.57700,  -7.80410, -47.66370,   1.01635,   0.20641, 102.18200,   0.63179,   2.26448, -33.21150,   0.12787,  -0.21172, -20.29430,-171.99400,  16.23650, 122.14600,   0.15589,  -0.07852,  63.16240,   0.47137,  -8.91948, -77.82650,  -0.71740,  -1.03858, -18.31960
   0.26667,   0.00000,   0.00000,  -0.00000,  91.47070,   1.21170, -24.62960,  91.79210,  77.84120, -90.68200,  16.53360,   0.83317,   2.10206,  -2.11677,  -4.02611,   6.60883, -29.03430,  -2.07391,   1.28016, -91.20330,   3.84883, -87.62410, -67.34800,  -2.85744,   8.98512,  -8.71278,  -6.44201, -53.78850,  15.57720,   5.61009, -11.96870,  89.18000,   3.60600, -92.17970, -27.09840, -44.01070, -39.66910,  -8.44803,  -2.66345, -72.60390,  10.62390,   5.46932,  -5.34503,-174.84300,  -9.84886, -61.41360,   0.94719,   0.28610, 107.81300,   1.92557,   0.74643, -37.25650,   0.12559,  -0.20765, -20.22410,-173.63300,  17.45650, 127.98400,   0.16269,  -0.07571,  61.79140,  -1.43325,  -5.34755, -81.07030,  -0.58992,  -1.27864, -20.93280
   0.30000,   0.00000,   0.00000,  -0.00000,  91.04250,  -1.19991, -27.15850,  95.02980,  78.08540, -94.96260,  15.97760,   2.06325,  -0.15505,  -2.83680,  -3.73380,   6.47815, -30.37940,  -2.91873,   1.58350, -90.98370,   3.01256, -86.90680, -67.88320,  -8.08875,  13.88090, -12.88110,  -8.17788, -58.10220,  16.43450,   5.60994, -11.95940,  89.21800,   3.52000, -92.46480, -34.04280, -40.90620, -50.50790,  -7.63308,  -3.72488, -64.14930,  14.35890,   5.46939,  -5.34136,-178.99800, -11.14110, -71.48360,   0.70885,   0.13679, 102.66400,   1.49248,  -0.01983, -43.28370,   0.11884,  -0.19570, -20.01800,-175.03300,  19.61750, 134.91400,   0.14772,  -0.08828,  55.28160,  -2.21855,  -0.05721, -77.10260,   0.39972,  -1.13139, -25.01860
