time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  93.93470,  -6.16111,  -2.55935, 105.57800,  88.32450,-106.77300,  -4.52662,   1.02726,  -2.35075, -18.24190,   3.48547,  -2.11738,  -3.08479,   0.03732,  -5.90574, -90.58930,   3.99668, -96.60060, -52.25530,  26.34510,   7.23900,  15.80360,  -1.79266, -96.30280,  14.15890,   5.48453,  -5.92079,  89.78830,   2.77401,-100.62600, -70.72150,  19.11290,  23.99970,  19.76770,   2.52299, -83.00980,  44.60610,   5.65681, -26.47720, 169.64000,  -2.60854, -13.79890,   0.26689,  -0.19631,  47.38500,   9.10928,   0.67342, -87.08100,   0.02711,  -0.03022, -16.87340, 176.27800,   0.44512, 147.28000,  -0.66229,  -0.06087,  94.09210,   9.95285, -16.50580, -36.35000,   0.62673,  -0.71118, -21.85020
   0.03333,   0.00000,   0.00000,  -0.00000,  91.91510,  -2.74239,  -4.11890,  62.99160,  88.72860, -63.28480,  -5.50392,  -1.11935,  -0.64093, -18.85950,   2.59820,  -3.06827,  -3.41955,   0.80707,  -5.75986, -90.30920,   3.29828, -99.65760, -47.49470,  26.21200, -11.07640,  18.19860,  -2.78019, -98.39450,  12.22940,   5.47275,  -5.46438,  89.92050,   0.62113, -97.62020, -73.16190,  20.39550,  37.04310,  16.00490,   3.46318, -78.10690,  44.33040,   5.63784, -28.28610, 172.93100,  -2.47387,  -7.00658,   0.17474,  -0.16030,  41.07190,  10.30580,   3.95008, -88.95480,   0.09627,  -0.10874, -17.63590,-179.87100,   1.03329, 139.70400,  -0.64148,  -0.04243,  92.62470,   8.86482, -18.98480, -42.83040,   0.61786,  -0.70017, -21.77150
   0.06667,   0.00000,   0.00000,  -0.00000,  89.71600,   0.83610,  -6.80159,   3.95856,  87.97970,  -3.14743,  -7.46849,  -4.12914,   1.35628, -20.36790,   1.98967,  -3.45080,  -3.41950,   2.62119,  -5.85187, -90.00150,   0.01145,-103.09600, -45.74840,  23.82710, -24.69570,  12.02540,  -2.58419,-101.96700,  12.10080,   5.43565,  -4.14506,  90.46820,  -2.45909, -94.24090, -75.62820,  25.40670,  47.84080,  14.99720,   3.51950, -77.09540,  42.41570,   5.62345, -29.37400, 176.79900,  -2.09641,  -1.83330,   0.22843,  -0.31966,  32.87220,  11.15070,   7.84608, -80.67990,   0.58260,  -0.81342, -25.35190,-176.18100,   0.74092, 135.01900,  -0.48645,   0.04685,  83.13570,   7.31820, -20.84540, -47.62310,   0.56691,  -0.63738, -21.32190
   0.10000,   0.00000,   0.00000,  -0.00000,  87.25630,   4.21681,  -9.55132, -10.77420,  85.89780,  13.10100,  -9.18264,  -8.37372,   3.99943, -22.08020,   2.86228,  -3.45535,  -4.45479,   5.14444,  -5.56129, -89.99390,  -2.99506,-104.87500, -42.53730,  20.33810, -34.36670,   8.73702,  -2.69608,-107.01300,  12.73560,   5.38284,  -2.37627,  91.33980,  -6.78513, -93.80010, -79.12480,  29.45020,  55.63180,  14.17760,   3.36611, -76.91720,  40.63650,   5.63392, -28.62550,-178.56600,  -1.14928,   0.58884,   0.00933,   0.00903,  25.99770,   7.07260,  11.71220, -62.63470,   3.40352,  -1.18893, -42.26680,-173.07900,  -0.38106, 134.28700,  -0.27206,   0.10636,  66.98470,   5.08144, -22.36400, -52.19120,   0.52557,  -0.58714, -20.96000
   0.13333,   0.00000,   0.00000,  -0.00000,  86.46260,   5.95940, -10.98040, -11.49730,  84.37680,  14.51670,  -9.81332, -11.43600,   5.08847, -24.38750,   3.67717,  -3.01691,  -5.14605,   7.08182,  -4.91813, -90.00150,  -5.56273,-105.01600, -41.85550,  16.25480, -38.58260,  11.49210,  -4.94020,-112.93900,  12.19650,   5.34130,  -1.11957,  91.80550, -10.54840, -95.22780, -82.28330,  29.66490,  59.93400,  13.04620,   3.32479, -75.94970,  38.49460,   5.63711, -28.35290,-177.03300,  -1.13352,   2.61062,  -0.02964,   0.09433,  21.46100,   6.60173,  12.94000, -43.48520,   1.95261,  -4.18988, -50.71530,-173.30200,  -2.67337, 138.54800,  -0.09198,   0.07966,  47.33900,   2.52412, -20.00870, -57.67690,   0.51191,  -0.57070, -20.84110
   0.16667,   0.00000,   0.00000,  -0.00000,  87.46040,   5.69960, -10.82600,  -8.87419,  84.20920,  11.69110,  -9.37205, -11.81900,   4.69332, -26.47980,   4.39552,  -3.37952,  -6.15689,   7.17383,  -4.51108, -89.87550,  -6.15072,-103.83700, -43.39220,  14.91730, -39.17040,   8.14849,  -4.42383,-118.36200,  14.16350,   5.33368,  -0.88949,  92.05990, -12.52580, -95.58370, -83.26830,  28.56790,  61.13670,  12.02090,   3.12297, -75.65100,  37.90410,   5.64559, -27.63270,-177.84200,  -1.51693,   3.64139,  -0.05841,   0.15451,  22.40840,   3.08949,  12.04850, -27.73710,   1.83876,  -3.56092, -46.06340,-176.38900,  -7.24937, 145.17700,  -0.01357,   0.02278,  30.76090,   1.25882, -17.39190, -62.78790,   0.48052,  -0.53314, -20.56900
   0.20000,   0.00000,   0.00000,  -0.00000,  88.58970,   4.35746,  -9.72377,  -4.70362,  85.00230,   6.67203,  -8.48545, -10.20940,   3.19496, -26.79960,   3.34194,  -2.86044,  -7.90891,   6.82690,  -4.38706, -89.81610,  -5.00137,-102.89100, -46.19010,  16.91960, -35.97730,   5.93348,  -3.74360,-122.26900,  15.18570,   5.34601,  -1.25741,  91.82510, -11.47760, -95.90220, -83.18460,  26.80670,  60.39530,   9.52181,   2.57022, -75.03280,  38.74530,   5.65766, -26.43120,-178.66300,  -1.64149,   1.70261,  -0.02415,   0.05135,  31.06470,  -4.32570,   5.94156, -19.55450,   0.68261,  -0.87344, -24.65840,-178.17700, -12.16810, 149.21100,   0.08412,  -0.16747,  25.12240,   1.62838, -19.79110, -64.41820,   0.47254,  -0.52366, -20.50000
   0.23333,   0.00000,   0.00000,  -0.00000,  87.67440,   3.13717,  -9.36455,   0.87297,  86.20840,   0.83001,  -7.57240,  -7.79154,   2.90025, -26.82250,   2.31643,  -2.39827,  -8.76895,   5.38372,  -4.49097, -89.85240,  -2.89283,-102.07000, -49.88490,  20.13890, -29.04930,   9.05899,  -6.22480,-124.21400,  13.85460,   5.33709,  -0.99219,  91.36020,  -9.06647, -96.43180, -82.44870,  25.10100,  56.77030,   7.12408,   1.98056, -74.54630,  40.26890,   5.66164, -25.98220,-177.21100,  -2.13544,  -3.81685,   0.01033,  -0.00473,  44.81390,  -6.37567,   1.71067, -21.23660,   0.52633,  -0.64995, -22.67290,-175.29300, -11.65480, 148.55400,   0.00601,   0.01436,  30.91730,   2.20890, -19.16380, -58.88640,   0.33244,  -0.36075, -19.30460
   0.26667,   0.00000,   0.00000,  -0.00000,  85.84020,   2.07343,  -7.68423,  28.35270,  87.36590, -26.63990,  -5.19956,  -4.82467,   3.21099, -25.70810,   1.14938,  -1.92757, -10.73930,   3.58412,  -5.02997, -89.96910,  -0.37872,-100.25900, -53.84370,  23.05270, -21.08380,  11.78970,  -7.62341,-122.44400,  11.87340,   5.31723,  -0.41399,  90.70450,  -5.47666, -97.66560, -80.64870,  24.03620,  50.92960,   5.66947,   1.48117, -75.41620,  41.15190,   5.66513, -25.55300,-175.13800,  -1.57305, -11.67570,  -0.06622,   0.03115,  64.05680,  -4.71539,  -0.13756, -26.80830,   0.53238,  -0.65831, -22.74800,-170.58200,  -9.44162, 149.50500,  -0.12451,   0.16681,  43.11670,   1.75255, -16.55190, -70.38350,   0.10634,  -0.11167, -17.43240
   0.30000,   0.00000,   0.00000,  -0.00000,  82.77560,   1.49025,  -6.05834,  75.07180,  87.48090, -72.70940,  -2.86262,  -1.51636,   4.68747, -23.50810,   0.83917,  -2.12837, -13.69390,   1.17011,  -6.27049, -90.30720,   3.08564, -99.31420, -59.48270,  23.35890, -10.29390,  16.38130,  -8.65380,-117.12000,   8.37214,   5.26957,   0.92972,  90.14880,  -1.46697, -99.21130, -77.24450,  24.11870,  41.64540,   3.51803,   0.89046, -75.82970,  43.38760,   5.66821, -25.10210,-172.27400,   1.41888, -22.26840,  -0.28482,   0.02796,  82.14130,  -3.64037,  -1.03519, -26.83930,   0.51864,  -0.63936, -22.57760,-165.50000,  -6.85935, 152.48700,  -0.11632,   0.14007,  50.48760,   2.18424, -14.32140, -79.14430,   0.02089,  -0.02167, -16.74140
