time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.57830,  -0.54016, -18.59630,  96.06490,  73.14770, -91.69240,  25.64680,   4.11013,   7.87275,  20.04140,  -2.43478,   4.48760,  -0.10130,  -3.35100,   7.09327, -91.22870,   3.83214, -87.20720, -69.59200,  19.02240,   7.22089, -30.60850, -12.45950, -70.00940,  24.78460,   5.61704, -12.35660,  88.22480,   5.67724, -87.60470, -57.41390,   7.66304, -18.58460,  -0.08573,   0.02526,-103.97500,  15.58650,   5.49960,  -6.51129,-165.64700,   7.15714, -52.43160,   0.25964,   0.15941, 125.65100, -10.98500,   9.63383,  -7.15366,   0.11734,  -0.19306, -19.97240,-170.47200,  13.02040, 141.82700,   0.12194,  -0.03489,  60.35360,   3.19297,   0.14550, -80.66250,   0.64460,  -0.82118, -24.25340
   0.03333,   0.00000,   0.00000,  -0.00000,  89.28090,  -4.45758, -19.31590,  98.65990,  72.91990, -96.39210,  25.97720,   5.31191,   3.34490,  20.76020,  -2.22818,   4.84923,  -0.14074,  -4.74801,   6.06958, -91.34790,   3.84818, -85.67970, -68.28090,  19.01490,  13.67270, -13.78530,  -3.27074, -76.97450,  15.87430,   5.59229, -10.68050,  88.84000,   3.54796, -86.88050, -56.19760,   9.59422, -28.72610,  -3.01083,   0.95391,-107.56000,  15.74190,   5.49071,  -6.16348,-170.62600,   7.26307, -61.22020,   0.08485,   0.02276, 120.81700,  -4.36947,   8.55278, -20.33180,   0.12985,  -0.21528, -20.35540,-175.24400,  13.90170, 151.88800,   0.09311,  -0.03541,  50.67620,   3.01597,   4.65336, -72.12350,   1.23979,  -1.85577, -33.02650
   0.06667,   0.00000,   0.00000,  -0.00000,  91.59650,  -7.24944, -20.42090,  99.03450,  73.49010, -98.76470,  24.90090,   5.04999,  -0.57243,  21.35980,  -1.88419,   3.89863,  -0.17950,  -5.36473,   4.88374, -91.21900,   3.20592, -84.16690, -68.77420,  17.33820,  19.57250, -11.58190,  -1.16043, -84.34340,   8.79071,   5.51877,  -7.25692,  89.13910,   2.51587, -86.10030, -54.19620,  11.83920, -35.41260,  -1.70274,   0.59399,-109.34900,  14.88920,   5.47154,  -5.42124,-174.53000,   9.27377, -66.36450,   0.10570,   0.00871, 109.48300,  -0.85818,   3.50433, -32.93760,   0.13042,  -0.21629, -20.37300, 179.20400,  16.50460, 161.18100,   0.08452,  -0.06540,  38.26590,   0.22479,  10.62310, -55.33800,   1.75406,  -3.26771, -44.07220
   0.10000,   0.00000,   0.00000,  -0.00000,  92.70010,  -8.42690, -21.66880,  99.33570,  74.52700,-100.24100,  22.86630,   4.75758,  -2.78265,  20.99450,  -1.86140,   2.03129,  -1.81340,  -5.60616,   3.62611, -90.86350,   2.17937, -83.37740, -69.93340,  14.74480,  25.10190, -14.65300,   0.00486, -90.01370,   7.83078,   5.48682,  -6.01256,  89.52870,   1.32569, -85.42320, -53.20210,  14.39600, -38.82280,   0.84191,  -0.30977,-110.49200,  13.48480,   5.42506,  -3.75896,-175.29000,  10.35160, -69.26900,   0.18442,  -0.01127,  93.75680,   0.69636,   0.19604, -41.29950,   0.11582,  -0.19037, -19.92600, 175.37800,  17.80050, 169.50500,   0.09979,  -0.17339,  25.76890,  -5.35524,  13.12690, -35.62430,   1.56810,  -2.65366, -39.36210
   0.13333,   0.00000,   0.00000,  -0.00000,  92.07960,  -9.19227, -22.70020, 100.91900,  75.44940,-102.34500,  20.93910,   5.21579,  -3.82779,  18.56730,  -2.23878,  -0.02000,  -3.83020,  -5.77530,   2.36989, -90.39640,   0.99546, -83.29510, -70.62580,  10.90650,  29.56680, -13.83850,   1.28874, -95.22440,  10.00720,   5.48799,  -6.05640,  90.04890,  -0.13494, -85.08220, -53.15270,  16.58050, -40.23650,   2.56805,  -0.99200,-111.10000,  12.44290,   5.39337,  -2.72391,-174.82000,   8.29052, -68.50390,   0.18832,  -0.07337,  74.62550,   1.76695,   1.35971, -48.18160,   0.12426,  -0.20527, -20.18330, 173.97300,  16.52430, 176.62200,   0.11275,  -0.33609,  17.32350,  -9.39867,   8.43145, -23.61990,   0.42369,  -0.51356, -21.47030
   0.16667,   0.00000,   0.00000,  -0.00000,  90.81000,  -9.79212, -22.74720, 101.85400,  75.98480,-103.50000,  19.81380,   5.46010,  -4.25890,  14.60230,  -2.14158,  -1.87614,  -5.79187,  -6.30177,   1.14282, -89.86370,  -0.34436, -83.39810, -70.65890,   6.04471,  32.26850, -10.43680,   1.83316, -99.86210,  11.35310,   5.48575,  -5.97063,  90.44630,  -1.26898, -85.62000, -53.22070,  18.30050, -40.44820,   2.37770,  -0.90156,-110.76000,  13.29950,   5.38831,  -2.56108,-174.51900,   5.40145, -63.56690,   0.10406,  -0.09774,  53.05170,   1.37877,   4.42261, -53.51800,   0.12068,  -0.19894, -20.07360, 172.78700,  17.18760,-178.78600,   0.16866,  -0.45613,  19.07240, -10.06270,   3.38176, -23.19210,   0.42957,  -0.52134, -21.54200
   0.20000,   0.00000,   0.00000,  -0.00000,  89.58150, -11.07570, -21.87850, 103.04900,  76.28520,-104.84600,  19.12530,   5.88952,  -4.59869,  10.21830,  -1.96608,  -3.09863,  -7.72809,  -7.17047,   0.37062, -89.45380,  -1.37647, -83.35420, -70.20560,   1.34518,  32.73490,  -7.52223,   1.78728,-103.29500,  11.44080,   5.47008,  -5.37483,  90.53420,  -1.60912, -86.63250, -53.80210,  19.55190, -37.69660,   0.15308,  -0.05598,-109.86400,  14.82280,   5.40924,  -3.23546,-175.60000,   2.31483, -57.54640,   0.04308,  -0.07130,  35.92730,   1.59086,   0.80998, -57.05510,   0.13522,  -0.22490, -20.52110, 171.48300,  13.21480,-176.39600,   0.18419,  -0.27812,  29.37530, -11.29050,  -0.76742, -32.89820,   0.42969,  -0.52151, -21.54340
   0.23333,   0.00000,   0.00000,  -0.00000,  87.55850, -13.41150, -21.33500, 104.55000,  76.91390,-106.35800,  17.74830,   6.30155,  -4.61137,   6.98088,  -1.49800,  -4.23537,  -9.72127,  -7.28358,   0.25788, -89.59300,  -1.01491, -83.14670, -68.26360,  -2.81307,  32.31980,  -6.08362,   1.71486,-105.68400,  12.65710,   5.46232,  -5.07758,  90.10660,  -0.34920, -88.09530, -54.81310,  21.27560, -32.61510,  -2.33850,   0.71565,-107.03700,  15.77990,   5.42462,  -3.75479,-177.00200,  -2.19730, -54.75180,   0.03451,  -0.07163,  30.92980,   1.34143,  -4.64633, -49.84860,   0.12405,  -0.20493, -20.17740, 173.03700,   5.41382,-176.02100,   0.22841,  -0.20492,  42.23250,  -3.96346,  -2.30369, -37.96210,   0.44936,  -0.54776, -21.78450
   0.26667,   0.00000,   0.00000,  -0.00000,  86.01220, -16.25530, -21.38510, 104.29800,  78.16800,-106.12200,  15.31250,   5.64552,  -4.41386,   6.68704,  -0.59860,  -5.02157, -12.59500,  -5.95489,  -0.32972, -90.25180,   0.63691, -83.41080, -64.89610,  -6.46550,  31.24630,  -7.40815,   2.21689,-106.56700,  15.09810,   5.49609,  -6.36190,  89.52490,   1.78448, -90.06400, -57.17420,  22.94480, -25.43170,  -3.66065,   0.76617,-101.82000,  15.88260,   5.41971,  -3.58879,-179.52800,  -6.97603, -52.83020,   0.04868,  -0.07274,  37.97390,   2.68279,  -3.12397, -56.09530,  -0.60635,  -0.62115, -15.58550, 172.45200,   1.04596,-179.46700,   0.38349,  -0.21263,  58.40330,  -2.16358,  -5.06258, -31.31660,   0.41521,  -0.50233, -21.36680
   0.30000,   0.00000,   0.00000,  -0.00000,  87.44180, -17.82190, -17.55910,  98.43260,  78.46280,-100.92200,  15.15070,   3.17880,  -5.40723,   5.92321,  -0.23408,  -3.46483, -12.32720,  -3.48175,  -1.29437, -91.52320,   4.09569, -84.55580, -58.52680,  -9.02848,  26.75480, -10.88650,   3.28996,-106.61700,  17.11170,   5.51151,  -7.00496,  88.41710,   6.56059, -91.39210, -59.54140,  22.55480, -16.08590,  -3.77078,   0.28230, -94.23460,  16.21420,   5.45280,  -4.72956, 178.16800,  -6.32717, -51.58400,   0.11152,  -0.07478,  57.61010,   3.95022,  -5.89585, -71.36720,  -0.47030,  -0.48582, -15.97980, 169.79600,  -1.45775, 176.35200,   0.57479,  -0.11288,  78.06940,  -4.25360,  -9.54688, -27.79880,   0.39701,  -0.47847, -21.14620
   0.33333,   0.00000,   0.00000,  -0.00000,  90.71030, -17.87140, -14.27550,  93.57910,  77.73920, -97.05480,  16.75830,   1.23417,  -7.14339,   4.66063,   0.15977,  -3.27683, -12.19760,  -3.95026,  -0.52183, -92.99710,   8.82540, -86.15580, -50.66470,  -9.06121,   9.87377, -12.07960,   2.81508,-102.91100,  18.60090,   5.52043,  -7.37017,  87.86520,  10.46180, -93.39710, -64.73000,  15.43430,  -5.28038,  -0.66119,  -0.05311, -85.17480,  21.52450,   5.47852,  -5.72102, 173.23300,  -9.06443, -43.09120,   0.10605,  -0.05150,  59.50760,   5.73938,  -3.70639, -78.94440,  -0.08443,  -0.09520, -16.59130, 168.38700,  -2.06270, 165.75900,   0.41365,   0.04768,  96.96270,   0.41683,  -6.74817, -27.58840,   0.38499,  -0.46278, -21.00100
   0.36667,   0.00000,   0.00000,  -0.00000,  90.75630, -17.86540, -11.62900,  93.97070,  76.56520, -96.94240,  19.09200,   1.52999,  -6.21648,   3.27323,  -0.47782,  -3.32171, -11.91400,  -2.51516,  -1.06813, -93.00560,   9.46412, -87.29530, -52.07040,  -8.98266, -11.46400,   1.62235,  -0.29329,-100.13000,  16.23990,   5.47967,  -5.58565,  87.71350,   9.78108, -91.77190, -67.14360,  11.36230,   1.65768,  -3.76542,  -0.75540, -78.68870,  23.14000,   5.46182,  -5.12332, 173.36400,  -7.83868, -31.46910,   0.09319,  -0.04163,  55.96050,   3.92044,  -4.84301, -83.06790,   0.05057,  -0.08008, -18.00080, 170.38900,  -2.83729, 153.78600,   0.14625,   0.04056, 109.59700,   2.09752,  -4.86617, -26.46820,   0.39799,  -0.47974, -21.15800
   0.40000,   0.00000,   0.00000,  -0.00000,  90.24000, -14.24220, -12.02490,  86.82150,  77.08330, -88.57560,  18.01030,  -1.56221,  -3.26783,   2.85920,  -0.13084,  -4.01755, -12.10110,  -0.40351,  -0.79293, -91.28240,   4.27187, -88.27470, -61.67180,  -8.50177, -23.27420,  16.22350,  -3.97527,-103.40000,  10.71140,   5.43775,  -4.21147,  87.48870,   9.50565, -90.12740, -65.13040,  14.01370,   9.15999,  -3.95742,  -0.61344, -81.22600,  18.53060,   5.52271,  -7.52184, 174.75600,  -6.33727, -21.73150,   0.07217,  -0.02946,  48.46490,   3.28098,  -2.12990, -80.63640,   0.19343,  -0.33381, -22.37650, 175.06600,   0.70483, 140.97200,  -0.07098,  -0.04868, 114.62000,   3.15625,  -8.26094, -28.90200,   0.41102,  -0.49683, -21.31600
   0.43333,   0.00000,   0.00000,  -0.00000,  88.94230,  -9.06333, -13.16670,  77.30740,  77.51000, -77.22570,  16.66020,  -5.39523,   0.95423,   1.92105,   0.22375,  -4.59336, -13.43630,   1.34627,  -0.86443, -90.30800,   1.00910, -88.02600, -64.11440,  -3.52298, -31.51630,   8.61858,  -2.61480,-106.78200,  15.16840,   5.42629,  -3.77977,  87.38650,   9.23351, -89.11940, -63.16010,  17.21460,  16.27980,  -2.10499,  -0.13988, -86.19950,  15.17410,   5.54220,  -8.34168, 178.22300,  -5.00906, -12.60200,   0.02843,   0.00689,  38.84950,   1.98737,   2.73747, -69.59260,   0.44871,  -0.96305, -32.59040,-178.40800,   4.18765, 131.84800,  -0.26140,  -0.11914, 111.51800,   4.11007, -11.85460, -36.37290,   0.41928,  -0.50772, -21.41650
   0.46667,   0.00000,   0.00000,  -0.00000,  87.74130,  -6.34821, -14.30720,  72.60280,  78.12890, -71.04970,  15.06590,  -6.90746,   4.02582,   0.80578,   0.06241,  -4.52728, -15.08800,   2.24136,  -0.17011, -89.30310,  -2.27143, -87.93470, -63.94110,   2.25809, -37.02860,  -0.96930,   0.35693,-110.04100,  18.28140,   5.47604,  -5.59655,  87.82740,   7.15792, -88.06030, -64.59250,  17.83050,  22.96440,  -2.19352,  -0.02425, -89.36260,  13.33880,   5.53472,  -7.99776,-177.81800,  -7.13941,  -4.87484,  -0.01266,   0.06465,  28.68240,  -3.16978,   9.57878, -50.35380,   0.59761,  -1.71375, -44.10630,-174.60200,   3.59569, 125.38700,  -0.25043,  -0.07421, 102.98800,   0.93302, -11.22750, -43.01680,   0.40726,  -0.49190, -21.27040
   0.50000,   0.00000,   0.00000,  -0.00000,  87.68980,  -5.15540, -15.33800,  69.64620,  79.15090, -67.03460,  12.82930,  -7.35887,   6.05719,   0.11724,  -0.15736,  -4.74331, -17.12590,   2.27798,   1.02652, -88.53110,  -4.86685, -88.18020, -62.68330,   7.40877, -40.18800,  -6.58316,   2.88675,-113.55900,  17.65220,   5.47715,  -5.63826,  88.73120,   3.85828, -86.77250, -67.13040,  16.40490,  29.23200,  -1.22120,   0.04967, -92.33830,  12.17990,   5.51303,  -7.06262,-174.68000,  -9.44081,   1.81686,  -0.01024,   0.06072,  20.76850, -13.34490,  11.92860, -33.71050,   0.46646,  -1.02300, -33.52980,-174.27500,   2.63111, 121.44500,  -0.14321,  -0.01838,  91.11720,  -1.56614,  -5.05121, -47.91640,   0.38831,  -0.46710, -21.04110
   0.53333,   0.00000,   0.00000,  -0.00000,  88.98180,  -4.15198, -14.35590,  66.78600,  79.62480, -63.63220,  11.61780,  -8.00756,   7.12974,  -0.49737,  -0.34568,  -4.61858, -19.50630,   2.44330,   2.06216, -88.40180,  -5.72868, -89.38270, -60.04240,  10.76260, -41.19120,  -9.25215,   4.84590,-117.40400,  16.10940,   5.47869,  -5.70371,  89.62320,   1.07997, -85.74890, -68.67390,  14.38880,  34.49480,  -0.98517,   0.10192, -95.87800,  11.45890,   5.47852,  -5.68669,-173.45300,  -9.58083,   7.89741,   0.05061,  -0.10711,  20.40920, -16.64090,   3.91182, -25.70540,   0.17093,  -0.29071, -21.64600,-176.32900,   3.67256, 122.38300,  -0.06825,   0.00288,  76.76440,  -3.80752,   0.96583, -53.83430,   0.37756,  -0.45313, -20.91150
   0.56667,   0.00000,   0.00000,  -0.00000,  90.78800,  -1.97728, -13.51200,  61.69310,  79.95810, -58.27820,  10.30960,  -9.38670,   7.68629,  -2.09951,  -0.56742,  -3.16289, -20.32060,   3.29384,   2.60995, -88.54710,  -5.66413, -90.58770, -58.43530,  13.35720, -39.36590, -12.44300,   7.30753,-119.94500,  13.57930,   5.52160,  -7.47346,  90.09160,  -0.25623, -85.33910, -69.19320,  12.63730,  38.22050,  -1.99192,   0.33194, -99.43570,  11.02040,   5.43208,  -4.01264,-172.47100,  -9.36479,  10.20490,   0.13723,  -0.20640,  29.64190, -10.79400,  -2.08872, -30.21820,   0.15273,  -0.25679, -21.06770,-178.45100,   6.17413, 125.64700,  -0.04126,   0.00912,  60.94450,  -4.29873,   0.43601, -59.50650,   0.37675,  -0.45208, -20.90170
   0.60000,   0.00000,   0.00000,  -0.00000,  92.11070,   0.55205, -12.33160,  58.56120,  80.19810, -54.88230,   9.40717, -10.11700,   8.20181,  -3.93798,  -1.25269,  -1.54872, -20.68110,   3.82867,   3.25922, -88.79000,  -4.88893, -91.08040, -59.02210,  16.73410, -35.50540, -18.14600,  10.30380,-118.60600,  12.23790,   5.55174,  -8.78957,  89.92470,   0.19903, -84.33210, -67.91820,  12.24810,  39.10530,  -2.64855,   0.59263,-102.60000,  11.34580,   5.41299,  -3.36393,-172.37500,  -4.57170,  11.26190,   0.20060,  -0.18112,  42.13790,  -7.41821,  -8.02766, -35.81900,   0.15116,  -0.25390, -21.01840, 179.70900,   8.18936, 129.74600,   0.00487,  -0.00922,  47.91340,  -2.09187,  -3.18907, -56.78110,   0.38786,  -0.46650, -21.03540
