time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.82730,  -9.71939,   4.06173,  88.10540,  85.55420, -87.95000,   1.12111,  -0.30282,   0.31360,  -3.95228,   2.27039,  -0.18720,   0.23185,   3.55307,  -3.71079, -91.73850,   9.22080, -94.27520, -63.50480,  24.12450,  -7.05558,  -1.47803,  -3.74544, -21.55360,  16.81810,   5.58684, -10.58420,  88.31300,  11.07840, -96.28640, -68.20190,  16.15830,   7.41783,   3.65566,  10.79490, -18.84060,   9.17256,   5.38098,  -2.32911,-176.57200,  -5.07521,  -1.43269,  -0.01841,   0.10772,  13.33670,  -3.61855,  -4.22169, -57.96720,  -0.00744,   0.00450, -16.57680, 173.09800,  19.09430, 179.72200,  -0.01535,   0.10423,  14.62390,  -2.69775,   6.22758, -59.16590,   0.01513,  -0.01687, -16.74050
   0.03333,   0.00000,   0.00000,  -0.00000,  90.83440,  -9.92683,   3.63703,  88.09960,  85.83030, -87.93080,   0.56918,  -0.28703,   0.33881,  -3.72557,   2.35926,  -0.20530,   1.05898,   3.65740,  -3.49039, -91.72150,   9.16022, -94.30930, -64.11810,  23.96320,  -6.00343,  -1.19340,  -3.28576, -19.97370,  16.47150,   5.58374, -10.41400,  88.30080,  11.17740, -96.29940, -68.13190,  15.30730,   7.83379,   3.65390,  10.90920, -18.65070,   8.82673,   5.37771,  -2.22645,-176.62700,  -5.37955,  -1.62114,  -0.01638,   0.10085,  12.79970,  -3.55834,  -4.17619, -57.65370,  -0.00529,   0.00317, -16.57700, 173.23200,  19.17190, 179.41200,  -0.01390,   0.10047,  14.14500,  -2.70488,   6.44858, -58.82860,   0.02167,  -0.02420, -16.81280
   0.06667,   0.00000,   0.00000,  -0.00000,  90.85510, -10.20620,   3.12924,  88.34100,  86.25490, -88.16940,  -0.27861,  -0.22887,   0.34238,  -3.35356,   2.52957,  -0.27619,   3.04323,   3.86195,  -3.24193, -91.71120,   9.13600, -94.34270, -65.01380,  23.25870,  -4.49065,  -0.81139,  -2.46320, -18.23590,  15.91090,   5.57945, -10.18050,  88.28910,  11.20770, -96.26230, -68.21850,  14.61500,   8.32640,   3.61125,  10.94530, -18.39110,   8.63819,   5.37381,  -2.10494,-176.72200,  -5.70181,  -1.80844,  -0.01455,   0.09416,  12.17460,  -3.49013,  -4.18126, -57.34110,  -0.00273,   0.00162, -16.57730, 173.36300,  19.22780, 179.06500,  -0.01226,   0.09572,  13.58950,  -2.73985,   6.67531, -58.46420,   0.01817,  -0.02027, -16.77410
   0.10000,   0.00000,   0.00000,  -0.00000,  90.83340, -10.45790,   2.68832,  88.60460,  86.75340, -88.41260,  -1.27452,  -0.17321,   0.38204,  -2.80975,   2.68237,  -0.35938,   6.11932,   4.20107,  -3.01662, -91.72350,   9.13336, -94.26720, -66.07340,  22.19070,  -2.83260,  -0.46888,  -1.60642, -16.26930,  15.36550,   5.57346,  -9.86663,  88.24910,  11.19030, -96.04940, -68.32110,  14.27400,   8.78866,   3.59807,  11.08110, -18.12110,   8.43344,   5.37340,  -2.09236,-176.78400,  -5.92860,  -1.96769,  -0.01288,   0.08998,  11.69400,  -3.43403,  -4.26132, -57.13360,  -0.00343,   0.00202, -16.57720, 173.49800,  19.18690, 178.85900,  -0.01113,   0.09225,  13.00750,  -2.79898,   6.83406, -58.13710,   0.02160,  -0.02410, -16.81190
   0.13333,   0.00000,   0.00000,  -0.00000,  90.84530, -10.69730,   2.45466,  89.21950,  87.25610, -89.03160,  -2.27860,  -0.09120,   0.37405,  -1.88155,   2.81294,  -0.50775,   9.69480,   4.51294,  -2.70171, -91.80020,   9.27015, -93.95960, -66.89770,  20.82170,  -1.15479,  -0.14906,  -0.58061, -14.38510,  14.82660,   5.56402,  -9.38470,  88.08680,  11.40890, -95.41430, -68.10080,  14.63070,   9.21888,   3.64211,  11.22960, -18.10490,   8.20165,   5.37037,  -1.99801,-176.87500,  -5.90768,  -1.88095,  -0.01206,   0.08639,  11.22740,  -3.40113,  -4.53839, -57.00060,   0.00045,  -0.00069, -16.58980, 173.52500,  18.91090, 178.87200,  -0.00994,   0.08802,  12.49790,  -2.89964,   6.76064, -57.89740,   0.02538,  -0.02835, -16.85380
   0.16667,   0.00000,   0.00000,  -0.00000,  90.85250, -11.00140,   2.66056,  90.61020,  87.58490, -90.44190,  -2.93613,   0.03570,   0.33753,  -0.42894,   2.97267,  -0.75540,  12.90300,   4.78502,  -2.43047, -92.03460,   9.65855, -93.04180, -66.93020,  19.92070,   0.12716,   0.09378,   0.40892, -12.92570,  14.11970,   5.55205,  -8.80075,  87.83230,  11.68520, -94.41270, -67.75120,  15.20660,   9.47915,   3.77375,  11.31470, -18.58700,   8.06596,   5.36753,  -1.91054,-176.91600,  -5.89594,  -1.66659,  -0.01332,   0.09139,  11.61360,  -3.41517,  -4.82135, -57.40590,   0.00162,  -0.00250, -16.62230, 173.37200,  18.34820, 179.10600,  -0.01180,   0.09602,  12.66900,  -3.01690,   6.56517, -58.10480,   0.02176,  -0.02430, -16.81380
   0.20000,   0.00000,   0.00000,  -0.00000,  90.90090, -11.36190,   3.27877,  93.35440,  87.55400, -93.27060,  -2.88262,   0.27833,   0.17461,   1.81335,   2.95099,  -1.01902,  13.84880,   4.93461,  -2.07481, -92.42990,  10.31760, -91.67500, -65.91450,  20.00810,   0.73569,   0.28559,   1.28672, -12.51450,  13.82920,   5.53745,  -8.12689,  87.49160,  12.01880, -93.12190, -67.23990,  15.74170,   9.22817,   3.75003,  10.66870, -19.50210,   8.00420,   5.37527,  -2.15068,-176.98000,  -5.77964,  -1.24235,  -0.01609,   0.10049,  12.58140,  -3.46977,  -5.23733, -58.20710,   0.00084,  -0.00128, -16.60040, 173.01000,  17.72700, 179.53200,  -0.01672,   0.11446,  13.44920,  -3.12946,   6.43356, -58.68670,   0.02048,  -0.02284, -16.79950
   0.23333,   0.00000,   0.00000,  -0.00000,  90.99090, -11.82830,   4.44354,  96.33510,  87.18960, -96.38830,  -2.17934,   0.62471,  -0.09450,   4.08839,   2.75918,  -1.16197,  14.10130,   4.91640,  -1.63904, -92.76710,  10.82230, -90.56440, -64.83620,  20.60890,   1.39016,   0.26382,   1.12193, -13.23670,  14.24990,   5.53878,  -8.18615,  87.12000,  12.51370, -91.92840, -66.60670,  16.62530,   8.92858,   3.43183,   9.06755, -20.83990,   7.84816,   5.38375,  -2.41659,-177.02400,  -5.66566,  -0.36716,  -0.01950,   0.10992,  13.81920,  -3.56335,  -5.65095, -59.19090,   0.00085,  -0.00131, -16.60090, 172.49700,  16.64900,-179.68900,  -0.02284,   0.13357,  14.62920,  -3.26172,   6.06195, -59.51000,   0.01508,  -0.01681, -16.74000
   0.26667,   0.00000,   0.00000,  -0.00000,  91.05600, -12.13010,   5.66001,  96.09800,  86.75330, -96.22130,  -1.30854,   0.69946,  -0.23852,   5.89109,   2.72584,  -1.36992,  14.38630,   4.84011,  -1.27151, -92.94720,  10.84850, -89.70290, -64.77910,  20.30210,   2.45014,   0.04952,   0.18927, -14.68710,  14.63880,   5.54895,  -8.65603,  86.86850,  12.89320, -91.22480, -65.92890,  17.65870,   8.72019,   3.14355,   7.70379, -22.28720,   7.86604,   5.39426,  -2.75148,-177.02300,  -5.69812,   0.57047,  -0.02088,   0.11171,  14.89870,  -3.61660,  -5.82299, -60.00970,  -0.00277,   0.00152, -16.57740, 172.00100,  15.99100,-178.78200,  -0.02733,   0.14502,  15.62920,  -3.35038,   5.96336, -60.19780,   0.01149,  -0.01279, -16.70020
   0.30000,   0.00000,   0.00000,  -0.00000,  91.09030, -12.45800,   6.42281,  95.43490,  86.38100, -95.58270,  -0.55960,   0.69607,  -0.29206,   6.74502,   2.85478,  -1.47894,  14.27070,   4.85469,  -1.10463, -92.92950,  10.46190, -89.26010, -65.54970,  19.44850,   3.65716,  -0.40408,  -1.38705, -16.23020,  14.26630,   5.55944,  -9.15950,  86.75200,  13.02660, -90.86800, -65.43110,  18.77960,   8.40808,   3.00311,   6.97293, -23.37870,   8.23169,   5.40310,  -3.03843,-177.01100,  -5.97337,   1.18832,  -0.02090,   0.11016,  15.57790,  -3.60923,  -5.82085, -60.54160,  -0.00276,   0.00152, -16.57730, 171.63200,  15.79290,-178.20300,  -0.02924,   0.14936,  16.20920,  -3.39426,   6.27000, -60.56720,   0.00890,  -0.00990, -16.67180
