time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.63480,  -5.11669,   5.59270, 103.53000,  83.82490,-102.65700,   4.22464,   2.85783,   1.63833,  -6.95667,  -4.25960,   4.71137,   0.54053,  -6.17887,   8.94354, -90.30430,   2.13394, -96.88450, -74.83900,  -6.12045,   2.84613,   3.15641,  12.43160, -14.36790,   2.47328,   5.11632,   4.73730,  89.67180,   4.43047,-100.75900, -73.73790,  -4.11889,  12.75160,   3.22214,   9.92636, -18.09130,  10.01020,   5.39282,  -2.70532,-170.86800,  -0.60908,  -4.46505,   0.00072,   0.01684,  30.25870,  -2.97542,   0.12079, -70.06350,  -0.06820,   0.05541, -16.57420,-171.25300,   4.20741, 176.92200,   0.08219,  -0.12498,  23.72930,   2.31660,  -9.03721, -65.29290,  -0.04859,   0.03591, -16.57310
   0.03333,   0.00000,   0.00000,  -0.00000,  84.60360,  -5.08910,   5.58930, 103.84900,  83.86990,-102.98800,   4.12094,   2.90280,   1.61563,  -6.81243,  -4.30061,   4.69123,   0.76303,  -6.32676,   9.06302, -90.29060,   2.06629, -96.99630, -74.64120,  -5.15684,   2.04138,   3.41418,  12.50750, -15.40170,   2.81479,   5.12359,   4.56773,  89.68300,   4.40754,-100.88300, -73.75500,  -3.89237,  12.62610,   3.31581,   9.96055, -18.52380,  10.21900,   5.39279,  -2.70460,-170.83200,  -0.61452,  -4.48472,   0.00089,   0.01641,  30.30180,  -2.96191,   0.17102, -70.09070,  -0.06891,   0.05601, -16.57430,-171.22100,   4.25523, 176.92900,   0.08256,  -0.12585,  23.73130,   2.32073,  -9.03219, -65.30890,  -0.04139,   0.03057, -16.57320
   0.06667,   0.00000,   0.00000,  -0.00000,  84.57450,  -5.15814,   5.63524, 104.14800,  83.90440,-103.28700,   4.03823,   2.94747,   1.61658,  -6.61360,  -4.29634,   4.65810,   0.89679,  -6.48386,   9.11316, -90.28540,   2.04705, -97.05940, -74.47080,  -4.62828,   1.25733,   3.60485,  12.33080, -16.43600,   3.03388,   5.12902,   4.44045,  89.69650,   4.34781,-101.00200, -73.77370,  -3.84522,  12.46360,   3.33211,   9.79980, -18.88960,  10.38320,   5.39540,  -2.78820,-170.77300,  -0.75125,  -4.41638,  -0.00802,   0.03170,  30.35990,  -2.93724,   0.26593, -70.15550,  -0.05305,   0.04310, -16.57490,-171.20100,   4.15438, 176.97200,   0.08222,  -0.12439,  23.79760,   2.28565,  -9.07736, -65.35770,  -0.04419,   0.03267, -16.57310
   0.10000,   0.00000,   0.00000,  -0.00000,  84.51880,  -5.19379,   5.64113, 104.22300,  83.94990,-103.35900,   3.94605,   2.93997,   1.62629,  -6.47731,  -4.34872,   4.65482,   1.06648,  -6.54931,   9.14343, -90.27110,   1.97092, -97.16680, -74.39220,  -4.23709,   0.50746,   3.78697,  12.15740, -17.44790,   3.36187,   5.13582,   4.28085,  89.70910,   4.27754,-101.10600, -73.83010,  -3.95001,  12.19870,   3.43132,   9.94419, -19.15300,  10.34840,   5.39806,  -2.87410,-170.72300,  -0.80880,  -4.41704,  -0.00279,   0.02269,  30.43650,  -2.92355,   0.28041, -70.21380,  -0.05559,   0.04515, -16.57480,-171.15600,   4.16744, 176.99500,   0.08164,  -0.12289,  23.81380,   2.27991,  -9.05059, -65.38330,  -0.04715,   0.03484, -16.57310
   0.13333,   0.00000,   0.00000,  -0.00000,  84.47780,  -5.21548,   5.64563, 104.17400,  83.99840,-103.31100,   3.85462,   2.90562,   1.62554,  -6.35119,  -4.40272,   4.66287,   1.18490,  -6.59103,   9.15289, -90.25440,   1.86664, -97.24250, -74.37060,  -3.76918,  -0.22490,   3.98937,  12.08220, -18.42720,   3.63753,   5.13893,   4.20612,  89.71250,   4.24036,-101.11900, -73.90990,  -3.84927,  12.01040,   3.48979,   9.86041, -19.60720,  10.41870,   5.39580,  -2.80142,-170.68100,  -0.87829,  -4.42400,  -0.00263,   0.02238,  30.53150,  -2.89624,   0.33947, -70.28850,  -0.06307,   0.05120, -16.57440,-171.12500,   4.10897, 177.00700,   0.08063,  -0.11988,  23.88050,   2.24551,  -9.08863, -65.44920,  -0.03681,   0.02721, -16.57320
   0.16667,   0.00000,   0.00000,  -0.00000,  84.43730,  -5.28137,   5.66391, 104.05800,  84.03550,-103.19400,   3.78855,   2.86366,   1.63199,  -6.19991,  -4.46743,   4.66425,   1.21879,  -6.65870,   9.16614, -90.23280,   1.73952, -97.37920, -74.38690,  -3.17138,  -0.88737,   4.17407,  12.07930, -19.22570,   3.95003,   5.14191,   4.13621,  89.71670,   4.20188,-101.14000, -74.03860,  -3.62555,  11.90100,   3.59891,   9.85850, -20.17600,  10.50900,   5.39864,  -2.89313,-170.62500,  -1.01738,  -4.37203,  -0.00403,   0.02479,  30.59300,  -2.86516,   0.42579, -70.36630,  -0.05406,   0.04386, -16.57490,-171.10200,   4.08299, 177.04900,   0.08130,  -0.12090,  23.92640,   2.22921,  -9.04636, -65.50690,  -0.04490,   0.03322, -16.57310
   0.20000,   0.00000,   0.00000,  -0.00000,  84.40550,  -5.34938,   5.69179, 103.85500,  84.05930,-102.99000,   3.75289,   2.81116,   1.63740,  -6.11317,  -4.49741,   4.68650,   1.22706,  -6.70528,   9.18247, -90.21250,   1.61572, -97.50600, -74.43790,  -2.57000,  -1.53581,   4.28029,  12.00970, -19.78320,   4.07441,   5.14573,   4.04519,  89.72180,   4.14763,-101.15800, -74.17130,  -3.47657,  11.86340,   3.74754,   9.92097, -20.82080,  10.41170,   5.40242,  -3.01601,-170.59100,  -1.13350,  -4.30982,  -0.00366,   0.02417,  30.65090,  -2.83296,   0.48475, -70.44310,  -0.06264,   0.05079, -16.57460,-171.09500,   4.01293, 177.09700,   0.07902,  -0.11522,  23.98350,   2.18804,  -9.05582, -65.56970,  -0.04479,   0.03316, -16.57310
   0.23333,   0.00000,   0.00000,  -0.00000,  84.37840,  -5.42216,   5.64854, 103.63000,  84.08870,-102.76700,   3.70706,   2.75180,   1.63565,  -6.12398,  -4.57144,   4.68933,   1.28345,  -6.75168,   9.23164, -90.18930,   1.46433, -97.63340, -74.56430,  -2.13495,  -2.12878,   4.33084,  11.92330, -20.13060,   4.08358,   5.14837,   3.98235,  89.72040,   4.13974,-101.13300, -74.29340,  -3.04265,  12.06600,   4.02418,  10.03300, -21.99470,  10.30340,   5.40108,  -2.97264,-170.57000,  -1.23369,  -4.31495,  -0.00323,   0.02353,  30.70530,  -2.81033,   0.50418, -70.52040,  -0.05487,   0.04442, -16.57490,-171.07000,   3.94662, 177.08300,   0.07971,  -0.11635,  24.02940,   2.17050,  -9.04750, -65.63130,  -0.03738,   0.02767, -16.57320
   0.26667,   0.00000,   0.00000,  -0.00000,  84.37340,  -5.52693,   5.66060, 103.26900,  84.09450,-102.41200,   3.71371,   2.67699,   1.62540,  -6.11101,  -4.59929,   4.71267,   1.20766,  -6.76705,   9.29037, -90.17190,   1.34139, -97.69850, -74.75440,  -1.99216,  -2.54400,   4.31377,  11.72490, -20.36470,   4.10281,   5.14961,   3.95267,  89.71780,   4.11430,-101.07400, -74.40030,  -2.71585,  12.36070,   4.47062,  10.41990, -23.38310,  10.11250,   5.39892,  -2.90240,-170.58300,  -1.35623,  -4.22598,  -0.00006,   0.01858,  30.72130,  -2.77741,   0.51365, -70.59580,  -0.06688,   0.05409, -16.57440,-171.09500,   3.85919, 177.14700,   0.07834,  -0.11284,  24.07170,   2.12255,  -9.04516, -65.70870,  -0.03351,   0.02483, -16.57320
   0.30000,   0.00000,   0.00000,  -0.00000,  84.37740,  -5.55411,   5.63538, 102.50400,  84.11340,-101.65500,   3.71297,   2.51555,   1.61426,  -6.12570,  -4.63039,   4.75453,   1.12720,  -6.72666,   9.32212, -90.15580,   1.21739, -97.70720, -75.00320,  -1.93147,  -2.83145,   4.35301,  11.77810, -20.45110,   4.17634,   5.15204,   3.89453,  89.71520,   4.10309,-101.02500, -74.45040,  -2.30114,  12.88160,   4.97083,  10.67620, -25.15390,   9.83326,   5.40155,  -2.98740,-170.62600,  -1.34977,  -4.16636,   0.00010,   0.01856,  30.72200,  -2.75625,   0.46596, -70.68030,  -0.06587,   0.05327, -16.57440,-171.13100,   3.76506, 177.18100,   0.07710,  -0.10969,  24.11400,   2.05038,  -9.09830, -65.80300,  -0.03129,   0.02321, -16.57330
