time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.34490, -35.29010,  -3.98508, 135.23700,  86.89770,-135.77500,  -3.38052,   4.45550,  -0.94576,  -4.20169,   7.48022,   2.35898,   1.66460,   9.67312,   5.43889, -90.94650,   3.83102, -91.11220, -62.26890, -15.27030,  14.98770,   7.47533,  22.66680, -18.80290,   9.42462,   5.21257,   2.40162,  89.37220,   4.42864, -96.92400, -62.76760, -24.86050,  14.07020,   0.74125,   8.40788,  -5.06355,  15.16390,   5.29467,   0.22076, 177.73300, -10.29530, -20.21300,  -0.01033,   0.06864,   8.22030,   4.30665,  -9.53157, -42.59570,   0.13566,  -0.15442, -18.07540,-170.14500,  19.55640, 167.66300,   0.05915,  -0.12759,  18.22160,   4.54807, -17.75850, -63.12170,  -0.02690,   0.01359, -16.57400
   0.03333,   0.00000,   0.00000,  -0.00000,  89.32430, -35.34490,  -3.72021, 135.38600,  86.86160,-135.93400,  -3.34070,   4.51914,  -0.96490,  -4.20267,   7.38639,   2.42906,   1.75077,   9.47627,   5.73231, -90.97130,   3.91751, -91.06450, -61.26210, -15.46050,  15.04600,   8.08425,  23.27490, -19.77170,  10.56540,   5.20811,   2.51492,  89.35950,   4.56544, -97.00490, -62.33700, -24.68690,  14.17340,   0.70217,   8.66944,  -4.65518,  15.71270,   5.28198,   0.57160, 177.85300, -10.36230, -20.14960,  -0.01139,   0.06447,   8.59798,   4.23156,  -9.54901, -42.60090,   0.13473,  -0.15334, -18.06510,-170.17700,  19.62170, 167.86400,   0.05871,  -0.12470,  18.41630,   4.57537, -17.67710, -63.24630,  -0.03170,   0.01603, -16.57400
   0.06667,   0.00000,   0.00000,  -0.00000,  89.31990, -35.38240,  -3.40643, 135.34000,  86.81840,-135.89600,  -3.27574,   4.57747,  -0.98163,  -4.20287,   7.31824,   2.39416,   1.93741,   9.27699,   5.95341, -90.97360,   3.93043, -91.07620, -60.20270, -16.00750,  15.08770,   8.51440,  23.65650, -20.46050,  11.57690,   5.20867,   2.50073,  89.35600,   4.66790, -97.13510, -61.92970, -24.74720,  14.17620,   0.64020,   8.57479,  -4.29271,  16.27650,   5.27811,   0.67776, 177.97400, -10.38320, -19.99330,  -0.01096,   0.06163,   8.88479,   4.16501,  -9.62279, -42.56470,   0.12524,  -0.14225, -17.95870,-170.22900,  19.73220, 168.13600,   0.05957,  -0.12570,  18.56370,   4.60525, -17.60810, -63.36020,  -0.03342,   0.01692, -16.57400
   0.10000,   0.00000,   0.00000,  -0.00000,  89.34120, -35.32880,  -3.08002, 134.69200,  86.80470,-135.24000,  -3.20562,   4.54494,  -0.96978,  -4.12287,   7.25347,   2.30635,   2.10289,   9.10568,   5.97955, -90.96570,   3.89741, -91.07210, -59.28110, -16.42430,  15.01120,   8.87052,  24.20250, -20.84120,  12.95890,   5.20249,   2.65636,  89.36830,   4.67067, -97.28820, -61.70960, -24.61890,  13.80690,   0.55891,   8.38593,  -3.83419,  16.87900,   5.27236,   0.83414, 178.11500, -10.21070, -19.77260,  -0.01205,   0.06040,   9.09048,   4.07914,  -9.73174, -42.55570,   0.12352,  -0.14027, -17.93950,-170.30100,  19.76450, 168.42600,   0.06018,  -0.12600,  18.65410,   4.61115, -17.73000, -63.43890,  -0.03005,   0.01518, -16.57390
   0.13333,   0.00000,   0.00000,  -0.00000,  89.33750, -35.06500,  -2.91842, 134.31900,  86.83870,-134.83400,  -3.22671,   4.46484,  -0.90633,  -4.07831,   7.16857,   2.13277,   2.35970,   8.85730,   5.92623, -90.94210,   3.82597, -91.15660, -58.55320, -16.45850,  14.74830,   8.93000,  24.35580, -20.85760,  14.27710,   5.20253,   2.65586,  89.37930,   4.67872, -97.43410, -61.54720, -24.34260,  13.24100,   0.51895,   8.57357,  -3.48380,  17.68910,   5.26209,   1.11037, 178.17700, -10.04680, -19.72400,  -0.01204,   0.06363,   9.22568,   4.04847,  -9.67199, -42.56740,   0.12318,  -0.13986, -17.93560,-170.27400,  19.73920, 168.51400,   0.06244,  -0.13147,  18.73080,   4.61234, -18.03210, -63.47200,  -0.03288,   0.01650, -16.57410
   0.16667,   0.00000,   0.00000,  -0.00000,  89.31490, -34.73750,  -2.72192, 133.99600,  86.83340,-134.46500,  -3.19615,   4.44201,  -0.81589,  -4.00038,   7.05907,   1.94028,   2.54115,   8.54936,   5.79338, -90.94130,   3.84783, -91.24330, -57.70370, -16.72270,  14.37930,   8.86904,  24.35900, -20.72300,  14.86100,   5.20992,   2.46962,  89.38830,   4.70445, -97.58260, -61.52360, -23.97240,  12.52640,   0.50614,   8.53796,  -3.41217,  18.75680,   5.24878,   1.46533, 178.21700, -10.06810, -19.65510,  -0.01324,   0.06474,   9.38010,   4.01501,  -9.32648, -42.59820,   0.11069,  -0.12538, -17.79640,-170.23200,  20.06500, 168.64200,   0.06248,  -0.13091,  18.80900,   4.64700, -18.07170, -63.53830,  -0.03246,   0.01619, -16.57390
   0.20000,   0.00000,   0.00000,  -0.00000,  89.24870, -34.44030,  -2.59292, 134.23500,  86.77790,-134.66600,  -3.13632,   4.53440,  -0.73701,  -3.92821,   6.90724,   1.84201,   2.65426,   8.18798,   5.63323, -90.91220,   3.77176, -91.39370, -57.10480, -17.04060,  13.81130,   8.94524,  24.81100, -20.56140,  15.99050,   5.21568,   2.32348,  89.40220,   4.69954, -97.74210, -61.83110, -23.66310,  11.40020,   0.48502,   8.34127,  -3.34675,  20.28980,   5.24921,   1.45436, 178.21800, -10.34370, -19.74170,  -0.01372,   0.06759,   9.68672,   3.99277,  -8.74952, -42.69850,   0.09591,  -0.10833, -17.63180,-170.14000,  20.04430, 168.67000,   0.06267,  -0.13041,  18.94230,   4.64235, -18.45740, -63.57710,  -0.03167,   0.01568, -16.57410
   0.23333,   0.00000,   0.00000,  -0.00000,  89.21430, -34.10610,  -2.29129, 133.34800,  86.68100,-133.74500,  -2.92709,   4.59165,  -0.67707,  -3.75869,   6.78337,   1.77200,   2.55566,   7.94714,   5.50973, -90.86980,   3.63987, -91.55160, -56.72280, -16.90450,  13.24660,   8.97976,  25.05060, -20.46580,  17.38890,   5.22294,   2.13799,  89.43210,   4.61242, -97.97330, -62.63860, -22.56540,   9.84966,   0.47844,   7.75006,  -3.55086,  21.95440,   5.24115,   1.66422, 178.23100, -10.52720, -19.63000,  -0.01147,   0.07101,   9.90304,   3.99342,  -8.30416, -42.74010,   0.08673,  -0.09780, -17.53010,-170.11000,  20.25630, 168.86600,   0.06586,  -0.13813,  19.05750,   4.68116, -18.62720, -63.62900,  -0.03696,   0.01815, -16.57410
   0.26667,   0.00000,   0.00000,  -0.00000,  89.13190, -33.75560,  -2.08830, 132.28300,  86.59980,-132.65100,  -2.72372,   4.60730,  -0.62788,  -3.67681,   6.71253,   1.73319,   2.58201,   7.76058,   5.51434, -90.82260,   3.50138, -91.77080, -56.26930, -16.74860,  12.78780,   8.88770,  24.90510, -20.37170,  17.92470,   5.23193,   1.90559,  89.47130,   4.50640, -98.30130, -63.77320, -20.99700,   7.90892,   0.53769,   7.70583,  -4.01062,  23.20400,   5.22298,   2.13454, 178.35200, -10.51480, -19.52650,  -0.01358,   0.07385,   9.98685,   3.95796,  -7.99749, -42.68660,   0.08413,  -0.09480, -17.50110,-170.00200,  20.28680, 169.01600,   0.06505,  -0.13504,  19.08010,   4.73284, -18.97000, -63.60390,  -0.04194,   0.02049, -16.57400
   0.30000,   0.00000,   0.00000,  -0.00000,  89.03470, -33.42780,  -1.97227, 131.81400,  86.54770,-132.16000,  -2.60944,   4.63321,  -0.58543,  -3.43722,   6.62979,   1.74635,   2.63050,   7.62618,   5.48267, -90.78170,   3.37284, -91.94370, -55.78560, -16.47400,  12.32810,   8.86852,  25.17750, -20.14140,  18.52430,   5.23205,   1.90159,  89.51520,   4.35859, -98.64740, -65.15720, -19.23930,   5.70881,   0.65706,   8.15065,  -4.63206,  24.44490,   5.21191,   2.41829, 178.40700, -10.70390, -19.64180,  -0.01370,   0.07772,  10.25410,   3.94557,  -7.52678, -42.70370,   0.07765,  -0.08738, -17.42940,-169.84000,  20.34950, 168.98400,   0.06666,  -0.13734,  19.23960,   4.79686, -19.22550, -63.62570,  -0.04241,   0.02059, -16.57410
