time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.46410,  -4.11806,  -9.56319,  86.94350,  78.47920, -87.58490,  15.23850,  -1.25373,  -1.11622,   2.37793,  -2.93402,   3.34070, -21.00770,  -2.10769,   3.54941, -90.86480,   3.58961, -91.44510, -55.72740,  21.14770, -28.14540,  -0.81387,  -1.45156, -29.26590,  22.52470,   5.60820, -11.84460,  88.89550,   9.71753, -98.48410, -59.88400,  15.15160, -16.74290,   5.17148,   6.86759, -37.12790,  11.00920,   5.35990,  -1.67668,-178.80900,  -5.00988, -28.62820,   0.04146,  -0.08656,  25.98950,  -0.24886,   0.56759, -57.08920,   0.00520,  -0.00805, -16.72150, 178.16800,   9.52226, 152.32300,   0.05552,  -0.13068,  21.56920,  -2.84689,   4.15761, -53.36980,   0.07457,  -0.08412, -17.40060
   0.03333,   0.00000,   0.00000,  -0.00000,  89.66070,  -3.93032,  -9.91258,  87.00320,  78.34750, -87.62610,  15.50310,  -1.24337,  -1.07781,   2.38219,  -2.96236,   3.18167, -21.81410,  -2.19459,   3.36853, -90.88940,   3.67441, -91.38310, -55.42250,  21.51070, -28.41110,  -0.82276,  -1.49436, -28.85100,  22.51430,   5.60842, -11.85730,  88.87410,   9.80916, -98.41930, -59.90390,  15.03130, -16.52560,   4.56161,   5.96090, -37.54050,  10.70980,   5.35950,  -1.66476,-178.98700,  -5.12530, -28.93580,   0.04093,  -0.08907,  25.61030,  -0.37695,   0.86413, -56.76460,   0.00567,  -0.00875, -16.73420, 178.19200,   9.72674, 151.81700,   0.05677,  -0.13371,  21.65190,  -2.72373,   4.16228, -53.33010,   0.07890,  -0.08908, -17.44900
   0.06667,   0.00000,   0.00000,  -0.00000,  89.85330,  -3.63354, -10.08780,  87.13850,  78.17960, -87.71350,  15.84180,  -1.20345,  -0.98375,   2.23497,  -3.05217,   2.99553, -22.53130,  -2.30317,   3.22237, -90.91550,   3.78562, -91.39420, -55.23240,  21.70410, -28.63490,  -0.71034,  -1.32067, -28.27380,  22.38130,   5.60631, -11.72720,  88.86300,   9.91206, -98.42300, -60.06540,  14.64000, -16.30500,   3.15921,   4.06661, -37.90540,  10.47070,   5.35757,  -1.60607,-179.05100,  -5.14574, -29.05830,   0.04190,  -0.09103,  25.28760,  -0.52029,   1.20588, -56.49890,   0.00712,  -0.01099, -16.77400, 178.19500,   9.78502, 151.51100,   0.05663,  -0.13320,  21.83560,  -2.57808,   3.89455, -53.41910,   0.07272,  -0.08200, -17.37990
   0.10000,   0.00000,   0.00000,  -0.00000,  90.02920,  -3.25127, -10.36150,  87.26630,  78.09740, -87.75850,  16.00960,  -1.15390,  -0.82333,   2.07455,  -3.14141,   2.88022, -23.09070,  -2.46286,   3.02796, -90.95270,   3.94740, -91.41970, -55.18650,  21.81260, -28.76020,  -0.66457,  -1.27394, -27.54720,  22.32260,   5.60422, -11.59770,  88.87180,   9.86476, -98.44290, -60.46840,  14.05710, -16.19000,   1.37545,   1.74841, -38.22810,  10.37250,   5.36204,  -1.74220,-179.02100,  -5.06137, -29.27780,   0.04209,  -0.09349,  24.97190,  -0.72197,   1.50992, -56.20340,   0.00676,  -0.01044, -16.76430, 178.30100,   9.88515, 151.09600,   0.05747,  -0.13305,  22.08870,  -2.37168,   3.59399, -53.57390,   0.06923,  -0.07801, -17.34090
   0.13333,   0.00000,   0.00000,  -0.00000,  90.17200,  -2.87514, -10.47140,  87.46330,  78.02010, -87.85660,  16.16860,  -1.07324,  -0.63511,   1.96989,  -3.26161,   2.84482, -23.63340,  -2.65934,   2.91576, -90.99590,   4.10880, -91.36330, -55.32140,  21.88070, -28.73410,  -0.67732,  -1.33762, -26.85050,  22.24700,   5.60391, -11.57910,  88.87020,   9.85800, -98.42930, -60.74210,  13.58790, -16.05470,  -0.94847,  -1.16734, -39.04340,  10.68660,   5.36375,  -1.79469,-178.89300,  -5.03528, -29.29730,   0.04326,  -0.09633,  24.69710,  -0.99216,   1.84790, -55.98030,   0.00744,  -0.01150, -16.78330, 178.41700,   9.84498, 150.87100,   0.05643,  -0.12930,  22.41520,  -2.13838,   3.19772, -53.82920,   0.05327,  -0.05983, -17.16300
   0.16667,   0.00000,   0.00000,  -0.00000,  90.29370,  -2.49929, -10.53450,  87.73330,  77.96750, -88.02950,  16.27950,  -0.95924,  -0.45599,   1.76262,  -3.40938,   2.86819, -24.00180,  -2.90306,   2.94449, -91.00450,   4.16307, -91.42150, -55.81870,  21.67630, -28.47030,  -0.60836,  -1.23207, -26.28120,  22.26140,   5.60327, -11.54050,  88.86970,   9.87506, -98.43770, -61.13090,  12.72220, -16.05850,  -3.23286,  -3.83482, -40.16860,  10.95690,   5.36545,  -1.84616,-178.63400,  -4.80138, -29.24570,   0.04344,  -0.09825,  24.43190,  -1.27841,   1.97720, -55.78190,   0.00701,  -0.01083, -16.77130, 178.56500,   9.73667, 150.72600,   0.05658,  -0.12557,  22.72800,  -1.88183,   2.74905, -54.10630,   0.03921,  -0.04392, -17.00690
   0.20000,   0.00000,   0.00000,  -0.00000,  90.41810,  -2.16664, -10.62550,  88.00760,  77.96480, -88.20190,  16.28960,  -0.83847,  -0.26903,   1.52970,  -3.55009,   2.97228, -24.36250,  -3.09385,   2.93397, -91.02060,   4.24773, -91.47740, -56.25890,  21.59470, -28.07480,  -0.67176,  -1.38266, -25.92760,  22.20730,   5.60417, -11.59370,  88.86880,   9.83580, -98.40650, -61.40230,  11.87560, -16.29340,  -5.13985,  -5.84815, -41.42500,  11.31710,   5.36998,  -1.98757,-178.36600,  -4.59518, -29.19760,   0.04319,  -0.10062,  24.14190,  -1.59557,   2.06468, -55.54180,   0.00850,  -0.01315, -16.81270, 178.78200,   9.76174, 150.57200,   0.05481,  -0.12047,  22.99470,  -1.57484,   2.46188, -54.36340,   0.03274,  -0.03664, -16.93510
   0.23333,   0.00000,   0.00000,  -0.00000,  90.50220,  -1.90971, -10.64890,  88.32930,  77.97240, -88.42290,  16.27910,  -0.69758,  -0.08781,   1.18105,  -3.64048,   3.16041, -24.63400,  -3.16317,   2.93176, -91.02950,   4.29581, -91.51000, -56.72050,  21.59990, -27.59750,  -0.69614,  -1.44185, -25.78230,  22.17740,   5.60305, -11.52540,  88.87920,   9.78179, -98.43100, -61.44660,  11.22980, -16.65850,  -7.15615,  -7.75421, -42.93250,  11.63050,   5.36956,  -1.97269,-178.05200,  -4.48698, -29.06700,   0.04419,  -0.10282,  23.87820,  -1.89089,   2.21621, -55.34200,   0.01007,  -0.01559, -16.85640, 179.05900,   9.75773, 150.49300,   0.05375,  -0.11608,  23.27110,  -1.23423,   2.20094, -54.64060,   0.02401,  -0.02681, -16.83860
   0.26667,   0.00000,   0.00000,  -0.00000,  90.62980,  -1.67113, -10.65000,  88.58740,  77.99990, -88.59560,  16.22750,  -0.58328,   0.06682,   0.85148,  -3.67104,   3.28244, -24.84730,  -3.22805,   2.99795, -91.03610,   4.34408, -91.57120, -57.13600,  21.61710, -27.16340,  -0.67059,  -1.40334, -25.54780,  22.03900,   5.60329, -11.54050,  88.89690,   9.71222, -98.48830, -61.28810,  10.72090, -17.23210,  -8.91959,  -9.19966, -44.46500,  11.93690,   5.36892,  -1.95402,-177.77300,  -4.33591, -28.90530,   0.04456,  -0.10529,  23.60840,  -2.26103,   2.26483, -55.16200,   0.01105,  -0.01712, -16.88360, 179.27000,   9.74045, 150.41700,   0.05160,  -0.10805,  23.59170,  -0.90960,   1.94407, -54.94200,   0.02497,  -0.02790, -16.84930
   0.30000,   0.00000,   0.00000,  -0.00000,  90.77580,  -1.38902, -10.62400,  88.74150,  78.03400, -88.67050,  16.16090,  -0.51253,   0.21503,   0.54861,  -3.73089,   3.38641, -25.05240,  -3.26867,   3.07147, -91.03430,   4.35649, -91.63040, -57.50620,  21.64750, -26.77490,  -0.56010,  -1.18101, -25.37370,  21.84810,   5.60335, -11.54450,  88.92420,   9.56230, -98.55040, -61.16190,  10.05800, -18.00600, -10.36270, -10.20120, -45.91090,  11.88960,   5.36971,  -1.97832,-177.50000,  -4.04880, -28.77740,   0.04527,  -0.10673,  23.43370,  -2.56956,   2.23929, -54.99950,   0.01246,  -0.01932, -16.92290, 179.46700,   9.80751, 150.34800,   0.05253,  -0.10767,  23.94810,  -0.59040,   1.72877, -55.25610,   0.01870,  -0.02088, -16.78000
