time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.34900,   2.45989,   9.42130,  93.23880,  75.93970, -92.56590,  20.30590,   1.62539,   1.05907,  12.36260,  -4.97400,   0.06948,   4.34665,  -6.52408,   0.98459, -91.53180,   8.84904, -95.13840, -56.82080,  18.61070, -21.73070,  -0.57231,  -1.61542, -19.49990,  16.74640,   5.56114,  -9.24281,  88.84560,  11.35560, -99.15640, -55.38260,   8.77630, -15.76180,   3.56231,   7.87516, -24.44080,  12.48700,   5.34454,  -1.21405,-171.70500,  -6.47157,  -3.14308,   0.03141,  -0.05450,  25.19750,  -5.21048,   1.44231, -62.39900,   0.01197,  -0.01853, -16.90890, 173.15400,  15.30760, 177.33500,   0.06230,  -0.10032,  25.52750,  -2.84223,   5.26119, -62.27470,  -0.12087,   0.08634, -16.57020
   0.03333,   0.00000,   0.00000,  -0.00000,  89.06710,   2.70627,   9.10490,  93.21700,  75.62020, -92.64530,  20.94620,   1.63993,   0.84448,  12.61300,  -4.61698,  -0.20118,   4.45516,  -6.02155,   1.16479, -91.58060,   8.95199, -94.94460, -55.12090,  18.69620, -23.96340,  -1.02441,  -2.52744, -22.06920,  17.39820,   5.56752,  -9.55952,  88.81510,  11.45330, -99.05310, -56.91040,   9.14520, -15.40150,   3.48653,   7.17941, -25.99940,  12.48270,   5.34512,  -1.23161,-171.70300,  -6.11242,  -3.76005,   0.02774,  -0.04788,  25.12390,  -5.25386,   1.27006, -62.13360,   0.00947,  -0.01467, -16.83990, 173.41500,  15.50090, 177.13000,   0.06038,  -0.09947,  24.83130,  -2.99627,   5.13994, -61.66580,  -0.11458,   0.08148, -16.57060
   0.06667,   0.00000,   0.00000,  -0.00000,  88.86920,   2.99522,   7.91269,  93.29220,  75.66220, -92.82040,  20.86160,   1.66055,   0.64133,  12.00370,  -4.40079,  -0.37607,   4.02512,  -5.74019,   1.40990, -91.57760,   8.86630, -94.86930, -54.27630,  18.45450, -25.44770,  -1.53190,  -3.34454, -24.62370,  18.08600,   5.57423,  -9.90653,  88.82880,  11.66490, -99.22640, -58.20420,   9.74769, -14.73460,   2.70572,   5.32570, -26.99360,  12.44700,   5.34735,  -1.29784,-171.87600,  -5.90790,  -5.26156,   0.03080,  -0.05710,  24.89150,  -5.13926,   1.11443, -61.67520,   0.01140,  -0.01766, -16.89310, 173.86100,  15.94650, 175.96000,   0.06076,  -0.10541,  24.08390,  -3.09527,   5.08130, -60.94110,  -0.09371,   0.06624, -16.57130
   0.10000,   0.00000,   0.00000,  -0.00000,  88.73900,   3.20975,   6.69742,  93.37440,  75.77470, -92.97050,  20.63560,   1.68000,   0.50480,  11.19670,  -4.27626,  -0.61742,   2.59096,  -5.64629,   1.64261, -91.53030,   8.57269, -94.83970, -54.32290,  17.95250, -26.10460,  -2.03343,  -3.95111, -27.25850,  18.72950,   5.57960, -10.18840,  88.87340,  11.66030, -99.44270, -59.28950,  10.44170, -14.71560,   1.38279,   2.75804, -26.64760,  11.77120,   5.33828,  -1.02785,-172.06700,  -5.93031,  -6.55616,   0.03398,  -0.06758,  24.38240,  -4.96852,   1.10739, -61.18210,   0.00928,  -0.01435, -16.83420, 174.22300,  16.61960, 174.94200,   0.06188,  -0.11557,  23.11080,  -3.14565,   5.35279, -60.14490,  -0.08617,   0.06069, -16.57150
   0.13333,   0.00000,   0.00000,  -0.00000,  88.65830,   3.38222,   5.70390,  93.39940,  75.88300, -93.00300,  20.41870,   1.67874,   0.49305,  10.18540,  -4.18824,  -0.76148,   1.21283,  -5.81176,   1.44536, -91.48860,   8.41005, -94.92530, -54.40470,  17.83690, -26.31400,  -2.80850,  -4.99847, -29.38420,  19.24230,   5.58685, -10.58450,  88.93350,  11.63080, -99.72420, -59.78660,  10.33360, -15.57340,  -0.17153,  -0.35927, -25.43510,  10.63960,   5.32357,  -0.59669,-172.29400,  -5.69806,  -7.35474,   0.03617,  -0.07671,  23.57170,  -4.85360,   0.84583, -60.65420,   0.00995,  -0.01540, -16.85290, 174.46800,  17.23850, 174.39700,   0.06040,  -0.12149,  21.86060,  -3.22716,   5.66385, -59.31420,  -0.07232,   0.05073, -16.57200
   0.16667,   0.00000,   0.00000,  -0.00000,  88.63780,   3.42354,   5.16570,  93.56150,  75.94370, -93.14400,  20.29260,   1.75162,   0.52434,   9.41798,  -4.18835,  -0.81150,   0.24289,  -6.02063,   1.20120, -91.46530,   8.29656, -94.94760, -54.29350,  18.38430, -26.56720,  -3.22129,  -5.53555, -30.25830,  19.53800,   5.59265, -10.91280,  88.97780,  11.57440, -99.91790, -59.96880,   8.65061, -16.95400,  -1.68294,  -3.60981, -24.99910,  10.65160,   5.28895,   0.37345,-172.49600,  -5.46222,  -7.52940,   0.03337,  -0.07379,  22.75460,  -4.76881,   0.51921, -60.24490,   0.00874,  -0.01352, -16.81940, 174.51500,  17.64870, 174.40800,   0.05264,  -0.10905,  20.68100,  -3.33741,   5.92220, -58.64090,  -0.06903,   0.04839, -16.57200
   0.20000,   0.00000,   0.00000,  -0.00000,  88.57590,   3.34894,   4.85322,  93.98500,  76.00000, -93.50630,  20.16640,   1.95316,   0.61311,   8.70818,  -4.25950,  -0.71018,  -0.09146,  -6.28762,   1.04174, -91.46770,   8.27320, -94.90410, -54.09170,  19.24030, -26.90190,  -2.92405,  -5.09093, -29.92740,  19.37170,   5.59343, -10.95620,  89.03010,  11.20870,-100.02200, -60.06210,   6.14842, -18.77260,  -4.65832,  -9.50848, -26.23750,  12.47980,   5.25896,   1.19074,-172.56700,  -5.48578,  -7.42176,   0.03287,  -0.07589,  22.02930,  -4.68595,   0.39130, -59.96190,   0.00666,  -0.01030, -16.76180, 174.58900,  17.56550, 174.68100,   0.04325,  -0.09024,  19.53300,  -3.49272,   5.86149, -58.07490,  -0.07580,   0.05322, -16.57190
   0.23333,   0.00000,   0.00000,  -0.00000,  88.47010,   3.32268,   4.60582,  94.16470,  76.10100, -93.60920,  19.95760,   2.03260,   0.75679,   8.18147,  -4.36622,  -0.49204,   0.35812,  -6.52956,   1.00058, -91.46160,   8.24695, -94.91420, -54.20280,  19.80930, -26.84450,  -2.43624,  -4.41273, -28.94160,  18.88580,   5.58818, -10.65780,  89.11460,  10.59920,-100.19700, -59.86760,   3.32404, -21.32310,  -9.63098, -17.53350, -29.38050,  14.11680,   5.23792,   1.74843,-172.56400,  -5.52687,  -7.40342,   0.03487,  -0.08335,  21.63910,  -4.61118,   0.35635, -59.85030,   0.00572,  -0.00881, -16.73510, 174.69700,  17.38030, 174.90500,   0.03565,  -0.07089,  18.68800,  -3.64595,   5.67543, -57.70770,  -0.08574,   0.06029, -16.57160
   0.26667,   0.00000,   0.00000,  -0.00000,  88.42780,   3.27723,   4.46152,  94.17240,  76.24310, -93.56670,  19.67280,   2.02105,   0.86461,   8.18017,  -4.49622,  -0.20224,   1.51195,  -6.74954,   1.29499, -91.46620,   8.23362, -94.86700, -54.65120,  20.22090, -26.39860,  -2.05215,  -3.95152, -27.47060,  18.45560,   5.58257, -10.35020,  89.18920,   9.84620,-100.26900, -59.53500,   0.24297, -25.08390, -14.80500, -24.06820, -32.94270,  15.42640,   5.22409,   2.10673,-172.63500,  -5.34359,  -7.38163,   0.03325,  -0.08032,  21.46720,  -4.51487,   0.09120, -59.81150,   0.00277,  -0.00425, -16.65370, 174.69200,  17.21170, 175.16400,   0.03094,  -0.06063,  18.02300,  -3.79448,   5.52633, -57.43680,  -0.11222,   0.07909, -16.57090
   0.30000,   0.00000,   0.00000,  -0.00000,  88.45450,   2.98097,   4.23283,  94.35540,  76.39380, -93.74050,  19.36570,   2.08499,   0.87733,   8.75321,  -4.56800,   0.18509,   3.04972,  -6.79642,   1.78888, -91.46960,   8.16309, -94.75840, -55.36580,  20.28020, -25.85050,  -1.66363,  -3.47344, -25.61420,  18.00940,   5.57942, -10.18010,  89.26990,   8.87489,-100.27800, -59.17020,  -2.76167, -30.30510, -19.38270, -29.00780, -35.95660,  17.00420,   5.21201,   2.41344,-172.75500,  -5.48804,  -7.50944,   0.03318,  -0.08050,  21.42810,  -4.36846,  -0.10040, -59.72690,   0.00246,  -0.00379, -16.64530, 174.69300,  16.83590, 175.08000,   0.02887,  -0.05625,  17.67660,  -3.89904,   5.44755, -57.25600,  -0.12823,   0.09089, -16.57050
